English	Polish
Jack London	Jack London
Jack the Ripper	Kuba Rozpruwacz
Jackdaw	Kawka
Jackson	Jackson (Missisipi)
Jackson Pollock	Jackson Pollock
Jacksonville	Jacksonville (Floryda)
Jacob	Jakub (postać biblijna)
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jacques Offenbach	Jacques Offenbach
Jade	Żad
Jaguar	Jaguar
Jainism	Dżinizm
Jakarta	Dżakarta
Jalalabad	Dżalalabad (miasto w Afganistanie)
Jamaica	Jamajka
Jamaica	Kategoria:Jamajka
James	Jakub Większy Apostoł
James A. Garfield	James Garfield
James Bond	James Bond
James Buchanan	James Buchanan (prezydent USA)
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James K. Polk	James Polk
James Madison	James Madison
James Monroe	James Monroe
James Naismith	James Naismith
James Prescott Joule	James Joule
James Watt	James Watt
Jammu and Kashmir	Dżammu i Kaszmir
Jan Hus	Jan Hus
Jan van Eyck	Jan van Eyck
Jane Austen	Jane Austen
Jane Fonda	Jane Fonda
Jane Seymour	Jane Seymour (królowa)
Janis Joplin	Janis Joplin
Janissary	Janczarzy
January	Styczeń
January 1	1 stycznia
January 19	19 stycznia
January 20	20 stycznia
January 6	6 stycznia
Janus (moon)	Janus (księżyc)
Janus (mythology)	Janus (mitologia)
Japan	Japonia
Japan	Kategoria:Japonia
Jason	Jazon (mitologia)
Jaundice	Żółtaczka (medycyna)
Java	Jawa
Java (disambiguation)	Java (ujednoznacznienie)
Java (programming language)	Java
Jawaharlal Nehru	Jawaharlal Nehru
Jazz	Jazz
Jazz	Kategoria:Jazz
Jean Auguste Dominique Ingres	Jean Ingres
Jean Cocteau	Jean Cocteau
Jean Piaget	Jean Piaget
Jean Racine	Jean Baptiste Racine
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jan Jakub Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Jeddah	Dżudda
Jefferson City	Jefferson City (Missouri)
Jefferson Davis	Jefferson Davis
Jehovah	JHWH
Jehovah's Witnesses	Świadkowie Jehowy
Jellyfish	Krążkopławy
Jena	Jena
Jeremy Bentham	Jeremy Bentham
Jerez de la Frontera	Jerez de la Frontera
Jericho	Jerycho
Jerome	Hieronim ze Strydonu
Jersey	Jersey
Jerusalem	Jerozolima
Jerusalem	Kategoria:Jerozolima
Jesus	Jezus Chrystus
Jet engine	Silnik odrzutowy
Jew	Żydzi
Jew's harp	Drumla
Jihad	Dżihad
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Joan of Arc	Joanna d'Arc
Johann Bernoulli	Johann Bernoulli
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Diderik van der Waals	Johannes Diderik van der Waals
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Jan Kepler
Johannes Vilhelm Jensen	Johannes Jensen
Johannesburg	Johannesburg
John Adams	John Adams
John Bardeen	John Bardeen
John Cage	John Cage
John Calvin	Jan Kalwin
John Chrysostom	Jan Chryzostom
John Dalton	John Dalton
John Dewey	John Dewey
John Galsworthy	John Galsworthy
John Herschel	John Herschel
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Major	John Major
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Napier	John Napier
John Quincy Adams	John Quincy Adams
John Ruskin	John Ruskin
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wayne	John Wayne
John Wycliffe	John Wycliffe
John the Baptist	Jan Chrzciciel
John von Neumann	John von Neumann
Johnny Cash	Johnny Cash
Joint	Staw (anatomia)
Jonathan Swift	Jonathan Swift
Jordan	Jordania
Jordan	Kategoria:Jordania
Jordan River	Jordan (rzeka)
Jorge Luis Borges	Jorge Luis Borges
Joseph Conrad	Joseph Conrad
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Joseph Louis Gay-Lussac	Joseph Louis Gay-Lussac
Joseph McCarthy	Joseph Raymond McCarthy
Joseph Priestley	Joseph Priestley
Joseph Pulitzer	Joseph Pulitzer
Joseph Schumpeter	Joseph Schumpeter
Joseph Smith	Joseph Smith
Joseph Stalin	Józef Stalin
Josephus	Józef Flawiusz
Joule	Dżul
Journalism	Kategoria:Dziennikarstwo
Journalism	Dziennikarstwo
Journalist	Dziennikarz
Jovian	Jowian
Joystick	Dżojstik
Judaism	Judaizm
Judaism	Kategoria:Judaizm
Judas Iscariot	Judasz Iskariota
Judea	Judea
Judo	Judo
Judy Garland	Judy Garland
Jujutsu	Jujutsu
Jules Verne	Juliusz Verne
Julian calendar	Kalendarz juliański
Julian the Apostate	Julian Apostata
Julius Caesar	Gajusz Juliusz Cezar
July	Lipiec
July 1	1 lipca
July 4	4 lipca
June	Czerwiec
June 14	14 czerwca
June 21	21 czerwca
June 23	23 czerwca
June 24	24 czerwca
June 29	29 czerwca
June 3	3 czerwca
Juneau	Juneau (Alaska)
Juniper	Jałowiec
Juno (mythology)	Junona
Jupiter	Jowisz
Jupiter	Kategoria:Jowisz
Jupiter (disambiguation)	Jowisz (ujednoznacznienie)
Jupiter (mythology)	Jowisz (mitologia)
Jurassic	Jura
Justinian I	Justynian I Wielki
Jutland	Półwysep Jutlandzki
K	K
K2	K2
KGB	KGB
Kaaba	Kaaba
Kabbalah	Kabała
Kabul	Kabul
Kalahari Desert	Kalahari
Kamchatka Peninsula	Kamczatka
Kamikaze	Kamikaze
Kampala	Kampala
Kandahar	Kandahar
Kangaroo	Kangurowate
Kansas	Kansas
Kansas	Kategoria:Kansas
Kansas City	Kansas City
Kappa	Kappa (litera)
Kara Sea	Morze Karskie
Karachi	Karaczi
Karakoram	Karakorum
Karaoke	Karaoke
Karate	Karate
Karen Blixen	Karen Blixen
Karl Barth	Karl Barth
Karl Jaspers	Karl Jaspers
Karl Marx	Karol Marks
Karl Popper	Karl Popper
Karma	Karma
Karnataka	Karnataka
Katharine Hepburn	Katharine Hepburn
Kathmandu	Katmandu
Katowice	Katowice
Kaunas	Kowno
Kayak	Kajak
Kazakhstan	Kazachstan
Kazakhstan	Kategoria:Kazachstan
Kazan	Kazań
Kazimir Malevich	Kazimierz Malewicz
Kelvin	Kelwin
Kent	Kent
Kentucky	Kentucky
Kentucky	Kategoria:Kentucky
Kenya	Kenia
Kenya	Kategoria:Kenia
Kernel (computer science)	Jądro systemu operacyjnego
Kerosene	Nafta
Ketchup	Keczup
Ketone	Ketony
Keyboard (computing)	Klawiatura
Keyboard instrument	Instrument klawiszowy
Khabarovsk	Chabarowsk
Khan	Chan (władca)
Kharkiv	Charków
Khartoum	Chartum
Khmer Rouge	Czerwoni Khmerzy
Khufu	Cheops
Kibbutz	Kibuc
Kidney	Nerka
Kiev	Kijów
Kigali	Kigali
Kilobyte	Kilobajt
Kilogram	Kilogram
Kilometre	Kilometr
Kilometres per hour	Kilometr na godzinę
Kimono	Kimono
Kindergarten	Przedszkole
Kinematics	Kinematyka
Kinetic energy	Energia kinetyczna
King (chess)	Król (szachy)
King Arthur	Król Artur
King Lear	Król Lear
Kingdom (biology)	Królestwo (biologia)
Kingston	Kingston (miasto na Jamajce)
Kingstown	Kingstown
Kinshasa	Kinszasa
Kiribati	Kiribati
Kiribati	Kategoria:Kiribati
Kirkuk	Kirkuk
Kiss	Pocałunek
Kite	Latawiec
Kiwi	Kiwi
Knee	Staw kolanowy
Knesset	Kneset
Knife	Nóż
Knight	Kawaler (tytuł szlachecki)
Knight (chess)	Skoczek
Knossos	Knossos
Knot (speed)	Węzeł (jednostka prędkości)
Knowledge	Wiedza
Knut Hamsun	Knut Hamsun
Koala	Koala
Kobe	Kobe
Kola Peninsula	Półwysep Kolski
Kolkata	Kalkuta
Komodo dragon	Waran z Komodo
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Korea	Korea
Korea	Kategoria:Korea
Korean War	Wojna koreańska
Kosovo	Kosowo
Kosovo	Kategoria:Kosowo
Krakatoa	Krakatau
Kremlin	Kreml
Krishna	Kryszna
Krypton	Krypton (pierwiastek)
Ku Klux Klan	Ku Klux Klan
Kuala Lumpur	Kuala Lumpur
Kublai Khan	Kubilaj-chan
Kuiper belt	Pas Kuipera
Kumquat	Kumkwat
Kung fu (term)	Kung-fu
Kunlun Mountains	Kunlun
Kuomintang	Guomindang
Kura River	Kura (rzeka)
Kurdistan	Kurdystan
Kurdistan	Kategoria:Kurdystan
Kurdistan Workers Party	Partia Pracujących Kurdystanu
Kursk	Kursk
Kurt Vonnegut	Kurt Vonnegut
Kurt Waldheim	Kurt Waldheim
Kuwait	Kuwejt
Kuwait	Kategoria:Kuwejt
Kuwait City	Kuwejt (miasto)
KwaZulu-Natal	KwaZulu-Natal
Kyoto	Kioto
Kyrgyzstan	Kirgistan
Kyrgyzstan	Kategoria:Kirgistan
L	L
L'Aquila	L'Aquila
LAMP (software bundle)	LAMP
La Paz	La Paz (miasto w Boliwii)
La Plata	La Plata (miasto)
La Spezia	La Spezia
LaTeX	LaTeX
Laboratory	Laboratorium
Labour Party (UK)	Partia Pracy (brytyjska)
Labrador Retriever	Labrador Retriever
Lacerta	Jaszczurka (gwiazdozbiór)
Lactic acid	Kwas mlekowy
Lactose	Laktoza
Lady Jane Grey	Lady Jane Grey
Lagomorpha	Zajęczaki
Lagos	Lagos (Nigeria)
Lahore	Lahaur
Laissez-faire	Leseferyzm
Lake	Jezioro
Lake Baikal	Bajkał
Lake Balaton	Balaton
Lake Chad	Czad (jezioro)
Lake Constance	Jezioro Bodeńskie
Lake Erie	Erie (jezioro)
Lake Eyre	Eyre (jezioro)
Lake Geneva	Jezioro Genewskie
Lake Huron	Huron (jezioro)
Lake Ilmen	Ilmień
Lake Ladoga	Ładoga
Lake Malawi	Niasa (jezioro)
Lake Michigan	Michigan (jezioro)
Lake Onega	Onega (jezioro)
Lake Ontario	Ontario (jezioro)
Lake Superior	Jezioro Górne (Wielkie Jeziora Amerykańskie)
Lake Tanganyika	Tanganika (jezioro)
Lake Victoria	Jezioro Wiktorii
Lakshmi	Lakszmi
Lambda	Lambda
Lamiaceae	Jasnotowate
Lammergeier	Orłosęp brodaty
Lamprey	Minogi
Lancashire	Lancashire
Lancelet	Bezczaszkowce
Landfill	Składowisko odpadów
Language	Język (mowa)
Languedoc-Roussillon	Langwedocja-Roussillon
Lansing	Lansing (Michigan)
Lanthanide	Lantanowce
Lanthanum	Lantan
Laos	Laos
Laos	Kategoria:Laos
Laptev Sea	Morze Łaptiewów
Laptop	Laptop
Larch	Modrzew
Larva	Larwa
Larynx	Krtań
Las Vegas	Las Vegas
Lascaux	Lascaux (Akwitania)
Laser	Laser
Lathe	Tokarka
Latin	Łacina
Latin America	Ameryka Łacińska
Latin alphabet	Alfabet łaciński
Latitude	Szerokość geograficzna
Latvia	Łotwa
Latvia	Kategoria:Łotwa
Laughter	Śmiech
Laurasia	Laurazja
Lausanne	Lozanna
Lava	Lawa
Law	Prawo
Law	Kategoria:Prawo
Law enforcement	Kategoria:Policja
Lawrencium	Lorens
Lawyer	Adwokat
Lazio	Lacjum
Le Corbusier	Le Corbusier
Le Havre	Hawr
Lead	Ołów
Leaf	Liść
League of Nations	Liga Narodów
Leaning Tower of Pisa	Krzywa wieża w Pizie
Leap year	Rok przestępny
Learning	Uczenie się
Lebanon	Liban
Lebanon	Kategoria:Liban
Leda (mythology)	Leda
Lee Harvey Oswald	Lee Harvey Oswald
Leeds	Leeds
Left-handed	Leworęczność
Legend	Legenda
Legislature	Władza ustawodawcza
Lego	LEGO
Leicester	Leicester
Leiden	Lejda
Leipzig	Lipsk
Lemon	Cytryna zwyczajna
Lemon balm	Melisa lekarska
Lena River	Lena (rzeka)
Lens (optics)	Soczewka
Lent	Wielki Post
Lentil	Soczewica jadalna
Leo (constellation)	Lew (gwiazdozbiór)
Leo I (emperor)	Leon I (cesarz bizantyjski)
Leon Trotsky	Lew Trocki
Leonard Bernstein	Leonard Bernstein
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leonid Brezhnev	Leonid Breżniew
Leopard	Lampart
Lepidoptera	Motyle
Leprosy	Trąd
Lepton	Lepton (mechanika kwantowa)
Lepus (constellation)	Zając (gwiazdozbiór)
Lesbian	Lesbijka
Lesotho	Lesotho
Lesotho	Kategoria:Lesotho
Lesser Antilles	Małe Antyle
Leto	Leto
Letter (alphabet)	Litera
Leukemia	Białaczka
Levant	Lewant
Lever	Dźwignia
Leviathan	Lewiatan (potwór)
Leviticus	Księga Kapłańska
Lewis Carroll	Lewis Carroll
Lexicology	Leksykologia
Lhasa	Lhasa
Lhotse	Lhotse
Liberalism	Liberalizm
Liberalism	Kategoria:Liberalizm
Liberation Tigers of Tamil Eelam	Tamilskie Tygrysy
Liberia	Liberia
Liberia	Kategoria:Liberia
Libra (constellation)	Waga (gwiazdozbiór)
Library	Biblioteka
Library science	Bibliotekoznawstwo
Libretto	Libretto
Libreville	Libreville
Libya	Libia
Libya	Kategoria:Libia
Lichen	Porosty
Lie	Kłamstwo
Liechtenstein	Liechtenstein
Liechtenstein	Kategoria:Liechtenstein
Lieutenant	Podporucznik
Life	Życie
Light	Światło
Light-emitting diode	Dioda elektroluminescencyjna
Light-year	Rok świetlny
Lighter	Zapalniczka
Lighthouse	Latarnia morska
Lightning	Piorun
Liguria	Liguria
Ligurian Sea	Morze Liguryjskie
Liliaceae	Liliowate
Lilith	Lilith
Lille	Lille
Lilongwe	Lilongwe
Lima	Lima
Limerick	Limerick
Limestone	Wapień
Limit (mathematics)	Granica (matematyka)
Limnology	Limnologia
Limousin (region)	Limousin
Lincoln	Lincoln (Nebraska)
Lincoln	Lincoln
Lincolnshire	Lincolnshire
Line (mathematics)	Prosta
Linear algebra	Algebra liniowa
Linear algebra	Kategoria:Algebra liniowa
Linear equation	Równanie liniowe
Lingua franca	Lingua franca
Linguistics	Językoznawstwo
Linguistics	Kategoria:Językoznawstwo
Linus Pauling	Linus Pauling
Linux	Linux
Linux	Kategoria:Linux
Linz	Linz
Lion	Lew
Lipid	Lipidy
Liqueur	Likier
Liquid	Ciecz
Liquid crystal display	Wyświetlacz ciekłokrystaliczny
Liquorice	Lukrecja (roślina)
Lisbon	Lizbona
Lise Meitner	Lise Meitner
Lisp (programming language)	LISP
Literature	Literatura
Literature	Kategoria:Literatura
Literature	Portal:Literatura
Lithium	Lit (pierwiastek)
Lithography	Litografia
Lithosphere	Litosfera
Lithuania	Litwa
Lithuania	Kategoria:Litwa
Litre	Litr
Little Owl	Pójdźka
Liverpool	Liverpool
Livonia	Liwonia
Livy	Tytus Liwiusz
Lizard	Jaszczurki
Ljubljana	Lublana
Llama	Lama
Loanword	Zapożyczenia językowe
Local area network	Sieć lokalna
Loch Ness	Loch Ness
Loch Ness Monster	Potwór z Loch Ness
Locomotive	Lokomotywa
Logarithm	Logarytm
Logic	Logika
Logic	Kategoria:Logika
Logic gate	Bramka logiczna
Logistics	Logistyka
Logo	Logo (znak graficzny)
Loire	Loire
Loire River	Loara
Loki	Loki
Lolita	Lolita
Lombardy	Lombardia
London	Londyn
London	Kategoria:Londyn
Long Beach	Long Beach (Kalifornia)
Long Island	Long Island
Long jump	Skok w dal
Long-eared Owl	Sowa uszata
Lope de Vega	Lope de Vega
Lord's Prayer	Ojcze nasz
Lorraine (region)	Lotaryngia
Los Angeles	Los Angeles
Lot (department)	Lot (departament)
Loudspeaker	Głośnik
Louis Aragon	Louis Aragon
Louis Armstrong	Louis Armstrong
Louis Braille	Louis Braille
Louis Pasteur	Ludwik Pasteur
Louis the Pious	Ludwik I Pobożny
Louis the Stammerer	Ludwik II Jąkała
Louisiana	Luizjana
Louisiana	Kategoria:Luizjana
Louisville	Louisville (Kentucky)
Louvre	Luwr
Love	Miłość
Low German	Język dolnoniemiecki
Lower Saxony	Dolna Saksonia
Luanda	Luanda
Lublin	Lublin
Lucerne	Lucerna
Luciano Pavarotti	Luciano Pavarotti
Lucifer	Lucyfer
Lucretius	Lukrecjusz
Lucrezia Borgia	Lukrecja Borgia
Ludwig Boltzmann	Ludwig Boltzmann
Ludwig Mies van der Rohe	Ludwig Mies van der Rohe
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Luftwaffe	Luftwaffe
Luigi Galvani	Luigi Galvani
Luigi Pirandello	Luigi Pirandello
Lumen (unit)	Lumen
Luminescence	Luminescencja
Lunar eclipse	Zaćmienie Księżyca
Lund	Lund (miasto)
Lung	Płuco
Lung cancer	Rak płuca
Lungfish	Dwudyszne
Lupus (constellation)	Wilk (gwiazdozbiór)
Lusaka	Lusaka
Lusitania	Luzytania
Lute	Lutnia
Lutetium	Lutet
Lutheranism	Luteranizm
Lux	Luks
Luxembourg	Luksemburg
Luxembourg	Kategoria:Luksemburg
Luxembourg (city)	Luksemburg (miasto)
Luxor	Luksor
Luzon	Luzon
Lychee	Liczi chińskie
Lydia	Lidia (kraina)
Lymphatic system	Układ limfatyczny
Lynx (constellation)	Ryś (gwiazdozbiór)
Lynx (web browser)	Lynx
Lyon	Lyon
Lyra	Lutnia (gwiazdozbiór)
Lysergic acid diethylamide	Dietyloamid kwasu lizergowego
Lysine	Lizyna
Lysosome	Lizosom
M	M
M-theory	M-teoria
MESSENGER	MESSENGER
MIME	Multipurpose Internet Mail Extensions
MS-DOS	MS-DOS
Macau	Makau
Macbeth	Makbet
Macedon	Starożytna Macedonia
Macedonia	Macedon (ujednoznacznienie)
Macedonia (Greece)	Macedonia (Grecja)
Mach number	Liczba Macha
Machine	Maszyna
Machine code	Język maszynowy
Machine gun	Karabin maszynowy
Machine translation	Tłumaczenie automatyczne
Machu Picchu	Machu Picchu
Macintosh	Macintosh
Macroeconomics	Makroekonomia
Macroeconomics	Kategoria:Makroekonomia
Madagascar	Madagaskar
Madagascar	Kategoria:Madagaskar
Madeira	Madera
Madison	Madison (Wisconsin)
Madonna (entertainer)	Madonna (piosenkarka)
Madrid	Madryt
Madrid (autonomous community)	Madryt (wspólnota autonomiczna)
Mafia	Mafia
Magazine	Czasopismo
Magenta	Magenta (barwa)
Maghreb	Maghreb
Magic (paranormal)	Magia
Magic square	Kwadrat magiczny (matematyka)
Maginot Line	Linia Maginota
Magma	Magma
Magna Carta	Magna Charta Libertatum
Magnesium	Magnez
Magnet	Magnes
Magnetic field	Pole magnetyczne
Magnetic resonance imaging	Obrazowanie rezonansu magnetycznego
Magnetism	Magnetyzm
Magnetism	Kategoria:Magnetyzm
Magnetite	Magnetyt
Magnifying glass	Lupa
Magnoliopsida	Kategoria:Magnoliopsida
Maharashtra	Maharashtra
Mahatma Gandhi	Mahatma Gandhi
Mahayana	Mahajana
Mail	Poczta
Maimonides	Mojżesz Majmonides
Main	Men
Main	Szablon:Main
Maine	Maine (stan w USA)
Maine	Kategoria:Maine
Mainframe computer	Mainframe
Maitreya	Budda Maitreja
Maize	Kukurydza zwyczajna
Major	Major
Major scale	Skala durowa
Majorca	Majorka
Makalu	Makalu
Malabo	Malabo
Malachite	Malachit
Malacostraca	Pancerzowce
Malaria	Malaria
Malawi	Kategoria:Malawi
Malay Peninsula	Półwysep Malajski
Malayan Tapir	Tapir malajski
Malaysia	Malezja
Malaysia	Kategoria:Malezja
Malcolm X	Malcolm X
Maldives	Malediwy
Maldives	Kategoria:Malediwy
Mali	Mali
Mali	Kategoria:Mali
Mallard	Kaczka krzyżówka
Malta	Malta
Malta	Kategoria:Malta
Maltese language	Język maltański
Maltose	Maltoza
Malvaceae	Ślazowate
Mammal	Ssaki
Mammoth	Mamut
Management	Zarządzanie
Managua	Managua (miasto)
Manama	Manama
Manatee	Manatowate
Manchester	Manchester
Manchuria	Mandżuria
Mandala	Mandala
Mandarin (linguistics)	Języki mandaryńskie
Mandarin orange	Mandarynka (roślina)
Mandelbrot set	Zbiór Mandelbrota
Manganese	Mangan
Mango	Mango
Mangrove	Namorzyny
Manhattan	Manhattan
Manhattan Project	Projekt Manhattan
Manichaeism	Manicheizm
Manila	Manila
Manipur	Manipur
Manitoba	Manitoba
Mannerism	Manieryzm (sztuka)
Mannheim	Mannheim
Mantle (geology)	Płaszcz ziemski
Mantra	Mantra
Mantua	Mantua
Manuel de Falla	Manuel de Falla
Manuscript	Rękopis
Mao Zedong	Mao Zedong
Maoism	Maoizm
Map	Mapa
Maple	Klon (roślina)
Maputo	Maputo (miasto)
Marathon	Bieg maratoński
Marble	Marmur
Marc Chagall	Marc Chagall
Marcel Duchamp	Marcel Duchamp
Marcel Marceau	Marcel Marceau
Marcel Proust	Marcel Proust
March	Marzec
March 17	17 marca
March 19	19 marca
March 2	2 marca
March 25	25 marca
Marche	Marche
Marco Polo	Marco Polo
Marcus Aurelius	Marek Aureliusz
Marcus Junius Brutus	Marek Juniusz Brutus
Marcus Vipsanius Agrippa	Marek Agrypa
Marduk	Marduk
Margaret Mead	Margaret Mead
Margaret Mitchell	Margaret Mitchell
Margaret Thatcher	Margaret Thatcher
Maria Callas	Maria Callas
Mariana Islands	Mariany
Marie Antoinette	Maria Antonina Austriaczka
Marie Curie	Maria Skłodowska-Curie
Mariehamn	Maarianhamina
Marilyn Monroe	Marilyn Monroe
Mario Vargas Llosa	Mario Vargas Llosa
Mark Antony	Marek Antoniusz
Mark Twain	Mark Twain
Market	Rynek (ekonomia)
Marketing	Marketing
Marketing	Kategoria:Marketing
Markup language	Język znaczników
Marlene Dietrich	Marlene Dietrich
Marquis de Sade	Donatien Alphonse François de Sade
Marrakech	Marrakesz
Marriage	Małżeństwo
Mars	Kategoria:Mars
Mars (disambiguation)	Mars (ujednoznacznienie)
Mars (mythology)	Mars (mitologia)
Marseille	Marsylia
Marshall Islands	Wyspy Marshalla
Marshall Islands	Kategoria:Wyspy Marshalla
Marshall Plan	Plan Marshalla
Marsupial	Torbacze
Martin Buber	Martin Buber
Martin Heidegger	Martin Heidegger
Martin Luther	Marcin Luter
Martin Luther King	Martin Luther King
Martin Scorsese	Martin Scorsese
Martin Van Buren	Martin Van Buren
Martina Navratilova	Martina Navrátilová
Martinique	Martynika
Martyr	Martyrologia
Marx Brothers	Bracia Marx
Marxism	Marksizm
Marxism	Kategoria:Marksizm
Mary (mother of Jesus)	Maria z Nazaretu
Mary Magdalene	Maria Magdalena
Mary Shelley	Mary Shelley
Mary Wollstonecraft	Mary Wollstonecraft
Maryland	Maryland
Maryland	Kategoria:Maryland
Maseru	Maseru
Mashhad	Meszhed
Mass	Masa (fizyka)
Mass (liturgy)	Msza
Mass number	Liczba masowa
Massachusetts	Massachusetts
Massachusetts	Kategoria:Massachusetts
Massachusetts Institute of Technology	Massachusetts Institute of Technology
Masturbation	Masturbacja
Mata Hari	Mata Hari
Match	Zapałka
Materialism	Materializm
Mathematical logic	Logika matematyczna
Mathematical logic	Kategoria:Logika matematyczna
Mathematical proof	Dowód (matematyka)
Mathematics	Matematyka
Mathematics	Kategoria:Matematyka
Mathematics	Portal:Matematyka
Matrix (mathematics)	Macierz
Matter	Materia (fizyka)
Matterhorn	Matterhorn
Mauna Kea	Mauna Kea
Mauna Loa	Mauna Loa
Maundy Thursday	Wielki Czwartek
Maurice Ravel	Maurice Ravel
Mauritania	Mauretania
Mauritania	Kategoria:Mauretania
Mauritius	Mauritius
Mauritius	Kategoria:Mauritius
Max Born	Max Born
Max Bruch	Max Bruch
Max Ernst	Max Ernst
Max Planck	Max Planck
Max Weber	Max Weber
Maximian	Maksymian
Maxwell's equations	Równania Maxwella
May	Maj
May 1	1 maja
May 24	24 maja
Mayenne	Mayenne (departament)
Mayfly	Jętki (owady)
Mayonnaise	Sos majonezowy
Mayor	Burmistrz
Mbabane	Mbabane
McCarthyism	Maccartyzm
Mead	Miód pitny
Measles	Odra (choroba)
Measure (mathematics)	Miara (matematyka)
Measurement	Kategoria:Metrologia
Measurement	Pomiar
Meat	Mięso
Mecca	Mekka
Mechanical engineering	Inżynieria mechaniczna
Mechanics	Kategoria:Mechanika
Mechanics	Mechanika
Medea	Medea
Median	Mediana
Medication	Farmakoterapia
Medici	Medyceusze
Medicine	Medycyna
Medicine	Kategoria:Medycyna
Medina	Medyna
Meditation	Medytacja
Mediterranean	Kategoria:Morze Śródziemne
Mediterranean Sea	Morze Śródziemne
Medusa	Meduza (mitologia)
Meerkat	Surykatka
Megabyte	Megabajt
Meiosis	Mejoza
Meister Eckhart	Johannes Eckhart
Meitnerium	Meitner
Mekong	Mekong
Mel Gibson	Mel Gibson
Melanesia	Melanezja
Melody	Melodia
Melpomene	Melpomene
Melting	Topnienie
Melting point	Temperatura topnienia
Meme	Mem
Memory	Pamięć człowieka
Memphis	Memphis
Memphis	Memfis
Menachem Begin	Menachem Begin
Mendelevium	Mendelew
Menelaus	Menelaos
Meningitis	Zapalenie opon mózgowo-rdzeniowych
Mensa (constellation)	Góra Stołowa (gwiazdozbiór)
Menstrual cycle	Cykl miesiączkowy
Menstruation	Menstruacja
Mental disorder	Zaburzenie psychiczne
Mentha	Mięta
Mercantilism	Merkantylizm
Mercenary	Wojsko najemne
Mercury	Merkury (ujednoznacznienie)
Mercury (element)	Rtęć
Mercury (mythology)	Merkury (bóg)
Mercury (planet)	Merkury
Meridian (geography)	Południk
Meritocracy	Merytokracja
Mermaid	Syrena (mitologia)
Merovingian	Merowingowie
Meryl Streep	Meryl Streep
Mescaline	Meskalina
Mesolithic	Mezolit
Meson	Mezony
Mesopotamia	Mezopotamia
Mesopotamia	Kategoria:Mezopotamia
Mesosphere	Mezosfera (warstwa atmosfery)
Mesozoic	Era mezozoiczna
Messenger RNA	MRNA
Messiah	Pomazaniec
Messina	Mesyna
Metabolism	Metabolizm
Metadata	Metadane
Metal	Metale
Metallic bond	Wiązanie metaliczne
Metalloid	Półmetale
Metallurgy	Metalurgia
Metallurgy	Kategoria:Metalurgia
Metamorphic rock	Skały metamorficzne
Metaphor	Metafora
Metaphysics	Metafizyka klasyczna
Metastasis	Przerzuty nowotworowe
Meteor shower	Rój meteorów
Meteorite	Meteoryt
Meteoroid	Meteoroid
Meteorology	Kategoria:Meteorologia i fizyka atmosfery
Meteorology	Meteorologia
Methadone	Metadon
Methamphetamine	Metamfetamina
Methanol	Alkohol metylowy
Methionine	Metionina
Methodism	Metodyzm
Methylenedioxymethamphetamine	3,4-metylenodioksymetamfetamina
Metis (moon)	Metis (księżyc)
Metonymy	Metonimia
Metre	Metr
Metric space	Przestrzeń metryczna
Meuse	Meuse
Meuse River	Moza
Mexico	Meksyk
Mexico	Kategoria:Meksyk
Mexico City	Meksyk (miasto)
Miami	Miami
Mica	Miki
Michael (archangel)	Michał Archanioł
Michael Faraday	Michael Faraday
Michel Ney	Michel Ney
Michelangelo	Michał Anioł
Michigan	Michigan
Michigan	Kategoria:Michigan
Mick Jagger	Mick Jagger
Mickey Mouse	Myszka Miki
Microbiology	Mikrobiologia
Microbiology	Kategoria:Mikrobiologia
Microeconomics	Mikroekonomia
Microeconomics	Kategoria:Mikroekonomia
Micronesia	Mikronezja (wyspy)
Microorganism	Mikroorganizm
Microphone	Mikrofon
Microprocessor	Mikroprocesor
Microscope	Mikroskop
Microscopium	Mikroskop (gwiazdozbiór)
Microwave	Mikrofale
Microwave oven	Kuchenka mikrofalowa
Middle Ages	Średniowiecze
Middle Ages	Kategoria:Średniowiecze
Middle East	Bliski Wschód
Midnight sun	Dzień polarny
Migraine	Migrena
Miguel de Cervantes	Miguel de Cervantes
Mike Tyson	Mike Tyson
Mikhail Bakunin	Michał Bakunin
Mikhail Glinka	Michał Glinka
Mikhail Gorbachev	Michaił Gorbaczow
