English	Norwegian
Duke Ellington	Duke Ellington
Duke University	Duke University
Dune	Sanddyne
Dunkirk	Dunkerque
Duodenum	Tolvfingertarmen
Durban	Durban
Dushanbe	Dusjanbe
Dustin Hoffman	Dustin Hoffman
Dutch people	Kategori:Nederlendere
Dwight D. Eisenhower	Dwight D. Eisenhower
Dynamics (physics)	Dynamikk (mekanikk)
Dynamite	Dynamitt
Dynasty	Dynasti
Dyslexia	Dysleksi
Dysprosium	Dysprosium
Dystopia	Dystopi
E	E
E (mathematical constant)	E (matematikk)
E-mail	E-post
E. T. A. Hoffmann	E.T.A. Hoffmann
ETA	ETA
Eagle	Ørner
Ear	Øre
Eared seal	Øreselfamilien
Earless seal	Hårselfamilien
Earth	Jorden
Earth	Kategori:Jorden
Earth science	Geofag
Earthquake	Jordskjelv
East	Øst
East Africa	Østafrika
East China Sea	Østkinahavet
East Germany	Den tyske demokratiske republikk
East Sussex	East Sussex
East Timor	Øst-Timor
East Timor	Kategori:Øst-Timor
Easter	Påske
Eastern Orthodox Church	Den ortodokse kirke
Ebola	Ebola (virus)
Ebro	Ebro
Eccentricity (mathematics)	Eksentrisitet
Ecclesiastes	Forkynneren
Echidna	Maurpinnsvin
Echinoderm	Pigghuder
Eclipse	Solformørkelse
Eclipse (software)	Eclipse
Ecliptic	Ekliptikken
Ecological niche	Nisje (økologisk)
Ecology	Økologi
Ecology	Kategori:Økologi
Econometrics	Økonometri
Economics	Økonomi
Economics	Kategori:Økonomi
Economy	Økonomi
Ecosystem	Økosystem
Ecuador	Ecuador
Ecuador	Kategori:Ecuador
Ecumenical council	Økumenisk konsil
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edgar Rice Burroughs	Edgar Rice Burroughs
Edinburgh	Edinburgh
Edmond Halley	Edmond Halley
Edmonton	Edmonton
Edmund Burke	Edmund Burke
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Edo	Edo (by)
Eduard Buchner	Eduard Buchner
Education	Utdannelse
Education	Kategori:Utdanning
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Gibbon	Edward Gibbon
Edward Jenner	Edward Jenner
Edward the Confessor	Edvard Bekjenneren
Edwin Hubble	Edwin Hubble
Eel	Ålefisker
Egg (biology)	Egg
Eggplant	Aubergine
Egypt	Egypt
Egypt	Kategori:Egypt
Egyptian pound	Egyptisk pund
Egyptology	Egyptologi
Eiffel Tower	Eiffeltårnet
Eindhoven	Eindhoven
Einsteinium	Einsteinium
Ejaculation	Ejakulasjon
El Greco	El Greco
El Paso	El Paso
El Salvador	El Salvador
El Salvador	Kategori:El Salvador
Elam	Elam
Elbe	Elben
Eleanor Roosevelt	Eleanor Roosevelt
Election	Valg
Electric charge	Elektrisk ladning
Electric current	Elektrisk strøm
Electric field	Elektrisk kraft
Electric guitar	Elektrisk gitar
Electric motor	Elektrisk motor
Electrical resistance	Motstand (resistans)
Electricity	Elektrisitet
Electricity	Kategori:Elektrisitet
Electrocardiogram	Elektrokardiogram
Electrochemistry	Kategori:Elektrokjemi
Electrolysis	Elektrolyse
Electrolyte	Elektrolytt
Electromagnetic radiation	Elektromagnetisk stråling
Electromagnetic spectrum	Elektromagnetisk spekter
Electromagnetism	Elektromagnetisme
Electromagnetism	Kategori:Elektromagnetisme
Electron	Elektron
Electron microscope	Elektronmikroskop
Electronegativity	Elektronegativitet
Electronics	Elektronikk
Electronics	Kategori:Elektronikk
Elegy	Elegi
Elementary particle	Elementærpartikkel
Elephant	Elefanter
Elevator	Heis
Elf	Alv
Elia Kazan	Elia Kazan
Elias Canetti	Elias Canetti
Elijah	Elia
Elizabeth Taylor	Elizabeth Taylor
Ella Fitzgerald	Ella Fitzgerald
Ellipse	Ellipse
Ellipsis	Ellipse (skrift)
Elm	Almer
Elvis Presley	Elvis Presley
Embryo	Embryo
Embryology	Embryologi
Emerald	Smaragd
Emilia-Romagna	Emilia-Romagna
Emiliano Zapata	Emiliano Zapata
Emily Dickinson	Emily Dickinson
Emir	Emir
Emma Goldman	Emma Goldman
Emotion	Emosjon
Empathy	Empati
Empedocles	Empedokles
Emperor	Keiser
Emperor Penguin	Keiserpingvin
Empire State Building	Empire State Building
Empiricism	Empiri
Emu	Emu
Emulator	Emulator
Emulsion	Emulsjon
Encyclopedia	Encyklopedi
Endemism	Endemisk art
Endocrine system	Det endokrine system
Endocrinology	Endokrinologi
Endocrinology	Kategori:Endokrinologi
Energy	Energi
Energy	Kategori:Energi
Energy (society)	Energi
Engine	Motor
Engineer	Ingeniør
England	England
England	Kategori:England
English Channel	Den engelske kanal
English Civil War	Den engelske borgerkrigen
English language	Engelsk
English language	Kategori:Engelsk språk
English people	Kategori:Engelskmenn
Enki	Ea
Enrico Caruso	Enrico Caruso
Enrico Fermi	Enrico Fermi
Entertainment	Kategori:Underholdning
Enthalpy	Entalpi
Entomology	Entomologi
Entomology	Kategori:Entomologi
Entropy	Entropi
Environment	Kategori:Miljøvern
Environment	Miljø
Enzyme	Enzymer
Eocene	Eocen
Eon (geology)	Eon (geologi)
Eos	Eos
Ephesus	Efesos
Epic poetry	Epos
Epicenter	Episenter
Epictetus	Epiktet
Epicurus	Epikur
Epidemic	Epidemi
Epidemiology	Epidemiologi
Epilepsy	Epilepsi
Epimetheus (mythology)	Epimetheus
Epinephrine	Adrenalin
Epiphany (Christian)	Helligtrekongersdag
Epirus (periphery)	Epirus
Epistemology	Erkjennelsesteori
Epistle to the Galatians	Paulus' brev til galaterne
Epistle to the Romans	Paulus' brev til romerne
Epithelium	Epitel
Epsilon	Epsilon
Equation	Ligning (matematikk)
Equator	Ekvator
Equatorial Guinea	Ekvatorial-Guinea
Equatorial Guinea	Kategori:Ekvatorial-Guinea
Equidae	Hester
Equinox	Jevndøgn
Equisetum	Sneller
Erasure	Erasure
Erato	Erato
Eratosthenes	Eratostenes
Erbium	Erbium
Erebus	Erebos
Erectile dysfunction	Impotens
Erection	Ereksjon
Ericaceae	Lyngfamilien
Ericales	Ericales
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Erik Satie	Erik Satie
Eris (dwarf planet)	Eris (dvergplanet)
Eris (mythology)	Eris (gudinne)
Eritrea	Kategori:Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Ernst Werner von Siemens	Werner von Siemens
Eros (mythology)	Eros
Erosion	Erosjon
Erotica	Erotikk
Erwin Rommel	Erwin Rommel
Escape velocity	Unnslipningshastighet
Eschatology	Eskatologi
Escherichia coli	Escherichia coli
Esfahan	Isfahan
Esophagus	Spiserøret
Esperanto	Esperanto
Esperanto	Kategori:Esperanto
Espionage	Spionasje
Espoo	Esbo
Espresso	Espresso
Essay	Essay
Essen	Essen
Essential oil	Eteriske oljer
Essex	Essex
Ester	Ester
Estonia	Kategori:Estland
Estrogen	Østrogen
Eta (letter)	Eta (bokstav)
Etching	Etsning
Ethane	Etan
Ethanol	Etanol
Ether	Eter (kjemi)
Ethernet	Ethernet
Ethics	Etikk
Ethics	Kategori:Etikk
Ethiopia	Etiopia
Ethiopia	Kategori:Etiopia
Ethnic group	Etnisitet
Ethnography	Etnografi
Ethnology	Kategori:Etnologi
Ethology	Atferdsbiologi
Ethylene	Eten
Etymology	Etymologi
Eucharist	Nattverd
Euclid	Euklid av Alexandria
Eugene O'Neill	Eugene O'Neill
Eukaryote	Eukaryoter
Eunuch	Evnukk
Euphemism	Eufemisme
Euphrates	Eufrat
Eurasia	Eurasia
Eurasian Badger	Grevling
Euripides	Evripides
Euro	Euro
Europa (moon)	Europa (måne)
Europa (mythology)	Europa (mytologi)
Europe	Europa
Europe	Kategori:Europa
European Central Bank	Den europeiske sentralbanken
European Magpie	Skjære
European Union	Den europeiske union
European Union	Kategori:EU
Europium	Europium
Eusebius of Caesarea	Eusebius av Cæsarea
Euterpe	Evterpe
Euthanasia	Eutanasi
Eva Braun	Eva Braun
Evanescence	Evanescence
Evangelista Torricelli	Evangelista Torricelli
Evaporation	Fordampning
Even-toed ungulate	Partåede hov- og klovdyr
Evolution	Evolusjon
Exchange rate	Valutakurs
Exclamation mark	Utropstegn
Excommunication	Ekskommunikasjon
Executive (government)	Utøvende makt
Existentialism	Eksistensialisme
Exodus	Andre Mosebok
Expected value	Forventning
Explosion	Eksplosjon
Expo (exhibition)	Verdensutstilling
Exponential function	Eksponentialfunksjon
Exponentiation	Potens (matematikk)
Expressionism	Ekspresjonisme
Extinction	Utryddelse
Eye	Øye
Eye	Kategori:Øyet
Ezra Pound	Ezra Pound
F	F
F. Scott Fitzgerald	F. Scott Fitzgerald
Fabaceae	Erteblomstfamilien
Fable	Fabel
Face	Ansikt
Fact	Mal:Trenger referanse
Factorial	Fakultet (matematikk)
Factory	Fabrikk
Fagaceae	Kategori:Bøkefamilien
Fagales	Fagales
Fahrenheit	Fahrenheit
Fair use	Fair use
Fairy	Fe (eventyr)
Fairy tale	Eventyr
Falcon	Falker
Falconiformes	Rovfugler
Falkland Islands	Falklandsøyene
Fallacy	Tankefeil
Fallopian tube	Eggleder
Fallow Deer	Dåhjort
Falun Gong	Falun Gong
Family	Kategori:Familie
Family (biology)	Familie (biologi)
Family history	Slektsforskning
Family name	Etternavn
Fantasy	Fantastisk litteratur
Far East	Det fjerne østen
Farad	Farad
Faroe Islands	Kategori:Færøyene
Fascism	Fascisme
Fascism	Kategori:Fascisme
Fashion	Kategori:Mote
Fashion	Mote
Fast food	Hurtigmat
Fasting	Faste
Fatah	Fatah
Fatty acid	Fettsyre
Fault (geology)	Forkastning
Fauna	Fauna
Fauvism	Fauvisme
Fax	Telefaks
Fear	Frykt
Feather	Fjær
February	Februar
February 12	12. februar
February 14	14. februar
February 2	2. februar
February 22	22. februar
February 29	29. februar
February Revolution	Februarrevolusjonen (Russland)
Feces	Avføring
Federal Bureau of Investigation	Federal Bureau of Investigation
Federal Reserve System	Federal Reserve
Federated States of Micronesia	Mikronesiaføderasjonen
Federation	Føderasjon
Federico Fellini	Federico Fellini
Fedora (Linux distribution)	Fedora Core
Feedback	Tilbakekobling
Feldspar	Feltspat
Felidae	Kattefamilien
Felix Mendelssohn	Felix Mendelssohn
Feminism	Feminisme
Feminism	Kategori:Feminisme
Fencing	Fekting
Feng shui	Feng Shui
Fennel	Fenikkel
Fenrir	Fenrisulven
Fenugreek	Bukkehornkløver
Ferdinand II	Ferdinand II av Det tysk-romerske rike
Ferdinand Magellan	Ferdinand Magellan
Ferdinand de Saussure	Ferdinand de Saussure
Fermentation (food)	Gjære (kjemi)
Fermion	Fermion
Fermium	Fermium
Fern	Bregner
Ferrara	Ferrara
Ferry	Ferje
Fertile Crescent	Fruktbare halvmåne
Fertilisation	Befruktning
Fertilizer	Gjødsel
Fetus	Foster
Feudalism	Føydalisme
Fever	Feber
Fiat	Fiat
Fibonacci number	Fibonaccifølgen
Fiction	Kategori:Fiksjon
Fictional character	Rollefigur
Fidel Castro	Fidel Castro
Field (mathematics)	Kropp (matematikk)
Field hockey	Landhockey
Fighter aircraft	Jagerfly
Figure skating	Kunstløp
Fiji	Fiji
Fiji	Kategori:Fiji
File Transfer Protocol	FTP
File system	Filsystem
Filippo Brunelleschi	Filippo Brunelleschi
Film	Kategori:Film
Film	Film
Film	Portal:Film
Film director	Regissør
Fin Whale	Finnhval
Finance	Kategori:Finans
Finance	Finans
Finger	Finger
Fingerprint	Fingeravtrykk
Finland	Finland
Finland	Kategori:Finland
Fir	Edelgraner
Fire	Ild
Firearm	Skytevåpen
Firewall (networking)	Brannmur
First Council of Constantinople	Første konsil i Konstantinopel
First Council of Nicaea	Konsilet i Nikea
First Crusade	Første korstog
First Epistle to the Corinthians	Paulus' første brev til korinterne
First aid	Førstehjelp
First language	Morsmål
Fish	Fisk
Fish	Kategori:Fisk
Fishing	Fiske
Fishing	Kategori:Fiske
Fjord	Fjord
Flag	Flagg
Flagellum	Flagell
Flamenco	Flamenco
Flamingo	Flamingoer
Flanders	Flandern
Flash memory	Flashminne
Flatulence	Tarmgass
Flatworm	Flatormer
Flea	Lopper
Flemish (linguistics)	Flamsk (dialekt)
Flint	Flint
Flood	Flom
Floppy disk	Diskett
Florence	Firenze
Florence Nightingale	Florence Nightingale
Florida	Florida
Florida	Kategori:Florida
Flour	Mel
Flower	Blomst
Flowering plant	Dekkfrøede planter
Fluid	Fluid
Fluid mechanics	Fluidmekanikk
Flute	Fløyte
Fly	Tovinger
Fog	Tåke
Folic acid	folsyre
Folk music	Folkemusikk
Folklore	Folkeminne
Folklore	Kategori:Folkeminne
Food	Mat
Food and Agriculture Organization	FNs organisasjon for ernæring og landbruk
Food chain	Næringskjede
Foot	Fot (kroppsdel)
Foot (unit of length)	Fot (mål)
Football (soccer)	Fotball
Football (soccer)	Kategori:Fotball
Football (soccer) by country	Kategori:Fotball etter område
Football (soccer) clubs	Kategori:Fotballag
Football (soccer) managers	Kategori:Fotballtrenere
Football (soccer) players	Kategori:Fotballspillere
Football (soccer) venues	Kategori:Fotballstadioner
Forbidden City	Den forbudte by
Force	Kraft
Forest	Skog
Forestry	Skogbruk
Fork	Gaffel
Form of government	Styreform
Formaldehyde	Formaldehyd
Formic acid	Maursyre
Fort Worth	Fort Worth
Fortification	Festning
Fortran	Fortran
Fossil	Fossil
Fossil fuel	Fossilt brensel
Foucault pendulum	Foucaults pendel
Fountain	Fontene
Fourth Crusade	Fjerde korstog
Fractal	Fraktal
Fraction (mathematics)	Brøk
France	Frankrike
France	Kategori:Frankrike
Francis Bacon	Francis Bacon
Francis Crick	Francis Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Francis II	Frans II av Det tysk-romerske rike
Francis Poulenc	Francis Poulenc
Francis of Assisi	Frans av Assisi
Franciscan	Fransiskanerordenen
Francisco Franco	Francisco Franco
Francisco Goya	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Francium	Francium
Franco-Prussian War	Den fransk-preussiske krig
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfort	Frankfort
Frankfurt	Frankfurt am Main
Frankfurt	Kategori:Frankfurt
Frankfurt (Oder)	Frankfurt an der Oder
Franklin Pierce	Franklin Pierce
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Franz Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Fred Astaire	Fred Astaire
Frederick I	Fredrik I av Det tysk-romerske rike
Frederick II	Fredrik II av Det tysk-romerske rike
Frederick Sanger	Frederick Sanger
Fredericton	Fredericton
Free State	Free State
Free will	Fri vilje
Freedom (philosophy)	Frihet
Freedom of speech	Ytringsfrihet
Freemasonry	Frimureri
Freetown	Freetown
Freeware	Freeware
French Polynesia	Fransk Polynesia
French Polynesia	Kategori:Fransk Polynesia
French Revolution	Den franske revolusjon
French Revolution	Kategori:Den franske revolusjon
French franc	Fransk franc
French people	Kategori:Franskmenn
Frequency	Frekvens
Fresco	Freskomaleri
Freshwater	Ferskvann
Fresno	Fresno
Freyja	Frøya (mytologi)
Freyr	Frøy
Friction	Friksjon
Friday	Fredag
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Friesland	Friesland (Nederland)
Frigate	Fregatt
Frigg	Frigg (gudinne)
Fritz Haber	Fritz Haber
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Frog	Springpadder
Fructose	Fruktsukker
Fruit	Frukt
Fruit	Kategori:Frukt
Fucking	Fucking
Fuel	Drivstoff
Fuel cell	Brenselcelle
Fugue	Fuge (musikk)
Fukuoka	Fukuoka
Full moon	Fullmåne
Function (mathematics)	Funksjon (matematikk)
Fundamental	Wikipedia:Kategorier
Fundamental interaction	Fundamentalkraft
Fundamentalism	Fundamentalisme
Fungi	Kategori:Sopp
Fungus	Sopper
Funk	Funk
Furniture	Kategori:Møbler
Furniture	Møbel
Future	Fremtid
Futurism (art)	Futurisme
Fyodor Dostoevsky	Fjodor Dostojevskij
G	G
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabon	Gabon
Gabon	Kategori:Gabon
Gaborone	Gaborone
Gabriel	Gabriel
Gabriel Lippmann	Gabriel Lippmann
Gadolinium	Gadolinium
Gaetano Donizetti	Gaetano Donizetti
Gaia (mythology)	Gaia
Galatia	Galatia
Galaxy	Galakse
Galen	Galen
Galena	Blyglans
Galicia (Central Europe)	Galicia (Sentral-Europa)
Galicia (Spain)	Galicia (Spania)
Galilee	Galilea
Galileo (spacecraft)	Galileo-sonden
Galileo Galilei	Galileo Galilei
Gallbladder	Galleblæren
Galley	Galei
Galliformes	Hønsefugler
Galliformes	Kategori:Hønsefugler
Gallium	Gallium
Gallon	Gallon
Galway	Galway
Gamal Abdel Nasser	Gamal Abdel Nasser
Gambling	Hasard
Game	Spill
Game theory	Spillteori
Gamma	Gamma
Gamma ray	Gammastråling
Ganesha	Ganesha
Ganges	Ganges
Gansu	Gansu
Ganymede	Ganymedes (mytologi)
Ganymede (moon)	Ganymedes (måne)
Gap	Gap
Garden	Hage
Garden of Eden	Edens hage
Gardening	Hagebruk
Garfield	Pusur
Gargoyle	Vannkaster
Garlic	Hvitløk
Garonne	Garonne
Gas	Gass
Gas constant	Gasskonstant
Gasoline	Bensin
Gastrointestinal tract	Fordøyelsessystemet
Gastropoda	Snegler
Gaul	Gallia
Gautama Buddha	Siddharta Gautama
Gay	Homofili
Gaza	Gaza (by)
Gaza Strip	Gazastripen
Gear	Tannhjul
Geb	Geb
Geisha	Geisha
Gemini (constellation)	Tvillingene (stjernetegn)
Gemstone	Edelsten
Gene	Gener
Genealogy	Slektsforskning
Genealogy	Kategori:Slektsforskning
General Agreement on Tariffs and Trade	GATT
General Officer	General
General relativity	Den generelle relativitetsteorien
Genesis	Første Mosebok
Genetic code	Genetisk kode
Genetics	Genteknologi
Genetics	Kategori:Genetikk
Geneva	Genève
Genitive case	Genitiv
Genoa	Genova
Genocide	Folkemord
Genocide	Kategori:Folkemord
Genome	Genom
Genus	Slekt (biologi)
Geochemistry	Geokjemi
Geodesy	Geodesi
Geodesy	Kategori:Geodesi
Geoffrey Chaucer	Geoffrey Chaucer
Geography	Geografi
Geography	Kategori:Geografi
Geography	Portal:Geografi
Geology	Kategori:Geologi
Geology	Geologi
Geometry	Geometri
Geometry	Kategori:Geometri
Geophysics	Geofysikk
Geophysics	Kategori:Geofysikk
Geopolitics	Geopolitikk
Georg Philipp Telemann	Georg Philipp Telemann
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Bush	George Bush
George Frideric Handel	Georg Friedrich Händel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Marshall	George Catlett Marshall
George Orwell	George Orwell
George Paget Thomson	George Paget Thomson
George Sand	George Sand
George Stephenson	George Stephenson (ingeniør)
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georges Braque	Georges Braque
Georges Clemenceau	Georges Clemenceau
Georges Simenon	Georges Simenon
Georgetown	Georgetown
Georgia (U.S. state)	Georgia (USA)
Georgia (U.S. state)	Kategori:Georgia (USA)
Georgia (country)	Georgia
Georgia (country)	Kategori:Georgia
Gerald Ford	Gerald Ford
Gerard Kuiper	Gerard Kuiper
German Shepherd Dog	Schäferhund
German language	Tysk
German language	Kategori:Tysk språk
German mark	Tysk mark
Germanium	Germanium
Germany	Tyskland
Germany	Kategori:Tyskland
Geronimo	Geronimo
Gestapo	Gestapo
Geyser	Geysir (geologi)
Ghana	Ghana
Ghana	Kategori:Ghana
Ghent	Gent
Ghetto	Getto
Ghost	Spøkelse
Giacomo Puccini	Giacomo Puccini
Giant Panda	Panda
Gibbon	Gibboner
Gibraltar	Gibraltar
Gibraltar	Kategori:Gibraltar
Gigabyte	Gigabyte
Gilgamesh	Gilgamesj
Ginger	Ingefær
Ginkgo	Tempeltre
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giorgio de Chirico	Giorgio de Chirico
Giotto di Bondone	Giotto
Giovanni Boccaccio	Giovanni Boccaccio
Giraffe	Sjiraff
Giraffidae	Sjiraffer
Girolamo Savonarola	Girolamo Savonarola
Gironde	Gironde
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Giza	Giza
Glacier	Isbre
Gladiator	Gladiator
Gland	Kjertel
Glasgow	Glasgow
Glasnost	Glasnost
Glass	Glass (materiale)
Glasses	Briller
Global Positioning System	Global Positioning System
Global warming	Global oppvarming
Globalization	Globalisering
Gloucestershire	Gloucestershire
Glucagon	Glukagon
Glucose	Glukose
Gluon	Gluon
Glycerol	Glyserol
Glycine	Glycin
Glycogen	Glykogen
Glycolysis	Glykolyse
Gnathostomata	Kjevemunner
Gneiss	Gneis
Gnosticism	Gnostisisme
Go (board game)	Go
Goa	Goa
Goalkeeper	Målvakt
Goat	Geit
Gobi Desert	Gobiørkenen
God	Gud
Golan Heights	Golanhøyden
Gold	Gull
Golda Meir	Golda Meir
Golden Eagle	Kongeørn
Golden Gate Bridge	Golden Gate Bridge
Golden Horde	Den gylne horde
Golden Retriever	Golden retriever
Golf	Golf
Golf	Kategori:Golf
Golgi apparatus	Golgiapparat
Good Friday	Langfredag
Google	Google
Google	Kategori:Google
Googol	Googol
Gorgon	Gorgonene
Gorilla	Gorilla
Goshawk	Hønsehauk
Gospel	Evangeliene
Gospel of Luke	Evangeliet etter Lukas
Gothenburg	Göteborg
Gothic	Gotisk
Gothic architecture	Gotisk arkitektur
Gotthold Ephraim Lessing	Gotthold Ephraim Lessing
Gout	Urinsyregikt
Government	Styresmakt
Grace Kelly	Grace Kelly
Graffiti	Graffiti
Graham Greene	Graham Greene
Gram	Gram
Grammar	Grammatikk
Grammar	Kategori:Grammatikk
Grammatical gender	Kjønn (grammatikk)
Granada	Granada
Grand Canyon	Grand Canyon
Grand Slam (tennis)	Grand Slam (tennis)
Grandmaster (chess)	Internasjonal stormester i sjakk
Granite	Granitt
Grape	Druer
Graphic design	Kategori:Grafisk design
Graphic design	Grafisk design
Graphical user interface	Grafisk brukergrensesnitt
Graphite	Grafitt
Gravitation	Tyngdekraft
Gravitational constant	Gravitasjonskonstanten
Graviton	Graviton
Gray (unit)	Gray (enhet)
Gray Wolf	Gråulv
Graz	Graz
Great Barrier Reef	Great Barrier Reef
Great Britain	Storbritannia (øy)
Great Crested Grebe	Toppdykker
Great Depression	Den store depresjonen
Great Lakes	De store sjøer
Great Rift Valley	Riftdalen
Great Wall of China	Den kinesiske mur
Great white shark	Hvithai
Greater London	Stor-London
Greatest common divisor	Største felles faktor
Grebe	Lappedykkere
Greece	Hellas
Greece	Kategori:Hellas
Greek alphabet	Det greske alfabetet
Greek fire	Gresk ild
Greek mythology	Gresk mytologi
Greek mythology	Kategori:Gresk mytologi
Green	Grønn
Greenhouse	Drivhus
Greenhouse effect	Drivhuseffekt
Greenhouse gas	Drivhusgass
Greenland	Grønland
Greenland	Kategori:Grønland
Greenland Sea	Grønlandshavet
Greenpeace	Greenpeace
Greenwich	Greenwich
Greenwich Mean Time	Greenwich Mean Time
Gregor Mendel	Gregor Johann Mendel
Gregorian calendar	Gregoriansk kalender
Grenada	Kategori:Grenada
Grenoble	Grenoble
Greta Garbo	Greta Garbo
Grey	Grå
Greylag Goose	Grågås
Griffin	Griff
Griffon Vulture	Gåsegribb
Group	Gruppe
Group (mathematics)	Gruppe (matematikk)
Group (periodic table)	Periodesystemets grupper
Group theory	Gruppeteori
Grover Cleveland	Grover Cleveland
Grozny	Groznyj
Gruiformes	Tranefugler
Guadalajara	Guadalajara
Guadeloupe	Guadeloupe
Guam	Guam
Guangdong	Guangdong
Guangzhou	Guangzhou
Guanine	Guanin
Guano	Guano
Guatemala	Kategori:Guatemala
Guatemala City	Guatemala by
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guild	Laug
Guillaume Apollinaire	Guillaume Apollinaire
Guillotine	Giljotin
Guinea	Guinea
Guinea	Kategori:Guinea
Guinea-Bissau	Guinea-Bissau
Guinea-Bissau	Kategori:Guinea-Bissau
Guitar	Gitar
Gujarat	Gujarat
Gulag	GULag
Gulf Stream	Golfstrømmen
Gulf War	Gulfkrigen
Gulf of Aden	Adenbukta
Gulf of Aqaba	Akababukten
Gulf of Finland	Finskebukta
Gulf of Guinea	Guineabukta
Gulf of Mexico	Mexicogolfen
Gulf of Oman	Omanbukta
Gulf of Riga	Rigabukten
Gulf of Thailand	Siambukten
Gull	Måser
Gunpowder	Krutt
Gunpowder Plot	Kruttsammensvergelsen
Guppy	Guppy
Gustav Klimt	Gustav Klimt
Gustav Ludwig Hertz	Gustav Hertz
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
Gustave Flaubert	Gustave Flaubert
Guy Fawkes	Guy Fawkes
Guy de Maupassant	Guy de Maupassant
Guyana	Kategori:Guyana
Gymnastics	Gymnastikk
Gymnosperm	Nakenfrøede planter
Gynaecology	Gynekologi
Gypsum	Gips
Gyroscope	Gyroskop
H	H
H. G. Wells	Herbert George Wells
HIV	Humant immunsviktvirus
HTML	HTML
Habitat	Habitat
Hacker	Datasnok
Hades	Hades
Hadith	Hadith
Hadrian	Hadrian
Hadrian's Wall	Hadrians mur
Hadron	Hadron
Haemophilia	Hemofili
Hafnium	Hafnium
Hagia Sophia	Hagia Sophia
Haifa	Haifa
Haiku	Haiku
Hail	Hagl
Hail Mary	Hill deg, Maria
Hair	Hår
Haiti	Haiti
Haiti	Kategori:Haiti
Hajj	Hajj
Halal	Halal
Halberd	Hellebard
Half-life	Halveringstid
Halle	Halle (Saale)
Halloween	Halloween
Hallucination	Hallusinasjon
Halogen	Halogen
Hamas	Hamas
Hamburg	Hamburg
Hamburg	Kategori:Hamburg
Hamburger	Hamburger
Hamlet	Hamlet
Hammer	Hammer (redskap)
Hammer and sickle	Hammer og sigd
Hammurabi	Hammurabi
Hampshire	Hampshire
Hamster	Hamstre
Han Dynasty	Han-dynastiet
Hand grenade	Håndgranat
Handgun	Pistol
Hanging	Hengning
Hanging Gardens of Babylon	Babylons hengende hager
Hannah Arendt	Hannah Arendt
Hannibal	Hannibal
Hanoi	Hanoi
Hanover	Hannover
Hans Bethe	Hans Bethe
Hans Christian Andersen	Hans Christian Andersen
Hanseatic League	Hansaforbundet
Hanukkah	Hanukka
Hanuman	Hanuman
Happiness	Lykke
Harare	Harare
Hardness	Hardhet (mineral)
Harem	Harem
Harlem	Harlem
Harmonica	Munnspill
Harmony	Harmoni
Harold Pinter	Harold Pinter
Harp	Harpe
Harpsichord	Cembalo
Harriet Beecher Stowe	Harriet Beecher Stowe
Harriet Tubman	Harriet Tubman
Harrisburg	Harrisburg
Harry Houdini	Harry Houdini
Hartford	Hartford
Hassium	Hassium
Hatred	Hat
Haute-Normandie	Haute-Normandie
Havana	Havanna
Hawaii	Hawaii
Hawaii	Kategori:Hawaii
Head	Hode
Head of state	Statssjef
Health	Helse
Health	Kategori:Helse
Heart	Hjerte
Heat	Varme
Heat engine	Varmekraftmaskin
Heaven	Himmelen
Heavy metal	Kategori:Heavy metal
Heavy metal music	Heavy metal
Heavy water	Tungtvann
Hebe (mythology)	Hebe
Hebei	Hebei
Hebrew alphabet	Det hebraiske alfabetet
Hebrew calendar	Det jødiske året
Hebrides	Hebridene
Hecate	Hekate
Hectare	Hektar
Hector	Hektor
Hector Berlioz	Hector Berlioz
Hedgehog	Pinnsvin
Hedonism	Hedonisme
Heimdall	Heimdall
Heinrich Hertz	Heinrich Rudolf Hertz
Heinrich Himmler	Heinrich Himmler
Heinrich Schliemann	Heinrich Schliemann
Hel (being)	Hel (underverdenens herskerinne)
Helen	Helena
Helen Keller	Helen Keller
