English	Vietnamese
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry (unit)	Henry (đơn vị)
Henry Cavendish	Henry Cavendish
Henry Ford	Henry Ford
Henry James	Henry James
Henry Kissinger	Henry Kissinger
Hephaestus	Hephaistos
Hera	Hera (thần thoại)
Heraclitus	Heraclitus
Heraldry	Thể loại:Huy hiệu
Herbert Hoover	Herbert Hoover
Herbert Spencer	Herbert Spencer
Hercules (constellation)	Vũ Tiên (chòm sao)
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann Minkowski	Hermann Minkowski
Hermann von Helmholtz	Hermann von Helmholtz
Hermaphrodite	Ái nam ái nữ
Hermes	Hermes (thần thoại)
Hero	Anh hùng dân tộc
Herod the Great	Herod Đại đế
Herodotus	Herodotus
Heroin	Bạch phiến
Hertz	Hertz
Hesse	Hessen
Hesse	Thể loại:Hessen
Hestia	Hestia
Hexadecimal	Hệ thập lục phân
Hezbollah	Hezbollah
Hibernation	Ngủ đông
Hideki Yukawa	Yukawa Hideki
Hilbert space	Không gian Hilbert
Himalayas	Himalaya
Hinduism	Ấn Độ giáo
Hinduism	Thể loại:Ấn Độ giáo
Hippocrates	Hippocrates
Hippocratic Oath	Lời thề Hippocrates
Hippopotamus	Hà mã
Hirohito	Hirohito
Hiroshima	Hiroshima (thành phố)
Histology	Mô học
Histology	Thể loại:Mô học
History	Lịch sử
History	Thể loại:Lịch sử
Ho Chi Minh	Hồ Chí Minh
Ho Chi Minh City	Thành phố Hồ Chí Minh
Hobart	Hobart
Hokusai	Hokusai
Hollywood	Hollywood
Holmium	Holmi
Holocene	Thế Holocen
Holy Grail	Chén Thánh
Holy Roman Empire	Đế quốc La Mã Thần thánh
Holy Spirit	Chúa Thánh Linh
Homeostasis	Cân bằng nội môi
Homer	Homer
Hominidae	Họ Người
Homo habilis	Homo habilis
Homosexuality	Đồng tính luyến ái
Honduras	Honduras
Honey	Mật ong
Hong Kong	Hồng Kông
Hong Kong	Thể loại:Hồng Kông
Honiara	Honiara
Honolulu	Honolulu, Hawaii
Horatio Nelson	Horatio Nelson
Horn (instrument)	Kèn thợ săn
Horn of Africa	Sừng Châu Phi
Horsepower	Mã lực
Hosni Mubarak	Hosni Mubarak
Hospital	Bệnh viện
Hotel	Khách sạn
Hour	Giờ
Hourglass	Đồng hồ cát
House	Nhà
Houston	Houston, Texas
Hudson Bay	Vịnh Hudson
Hugh Capet	Hugues Capet
Huguenot	Huguenot
Human	Loài người
Humanism	Chủ nghĩa nhân đạo
Hummingbird	Chim ruồi
Humphrey Bogart	Humphrey Bogart
Hunan	Hồ Nam
Hundred Years' War	Chiến tranh Trăm năm
Hungary	Hungary
Hungary	Thể loại:Hungary
Hyderabad	Hyderabad, Andhra Pradesh
Hydra (constellation)	Trường Xà
Hydrocarbon	Hyđrocacbon
Hydrochloric acid	Axít clohiđric
Hydroelectricity	Thủy điện
Hydrogen	Hiđrô
Hydrogen bond	Liên kết hiđrô
Hydrogen peroxide	Nước ôxy già
Hydrology	Thủy văn học
Hydrology	Thể loại:Thủy văn học
Hydrosphere	Thủy quyển
Hydroxide	Hiđrôxít
Hydrus	Thủy Xà
Hyena	Linh cẩu
Hymen	Màng trinh
Hymenoptera	Thể loại:Bộ Cánh màng
Hymenoptera	Bộ Cánh màng
Hyperbola	Hyperbol
Hyperion (mythology)	Hyperion (thần thoại)
Hypertext	Siêu văn bản
Hypertext Transfer Protocol	Hypertext Transfer Protocol
Hypnosis	Thôi miên
I	I
I. M. Pei	Ieoh Ming Pei
IPod	IPod
Ian Fleming	Ian Fleming
Iberian Peninsula	Bán đảo Iberia
Ice age	Thời kỳ băng hà
Iceland	Iceland
Iceland	Thể loại:Iceland
Idaho	Idaho
Idealism	Chủ nghĩa duy tâm
Identity element	Phần tử đơn vị
Igloo	Lều tuyết
Igneous rock	Đá lửa (địa chất)
Igor Stravinsky	Igor Stravinsky
Iguazu Falls	Thác Iguazu
Iliad	Iliad
Illinois	Illinois
Immanuel Kant	Immanuel Kant
Immunology	Miễn dịch học
Immunology	Thể loại:Miễn dịch học
Impressionism	Trường phái ấn tượng
Incest	Loạn luân
Incheon	Incheon
Independence	Độc lập
India	Ấn Độ
India	Thể loại:Ấn Độ
Indian Ocean	Ấn Độ Dương
Indiana	Indiana
Indianapolis	Indianapolis, Indiana
Indira Gandhi	Indira Gandhi
Indium	Indi
Indochina	Đông Dương
Indonesia	Indonesia
Indonesia	Thể loại:Indonesia
Inductive reasoning	Lập luận quy nạp
Inductor	Cuộn cảm
Indus (constellation)	Ấn Đệ An
Indus River	Sông Ấn
Industrial Revolution	Cách mạng công nghiệp
Industry	Công nghiệp
Industry	Thể loại:Công nghiệp
Inequality	Bất đẳng thức
Inertia	Quán tính
Infantry	Bộ binh (quân đội)
Infinity	Vô tận
Inflammation	Viêm
Inflation	Lạm phát
Influenza	Bệnh cúm
Information	Thông tin
Information technology	Công nghệ thông tin
Infrared	Hồng ngoại
Infrastructure	Công trình hạ tầng xã hội
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Inner Mongolia	Nội Mông
Inorganic chemistry	Hóa vô cơ
Insect	Côn trùng
Insecticide	Thuốc trừ sâu
Insectivora	Bộ Ăn sâu bọ
Insulin	Insulin
Insurance	Bảo hiểm
Integer	Số nguyên
Integral	Tích phân
Integrated circuit	Vi mạch
Intellectual property	Sở hữu trí tuệ
Intelligence quotient	IQ
Intercontinental ballistic missile	Tên lửa liên lục địa
Interference	Giao thoa
International Atomic Energy Agency	Cơ quan Năng lượng Nguyên tử Quốc tế
International Civil Aviation Organization	Tổ chức Hàng không Dân dụng Quốc tế
International Court of Justice	Tòa án Quốc tế vì Công lý
International Date Line	Đường đổi ngày quốc tế
International Labour Organization	Tổ chức Lao động Quốc tế
International Monetary Fund	Quỹ tiền tệ quốc tế
International System of Units	SI
International law	Thể loại:Luật quốc tế
Internet	Internet
Internet	Thể loại:Internet
Internet Explorer	Microsoft Internet Explorer
Internment	Trại tập trung
Interpreter (computing)	Trình thông dịch
Intersection (set theory)	Phép giao
Invention	Sáng chế
Io (moon)	Io (vệ tinh)
Iodine	Iốt
Ion	Ion
Ionian Sea	Biển Ionia
Ionic bond	Liên kết ion
Iowa	Iowa
Iran	Iran
Iran	Thể loại:Iran
Iran-Iraq War	Chiến tranh Iran-Iraq
Iraq	Iraq
Iraq	Thể loại:Iraq
Ireland	Đảo Ireland
Iridium	Iridi
Irish people	Thể loại:Người Ireland
Iron	Sắt
Iron Age	Thời đại đồ sắt
Irrational number	Số vô tỉ
Irtysh River	Irtysh
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Islam	Hồi giáo
Islam	Thể loại:Hồi giáo
Islamabad	Islamabad
Island	Đảo
Isle of Man	Đảo Man
Isomer	Đồng phân
Isoroku Yamamoto	Yamamoto Isoroku
Isotope	Đồng vị
Israel	Israel
Israel	Thể loại:Israel
Istanbul	Istanbul
Istanbul	Thể loại:Istanbul
Italo Calvino	Italo Calvino
Italy	Ý
Italy	Thể loại:Ý
Ivan Pavlov	Ivan Petrovich Pavlov
Ivan Turgenev	Ivan Sergeyevich Turgenev
Iwo Jima	Iwo Jima
J	J
Jack London	Jack London
Jacksonville	Jacksonville, Florida
Jacques Cartier	Jacques Cartier
Jacques Offenbach	Jacques Offenbach
Jaguar	Báo đốm Mỹ
Jakarta	Jakarta
Jamaica	Jamaica
James A. Garfield	James A. Garfield
James Bond	James Bond
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Joyce	James Joyce
James K. Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jammu and Kashmir	Jammu và Kashmir
Jane Austen	Jane Austen
January	Tháng một
January 1	1 tháng 1
January 19	19 tháng 1
January 20	20 tháng 1
January 6	6 tháng 1
Japan	Nhật Bản
Japan	Thể loại:Nhật Bản
Jaundice	Hoàng đản
Java	Java
Java (disambiguation)	Java (định hướng)
Java (programming language)	Java (ngôn ngữ lập trình)
Jawaharlal Nehru	Jawaharlal Nehru
Jazz	Nhạc Jazz
Jean Racine	Jean Racine
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jeddah	Jeddah
Jefferson Davis	Jefferson Davis
Jehovah's Witnesses	Nhân Chứng Giê-hô-va
Jena	Jena
Jersey	Jersey
Jerusalem	Jerusalem
Jesus	Giê-su
Jew	Người Do Thái
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Joan of Arc	Jeanne d'Arc
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
Johannesburg	Johannesburg
John Adams	John Adams
John Bardeen	John Bardeen
John Calvin	John Calvin
John Dalton	John Dalton
John Galsworthy	John Galsworthy
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Maynard Keynes	John Maynard Keynes
John Napier	John Napier
John Quincy Adams	John Quincy Adams
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John von Neumann	John von Neumann
Jordan	Jordan
Jorge Luis Borges	Jorge Luis Borges
Joseph Goebbels	Paul Joseph Göbbels
Joseph Haydn	Joseph Haydn
Joseph Louis Gay-Lussac	Joseph Louis Gay-Lussac
Joseph Stalin	Iosif Vissarionovich Stalin
Joule	Joule
Judaism	Do Thái giáo
Judas Iscariot	Judas Iscariot
Judo	Judo
Jules Verne	Jules Verne
Julian calendar	Lịch Julius
Julius Caesar	Julius Caesar
July	Tháng bảy
July 1	1 tháng 7
July 4	4 tháng 7
June	Tháng sáu
June 14	14 tháng 6
June 21	21 tháng 6
June 23	23 tháng 6
June 24	24 tháng 6
June 29	29 tháng 6
June 3	3 tháng 6
Jupiter	Sao Mộc
Jurassic	Kỷ Jura
Justinian I	Justinian I
Jutland	Jutland
K	K
KGB	KGB
Kabul	Kabul
Kalahari Desert	Kalahari
Kamchatka Peninsula	Bán đảo Kamchatka
Kamikaze	Thần phong
Kampala	Kampala
Kandahar	Kandahar
Kangaroo	Kangaroo
Kansas	Kansas
Kappa	Kappa
Karachi	Karachi
Karaoke	Karaoke
Karate	Karate
Karl Marx	Karl Marx
Karl Popper	Karl Popper
Karma	Nghiệp
Karnataka	Karnataka
Katharine Hepburn	Katharine Hepburn
Kathmandu	Kathmandu
Katowice	Katowice
Kaunas	Kaunas
Kayak	Kayak
Kazakhstan	Kazakhstan
Kazakhstan	Thể loại:Kazakhstan
Kelvin	Kelvin
Kentucky	Kentucky
Kenya	Kenya
Kenya	Thể loại:Kenya
Kerosene	Dầu hỏa
Ketchup	Ketchup
Keyboard (computing)	Bàn phím máy tính
Khan	Hãn
Kharkiv	Kharkiv
Khartoum	Khartoum
Khmer Rouge	Khmer Đỏ
Khufu	Khufu
Kiev	Kiev
Kigali	Kigali
Kilogram	Kilôgam
Kilometre	Kilômét
Kimono	Kimono
Kinetic energy	Động năng
Kingdom (biology)	Giới (sinh học)
Kingston	Kingston, Jamaica
Kingstown	Kingstown
Kinshasa	Kinshasa
Kiribati	Kiribati
Kiss	Hôn
Knife	Dao
Knight	Hiệp sĩ
Knowledge	Tri thức
Knut Hamsun	Knut Hamsun
Koala	Koala
Kobe	Kobe
Kolkata	Kolkata
Komodo dragon	Komodo
Korea	Triều Tiên
Korea	Thể loại:Triều Tiên
Korean War	Chiến tranh Triều Tiên
Kosovo	Kosovo
Kremlin	Kremli
Krypton	Krypton
Ku Klux Klan	Ku Klux Klan
Kuala Lumpur	Kuala Lumpur
Kublai Khan	Hốt Tất Liệt
Kuiper belt	Vành đai Kuiper
Kung fu (term)	Kung fu
Kunlun Mountains	Côn Lôn (núi)
Kuomintang	Trung Hoa Quốc dân Đảng
Kurdistan	Kurdistan
Kursk	Kursk
Kurt Waldheim	Kurt Waldheim
Kuwait	Kuwait
Kuwait City	Thành phố Kuwait
Kyoto	Kyōto
Kyrgyzstan	Kyrgyzstan
Kyrgyzstan	Thể loại:Kyrgyzstan
L	L
LAMP (software bundle)	LAMP
La Paz	La Paz
Labour Party (UK)	Đảng Lao Động Anh
Lacerta	Hiết Hổ
Lagos	Lagos
Lahore	Lahore
Lake	Hồ
Lake Baikal	Hồ Baikal
Lake Chad	Hồ Tchad
Lake Erie	Hồ Erie
Lake Eyre	Hồ Eyre
Lake Huron	Hồ Huron
Lake Michigan	Hồ Michigan
Lake Ontario	Hồ Ontario
Lake Superior	Hồ Superior
Lake Victoria	Hồ Victoria
Language	Ngôn ngữ
Languedoc-Roussillon	Languedoc-Roussillon
Lanthanide	Nhóm Lantan
Lanthanum	Lantan
Laos	Lào
Laos	Thể loại:Lào
Laptev Sea	Biển Laptev
Laptop	Máy tính xách tay
Larva	Ấu trùng
Las Vegas	Las Vegas, Nevada
Laser	Laser
Latin	Latinh
Latin America	Mỹ Latinh
Latvia	Latvia
Latvia	Thể loại:Latvia
Laurasia	Laurasia
Lausanne	Lausanne
Law	Luật pháp
Law	Thể loại:Luật pháp
Law enforcement	Thể loại:Cảnh sát
Le Corbusier	Le Corbusier
Le Havre	Le Havre
Lead	Chì
Leaf	Lá
League of Nations	Hội Quốc Liên
Leaning Tower of Pisa	Tháp nghiêng Pisa
Leap year	Năm nhuận
Learning	Học
Lebanon	Liban
Lebanon	Thể loại:Liban
Leeds	Leeds
Left-handed	Thuận tay trái
Legend	Truyền thuyết
Legislature	Lập pháp
Lego	Lego
Leicester	Leicester
Leipzig	Leipzig
Lena River	Sông Lena
Length	Chiều dài
Lens (optics)	Thấu kính
Leo (constellation)	Sư Tử (chòm sao)
Leon Trotsky	Lev Davidovich Trotsky
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leonid Brezhnev	Leonid Ilyich Brezhnev
Leopard	Báo hoa mai
Leprosy	Bệnh phong cùi
Lepton	Lepton
Lepus (constellation)	Thiên Thố
Lesotho	Lesotho
Leukemia	Ung thư bạch cầu
Lhasa	Lhasa
Liberalism	Chủ nghĩa tự do
Liberalism	Thể loại:Chủ nghĩa tự do
Liberation Tigers of Tamil Eelam	Những con Hổ giải phóng Tamil
Liberia	Liberia
Libra (constellation)	Thiên Xứng (chòm sao)
Library	Thư viện
Library science	Khoa học thư viện
Libreville	Libreville
Libya	Libya
Libya	Thể loại:Libya
Lichen	Địa y
Liechtenstein	Liechtenstein
Life	Sự sống
Life	Thể loại:Sự sống
Light	Ánh sáng
Light-emitting diode	Luxeon
Light-year	Năm ánh sáng
Lighter	Bật lửa
Liliaceae	Họ Loa kèn
Lilith	Lilith
Lille	Lille
Lilongwe	Lilongwe
Lima	Lima
Limestone	Đá vôi
Limousin (region)	Limousin
Line (mathematics)	Đường thẳng
Linear algebra	Đại số tuyến tính
Linear algebra	Thể loại:Đại số tuyến tính
Linear equation	Phương trình tuyến tính
Linguistics	Ngôn ngữ học
Linguistics	Thể loại:Ngôn ngữ học
Linux	Linux
Linux	Thể loại:Linux
Lion	Sư tử
Lipid	Lipit
Liquid crystal display	Màn hình tinh thể lỏng
Lisbon	Lisboa
Literature	Văn chương
Literature	Thể loại:Văn học
Literature	Chủ đề:Văn học
Lithium	Liti
Lithography	In thạch bản
Lithosphere	Thạch quyển
Lithuania	Litva
Lithuania	Thể loại:Litva
Litre	Lít
Liverpool	Liverpool
Livy	Titus Livius
Ljubljana	Ljubljana
Local area network	LAN
Loch Ness	Loch Ness
Loch Ness Monster	Quái vật hồ Loch Ness
Locomotive	Đầu máy xe lửa
Logic	Logic
Logic	Thể loại:Lôgic
Logo	Logo
Loire	Loire
Loki	Loki (thần thoại)
Lolita	Lolita
London	Luân Đôn
London	Thể loại:London
Long Beach	Long Beach, California
Lord's Prayer	Kinh Lạy Cha
Lorraine (region)	Lorraine
Los Angeles	Los Angeles, California
Loudspeaker	Loa
Louis Aragon	Louis Aragon
Louis Pasteur	Louis Pasteur
Louisiana	Louisiana
Louvre	Bảo tàng Louvre
Love	Tình yêu
Lower Saxony	Niedersachsen
Luanda	Luanda
Luciano Pavarotti	Luciano Pavarotti
Ludwig Boltzmann	Ludwig Boltzmann
Ludwig Mies van der Rohe	Ludwig Mies van der Rohe
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Luigi Pirandello	Luigi Pirandello
Lunar eclipse	Nguyệt thực
Lung	Phổi
Lung cancer	Ung thư phổi
Lungfish	Cá phổi
Lupus (constellation)	Thiên Lang
Lusaka	Lusaka
Lutheranism	Giáo hội Luther
Lux	Lux
Luxembourg	Luxembourg
Luxembourg (city)	Luxembourg (thành phố)
Luxor	Luxor
Luzon	Luzon
Lychee	Vải (cây)
Lyon	Lyon
Lyra	Thiên Cầm (chòm sao)
Lysosome	Lysosome
M	M
M-theory	Thuyết M
MESSENGER	MESSENGER
MIME	MIME
MS-DOS	MS-DOS
Macau	Ma Cao
Macedon	Vương quốc Macedonia
Macedonia	Macedonia (định hướng)
Mach number	Số Mach
Machine code	Ngôn ngữ máy
Machine gun	Súng máy
Machu Picchu	Machu Picchu
Macroeconomics	Kinh tế học vĩ mô
Macroeconomics	Thể loại:Kinh tế học vĩ mô
Madagascar	Madagascar
Madeira	Madeira
Madison	Madison, Wisconsin
Madonna (entertainer)	Madonna (ca sĩ)
Madrid	Madrid
Mafia	Mafia
Maghreb	Maghreb
Magma	Macma
Magnesium	Magiê
Magnet	Nam châm
Magnetic field	Từ trường
Magnetic resonance imaging	Chụp cộng hưởng từ
Magnetism	Từ học
Magnetism	Thể loại:Từ học
Magnifying glass	Kính lúp
Magnoliopsida	Thể loại:Thực vật hai lá mầm
Maharashtra	Maharashtra
Mahatma Gandhi	Mahatma Gandhi
Mahayana	Đại thừa
Main	Tiêu bản:Chính
Maine	Maine
Mainframe computer	Máy tính lớn
Maitreya	Di-lặc
Maize	Ngô
Major	Thiếu tá
Major scale	Âm giai Trưởng tự nhiên
Malabo	Malabo
Malachite	Malachit
Malaria	Sốt rét
Malay Peninsula	Bán đảo Mã Lai
Malayan Tapir	Lợn vòi
Malaysia	Malaysia
Malaysia	Thể loại:Malaysia
Malcolm X	Malcolm X
Maldives	Maldives
Mali	Mali
Mallard	Vịt cổ xanh
Malta	Malta
Malvaceae	Họ Cẩm quỳ
Mammal	Lớp Thú
Mammoth	Voi ma mút
Managua	Managua
Manama	Manama
Manatee	Lợn biển
Manchester	Manchester
Manchuria	Mãn Châu
Mandala	Mạn-đà-la
Mandarin (linguistics)	Quan thoại
Manganese	Mangan
Mango	Xoài
Manhattan Project	Dự án Manhattan
Manichaeism	Minh giáo
Manila	Manila
Manipur	Manipur
Manitoba	Manitoba
Mannheim	Mannheim
Mantra	Chân ngôn
Manuscript	Bản thảo
Mao Zedong	Mao Trạch Đông
Map	Bản đồ
Maple	Chi Phong
Maputo	Maputo
Marcel Proust	Marcel Proust
March	Tháng ba
March 17	17 tháng 3
March 19	19 tháng 3
March 2	2 tháng 3
March 25	25 tháng 3
Marco Polo	Marco Polo
Marcus Junius Brutus	Marcus Junius Brutus
Margaret Mitchell	Margaret Mitchell
Margaret Thatcher	Margaret Thatcher
Maria Callas	Maria Callas
Marie Antoinette	Marie Antoinette
Marie Curie	Marie Curie
Marilyn Monroe	Marilyn Monroe
Mark Twain	Mark Twain
Market	Chợ
Marketing	Tiếp thị
Marketing	Thể loại:Tiếp thị
Markup language	Ngôn ngữ đánh dấu
Marlene Dietrich	Marlene Dietrich
Marrakech	Marrakech
Marriage	Hôn nhân
Mars	Thể loại:Sao Hỏa
Marseille	Marseille
Marshall Islands	Quần đảo Marshall
Marshall Plan	Kế hoạch Marshall
Martin Heidegger	Martin Heidegger
Martin Luther	Martin Luther
Martin Luther King	Martin Luther King
Martin Scorsese	Martin Scorsese
Martin Van Buren	Martin Van Buren
Martinique	Martinique
Marx Brothers	Anh em nhà Marx
Marxism	Chủ nghĩa Marx
Mary (mother of Jesus)	Maria (mẹ Giê-su)
Mary Magdalene	Mary Magdalene
Mary Shelley	Mary Shelley
Mary Wollstonecraft	Mary Wollstonecraft
Maryland	Maryland
Maryland	Thể loại:Maryland
Maseru	Maseru
Mashhad	Mashhad
Mass	Khối lượng
Mass number	Số khối
Massachusetts	Massachusetts
Massachusetts	Thể loại:Massachusetts
Massachusetts Institute of Technology	MIT
Masturbation	Thủ dâm
Materialism	Chủ nghĩa duy vật
Mathematical logic	Thể loại:Lôgic toán
Mathematics	Toán học
Mathematics	Thể loại:Toán học
Matrix (mathematics)	Ma trận (toán học)
Matter	Vật chất
Maundy Thursday	Thứ năm Tuần Thánh
Mauritania	Mauritanie
Mauritius	Mauritius
Mauritius	Thể loại:Mauritius
Max Born	Max Born
Max Planck	Max Planck
Max Weber	Max Weber
Maxwell's equations	Phương trình Maxwell
May	Tháng năm
May 1	1 tháng 5
May 24	24 tháng 5
Mayenne	Mayenne
Mayonnaise	Mayonnaise
Measles	Sởi
Measure (mathematics)	Độ đo
Measurement	Thể loại:Khoa đo lường
Measurement	Đo lường
Mecca	Mecca
Mechanical engineering	Kĩ thuật cơ khí
Mechanical engineering	Thể loại:Kĩ thuật cơ khí
Mechanics	Thể loại:Cơ học
Median	Số trung vị
Medicine	Y học
Medicine	Thể loại:Y học
Mediterranean	Thể loại:Địa Trung Hải
Mediterranean Sea	Địa Trung Hải
Medusa	Medusa
Megabyte	Megabyte
Mekong	Mê Kông
Melanesia	Melanesia
Memphis	Memphis (Ai Cập)
Meningitis	Viêm màng não
Menstrual cycle	Chu kỳ kinh nguyệt
Mercantilism	Chủ nghĩa trọng thương
Mercury	Thủy Tinh
Mercury (element)	Thủy ngân
Mercury (planet)	Sao Thủy
Meridian (geography)	Kinh tuyến
Meryl Streep	Meryl Streep
Meson	Meson
Mesopotamia	Lưỡng Hà
Mesozoic	Đại Trung sinh
Messenger RNA	RNA thông tin
Metabolism	Trao đổi chất
Metadata	Metadata
Metal	Kim loại
Metallic bond	Liên kết kim loại
Metalloid	Á kim
Metallurgy	Luyện kim
Metallurgy	Thể loại:Luyện kim
Metamorphic rock	Đá biến chất
Metaphysics	Siêu hình học
Metaphysics	Thể loại:Siêu hình học
Meteor shower	Mưa sao băng
Meteorite	Vẫn thạch
Meteorology	Thể loại:Khí tượng học
Meteorology	Khí tượng học
Methodism	Phong trào Giám Lý
Methylenedioxymethamphetamine	Thuốc lắc
Metonymy	Hoán dụ
Metre	Mét
Metric space	Không gian mêtric
Meuse	Meuse
Meuse River	Sông Maas
Mexico	Mexico
Mexico	Thể loại:Mexico
Mexico City	Thành phố Mexico
Miami	Miami, Florida
Michael Faraday	Michael Faraday
Michel Ney	Michel Ney
Michelangelo	Michelangelo
Michigan	Michigan
Mickey Mouse	Chuột Mickey
Microbiology	Vi sinh vật học
Microbiology	Thể loại:Vi sinh học
Microeconomics	Kinh tế học vi mô
Microeconomics	Thể loại:Kinh tế học vi mô
Microorganism	Vi sinh vật
Microprocessor	Vi xử lý
Microscope	Kính hiển vi
Microscopium	Hiển Vi Kính (chòm sao)
Microwave	Vi ba
Microwave oven	Lò vi sóng
Middle Ages	Thời kỳ Trung Cổ
Middle Ages	Thể loại:Thời Trung cổ
Middle East	Trung Đông
Middle East	Thể loại:Trung Đông
Miguel de Cervantes	Miguel de Cervantes
Mikhail Gorbachev	Mikhail Sergeyevich Gorbachyov
Milan	Milano
Mile	Dặm Anh
Miles Davis	Miles Davis
Military	Thể loại:Quân sự
Military rank	Quân hàm
Milk	Sữa
Milky Way	Ngân Hà
Millard Fillmore	Millard Fillmore
Millimetre	Milimét
Million	Triệu
Milton Friedman	Milton Friedman
Milwaukee	Milwaukee, Wisconsin
Mindanao	Mindanao
Mineral	Khoáng vật
Mineralogy	Thể loại:Khoáng vật học
Ming Dynasty	Nhà Minh
Minimalism	Phong cách tối giản
Mining	Khai mỏ
Minister (government)	Bộ trưởng
Minneapolis	Minneapolis, Minnesota
Minnesota	Minnesota
Minnesota	Thể loại:Minnesota
Minor scale	Âm giai Thứ tự nhiên
Minotaur	Minotaur
Minsk	Minsk
Minute	Phút
Miocene	Thế Miocen
Mississippi River	Sông Mississippi
Missouri	Missouri
Missouri	Thể loại:Missouri
Missouri River	Sông Missouri
Mitochondrion	Ti thể
Mobile phone	Điện thoại di động
Modem	Modem
Modulation	Điều chế tín hiệu
Mogadishu	Mogadishu
Moldova	Moldova
Mole (unit)	Mol
Molecular biology	Sinh học phân tử
Molecular biology	Thể loại:Sinh học phân tử
Molecule	Phân tử
Mollusca	Động vật thân mềm
Molybdenum	Mô lip đen
Momentum	Động lượng
Monaco	Monaco
Monaco	Thể loại:Monaco
Monday	Thứ Hai
Money	Tiền
Mongolia	Mông Cổ
Mongolia	Thể loại:Mông Cổ
Monism	Thuyết nhất nguyên
Monocotyledon	Thực vật một lá mầm
Monopoly	Độc quyền (kinh tế)
Monosodium glutamate	Glutamat natri
Monotheism	Độc thần giáo
Monrovia	Monrovia
Mons	Mons
Monsoon	Gió mùa
Mont Blanc	Mont Blanc
Montana	Montana
Montenegro	Montenegro
Montevideo	Montevideo
Montreal	Montréal
Montserrat	Montserrat
Moon	Mặt Trăng
Moravia	Moravia
Morocco	Maroc
Morocco	Thể loại:Maroc
Morphine	Morphine
Morphology	Hình thái học
Morse code	Tín hiệu Morse
Mortar (weapon)	Súng cối
Moscow	Moskva
Moscow	Thể loại:Moskva
Moselle	Moselle
Moses	Moses
Mosquito	Muỗi
Mossad	Mossad
Motet	Bản Motet
Mother Teresa	Mẹ Teresa
Motion (physics)	Chuyển động
Motorcycle	Mô tô
Mount Athos	Núi Athos
Mount Everest	Everest
Mount Fuji	Núi Phú Sĩ
Mount Kilimanjaro	Núi Kilimanjaro
Mount McKinley	Núi McKinley
Mount Rushmore	Núi Rushmore
Mount St. Helens	Núi St. Helens
Mountain	Núi
Mountain pass	Đèo
Mouse	Chuột
Mozambique	Mozambique
Muhammad	Muhammad
Muhammad Ali	Muhammad Ali
Mule	La (động vật)
Mumbai	Mumbai
Mummy	Xác ướp
Munich	München
Murmansk	Murmansk
Musca	Thương Dăng
Muscat	Muscat, Oman
Muscle	Mô cơ
Muse	Muse (thần thoại)
Museum	Bảo tàng
Music	Âm nhạc
Music	Thể loại:Âm nhạc
Musical Instrument Digital Interface	MIDI
Musket	Súng hỏa mai
Mustelidae	Họ Chồn
Mutation	Đột biến sinh học
Myanmar	Thể loại:Myanma
Myocardial infarction	Nhồi máu cơ tim
Myopia	Cận thị
Mythology	Thể loại:Thần thoại
N	N
N'Djamena	N'Djamena
NATO	NATO
NATO	Thể loại:NATO
Nadine Gordimer	Nadine Gordimer
Nadir	Thiên để
Nagasaki	Nagasaki (thành phố)
Nagoya	Nagoya
Nairobi	Nairobi
Namib Desert	Sa mạc Namib
Namibia	Namibia
Namibia	Thể loại:Namibia
Nancy	Nancy
Nanjing	Nam Kinh
Nanotechnology	Công nghệ nano
Nantes	Nantes
Napalm	Bom napan
Naples	Napoli
Napoleonic Wars	Các cuộc chiến tranh của Napoléon
Nashville	Nashville, Tennessee
Nathaniel Hawthorne	Nathaniel Hawthorne
National Security Agency	Cơ quan An ninh Quốc gia Hoa Kỳ
National anthem	Quốc ca
National park	Vườn quốc gia
Nationalism	Chủ nghĩa dân tộc
Nationalism	Thể loại:Chủ nghĩa dân tộc
Natural gas	Khí thiên nhiên
Natural number	Số tự nhiên
