English	Czech
Edinburgh	Edinburgh
Edirne	Edirne
Edmond Halley	Edmund Halley
Edmonton	Edmonton
Edmund Burke	Edmund Burke
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Edo	Edo
Eduard Buchner	Eduard Buchner
Education	Vzdělání
Education	Kategorie:Vzdělávání
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Jenner	Edward Jenner
Edward the Confessor	Eduard III. Vyznavač
Edwin Hubble	Edwin Hubble
Eel	Holobřiší
Egg (biology)	Vejce
Eggplant	Lilek vejcoplodý
Egypt	Egypt
Egypt	Kategorie:Egypt
Egyptian pound	Egyptská libra
Egyptology	Egyptologie
Eiffel Tower	Eiffelova věž
Eindhoven	Eindhoven
Einsteinium	Einsteinium
Ejaculation	Ejakulace
El Cid	Cid
El Greco	El Greco
El Paso	El Paso
El Salvador	Salvador
El Salvador	Kategorie:Salvador
Elam	Elam
Elbe	Labe
Eleanor Roosevelt	Eleanor Roosevelt
Election	Volby
Electra	Élektra
Electric charge	Elektrický náboj
Electric current	Elektrický proud
Electric field	Elektrické pole
Electric guitar	Elektrická kytara
Electric motor	Elektromotor
Electrical engineering	Kategorie:Elektrotechnika
Electrical engineering	Elektrotechnika
Electrical resistance	Elektrický odpor
Electricity	Elektřina
Electricity	Kategorie:Elektřina
Electrocardiogram	Elektrokardiogram
Electrochemistry	Elektrochemie
Electrochemistry	Kategorie:Elektrochemie
Electrolysis	Elektrolýza
Electrolyte	Elektrolyt
Electromagnetic radiation	Elektromagnetické záření
Electromagnetic spectrum	Elektromagnetické spektrum
Electromagnetism	Elektromagnetismus
Electromagnetism	Kategorie:Elektromagnetismus
Electron	Elektron
Electron microscope	Elektronový mikroskop
Electronegativity	Elektronegativita
Electronics	Elektronika
Electronics	Kategorie:Elektronika
Elegy	Elegie
Elementary particle	Elementární částice
Elephant	Slon
Elevator	Výtah
Elf	Elf
Elias Canetti	Elias Canetti
Elijah	Elijáš
Ella Fitzgerald	Ella Fitzgeraldová
Ellipse	Elipsa
Ellipsis	Výpustka
Elm	Jilm
Elvis Presley	Elvis Presley
Embryo	Embryo
Embryology	Embryologie
Emerald	Smaragd
Emilia-Romagna	Emilia-Romagna
Emiliano Zapata	Emiliano Zapata
Emily Dickinson	Emily Dickinsonová
Emir	Emír
Emma Goldman	Emma Goldmanová
Emoticon	Emotikon
Emotion	Kategorie:Emoce
Empathy	Empatie
Empedocles	Empedoklés
Emperor	Císař
Emperor Penguin	Tučňák císařský
Empire State Building	Empire State Building
Empiricism	Empirismus
Emu	Emu hnědý
Emulator	Emulátor
Emulsion	Emulze
Encyclopedia	Encyklopedie
Endemism	Endemit
Endocrine system	Soustava žláz s vnitřní sekrecí
Endocrinology	Endokrinologie
Endocrinology	Kategorie:Endokrinologie
Energy	Energie
Energy	Kategorie:Energie
Energy (society)	Energie
Engine	Motor
Engineer	Inženýr
Engineering	Inženýrství
Engineering	Kategorie:Inženýrství
England	Anglie
England	Kategorie:Anglie
English Channel	Lamanšský průliv
English Civil War	Anglická občanská válka
English language	Angličtina
English language	Kategorie:Angličtina
English people	Kategorie:Angličané
English people	Angličané
Enki	Enki
Enrico Caruso	Enrico Caruso
Enrico Fermi	Enrico Fermi
Entertainment	Kategorie:Zábava a volný čas
Enthalpy	Entalpie
Entomology	Entomologie
Entomology	Kategorie:Entomologie
Entropy	Entropie
Environment	Kategorie:Životní prostředí
Environment	Životní prostředí
Enzyme	Enzym
Eocene	Eocén
Eon (geology)	Eon
Eos	Éós
Ephesus	Efesos
Epic poetry	Epos
Epicenter	Epicentrum
Epictetus	Epiktétos
Epicurus	Epikúros
Epidemic	Epidemie
Epidemiology	Epidemiologie
Epigraphy	Epigrafika
Epilepsy	Epilepsie
Epimetheus (mythology)	Epimétheus
Epinephrine	Adrenalin
Epiphany (Christian)	Epifanie
Epirus (periphery)	Epirus
Epistemology	Gnozeologie
Epistle to the Galatians	List Galatským
Epistle to the Romans	List Římanům
Epithelium	Epitelová tkáň
Equation	Rovnice
Equator	Rovník
Equatorial Guinea	Rovníková Guinea
Equatorial Guinea	Kategorie:Rovníková Guinea
Equidae	Koňovití
Equinox	Rovnodennost
Equisetum	Přeslička
Erasure	Erasure
Erato	Erató
Eratosthenes	Eratosthenés z Kyrény
Erbium	Erbium
Erebus	Erebos
Erectile dysfunction	Erektilní dysfunkce
Erection	Erekce
Eridanus (constellation)	Souhvězdí Eridana
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Erik Satie	Erik Satie
Eris (dwarf planet)	Eris (plutoid)
Eris (mythology)	Eris
Eritrea	Kategorie:Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Ernst Werner von Siemens	Ernst Werner von Siemens
Eros (mythology)	Erós
Erosion	Eroze
Erotica	Erotika
Erwin Rommel	Erwin Rommel
Escape velocity	Úniková rychlost
Eschatology	Eschatologie
Escherichia coli	Escherichia coli
Esfahan	Isfahán
Esophagus	Jícen
Esperanto	Esperanto
Esperanto	Kategorie:Esperanto
Espionage	Špionáž
Espoo	Espoo
Espresso	Espresso
Essay	Esej
Essen	Essen
Essential oil	Silice
Essex	Essex
Ester	Estery
Estonia	Kategorie:Estonsko
Estrogen	Estrogen
Etching	Lept
Ethane	Ethan
Ethanol	Ethanol
Ether	Ethery
Ethernet	Ethernet
Ethics	Etika
Ethics	Kategorie:Etika
Ethiopia	Etiopie
Ethiopia	Kategorie:Etiopie
Ethnic group	Etnikum
Ethnography	Etnografie
Ethnology	Kategorie:Etnologie
Ethology	Etologie
Ethylene	Ethen
Etymology	Etymologie
Eucalyptus	Blahovičník
Eucharist	Eucharistie
Euclid	Eukleidés
Euclidean geometry	Euklidovská geometrie
Eugene O'Neill	Eugene O'Neill
Eukaryote	Eukaryota
Eunuch	Eunuch
Euphemism	Eufemismus
Euphrates	Eufrat
Eurasia	Eurasie
Eurasian Badger	Jezevec lesní
Euripides	Eurípidés
Euro	Euro
Europa (moon)	Europa (měsíc)
Europa (mythology)	Európa
Europe	Evropa
Europe	Kategorie:Evropa
European Central Bank	Evropská centrální banka
European Community	Evropské společenství
European Magpie	Straka obecná
European Union	Evropská unie
European Union	Kategorie:Evropská unie
Europium	Europium
Eusebius of Caesarea	Eusebios z Kaisareie
Euterpe	Euterpé
Euthanasia	Eutanazie
Eva Braun	Eva Braunová
Evanescence	Evanescence
Evaporation	Vypařování
Even-toed ungulate	Sudokopytníci
Evolution	Evoluce
Exchange rate	Měnový kurz
Exclamation mark	Vykřičník
Excommunication	Exkomunikace
Existentialism	Existencialismus
Exodus	Exodus
Expected value	Střední hodnota
Experiment	Pokus
Explosion	Výbuch
Expo (exhibition)	Světová výstava
Exponential function	Exponenciální funkce
Exponentiation	Umocňování
Expressionism	Expresionismus
Extinction	Vyhynulý
Eye	Oko
Ezra Pound	Ezra Pound
F	F
F. Scott Fitzgerald	Francis Scott Fitzgerald
Fabaceae	Bobovité
Fable	Bajka
Face	Tvář
Fact	Šablona:Doplňte zdroj
Factorial	Faktoriál
Factory	Továrna
Facula	Sluneční skvrna
Fado	Fado
Fagaceae	Kategorie:Bukovité
Fahrenheit	Stupeň Fahrenheita
Fair use	Fair use
Fairy	Víla
Fairy tale	Pohádka
Falconiformes	Dravci
Falkland Islands	Falklandy
Fallacy	Logický klam
Fallopian tube	Vejcovod
Fallow Deer	Daněk evropský
Falun Gong	Falun Gong
Family	Kategorie:Rodina
Family (biology)	Čeleď (biologie)
Family history	Genealogie
Family name	Příjmení
Fantasy	Fantasy
Far East	Dálný východ
Farad	Farad
Faroe Islands	Kategorie:Faerské ostrovy
Fascism	Fašismus
Fascism	Kategorie:Fašismus
Fashion	Kategorie:Móda
Fashion	Móda
Fast food	Fast food
Fatah	Fatah
Fatty acid	Mastná kyselina
Fault (geology)	Zlom
Fauna	Fauna
Fauvism	Fauvismus
Fax	Fax
Fear	Strach
Feather	Peří
February	Únor
February 12	12. únor
February 14	14. únor
February 2	2. únor
February 22	22. únor
February 29	29. únor
February Revolution	Únorová revoluce
Feces	Výkal
Federal Bureau of Investigation	FBI
Federated States of Micronesia	Federativní státy Mikronésie
Federated States of Micronesia	Kategorie:Federativní státy Mikronésie
Federation	Federace
Federico Fellini	Federico Fellini
Fedora (Linux distribution)	Fedora
Feedback	Zpětná vazba
Feldspar	Živec
Felidae	Kočkovití
Felix Mendelssohn	Felix Mendelssohn-Bartholdy
Feminism	Feminismus
Feminism	Kategorie:Feminismus
Fencing	Šerm
Feng shui	Feng-šuej
Fennel	Fenykl obecný
Fenrir	Fenrir
Fenugreek	Pískavice (koření)
Ferdinand II	Ferdinand II. Štýrský
Ferdinand Magellan	Fernão de Magalhães
Ferdinand de Saussure	Ferdinand de Saussure
Fermentation (biochemistry)	Kvašení
Fermentation (food)	Kvašení
Fermion	Fermion
Fermium	Fermium
Fern	Kapraďorosty
Ferrara	Ferrara
Ferry	Přívoz
Fertile Crescent	Úrodný půlměsíc
Fertilisation	Oplodnění
Fertilizer	Hnojivo
Fetus	Fétus
Feudalism	Feudalismus
Fever	Horečka
Fiat	FIAT (automobil)
Fibonacci number	Fibonacciho posloupnost
Fictional character	Fiktivní postava
Fidel Castro	Fidel Castro
Field (mathematics)	Těleso (algebra)
Field hockey	Pozemní hokej
Fighter aircraft	Stíhací letoun
Figure skating	Krasobruslení
Fiji	Fidži
Fiji	Kategorie:Fidži
File Allocation Table	File Allocation Table
File Transfer Protocol	File Transfer Protocol
File system	Souborový systém
Filippo Brunelleschi	Filippo Brunelleschi
Film	Kategorie:Film
Film	Film
Fin Whale	Plejtvák myšok
Finger	Prst
Fingerprint	Daktyloskopie
Finland	Finsko
Finland	Kategorie:Finsko
Fir	Jedle
Fire	Oheň
Firearm	Palná zbraň
Firefighter	Hasič
Firewall (networking)	Firewall
Firmware	Firmware
First Council of Constantinople	1. konstantinopolský koncil
First Council of Nicaea	1. nikajský koncil
First Crusade	První křížová výprava
First Epistle to the Corinthians	První list Korintským
First aid	První pomoc
First language	Mateřský jazyk
Fishing	Rybolov
Fishing	Kategorie:Rybářství
Fjord	Fjord
Flag	Vlajka
Flagellum	Bičík
Flamenco	Flamenco
Flamingo	Plameňáci
Flanders	Vlámsko
Flash memory	Flash paměť
Flatulence	Flatus
Flatworm	Ploštěnci
Flea	Blechy
Flint	Pazourek
Flip-flop (electronics)	Klopný obvod
Flood	Povodeň
Floppy disk	Disketa
Florence	Florencie
Florence Nightingale	Florence Nightingalová
Florida	Florida
Florida	Kategorie:Florida
Flour	Mouka
Flower	Květ
Flowering plant	Krytosemenné
Fluid	Tekutina
Fluid mechanics	Mechanika tekutin
Fluorite	Fluorit
Flute	Flétna
Fog	Mlha
Folic acid	Kyselina listová
Folk music	Folk
Folklore	Folklór
Folklore	Kategorie:Folklór
Food	Potravina
Food additive	Přídatné látky
Food and Agriculture Organization	Organizace pro výživu a zemědělství
Food chain	Potravní řetězec
Foot (unit of length)	Stopa (jednotka délky)
Football (soccer)	Fotbal
Football (soccer)	Kategorie:Fotbal
Football (soccer) clubs	Kategorie:Fotbalové kluby
Football (soccer) managers	Kategorie:Fotbaloví trenéři
Football (soccer) players	Kategorie:Fotbalisté
Football (soccer) venues	Kategorie:Fotbalové stadiony
Forbidden City	Zakázané město
Force	Síla
Forest	Les
Forestry	Lesnictví
Fork	Vidlička
Formaldehyde	Formaldehyd
Formic acid	Kyselina mravenčí
Fornax	Souhvězdí Pece
Fort Worth	Fort Worth
Fortification	Pevnost (stavba)
Fortran	Fortran
Fossil	Fosílie
Fossil fuel	Fosilní palivo
Foucault pendulum	Foucaultovo kyvadlo
Fountain	Fontána
Fourier series	Fourierova řada
Fourth Crusade	Čtvrtá křížová výprava
Fox	Liška (říše živočichů)
Fractal	Fraktál
Fraction (mathematics)	Zlomek
France	Francie
France	Kategorie:Francie
Francis Bacon	Francis Bacon
Francis Crick	Francis Crick
Francis Drake	Francis Drake
Francis II	František I.
Francis Poulenc	Francis Poulenc
Francis of Assisi	František z Assisi
Franciscan	Řád menších bratří
Francisco Franco	Francisco Franco
Francisco Goya	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Francium	Francium
Franco-Prussian War	Prusko-francouzská válka
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfurt	Frankfurt nad Mohanem
Frankfurt	Kategorie:Frankfurt nad Mohanem
Frankfurt (disambiguation)	Frankfurt
Franklin Pierce	Franklin Pierce
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Franz Liszt	Ferenc Liszt
Franz Schubert	Franz Schubert
Frederick I	Fridrich I. Barbarossa
Frederick II	Fridrich II. Štaufský
Frederick Sanger	Frederick Sanger
Fredericton	Fredericton
Free State	Svobodný stát (provincie)
Freedom (philosophy)	Svoboda
Freedom of speech	Svoboda projevu
Freemasonry	Svobodné zednářství
Freetown	Freetown
Freeware	Freeware
French Polynesia	Francouzská Polynésie
French Polynesia	Kategorie:Francouzská Polynésie
French Revolution	Velká francouzská revoluce
French Revolution	Kategorie:Velká francouzská revoluce
French franc	Francouzský frank
French people	Kategorie:Francouzi
Frequency	Frekvence
Fresco	Freska
Fresno	Fresno
Freyja	Freya
Freyr	Frey
Friction	Tření
Friday	Pátek
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Friesland	Frísko
Frigate	Fregata
Frigg	Frigg
Fritz Haber	Fritz Haber
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Frog	Žáby
Fructose	Fruktóza
Fruit	Ovoce
Fruit	Kategorie:Ovoce
Fucking	Fucking
Fuel	Palivo
Fuel cell	Palivový článek
Fukuoka	Fukuoka
Full moon	Úplněk
Funafuti	Funafuti
Function (mathematics)	Funkce (matematika)
Fundamental	Kategorie:Hlavní strana
Fundamental interaction	Základní interakce
Fundamentalism	Fundamentalismus
Fungi	Kategorie:Houby
Fungus	Houby
Funicular	Pozemní lanová dráha
Funk	Funk
Furniture	Kategorie:Nábytek
Furniture	Nábytek
Future	Budoucnost
Futurism (art)	Futurismus
Fuzzy logic	Fuzzy logika
Fyodor Dostoevsky	Fjodor Michajlovič Dostojevskij
G	G
GIMP	GIMP
GNOME	GNOME
Gabon	Gabon
Gabon	Kategorie:Gabon
Gaborone	Gaborone
Gabriel	Archanděl Gabriel
Gabriel Lippmann	Gabriel Lippmann
Gadolinium	Gadolinium
Gaetano Donizetti	Gaetano Donizetti
Gaia (mythology)	Gaia
Galatia	Galatie
Galaxy	Galaxie
Galen	Claudius Galén
Galena	Galenit
Galicia (Central Europe)	Halič
Galicia (Spain)	Galicie
Galilee	Galilea
Galileo (spacecraft)	Sonda Galileo
Galileo Galilei	Galileo Galilei
Gallbladder	Žlučník
Galley	Galéra
Galliformes	Hrabaví
Galliformes	Kategorie:Hrabaví
Gallium	Gallium
Gallon	Galon
Galway	Galway
Gamal Abdel Nasser	Gamál Násir
Gambling	Hazardní hra
Game	Hra
Game theory	Teorie her
Gamma ray	Záření gama
Ganesha	Ganéša
Ganges	Ganga
Ganja	Gəncə
Gansu	Kan-su
Ganymede	Ganymédés
Ganymede (moon)	Ganymed (měsíc)
Gap	Gap
Garden	Zahrada
Gardening	Zahradnictví
Garfield	Garfield
Gargoyle	Chrlič
Garlic	Česnek kuchyňský
Garnet	Granát (minerál)
Garonne	Garonna
Gas	Plyn
Gas constant	Molární plynová konstanta
Gas giant	Plynný obr
Gasoline	Benzín
Gastrointestinal tract	Trávicí soustava
Gastropoda	Plži
Gaul	Galie
Gautama Buddha	Gautama Buddha
Gaza	Gaza
Gaza Strip	Pásmo Gazy
Gear	Ozubené kolo
Geb	Geb
Geisha	Gejša
Gemini (constellation)	Souhvězdí Blíženců
Gemstone	Drahokam
Gene	Gen
Genealogy	Genealogie
Genealogy	Kategorie:Genealogie
General Agreement on Tariffs and Trade	GATT
General Officer	Generál
General relativity	Obecná teorie relativity
Genesis	Genesis
Genetic code	Genetický kód
Genetics	Genetika
Genetics	Kategorie:Genetika
Geneva	Ženeva
Genitive case	Genitiv
Genoa	Janov (Itálie)
Genocide	Genocida
Genocide	Kategorie:Genocidy
Genome	Genom
Genotype	Genotyp
Genus	Rod (biologie)
Geochemistry	Geochemie
Geodesy	Geodézie
Geodesy	Kategorie:Geodézie
Geoffrey Chaucer	Geoffrey Chaucer
Geography	Geografie
Geography	Kategorie:Geografie
Geography	Portál:Geografie
Geology	Kategorie:Geologie
Geology	Geologie
Geometric progression	Geometrická posloupnost
Geometry	Geometrie
Geometry	Kategorie:Geometrie
Geomorphology	Geomorfologie
Geomorphology	Kategorie:Geomorfologie
Geophysics	Geofyzika
Geophysics	Kategorie:Geofyzika
Georg Philipp Telemann	Georg Philipp Telemann
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Boole	George Boole
George Bush	George Bush
George Frideric Handel	Georg Friedrich Händel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Marshall	George Catlett Marshall
George Orwell	George Orwell
George Paget Thomson	George Paget Thomson
George Sand	George Sandová
George Stephenson	George Stephenson
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georges Braque	Georges Braque
Georges Clemenceau	Georges Clemenceau
Georgetown	Georgetown
Georgia (U.S. state)	Georgie
Georgia (U.S. state)	Kategorie:Georgie
Georgia (country)	Gruzie
Georgia (country)	Kategorie:Gruzie
Gerald Ford	Gerald Ford
Gerard Kuiper	Gerard Kuiper
German Shepherd Dog	Německý ovčák
German language	Němčina
German language	Kategorie:Němčina
German mark	Německá marka
Germanium	Germanium
Germany	Německo
Germany	Kategorie:Německo
Geronimo	Geronimo
Gestapo	Gestapo
Geyser	Gejzír
Ghana	Ghana
Ghana	Kategorie:Ghana
Ghent	Gent
Ghetto	Ghetto
Ghost	Duch
Giacomo Puccini	Giacomo Puccini
Giant Panda	Panda velká
Gibraltar	Gibraltar
Gibraltar	Kategorie:Gibraltar
Gilgamesh	Gilgameš
Ginger	Zázvor (koření)
Ginkgo	Jinan dvoulaločný
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giotto di Bondone	Giotto di Bondone
Giovanni Boccaccio	Giovanni Boccaccio
Giraffe	Žirafa
Giraffidae	Žirafovití
Girolamo Savonarola	Girolamo Savonarola
Gironde	Gironde (departement)
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Giza	Gíza
Glacier	Ledovec
Gladiator	Gladiátor
Gland	Žláza
Glasgow	Glasgow
Glasnost	Glasnosť
Glass	Sklo
Glasses	Brýle
Glider	Kluzák
Global Positioning System	Global Positioning System
Global warming	Globální oteplování
Globalization	Globalizace
Globe artichoke	Artyčok
Glucagon	Glukagon
Glucose	Glukóza
Gluon	Gluon
Glutamic acid	Kyselina glutamová
Glycerol	Glycerol
Glycine	Glycin
Glycogen	Glykogen
Glycolysis	Glykolýza
Gneiss	Rula (hornina)
Gnosticism	Gnosticismus
Go (board game)	Go
Goa	Goa (stát)
Goalkeeper	Brankář
Gobi Desert	Gobi
God	Bůh
Golan Heights	Golanské výšiny
Gold	Zlato
Golda Meir	Golda Meirová
Golden Eagle	Orel skalní
Golden Gate Bridge	Golden Gate Bridge
Golden Horde	Zlatá horda
Golden Retriever	Zlatý retrívr
Golf	Golf
Golf	Kategorie:Golf
Golgi apparatus	Golgiho aparát
Gomel	Homel
Good Friday	Velký pátek
Google	Google
Google	Kategorie:Google
Googol	Googol
Gorgon	Gorgony
Gorilla	Gorila
Goshawk	Jestřáb lesní
Gospel	Evangelium
Gospel of Luke	Evangelium podle Lukáše
Gothenburg	Göteborg
Gothic architecture	Gotická architektura
Gotthold Ephraim Lessing	Gotthold Ephraim Lessing
Gottlieb Daimler	Gottlieb Daimler
Gout	Dna
Government	Vláda
Grace Kelly	Grace Kellyová
Gradient	Gradient
Graffiti	Graffiti
Graham Greene	Graham Greene
Grammar	Mluvnice
Grammar	Kategorie:Gramatika
Grammatical gender	Jmenný rod
Granada	Granada
Grand Canyon	Grand Canyon
Grand Slam (tennis)	Grand Slam (tenis)
Grandmaster (chess)	Šachový velmistr
Granite	Žula
Grapefruit	Grapefruit
Graphic design	Grafický design
Graphical user interface	Grafické uživatelské rozhraní
Graphite	Grafit
Gravitation	Gravitace
Gravitational constant	Gravitační konstanta
Graviton	Graviton
Gray (unit)	Gray
Gray Wolf	Vlk obecný
Graz	Štýrský Hradec
Great Barrier Reef	Velký bariérový útes
Great Britain	Velká Británie (ostrov)
Great Crested Grebe	Potápka roháč
Great Depression	Velká hospodářská krize
Great Lakes	Velká jezera
Great Rift Valley	Velká příkopová propadlina
Great Wall of China	Velká čínská zeď
Great white shark	Žralok bílý
Greater Antilles	Velké Antily
Greater London	Velký Londýn
Greatest common divisor	Největší společný dělitel
Grebe	Potápky
Greece	Řecko
Greece	Kategorie:Řecko
Greek alphabet	Řecká abeceda
Greek fire	Řecký oheň
Greek mythology	Řecká mytologie
Greek mythology	Kategorie:Řecká mytologie
Green	Zelená
Greenhouse	Skleník
Greenhouse effect	Skleníkový efekt
Greenhouse gas	Skleníkový plyn
Greenland	Grónsko
Greenland	Kategorie:Grónsko
Greenland Sea	Grónské moře
Greenpeace	Greenpeace
Gregor Mendel	Gregor Mendel
Gregorian calendar	Gregoriánský kalendář
Grenada	Kategorie:Grenada
Grenoble	Grenoble
Grey	Šedá
Greylag Goose	Husa velká
Griffin	Gryf
Griffon Vulture	Sup bělohlavý
Gross domestic product	Hrubý domácí produkt
Group	Skupina
Group (mathematics)	Grupa
Group (periodic table)	Skupina (periodická tabulka)
Group theory	Teorie grup
Grover Cleveland	Grover Cleveland
Grozny	Groznyj
Gruiformes	Krátkokřídlí
Grus (constellation)	Souhvězdí Jeřába
Guadalajara	Guadalajara (Mexiko)
Guadeloupe	Guadeloupe
Guam	Guam
Guangdong	Kuang-tung
Guangzhou	Kanton (Čína)
Guanine	Guanin
Guano	Guáno
Guatemala	Kategorie:Guatemala
Guatemala City	Ciudad de Guatemala
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guild	Cech
Guillaume Apollinaire	Guillaume Apollinaire
Guillotine	Gilotina
Guinea	Guinea
Guinea	Kategorie:Guinea
Guinea pig	Morče domácí
Guinea-Bissau	Guinea-Bissau
Guinea-Bissau	Kategorie:Guinea-Bissau
Guitar	Kytara
Gujarat	Gudžarát
Gulag	Gulag
Gulf Stream	Golfský proud
Gulf War	Válka v Zálivu
Gulf of Aden	Adenský záliv
Gulf of Aqaba	Akabský záliv
Gulf of Bothnia	Botnický záliv
Gulf of Finland	Finský záliv
Gulf of Guinea	Guinejský záliv
Gulf of Mexico	Mexický záliv
Gulf of Oman	Ománský záliv
Gulf of Riga	Rižský záliv
Gunpowder	Střelný prach
Guppy	Živorodka duhová
Gustav Klimt	Gustav Klimt
Gustav Ludwig Hertz	Gustav Ludwig Hertz
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
Gustave Flaubert	Gustave Flaubert
Guy Fawkes	Guy Fawkes
Guy de Maupassant	Guy de Maupassant
Guyana	Kategorie:Guyana
Gymnastics	Gymnastika
Gymnosperm	Nahosemenné
Gynaecology	Gynekologie
Gypsum	Sádrovec
Gyroscope	Gyroskop
H	H
H. G. Wells	Herbert George Wells
HIV	HIV
HTML	HyperText Markup Language
Hacker	Hacker
Hadean	Hadaikum
Hades	Hádés
Hadrian	Publius Aelius Hadrianus
Hadrian's Wall	Hadriánův val
Hadron	Hadron
Haemophilia	Hemofilie
Hafnium	Hafnium
Hagia Sophia	Hagia Sofia
Haifa	Haifa
Haiku	Haiku
Hail	Kroupy (meteorologie)
Hail Mary	Ave Maria
Hair	Vlas
Haiti	Haiti
Haiti	Kategorie:Haiti
Hajj	Hadždž
Halberd	Halapartna
Half-life	Poločas přeměny
Halle	Halle
Halloween	Halloween
Hallucination	Halucinace
Halogen	Halogen
Hamas	Hamas
Hamburg	Hamburk
Hamburg	Kategorie:Hamburk
Hamburger	Hamburger
Hamlet	Hamlet
Hammer	Kladivo
Hammer and sickle	Srp a kladivo
Hammurabi	Chammurapi
Hamster	Křeček
Hand	Ruka
Hand grenade	Granát (zbraň)
Handgun	Pistole
Hanging	Oběšení
Hanging Gardens of Babylon	Visuté zahrady Semiramidiny
Hannah Arendt	Hannah Arendtová
Hannibal	Hannibal
Hanoi	Hanoj
Hanover	Hannover
Hans Bethe	Hans Bethe
Hans Christian Andersen	Hans Christian Andersen
Hanseatic League	Hanza
Hanukkah	Chanuka
Harare	Harare
Hardness	Tvrdost kovů
Harem	Harém
Harlem	Harlem
Harmonica	Harmonika
Harmony	Harmonie
Harold Pinter	Harold Pinter
Harp	Harfa
Harpsichord	Cembalo
Harpy	Harpyje
Hartford	Hartford
Hassium	Hassium
Haute-Normandie	Horní Normandie
Havana	Havana
Hawaii	Havaj
Hawaii	Kategorie:Havaj
Head	Hlava (člověk)
Head of state	Hlava státu
Health	Zdraví
Health	Kategorie:Zdraví
Heart	Srdce
Heat	Teplo
Heat engine	Tepelný stroj
Heaven	Nebe
Heavy metal	Kategorie:Heavy metal
Heavy metal music	Heavy metal
Heavy water	Těžká voda
Hebe (mythology)	Hébé
Hebei	Che-pej
Hebrew alphabet	Hebrejské písmo
Hebrew calendar	Židovský kalendář
Hecate	Hekaté
Hectare	Hektar
Hector	Hektór
Hector Berlioz	Hector Berlioz
Hedgehog	Ježkové
Hedonism	Hédonismus
Heimdall	Heimdall
Heinrich Hertz	Heinrich Rudolf Hertz
Heinrich Himmler	Heinrich Himmler
Heinrich Schliemann	Heinrich Schliemann
Hel (being)	Hel
Helen	Helena (mytologie)
Helen Keller	Helen Kellerová
Helicopter	Vrtulník
Helios	Hélios
Helium	Helium
Hell	Peklo
Helsinki	Helsinky
Hematite	Hematit
Hematology	Hematologie
Hematology	Kategorie:Hematologie
Hemoglobin	Hemoglobin
Hemorrhoid	Hemoroid
Henri Becquerel	Henri Becquerel
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry (unit)	Henry
Henry Cavendish	Henry Cavendish
Henry David Thoreau	Henry David Thoreau
Henry Ford	Henry Ford
Henry James	Henry James
Henry Kissinger	Henry Kissinger
Henry Miller	Henry Miller
Henry Purcell	Henry Purcell
Hepatitis	Hepatitida
Hephaestus	Héfaistos
Hera	Héra
Heracles	Héraklés
Heraclitus	Hérakleitos
Heraldry	Heraldika
Heraldry	Kategorie:Heraldika
Herbert Hoover	Herbert Hoover
Herbert Marcuse	Herbert Marcuse
Herbert Spencer	Herbert Spencer
Hercules	Héraklés
Hercules (constellation)	Souhvězdí Herkula
Heresy	Hereze
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann Minkowski	Hermann Minkowski
Hermann von Helmholtz	Hermann von Helmholtz
Hermaphrodite	Hermafrodit'
Hermeneutics	Hermeneutika
Hermes	Hermés
Hero	Hrdina
Hero of Alexandria	Heron z Alexandrie
Herod the Great	Herodes Veliký
Herodotus	Hérodotos
Heroin	Heroin
Herring Gull	Racek stříbřitý
Hertz	Hertz
Hesiod	Hésiodos
Hesperides	Hesperidky
Hesse	Hesensko
Hesse	Kategorie:Hesensko
Hestia	Hestiá
Heterosexuality	Heterosexualita
Heterotroph	Heterotrofie
Hexadecimal	Hexadecimální soustava
Hexagon	Šestiúhelník
Hezbollah	Hizballáh
Hibernation	Hibernace
Hideki Yukawa	Hideki Jukawa
Hieronymus Bosch	Hieronymus Bosch
Hilbert space	Hilbertův prostor
Himalayas	Himálaj
Hindu Kush	Hindúkuš
Hinduism	Hinduismus
