English	Turkish
Jacksonville	Jacksonville
Jacob	Yakup (İshak'ın oğlu)
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jacques Offenbach	Jacques Offenbach
Jade	Yeşim
Jaguar	Jaguar
Jainism	Jainizm
Jakarta	Cakarta
Jamaica	Jamaika
Jamaica	Kategori:Jamaika
James A. Garfield	James A. Garfield
James Bond	James Bond
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James K. Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jan Hus	Jan Hus
Jan van Eyck	Jan van Eyck
Jane Austen	Jane Austen
Jane Fonda	Jane Fonda
Janis Joplin	Janis Joplin
Janissary	Yeniçeri
January	Ocak
January 1	1 Ocak
January 19	19 Ocak
January 20	20 Ocak
January 6	6 Ocak
Janus (mythology)	Janus
Japan	Japonya
Japan	Kategori:Japonya
Jason	İason
Jaundice	Sarılık
Java	Cava Adası
Java (disambiguation)	Java
Java (programming language)	Java (programlama dili)
Jawaharlal Nehru	Jawaharlal Nehru
Jazz	Caz
Jean Auguste Dominique Ingres	Jean Auguste Dominique Ingres
Jean Cocteau	Jean Cocteau
Jean Piaget	Jean Piaget
Jean Racine	Jean Racine
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jeddah	Cidde
Jefferson Davis	Jefferson Davis
Jehovah	Yehova
Jehovah's Witnesses	Yehova'nın Şahitleri
Jellyfish	Denizanası
Jena	Jena
Jeremy Bentham	Jeremy Bentham
Jerez de la Frontera	Jerez de la Frontera
Jersey	Jersey
Jerusalem	Kudüs
Jerusalem	Kategori:Kudüs
Jesus	İsa
Jet engine	Turbofan
Jew	Musevi
Jihad	Cihad
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Joan of Arc	Jeanne d'Arc
Johann Bernoulli	Johann Bernoulli
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Diderik van der Waals	Johannes Diderik van der Waals
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
Johannesburg	Johannesburg
John Adams	John Adams
John Bardeen	John Bardeen
John Cage	John Cage
John Calvin	Jean Calvin
John Dalton	John Dalton
John Dewey	John Dewey
John Galsworthy	John Galsworthy
John Herschel	John Herschel
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke (filozof)
John Major	John Major
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Napier	John Napier
John Quincy Adams	John Quincy Adams
John Ruskin	John Ruskin
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wayne	John Wayne
John the Baptist	Yahya (peygamber)
John von Neumann	John von Neumann
Johnny Cash	Johnny Cash
Jonathan Swift	Jonathan Swift
Jordan	Ürdün
Jordan	Kategori:Ürdün
Jordan River	Şeria Nehri
Jorge Luis Borges	Jorge Luis Borges
Joseph Conrad	Joseph Conrad
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Franz Joseph Haydn
Joseph Louis Gay-Lussac	Joseph Louis Gay-Lussac
Joseph McCarthy	Joseph Raymond McCarthy
Joseph Priestley	Joseph Priestley
Joseph Pulitzer	Joseph Pulitzer
Joseph Schumpeter	Joseph Alois Schumpeter
Joseph Stalin	Josef Stalin
Josephus	Josephus
Joule	Joule (birim)
Journalism	Kategori:Gazetecilik
Journalism	Gazetecilik
Jovian	Jovian
Joystick	Joystick
Judaism	Musevilik
Judaism	Kategori:Yahudilik
Judo	Judo
Judy Garland	Judy Garland
Jujutsu	Jujutsu
Jules Verne	Jules Verne
Julian calendar	Jülyen takvimi
Julian the Apostate	Julianus
Julius Caesar	Jül Sezar
July	Temmuz
July 1	1 Temmuz
July 4	4 Temmuz
June	Haziran
June 14	14 Haziran
June 21	21 Haziran
June 23	23 Haziran
June 24	24 Haziran
June 29	29 Haziran
June 3	3 Haziran
Juneau	Juneau, Alaska
Juniper	Ardıç
Jupiter	Jüpiter (gezegen)
Jupiter	Kategori:Jüpiter (gezegen)
Jupiter (disambiguation)	Jüpiter
Jupiter (mythology)	Jüpiter (mitoloji)
Jurassic	Jura Devri
Justinian I	Jüstinianos
Jutland	Jylland
K	K (harf)
K2	K2 Dağı (Himalayalar)
KGB	Komitet Gosudarstvennoy Bezopasnosti
Kaaba	Kâbe
Kabbalah	Kabbala
Kabul	Kabil, Afganistan
Kalahari Desert	Kalahari Çölü
Kamchatka Peninsula	Kamçatka
Kamikaze	Kamikaze
Kampala	Kampala
Kandahar	Kandahar
Kangaroo	Kanguru
Kansas	Kansas
Kansas	Kategori:Kansas
Kansas City	Kansas City
Kappa	Κ
Kara Sea	Kara Denizi
Karachi	Karaçi
Karakoram	Karakurum Dağları
Karate	Karate
Karl Barth	Karl Barth
Karl Jaspers	Karl Jaspers
Karl Marx	Karl Marx
Karl Popper	Karl Popper
Karma	Karma yasası
Karnataka	Karnataka
Katharine Hepburn	Katharine Hepburn
Kathmandu	Katmandu
Katowice	Katowice
Kaunas	Kaunas
Kayak	Eskimo kayığı
Kazakhstan	Kazakistan
Kazakhstan	Kategori:Kazakistan
Kazan	Kazan (şehir)
Kelvin	Kelvin (birim)
Kentucky	Kentucky
Kentucky	Kategori:Kentucky
Kenya	Kenya
Kenya	Kategori:Kenya
Kernel (computer science)	Çekirdek (bilgisayar bilimi)
Kerosene	Gazyağı
Ketchup	Ketçap
Ketone	Keton
Keyboard (computing)	Klavye (bilgisayar)
Khabarovsk	Habarovsk
Khartoum	Hartum
Khmer Rouge	Kızıl Kmerler
Kibbutz	Kibbutz
Kidney	Böbrek
Kiev	Kiev
Kigali	Kigali
Kilobyte	Kilobayt
Kilometre	Kilometre
Kimono	Kimono
Kindergarten	Anaokulu
Kinematics	Kinematik
Kinetic energy	Kinetik enerji
King (chess)	Şah (satranç)
Kingdom (biology)	Âlem (biyoloji)
Kinshasa	Kinşasa
Kiribati	Kiribati
Kiribati	Kategori:Kiribati
Kirkuk	Kerkük
Kiwi	Kivi (kuş)
Knee	Diz
Knesset	Knesset
Knife	Bıçak
Knight (chess)	At (satranç)
Knossos	Knossos
Knot (speed)	Knot
Knowledge	Bilgi
Knut Hamsun	Knut Hamsun
Koala	Koala
Kobe	Kobe
Kola Peninsula	Kola Yarımadası
Kolkata	Kalküta
Konqueror	Konqueror (Ağ Tarayıcısı)
Konrad Adenauer	Konrad Adenauer
Korea	Kore
Korea	Kategori:Kore
Korean War	Kore Savaşı
Kosovo	Kosova
Kosovo	Kategori:Kosova
Kremlin	Kremlin
Krishna	Krişna
Krypton	Kripton
Ku Klux Klan	Ku Klux Klan
Kuala Lumpur	Kuala Lumpur
Kublai Khan	Kubilay Han
Kuiper belt	Kuiper kuşağı
Kura River	Kura Nehri
Kurdistan	Kürdistan
Kurdistan	Kategori:Kürdistan
Kurdistan Workers Party	Kürdistan İşçi Partisi
Kurt Vonnegut	Kurt Vonnegut
Kurt Waldheim	Kurt Waldheim
Kuwait	Kuveyt
Kuwait	Kategori:Kuveyt
Kuwait City	Kuveyt (şehir)
KwaZulu-Natal	KwaZulu-Natal
Kyoto	Kyoto
Kyrgyzstan	Kırgızistan
Kyrgyzstan	Kategori:Kırgızistan
L	L (harf)
La Paz	La Paz, Bolivya
La Plata	La Plata
LaTeX	LaTeX
Labour Party (UK)	İşçi Partisi (Britanya)
Labrador Retriever	Labrador Retriever
Lacerta	Lacerta (takımyıldız)
Lactic acid	Laktik asit
Lactose	Laktoz
Lady Jane Grey	Leydi Jane Grey
Lagomorpha	Tavşanımsılar
Lagos	Lagos (Nijerya)
Lahore	Lahor
Laissez-faire	Laissez faire
Lake	Göl
Lake Baikal	Baykal Gölü
Lake Balaton	Balaton Gölü
Lake Chad	Çad Gölü
Lake Constance	Konstanz Gölü
Lake Erie	Erie Gölü
Lake Eyre	Eyre Gölü
Lake Geneva	Cenevre Gölü
Lake Huron	Huron Gölü
Lake Ilmen	İlmen Gölü
Lake Ladoga	Ladoga Gölü
Lake Malawi	Malavi Gölü
Lake Michigan	Michigan Gölü
Lake Onega	Onega Gölü
Lake Ontario	Ontario Gölü
Lake Superior	Superior Gölü
Lake Tanganyika	Tanganika Gölü
Lake Victoria	Victoria Gölü
Lakshmi	Lakşmi
Lambda	Λ
Lamiaceae	Ballıbabagiller
Lammergeier	Kara kuş
Lamprey	Taşemengiller
Language	Dil (lisan)
Languedoc-Roussillon	Languedoc-Roussillon
Lanthanide	Lantanit
Lanthanum	Lantan
Laos	Laos
Laptev Sea	Laptev Denizi
Laptop	Dizüstü bilgisayar
Larch	Melez (bitki)
Larva	Larva
Larynx	Gırtlak
Las Vegas	Las Vegas, Nevada
Laser	Lazer
Latin	Latince
Latin America	Latin Amerika
Latin alphabet	Latin alfabesi
Latitude	Enlem
Latvia	Letonya
Latvia	Kategori:Letonya
Lausanne	Lozan
Lava	Lav
Law	Hukuk
Law	Kategori:Hukuk
Law enforcement	Kategori:Kriminalistik
Lawrencium	Lavrensiyum
Lawyer	Avukat
Lazio	Lazio
Le Corbusier	Le Corbusier
Le Havre	Le Havre
Lead	Kurşun
Leaf	Yaprak
League of Nations	Milletler Cemiyeti
Leaning Tower of Pisa	Pisa Kulesi
Leap year	Artık yıl
Lebanon	Lübnan
Lebanon	Kategori:Lübnan
Leda (mythology)	Leda
Lee Harvey Oswald	Lee Harvey Oswald
Left-handed	Solaklık
Legend	Söylence
Legislature	Yasama organı
Lego	Lego
Leipzig	Leipzig
Lemon	limon (ağaç)
Lena River	Lena Nehri
Length	Uzunluk birimleri
Lens (optics)	Mercek
Lent	Büyük Perhiz
Lentil	Mercimek
Leo (constellation)	Leo (takımyıldız)
Leon Trotsky	Lev Troçki
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leonid Brezhnev	Leonid Brejnev
Leopard	Pars
Lepidoptera	Kelebek
Leprosy	Cüzzam
Lepton	Lepton
Lepus (constellation)	Lepus (takımyıldız)
Lesbian	Lezbiyen
Lesotho	Lesoto
Lesser Antilles	Küçük Antiller
Leto	Leto
Letter (alphabet)	Harf
Leukemia	Lösemi
Levant	Levant
Lever	Kaldıraç
Leviathan	Leviathan
Leviticus	Levililer (Tevrat)
Lewis Carroll	Lewis Carroll
Lhasa	Lhasa
Liberalism	Liberalizm
Liberia	Liberya
Libra (constellation)	Libra (takımyıldız)
Library	Kütüphane
Libretto	Libretto
Libreville	Libreville
Libya	Libya
Libya	Kategori:Libya
Lichen	Likenler
Lie	Yalan
Liechtenstein	Lihtenştayn
Liechtenstein	Kategori:Lihtenştayn
Lieutenant	Teğmen
Life	Yaşam
Life	Kategori:Yaşam
Light	Işık
Light-emitting diode	LED
Light-year	Işık yılı
Lighter	Çakmak
Lighthouse	Deniz feneri
Lightning	Şimşek ve Yıldırım
Liguria	Ligurya
Ligurian Sea	Ligurya Denizi
Liliaceae	Liliaceae
Lilith	Lilith
Lille	Lille
Lima	Lima
Limerick	Limerick
Limestone	Kireç taşı
Limit (mathematics)	Limit
Limnology	Limnoloji
Limousin (region)	Limousin (kent)
Lincoln	Lincoln
Lincolnshire	Lincolnshire
Line (mathematics)	Doğru (matematik)
Linear algebra	Lineer cebir
Linear algebra	Kategori:Lineer cebir
Linear equation	Doğrusal denklem
Lingua franca	Lingua franca
Linguistics	Dil bilimi
Linguistics	Kategori:Dilbilim
Linus Pauling	Linus Pauling
Linux	Linux
Linux	Kategori:Linux
Linz	Linz
Lion	Aslan
Lipid	Lipit
Liqueur	Likör
Liquid	Sıvı
Liquid crystal display	Sıvı kristal ekran
Liquorice	Meyan
Lisbon	Lizbon
Lise Meitner	Lise Meitner
Lisp (programming language)	Lisp
Literacy	Okuryazarlık
Literature	Edebiyat
Literature	Kategori:Edebiyat
Literature	Portal:Edebiyat
Lithium	Lityum
Lithography	Taş baskı
Lithuania	Litvanya
Lithuania	Kategori:Litvanya
Litre	Litre
Little Owl	Kukumav
Liverpool	Liverpool, İngiltere
Livy	Titus Livius
Ljubljana	Ljubljana
Llama	Lama (hayvan)
Local area network	Yerel alan ağı
Locomotive	Lokomotif
Logarithm	Logaritma
Logic	Mantık
Logic	Kategori:Mantık
Logic gate	Mantıksal kapılar
Logistics	Lojistik
Loire River	Loire Irmağı
Loki	Loki
Lolita	Lolita (roman)
Lombardy	Lombardiya
London	Londra
London	Kategori:Londra
Long jump	Uzun atlama
Long-eared Owl	Kulaklı orman baykuşu
Lord's Prayer	Pederimiz
Lorraine (region)	Lorraine
Los Angeles	Los Angeles, Kaliforniya
Loudspeaker	Hoparlör
Louis Aragon	Louis Aragon
Louis Armstrong	Louis Armstrong
Louis Braille	Louis Braille
Louis Pasteur	Louis Pasteur
Louisiana	Louisiana
Louisiana	Kategori:Louisiana
Louisville	Louisville, Kentucky
Louvre	Louvre Müzesi
Love	Aşk
Lower Saxony	Aşağı Saksonya
Luanda	Luanda
Lublin	Lublin
Lucerne	Luzern
Luciano Pavarotti	Luciano Pavarotti
Lucretius	Lukretius
Ludwig Mies van der Rohe	Ludwig Mies van der Rohe
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Luftwaffe	Luftwaffe
Luigi Galvani	Luigi Galvani
Luigi Pirandello	Luigi Pirandello
Luminescence	Işıldama
Lunar eclipse	Ay tutulması
Lund	Lund
Lung	Akciğer
Lung cancer	Akciğer kanseri
Lungfish	Akciğerli balıklar
Lupus (constellation)	Lupus (takımyıldız)
Lusitania	Lusitania
Lute	Lavta
Lutetium	Lutesyum
Luxembourg	Lüksemburg
Luxembourg	Kategori:Lüksemburg
Luxembourg (city)	Lüksemburg (şehir)
Luxor	Luksor
Lychee	Liçi
Lydia	Lidya
Lymphatic system	Lenfatik sistem
Lynx (constellation)	Lynx (takımyıldız)
Lynx (web browser)	Lynx (Ağ Tarayıcısı)
Lyon	Lyon
Lyra	Lyra (takımyıldız)
Lysergic acid diethylamide	LSD
Lysine	Lizin
Lysosome	Lizozom
M	M (harf)
M-theory	M-Kuramı
MIME	MIME
MS-DOS	MS-DOS
Macau	Makao
Macbeth	Macbeth (oyun)
Macedonia (Greece)	Makedonya (Yunanistan)
Mach number	Mach sayısı
Machine	Makine
Machine code	Makine dili
Machine gun	Makineli tüfek
Machu Picchu	Machu Picchu
Macintosh	Apple Macintosh
Macroeconomics	Makroekonomi
Madagascar	Madagaskar
Madagascar	Kategori:Madagaskar
Madeira	Madeira Adaları
Madonna (entertainer)	Madonna
Madrid	Madrid
Madrid (autonomous community)	Madrid (otonom bölge)
Mafia	Mafya
Magazine	Dergi
Magenta	Galibarda
Maghreb	Magrip
Magic (paranormal)	Büyü
Maginot Line	Majino Hattı
Magma	Magma
Magna Carta	Magna Carta
Magnesium	Magnezyum
Magnet	Mıknatıs
Magnetic field	Manyetik alan
Magnetism	Mıknatıslık
Magnetism	Kategori:Manyetizma
Magnifying glass	Büyüteç
Magnoliopsida	Kategori:Magnoliopsida
Magpie	Saksağan
Maharashtra	Maharaştra
Mahatma Gandhi	Mohandas Karamçand Gandi
Mahayana	Mahayana
Mail	Mektup
Maimonides	İbn Meymun
Maine	Maine
Maine	Kategori:Maine
Maitreya	Maitreya
Maize	Mısır (bitki)
Major	Binbaşı
Majorca	Mayorka
Malachite	Malahit
Malaria	Sıtma
Malay Peninsula	Malay Yarımadası
Malayan Tapir	Hint tapiri
Malaysia	Malezya
Malaysia	Kategori:Malezya
Malcolm X	Malcolm X
Maldives	Maldivler
Maldives	Kategori:Maldivler
Mali	Mali
Mali	Kategori:Mali
Mallard	Yeşilbaş
Malta	Malta
Malta	Kategori:Malta
Maltese language	Maltaca
Maltose	Maltoz
Malvaceae	Ebegümecigiller
Mammal	Memeliler
Mammoth	Mamut
Management	İşletme
Managua	Managua
Manama	Manama
Manatee	Denizineği
Manchester	Manchester
Manchuria	Mançurya
Mandala	Mandala
Mandarin (linguistics)	Mandarin
Mandarin orange	Mandalina
Manganese	Mangan
Manhattan	Manhattan
Manhattan Project	Manhattan Projesi
Manila	Manila
Manitoba	Manitoba
Mannheim	Mannheim
Mantle (geology)	Manto
Mantra	Mantra
Mantua	Mantua
Manuel de Falla	Manuel de Falla
Mao Zedong	Mao Zedong
Maoism	Maoculuk
Map	Harita
Maple	Akçaağaç
Maputo	Maputo
Marathon	Maraton
Marble	Mermer
Marc Chagall	Marc Chagall
Marcel Duchamp	Marcel Duchamp
Marcel Marceau	Marcel Marceau
Marcel Proust	Marcel Proust
March	Mart
March 17	17 Mart
March 19	19 Mart
March 2	2 Mart
March 25	25 Mart
Marche	Marche
Marco Polo	Marco Polo
Marcus Aurelius	Marcus Aurelius
Marduk	Marduk
Margaret Mead	Margaret Mead
Margaret Thatcher	Margaret Thatcher
Maria Callas	Maria Callas
Marie Antoinette	Marie Antoinette
Marie Curie	Marie Curie
Mariehamn	Mariehamn
Marilyn Monroe	Marilyn Monroe
Mario Vargas Llosa	Mario Vargas Llosa
Mark Antony	Marcus Antonius
Mark Twain	Mark Twain
Marketing	Pazarlama
Marketing	Kategori:Pazarlama
Marlene Dietrich	Marlene Dietrich
Marquis de Sade	Marquis de Sade
Marriage	Evlilik
Mars	Kategori:Mars (gezegen)
Mars (disambiguation)	Mars
Mars (mythology)	Mars (mitoloji)
Marseille	Marsilya
Marshall Islands	Marşal Adaları
Marshall Islands	Kategori:Marshall Adaları
Marshall Plan	Marshall Planı
Marsupial	Keseliler
Martin Heidegger	Martin Heidegger
Martin Luther	Martin Luther
Martin Luther King	Martin Luther King
Martin Scorsese	Martin Scorsese
Martin Van Buren	Martin van Buren
Martina Navratilova	Martina Navrátilová
Martinique	Martinique
Martyr	Şehit
Marxism	Marksizm
Marxism	Kategori:Marksizm
Mary (mother of Jesus)	Meryem (İsa'nın annesi)
Mary Magdalene	Mecdelli Meryem
Mary Shelley	Mary Shelley
Mary Wollstonecraft	Mary Wollstonecraft
Maryland	Maryland
Maryland	Kategori:Maryland
Maseru	Maseru
Mashhad	Meşhed
Mass	Kütle
Massachusetts	Massachusetts
Massachusetts	Kategori:Massachusetts
Massachusetts Institute of Technology	Massachusetts Teknoloji Enstitüsü
Mata Hari	Mata Hari
Match	Kibrit
Materialism	Maddecilik
Mathematical logic	Matematiksel mantık
Mathematical logic	Kategori:Matematiksel mantık
Mathematical proof	Matematiksel tanıt
Mathematics	Matematik
Mathematics	Kategori:Matematik
Matrix (mathematics)	Dizey
Matter	Madde
Maurice Ravel	Maurice Ravel
Mauritania	Moritanya
Mauritius	Mauritius
Mauritius	Kategori:Mauritius
Max Born	Max Born
Max Bruch	Max Bruch
Max Ernst	Max Ernst
Max Planck	Max Planck
Max Weber	Max Weber
Maximian	Maximian
Maxwell's equations	Maxwell denklemleri
May	Mayıs
May 1	1 Mayıs
May 24	24 Mayıs
Mayor	Belediye başkanı
McCarthyism	McCarthycilik
Measurement	Kategori:Ölçüm
Measurement	Ölçüm
Meat	Et
Mecca	Mekke
Mechanical engineering	Makine mühendisliği
Mechanical engineering	Kategori:Makine mühendisliği
Mechanics	Kategori:Mekanik
Mechanics	Mekanik
Medea	Midia
Median	Medyan
Medication	İlaç
Medici	Medici
Medicine	Tıp
Medicine	Kategori:Tıp
Medina	Medine
Meditation	Meditasyon
Mediterranean	Kategori:Akdeniz
Mediterranean Sea	Akdeniz
Medusa	Medusa
Meerkat	Mirket
Megabyte	Megabayt
Meiosis	Mayoz bölünme
Meister Eckhart	Meister Eckhart
Meitnerium	Meitneriyum
Mel Gibson	Mel Gibson
Melanesia	Melanezya
Melpomene	Melpomene
Melting	Erime
Melting point	Ergime noktası
Memory	İnsan belleği
Memphis	Memphis, Tennessee
Menachem Begin	Menahem Begin
Mendelevium	Mendelevyum
Meningitis	Menenjit
Menstruation	Âdet
Mentha	Nane
Mercantilism	Merkantilizm
Mercury	Mercury
Mercury (element)	Cıva
Mercury (mythology)	Merkür, Hermes, Mercuius (mitoloji)
Mercury (planet)	Merkür (gezegen)
Mermaid	Deniz kızı
Merovingian	Merovenj Hanedanı
Meryl Streep	Meryl Streep
Mescaline	Meskalin
Meson	Mezon
Mesopotamia	Mezopotamya
Mesopotamia	Kategori:Mezopotamya
Mesosphere	Mezosfer
Mesozoic	Mezozoik
Messenger RNA	MRNA
Messiah	Mesih
Messina	Messina
Metabolism	Metabolizma
Metal	Metal (kimya)
Metallic bond	Metalik bağ
Metalloid	Yarı metal
Metallurgy	Metalürji
Metallurgy	Kategori:Metalürji
Metaphor	Mecaz
Metaphysics	Metafizik
Metaphysics	Kategori:Metafizik
Metastasis	Metastaz
Meteor shower	Meteor yağmuru
Meteorite	Meteor
Meteorology	Kategori:Meteoroloji
Meteorology	Meteoroloji
Methadone	Methadon
Methamphetamine	Metamfetamin
Methanol	Metanol
Methionine	Metiyonin
Methodism	Metodizm
Metre	Metre
Meuse River	Maas nehri
Mexico	Meksika
Mexico	Kategori:Meksika
Mexico City	Mexico
Miami	Miami, Florida
Michael (archangel)	Mikâil
Michael Faraday	Michael Faraday
Michelangelo	Michelangelo Buonarroti
Michigan	Michigan
Michigan	Kategori:Michigan
Mick Jagger	Mick Jagger
Mickey Mouse	Miki Fare
Microbiology	Mikrobiyoloji
Microbiology	Kategori:Mikrobiyoloji
Microeconomics	Mikroekonomi
Micronesia	Mikronezya
Microorganism	Mikroorganizma
Microphone	Mikrofon
Microprocessor	Mikroişlemciler
Microscope	Mikroskop
Microscopium	Microscopium (takımyıldız)
Microwave	Mikrodalga
Microwave oven	Mikrodalga fırın
Middle Ages	Orta Çağ
Middle Ages	Kategori:Orta Çağ
Middle East	Orta Doğu
Middle East	Kategori:Orta Doğu
Migraine	Migren
Miguel de Cervantes	Miguel de Cervantes
Mike Tyson	Mike Tyson
Mikhail Bakunin	Mihail Bakunin
Mikhail Gorbachev	Mihail Gorbaçov
Milan	Milano
Mile	Mil (birim)
Miles Davis	Miles Davis
Military	Kategori:Askeriye
Milk	Süt
Milky Way	Samanyolu
Millard Fillmore	Millard Fillmore
Millennium	Milenyum
Millimetre	Milimetre
Million	Milyon
Milton Friedman	Milton Friedman
Milwaukee	Milwaukee
Minaret	Minare
Mineral	Mineral
Mineral water	Maden suyu
Mineralogy	Mineraloji
Mineralogy	Kategori:Mineraloji
Ming Dynasty	Ming Hanedanı
Minimalism	Minimalizm
Mining	Madencilik
Minneapolis	Minneapolis
Minnesota	Minnesota
Minnesota	Kategori:Minnesota
Minoan civilization	Girit Uygarlığı
Minos	Minos
Minotaur	Minotor
Minsk	Minsk (başkent)
Minute	Dakika
Mirror	Ayna (optik)
Mishnah	Mişna
Mississippi	Kategori:Mississippi (eyalet)
Mississippi River	Mississippi Nehri
Missouri	Missouri
Missouri	Kategori:Missouri
Missouri River	Missouri Irmağı
Mitochondrion	Mitokondri
Mnemosyne	Mnemosyne
Mobile phone	Cep telefonu
Modem	Modem
Modernism	Modernizm
Modest Mussorgsky	Modest Mussorgsky
Modulation	Kipleme
Mogadishu	Mogadişu
Moldova	Moldova
Moldova	Kategori:Moldova
Mole (unit)	Mol (birim)
Molecular biology	Moleküler biyoloji
Molecular biology	Kategori:Moleküler biyoloji
Molecule	Molekül
Molise	Molise
Mollusca	Yumuşakçalar
Molotov cocktail	Molotof kokteyli
Molybdenum	Molibden
Momentum	Momentum
Monaco	Monako
Monaco	Kategori:Monako
Monarch	Hükümdar
Monarchy	Hükümdar
Monarchy	Kategori:Monarşi
Monday	Pazartesi
Money	Para
Mongolia	Moğolistan
Mongolia	Kategori:Moğolistan
Mongoose	Kuyruksürengiller
Monica Seles	Monica Seles
Monism	Monizm
Monocotyledon	Bir çenekliler
Monomer	Monomer
Monopoly	Tekel
Monosaccharide	Monosakkarit
Monotheism	Tektanrıcılık
Monotreme	Tek delikliler
Monroe Doctrine	Monroe doktrini
Monrovia	Monrovia
Mont Blanc	Mont Blanc
Montana	Montana
Montana	Kategori:Montana
Monte Carlo	Monte Carlo
Montenegro	Karadağ (devlet)
Montenegro	Kategori:Karadağ
Montevideo	Montevideo
Montgomery	Montgomery, Alabama
Month	Ay (zaman)
Montpelier	Montpelier, Vermont
Montreal	Montreal
Montserrat	Montserrat
Moon	Ay (uydu)
Moose	Mus
Morality	Ahlak
Moravia	Moravya
Morocco	Fas
Morocco	Kategori:Fas
Morpheme	Biçimbirim
Morphine	Morfin
Morphology	Morfoloji
Morse code	Mors Alfabesi
Mortar (weapon)	Havan topu
Mosaic	Mozaik
Moscow	Moskova
Moscow	Kategori:Moskova
Moses	Musa
Moshe Dayan	Moşe Dayan
Mosque	Cami (ibadethane)
Mosquito	Sivrisinek
Moss	Yapraklı karayosunları
Mossad	Mossad
Mosul	Musul
Mother	Anne
Mother Teresa	Rahibe Teresa
Mother's Day	Anneler Günü
Motorcycle	Motosiklet
Motto	Slogan
Mount Ararat	Ağrı Dağı
Mount Athos	Aynoroz
Mount Etna	Etna
Mount Everest	Everest Dağı
Mount Fuji	Fuji Dağı
Mount Kilimanjaro	Kilimanjaro Dağı
Mount McKinley	McKinley Dağı
Mount Olympus	Olimpos (mitoloji)
Mount Pinatubo	Pinatubo
Mount Rushmore	Rushmore Dağı
Mount St. Helens	St. Helens Dağı
Mount Vesuvius	Vezüv Yanardağı
Mountain	Dağ
Mountain bike	Dağ bisikleti
Mountain pass	Dağ geçidi
Mountain range	Sıradağ
Mouse	Fare (hayvan)
Mouse (computing)	Fare (bilgisayar)
Mozambique	Mozambik
Muezzin	Müezzin
Muhammad	Muhammed bin Abdullah
Muhammad Ali	Muhammed Ali
Mulberry	Dut
Mule	Katır
Multimedia	Çoklu ortam
Multiple sclerosis	Multipl skleroz
Multiplication	Çarpma
Mumbai	Mumbai
Munich	Münih
Municipality	Belediye
Murmansk	Murmansk
Murphy's law	Murphy Kanunları
Murray Gell-Mann	Murray Gell-Mann
Musa (genus)	Muz
Muscat	Maskat
Muscle	Kas
Muse	Müzler
Museum	Müze
Mushroom	Mantar
Music	Müzik
Music	Kategori:Müzik
Musical Instrument Digital Interface	Müzik Enstrümanları Dijital Arabirimi
Musical instrument	Çalgı
Musical scale	Gam
Musicology	Müzik bilimi
Mustelidae	Sansargiller
Mutation	Mutasyon
Mute Swan	Sessiz kuğu
Myanmar	Kategori:Myanmar
Mycology	Mikoloji
Mycology	Kategori:Mikoloji
Myocardial infarction	Kalp krizi
Myopia	Miyopi (göz kusuru)
Myriapoda	Myriapoda
Mysticism	Mistisizm
Mythology	Mitoloji
Mythology	Kategori:Mitoloji
N	N (harf)
N'Djamena	N'Djamena
NASDAQ	NASDAQ
NATO	Kuzey Atlantik Antlaşması Örgütü
NATO	Kategori:NATO
Nadine Gordimer	Nadine Gordimer
Nagasaki	Nagasaki
Nagoya	Nagoya
Nahuatl	Nahuatl dili
Nail (anatomy)	Tırnak
Nail (fastener)	Çivi (gereç)
Nairobi	Nairobi
Namib Desert	Namib Çölü
Namibia	Namibya
Namibia	Kategori:Namibya
Nancy	Nancy
Nanga Parbat	Nanga Parbat
Nanjing	Nanjing
Nanotechnology	Nanoteknoloji
Nantes	Nantes (şehir)
Napalm	Napalm bombası
Naples	Napoli
Napoleonic Wars	Napolyon Savaşları
Narcissus (mythology)	Narkissos (mitoloji)
Nassau	Nassau
Nation	Millet
National Security Agency	Ulusal Güvenlik Teşkilatı
National anthem	Ulusal marş
National park	Millî Park
Nationalism	Milliyetçilik
Nationalism	Kategori:Milliyetçilik
Natural gas	Doğal gaz
