Georgian	English
კონრად ადენაუერი	Konrad Adenauer
კატეგორია:კორეა	Korea
კორეის ომი	Korean War
კოსოვო	Kosovo
კატეგორია:კოსოვო	Kosovo
კრემლი	Kremlin
კრიშნა	Krishna
კუალა-ლუმპური	Kuala Lumpur
კოიპერის სარტყელი	Kuiper belt
კინკანი	Kumquat
მტკვარი	Kura River
ქურთისტანი	Kurdistan
ქუვეითი	Kuwait
კატეგორია:ქუვეითი	Kuwait
ელ-ქუვეითი	Kuwait City
კიოტო	Kyoto
ყირგიზეთი	Kyrgyzstan
კატეგორია:ყირგიზეთი	Kyrgyzstan
L	L
ლა-პასი	La Paz
ლედი ჯეინ გრეი	Lady Jane Grey
ლაჰორი	Lahore
ტბა	Lake
ბალატონი	Lake Balaton
ლაკშმი	Lakshmi
ლამბდა (ასო)	Lambda
ბატკანძერი	Lammergeier
ენა (მეტყველება)	Language
ლანგედოკი-რუსილონი	Languedoc-Roussillon
ლაოსი	Laos
ლარიქსი	Larch
ლას-ვეგასი	Las Vegas
ლათინური ენა	Latin
ლათინური დამწერლობა	Latin alphabet
ლატვია	Latvia
კატეგორია:ლატვია	Latvia
ლოზანა	Lausanne
კატეგორია:სამართალი	Law
ლაციო	Lazio
ლე კორბუზიე	Le Corbusier
ტყვია	Lead
ერთა ლიგა	League of Nations
ნაკიანი წელი	Leap year
ლიბანი	Lebanon
კატეგორია:ლიბანი	Lebanon
ლეიდენი	Leiden
ლაიფციგი	Leipzig
ბარამბო	Lemon balm
ლომი (თანავარსკვლავედი)	Leo (constellation)
ლევ ტროცკი	Leon Trotsky
ლეონარდ ბერნსტაინი	Leonard Bernstein
ლეონარდო და ვინჩი	Leonardo da Vinci
ლეონარდ ეილერი	Leonhard Euler
ლეონიდ ბრეჟნევი	Leonid Brezhnev
ჯიქი	Leopard
ქერცლფრთიანები	Lepidoptera
ლესბოსელი	Lesbian
ლესოთო	Lesotho
ასო (ნიშანი)	Letter (alphabet)
ლიბერალიზმი	Liberalism
კატეგორია:ლიბერალიზმი	Liberalism
თამილის ვეფხვები	Liberation Tigers of Tamil Eelam
ლიბერია	Liberia
სასწორი (თანავარსკვლავედი)	Libra (constellation)
ბიბლიოთეკა	Library
ლიბია	Libya
კატეგორია:ლიბია	Libya
ლიქენები	Lichen
ლიხტენშტაინი	Liechtenstein
კატეგორია:ლიხტენშტაინი	Liechtenstein
ლეიტენანტი	Lieutenant
სიცოცხლე	Life
კატეგორია:სიცოცხლე	Life
სინათლე	Light
მანათობელი დიოდები	Light-emitting diode
სინათლის წელიწადი	Light-year
ლიგურია	Liguria
ლიმა	Lima
ლიმუზენი	Limousin (region)
წრფივი ალგებრა	Linear algebra
ენათმეცნიერება	Linguistics
კატეგორია:ენათმეცნიერება	Linguistics
ლინუქსი	Linux
კატეგორია:ლინუქსი	Linux
ლინცი	Linz
ლომი	Lion
ლისაბონი	Lisbon
ლიტერატურა	Literature
კატეგორია:ლიტერატურა	Literature
პორტალი:ლიტერატურა	Literature
ლითიუმი	Lithium
ლიტვა	Lithuania
კატეგორია:ლიტვა	Lithuania
ლივერპული	Liverpool
ტიტუს ლივიუსი	Livy
ლიუბლიანა	Ljubljana
ლამა	Llama
ლოკალური ქსელი	Local area network
ლოგიკა	Logic
კატეგორია:ლოგიკა	Logic
ლოკე	Loki
ლომბარდია	Lombardy
ლონდონი	London
კატეგორია:ლონდონი	London
ლონგ-ბიჩი	Long Beach
ლონგ-აილენდი	Long Island
ოლოლი	Long-eared Owl
ლოთარინგია	Lorraine (region)
ლოს-ანჯელესი	Los Angeles
ლუი არაგონი	Louis Aragon
ლუი არმსტრონგი	Louis Armstrong
ლუი ბრაილი	Louis Braille
ლუი პასტერი	Louis Pasteur
ლუიზიანა	Louisiana
კატეგორია:ლუიზიანა	Louisiana
ლუიზვილი	Louisville
ლუვრის მუზეუმი (პარიზი)	Louvre
ქვემო საქსონია	Lower Saxony
ლუბლინი	Lublin
ლუჩანო პავაროტი	Luciano Pavarotti
ლუდვიგ მის ვან დერ როე	Ludwig Mies van der Rohe
ლუდვიგ ვან ბეთჰოვენი	Ludwig van Beethoven
ლუფტვაფე	Luftwaffe
ფილტვები	Lung
ლუქსემბურგი (ქვეყანა)	Luxembourg
კატეგორია:ლუქსემბურგი	Luxembourg
ლუქსემბურგი (ქალაქი)	Luxembourg (city)
ლუქსორი	Luxor
ლიონი	Lyon
ლსდ	Lysergic acid diethylamide
M	M
MESSENGER	MESSENGER
მაკაო	Macau
მაჩუ პიკჩუ	Machu Picchu
მაკინტოში (კომპიუტერი)	Macintosh
მაკროეკონომიკა	Macroeconomics
კატეგორია:მაკროეკონომიკა	Macroeconomics
მადაგასკარი	Madagascar
კატეგორია:მადაგასკარი	Madagascar
მადონა (მომღერალი)	Madonna (entertainer)
მადრიდი	Madrid
მადრიდი (რეგიონი)	Madrid (autonomous community)
მაფია	Mafia
მაგნა კარტა	Magna Carta
მაგნიუმი	Magnesium
კატეგორია:ორლებნიანნი	Magnoliopsida
მაჰარაშტრა	Maharashtra
მაჰათმა განდი	Mahatma Gandhi
მეინი	Maine
სიმინდი	Maize
მალარია	Malaria
მალაიზია	Malaysia
კატეგორია:მალაიზია	Malaysia
მალდივის კუნძულები	Maldives
მალი	Mali
კატეგორია:მალი	Mali
მალტა	Malta
კატეგორია:მალტა	Malta
ბალბისებრნი	Malvaceae
ძუძუმწოვრები	Mammal
მანამა	Manama
მანჩესტერი (დიდი ბრიტანეთი)	Manchester
მანჯურია	Manchuria
მანჰეტენი	Manhattan
მანჰეტენის პროექტი	Manhattan Project
მანიქეველობა	Manichaeism
მანილა	Manila
მანიპური	Manipur
მანიტობა	Manitoba
მანიერიზმი	Mannerism
მანჰაიმი	Mannheim
მანტრა	Mantra
მაო ძედუნი	Mao Zedong
გეოგრაფიული რუკა	Map
მარათონი	Marathon
მარმარილო	Marble
მარკ შაგალი	Marc Chagall
მარსელ დიუშანი	Marcel Duchamp
მარსელ მარსო	Marcel Marceau
მარსელ პრუსტი	Marcel Proust
მარტი	March
17 მარტი	March 17
19 მარტი	March 19
2 მარტი	March 2
25 მარტი	March 25
მარკე	Marche
მარკო პოლო	Marco Polo
მარკუს ავრელიუსი	Marcus Aurelius
მარკუს ბრუტუსი	Marcus Junius Brutus
მარგარეტ მიტჩელი	Margaret Mitchell
მარგარეტ ტეტჩერი	Margaret Thatcher
მარია კალასი	Maria Callas
მერილინ მონრო	Marilyn Monroe
მარკუს ანტონიუსი	Mark Antony
მარკ ტვენი	Mark Twain
მარკეტინგი	Marketing
მარლენ დიტრიხი	Marlene Dietrich
მარკიზ დე სადი	Marquis de Sade
ქორწინება	Marriage
მარსი	Mars (disambiguation)
მარსი (ღმერთი)	Mars (mythology)
მარსელი	Marseille
მარშალის გეგმა	Marshall Plan
მარტინ ჰაიდეგერი	Martin Heidegger
მარტინ ლუთერი	Martin Luther
მარტინ ლუთერ კინგი	Martin Luther King
მარტინ ვან ბურენი	Martin Van Buren
მარქსიზმი	Marxism
კატეგორია:მარქსიზმი	Marxism
მარიამ ღვთისმშობელი	Mary (mother of Jesus)
მერილენდი	Maryland
მასა	Mass
მესა	Mass (liturgy)
მასაჩუსეტსი	Massachusetts
მასაჩუსეტსის ტექნოლოგიის ინსტიტუტი	Massachusetts Institute of Technology
მასტურბაცია	Masturbation
მატა ჰარი	Mata Hari
ასანთი	Match
მატერიალიზმი	Materialism
მათემატიკური ლოგიკა	Mathematical logic
კატეგორია:მათემატიკური ლოგიკა	Mathematical logic
მათემატიკური დამტკიცება	Mathematical proof
მათემატიკა	Mathematics
კატეგორია:მათემატიკა	Mathematics
პორტალი:მათემატიკა	Mathematics
დიდი ხუთშაბათი	Maundy Thursday
მავრიტანია	Mauritania
მავრიკი	Mauritius
მაქს ბორნი	Max Born
მაქს ერნსტი	Max Ernst
მაქს პლანკი	Max Planck
მაისი	May
1 მაისი	May 1
24 მაისი	May 24
ერთდღიურები	Mayfly
მექა	Mecca
კატეგორია:მექანიკა	Mechanics
მედეა (მითოლოგია)	Medea
მედიჩი (დინასტია)	Medici
მედიცინა	Medicine
კატეგორია:მედიცინა	Medicine
მედინა	Medina
კატეგორია:ხმელთაშუა ზღვა	Mediterranean
ხმელთაშუა ზღვა	Mediterranean Sea
მეიოზი	Meiosis
მემფისი (ტენესი)	Memphis
პიტნა	Mentha
მერკური	Mercury
მერკური (ღმერთი)	Mercury (mythology)
მერკური (პლანეტა)	Mercury (planet)
მეროვინგები	Merovingian
მერილ სტრიპი	Meryl Streep
მეზოლითი	Mesolithic
მეზონი	Meson
შუამდინარეთი	Mesopotamia
კატეგორია:ძველი შუამდინარეთი	Mesopotamia
მესინა	Messina
კატეგორია:მეტალურგია	Metallurgy
მეტაფორა	Metaphor
კატეგორია:მეტაფიზიკა	Metaphysics
კატეგორია:მეტეოროლოგია	Meteorology
მეთოდისტები	Methodism
მეტრი	Metre
მეტრიკული სივრცე	Metric space
მექსიკა	Mexico
კატეგორია:მექსიკა	Mexico
მეხიკო	Mexico City
მაიამი	Miami
მაიკლ ფარადეი	Michael Faraday
მიშელ ნეი	Michel Ney
მიქელანჯელო	Michelangelo
მიჩიგანი (შტატი)	Michigan
მიკი მაუსი	Mickey Mouse
კატეგორია:მიკრობიოლოგია	Microbiology
მიკროეკონომიკა	Microeconomics
მიკროპროცესორი	Microprocessor
მიკროსკოპი	Microscope
შუა საუკუნეები	Middle Ages
კატეგორია:ახლო აღმოსავლეთი	Middle East
მიგელ დე სერვანტესი	Miguel de Cervantes
მაიკ ტაისონი	Mike Tyson
მიხეილ ბაკუნინი	Mikhail Bakunin
მიხეილ გორბაჩოვი	Mikhail Gorbachev
მილანი	Milan
მილი (ერთეული)	Mile
მაილს დევისი	Miles Davis
კატეგორია:სამხედრო ძალები	Military
რძე	Milk
მილარდ ფილმორი	Millard Fillmore
მილუოკი	Milwaukee
მინარეთი	Minaret
მინერალური წყლები	Mineral water
მინიმალიზმი	Minimalism
მინეაპოლისი	Minneapolis
მინესოტა	Minnesota
მინოტავრი	Minotaur
მინსკი	Minsk
წუთი	Minute
მირაკლი	Miracle
მისისიპი (მდინარე)	Mississippi River
მისური (შტატი)	Missouri
მოდერნიზმი	Modernism
მოგადიშო	Mogadishu
მოლდოვა	Moldova
კატეგორია:მოლდოვა	Moldova
კატეგორია:მოლეკულური ბიოლოგია	Molecular biology
მოლეკულა	Molecule
მოლიზე	Molise
იმპულსი	Momentum
მონაკო	Monaco
კატეგორია:მონაკო	Monaco
მეფე	Monarch
მონარქია	Monarchy
კატეგორია:მონარქია	Monarchy
ორშაბათი	Monday
ფული	Money
მონღოლეთი	Mongolia
კატეგორია:მონღოლეთი	Mongolia
მანგუსტი	Mongoose
მონიზმი	Monism
მონოთეიზმი	Monotheism
მონბლანი	Mont Blanc
მონტანა	Montana
მონტენეგრო	Montenegro
კატეგორია:მონტენეგრო	Montenegro
მონტევიდეო	Montevideo
თვე	Month
მონრეალი	Montreal
მთვარე	Moon
ლოსი	Moose
მორავია	Moravia
მაროკო	Morocco
კატეგორია:მაროკო	Morocco
მორფოლოგია	Morphology
მორფოლოგია (ენათმეცნიერება)	Morphology (linguistics)
მოსკოვი	Moscow
კატეგორია:მოსკოვი	Moscow
მოსე	Moses
მეჩეთი	Mosque
კოღოები	Mosquito
მოსადი	Mossad
მოტეტი	Motet
დედა ტერეზა	Mother Teresa
დევიზი	Motto
აიონ-ოროსი	Mount Athos
ეტნა	Mount Etna
ჯომოლუნგმა	Mount Everest
ფუჯის მთა	Mount Fuji
კილიმანჯარო	Mount Kilimanjaro
ოლიმპო	Mount Olympus
მთა რაშმორი	Mount Rushmore
ვეზუვი	Mount Vesuvius
მთა	Mountain
უღელტეხილი	Mountain pass
ქედი	Mountain range
თაგუნა (კომპიუტერი)	Mouse (computing)
მოზამბიკი	Mozambique
მაჰმადი	Muhammad
მუჰამედ ალი	Muhammad Ali
თუთა	Mulberry
მუმბაი	Mumbai
მუმია	Mummy
მიუნხენი	Munich
მურმანსკი	Murmansk
მასკატი	Muscat
კუნთი	Muscle
მუზეუმი	Museum
მუსიკა	Music
კატეგორია:მუსიკა	Music
მუსიკოსი	Musician
მუსიკათმცოდნეობა	Musicology
კვერნისებრნი	Mustelidae
მიკოლოგია	Mycology
კატეგორია:მიკოლოგია	Mycology
მრავალფეხიანები	Myriapoda
მისტიციზმი	Mysticism
მითი	Myth
მითოლოგია	Mythology
კატეგორია:მითოლოგია	Mythology
N	N
ნასდაქი	NASDAQ
ნატო (ორგანიზაცია)	NATO
ნაგასაკი (ქალაქი)	Nagasaki
ნაირობი	Nairobi
ნამიბია	Namibia
ნანსი	Nancy
ნანტი	Nantes
ნეაპოლი	Naples
ნეშვილი	Nashville
ერი	Nation
სახელმწიფო ჰიმნი	National anthem
ნაციონალიზმი	Nationalism
კატეგორია:ნაციონალიზმი	Nationalism
ბუნებრივი აირი	Natural gas
ნატურალური რიცხვი	Natural number
ბუნება	Nature
კატეგორია:ბუნება	Nature
ნაურუ	Nauru
საზღვაო მილი	Nautical mile
კატეგორია:ნავიგაცია	Navigation
სამხედრო-საზღვაო ძალები	Navy
მესამე რაიხი	Nazi Germany
ნაციონალ-სოციალისტური გერმანული მუშათა პარტია	Nazi Party
ნებრასკა	Nebraska
ნაბუქოდონოსორ II	Nebuchadrezzar II
ნისლეულები	Nebula
ნეფერტიტი	Nefertiti
ნილ არმსტრონგი	Neil Armstrong
ნელსონ მანდელა	Nelson Mandela
ნეპალი	Nepal
ნეპტუნი (პლანეტა)	Neptune
ნერონი	Nero
ნერვა	Nerva
კატეგორია:ნერვული სისტემა	Nervous system
ბუდე (ნაგებობა)	Nest
ნიდერლანდი	Netherlands
კატეგორია:ნიდერლანდი	Netherlands
ტოპოლოგია (კომპიუტერული ქსელები)	Network topology
ნეირონი	Neuron
ნევადა	Nevada
ნიუ-ბრანსუიკი	New Brunswick
ნიუ-დელი	New Delhi
ახალი ინგლისი	New England
ნიუ-ჰემპშირი	New Hampshire
კატეგორია:ნიუ-ჰემპშირი	New Hampshire
ნიუ-ჯერსი	New Jersey
კატეგორია:ნიუ-ჯერსი	New Jersey
ნიუ-მექსიკო	New Mexico
ახალი ორლეანი	New Orleans
ახალი სამხრეთი უელსი	New South Wales
ახალი წელი	New Year
ნიუ-იორკი (შტატი)	New York
კატეგორია:ნიუ-იორკი (შტატი)	New York
ნიუ-იორკი	New York City
კატეგორია:ნიუ-იორკი	New York City
ნიუ-იორკის სააქციო ბირჟა	New York Stock Exchange
ახალი ზელანდია	New Zealand
კატეგორია:ახალი ზელანდია	New Zealand
ნიუარკი	Newark
ნიუფაუნდლენდი	Newfoundland (island)
ნიუფაუნდლენდი და ლაბრადორი	Newfoundland and Labrador
ნიუტონი	Newton
ნიკოტინმჟავა	Niacin
ნიკარაგუა	Nicaragua
ნიცა	Nice
ნიკელი	Nickel
ნიქოზია	Nicosia
ნილს ბორი	Niels Bohr
ნილს აბელი	Niels Henrik Abel
ნიგერი	Niger
ნიგერია	Nigeria
ნიჰილიზმი	Nihilism
ნიკე	Nike (mythology)
ნიკიტა ხრუშჩოვი	Nikita Khrushchev
ნიკოლა ტესლა	Nikola Tesla
ნილოსი	Nile
ნინევია	Nineveh
აზოტი	Nitrogen
ნოე	Noah
ნოამ ხომსკი	Noam Chomsky
ნობელის პრემია	Nobel Prize
კატეგორია:ნობელის პრემია	Nobel Prize
კატეგორია:არისტოკრატია	Nobility
გონიო (თანავარსკვლავედი)	Norma (constellation)
სკანდინავიური მითოლოგია	Norse mythology
კატეგორია:სკანდინავიური მითოლოგია	Norse mythology
ჩრდილოეთი აფრიკა	North Africa
ჩრდილოეთი ამერიკა	North America
კატეგორია:ჩრდილოეთი ამერიკა	North America
ჩრდილოეთი კაროლინა	North Carolina
ჩრდილოეთი კორეა	North Korea
კატეგორია:ჩრდილოეთი კორეა	North Korea
ჩრდილოეთის ზღვა	North Sea
ჩრდილოეთი ევროპა	Northern Europe
ჩრდილოეთი ირლანდია	Northern Ireland
ჩრდილოეთი ტერიტორია (ავსტრალია)	Northern Territory
ჩრდილო-დასავლეთი ტერიტორიები	Northwest Territories
ნორვეგია	Norway
კატეგორია:ნორვეგია	Norway
ნოსტრადამუსი	Nostradamus
არსებითი სახელი	Noun
ახალი შოტლანდია	Nova Scotia
რომანი (პროზა)	Novel
ნოემბერი	November
1 ნოემბერი	November 1
11 ნოემბერი	November 11
2 ნოემბერი	November 2
5 ნოემბერი	November 5
ნოვოსიბირსკი	Novosibirsk
ნიუ (ასო)	Nu (letter)
ნუკლეოტიდი	Nucleotide
რიცხვი	Number
კატეგორია:რიცხვები	Numbers
ნუმიზმატიკა	Numismatics
კატეგორია:ნუმიზმატიკა	Numismatics
ნუნავუტი	Nunavut
ნიურნბერგი	Nuremberg
კაკალი (ნაყოფი)	Nut (fruit)
O	O
ნავთობის ექსპორტიორ ქვეყანათა ორგანიზაცია	OPEC
მუხა	Oak
ოკლენდი (კალიფორნია)	Oakland
ოაზისი	Oasis
ობელისკი	Obelisk
ოკეანე	Ocean
ოკეანეთი	Oceania
კატეგორია:ოკეანია	Oceania
ოქტომბერი	October
12 ოქტომბერი	October 12
24 ოქტომბერი	October 24
ოქტომბრის რევოლუცია	October Revolution
ოდა	Ode
ოდესა	Odessa
ოდინი	Odin
ოიდიპოსი	Oedipus
ოჰაიო (შტატი)	Ohio
ზეთით ფერწერა	Oil painting
ოკლაჰომა	Oklahoma
ოკლაჰომა-სიტი	Oklahoma City
ოქტობერფესტი	Oktoberfest
ძველი საეკლესიო სლავური ენა	Old Church Slavonic
ოლიგარქია	Oligarchy
ზეითუნის ზეთი	Olive oil
ოლივერ კრომველი	Oliver Cromwell
ოლიმპიური თამაშები	Olympic Games
კატეგორია:ოლიმპიური თამაშები	Olympics
ომაჰა	Omaha
ომანი	Oman
ომეგა (ასო)	Omega
ომიკრონი (ასო)	Omicron
კატეგორია:ონკოლოგია	Oncology
ონტარიო (პროვინცია)	Ontario
ოპელი	Opel
ოპერა	Opera
Opera (ბრაუზერი)	Opera (Internet suite)
ოპერაციული სისტემა	Operating system
გველისმჭერი	Ophiuchus
ოპტიკური ბოჭკო	Optical fiber
ოპტიკური ილუზია	Optical illusion
კატეგორია:ოპტიკა	Optics
ჯადვარისებრნი	Orchidaceae
ორეგონი	Oregon
ორგანული ქიმია	Organic chemistry
კატეგორია:ორგანული ქიმია	Organic chemistry
ორგაზმი	Orgasm
ორისა	Orissa
ორნითოლოგია	Ornithology
კატეგორია:ორნითოლოგია	Ornithology
ოსაკა	Osaka
ოსამა ბინ ლადენი	Osama bin Laden
ოსკარ უაილდი	Oscar Wilde
ოსირისი	Osiris
ოსლო	Oslo
ოსმან I (თურქეთი)	Osman I
ოსტეოპოროზი	Osteoporosis
ოტონი	Otho
ოტავა	Ottawa
ოტო ჰანი	Otto Hahn
ოტო I (სრი)	Otto I
ოტო ფონ ბისმარკი	Otto von Bismarck
ოსმალეთის იმპერია	Ottoman Empire
კატეგორია:ოსმალეთის იმპერია	Ottoman Empire
ოვიდიუსი	Ovid
ჟანგბადი	Oxygen
P	P
პაბლო პიკასო	Pablo Picasso
წყნარი ოკეანე	Pacific Ocean
კატეგორია:წყნარი ოკეანე	Pacific Ocean
პაციფიზმი	Pacifism
პადუა	Padua
კატეგორია:მხატვრობა	Painting
პაკისტანი	Pakistan
კატეგორია:პაკისტანი	Pakistan
ვერსალის სასახლე	Palace of Versailles
პალაუ	Palau
პალეონტოლოგია	Paleontology
პალერმო	Palermo
კატეგორია:პალესტინა	Palestine
პალესტინის გათავისუფლების ორგანიზაცია	Palestine Liberation Organization
ბზობა	Palm Sunday
პანი	Pan (mythology)
პანამა	Panama
კატეგორია:პანამა	Panama
პანამის არხი	Panama Canal
პანგეა	Pangaea
პანთეიზმი	Pantheism
პანტერები	Panthera
პაპუა-ახალი გვინეა	Papua New Guinea
პარადოქსი	Paradox
პარაგვაი	Paraguay
კატეგორია:პარაგვაი	Paraguay
პარალელოგრამი	Parallelogram
პარაფილია	Paraphilia
პარიზი	Paris
კატეგორია:პარიზი	Paris
თუთიყუშისნაირნი	Parrot
პართენონი	Parthenon
ელემენტარული ნაწილაკების ფიზიკა	Particle physics
პარვატი	Parvati
ბეღურასნაირნი	Passerine
პატენტი	Patent
პატრიოტიზმი	Patriotism
პოლ გოგენი	Paul Gauguin
პაულ ფონ ჰაიზე	Paul Johann Ludwig von Heyse
პაულ კლეე	Paul Klee
პოლ მაკარტნი	Paul McCartney
პოლ ვერლენი	Paul Verlaine
პაულ ფონ ჰინდენბურგი	Paul von Hindenburg
ლუარის რეგიონი	Pays de la Loire
მშვიდობა	Peace
ვესტფალიის ზავი	Peace of Westphalia
არაქისი	Peanut
მარგალიტი	Pearl
პედაგოგიკა	Pedagogy
კატეგორია:პედაგოგიკა	Pedagogy
პედოფილია	Pedophilia
პინგვინისნაირნი	Penguin
პენიცილინი	Penicillin
პენსილვანია	Pennsylvania
კატეგორია:პენსილვანია	Pennsylvania
კატეგორია:პიროვნებები	People
ჩინეთი	People's Republic of China
პეპსი	Pepsi
აღქმა	Perception
დასარტყმელი საკრავები	Percussion instrument
ქიმიურ ელემენტთა პერიოდული სისტემა	Periodic table
პერნამბუკუ	Pernambuco
პერსეპოლისი	Persepolis
პერსევსი (თანავარსკვლავედი)	Perseus (constellation)
პერტი	Perth
პერუ	Peru
კატეგორია:პერუ	Peru
პეტერ პაულ რუბენსი	Peter Paul Rubens
ფრანჩესკო პეტრარკა	Petrarch
ფარაონი	Pharaoh
ფი (ასო)	Phi (letter)
ფილადელფია	Philadelphia
ფილატელია	Philately
კატეგორია:ფილატელია	Philately
ფელიპე II (ესპანეთი)	Philip II of Spain
ფილიპინები	Philippines
ფილოლოგია	Philology
კატეგორია:ფილოლოგია	Philology
ფილოსოფია	Philosophy
კატეგორია:ფილოსოფია	Philosophy
პნომპენი	Phnom Penh
ფობია	Phobia
ფობოსი (თანამგზავრი)	Phobos (moon)
ფინიქსი	Phoenix
ფენიქსი (კოსმოსური ხომალდი)	Phoenix (spacecraft)
ფოტოგრაფია	Photography
კატეგორია:ფოტოგრაფია	Photography
ფიზიკა	Physics
კატეგორია:ფიზიკა	Physics
პორტალი:ფიზიკა	Physics
ფიზიოლოგია	Physiology
კატეგორია:ფიზიოლოგია	Physiology
პი (რიცხვი)	Pi
პი (ასო)	Pi (letter)
ფორტეპიანო	Piano
პიკარდია	Picardie
კოდალასნაირნი	Piciformes
პიემონტი	Piedmont
პიტ მონდრიანი	Piet Mondrian
ფიჭვი	Pine
თევზები (თანავარსკვლავედი)	Pisces (constellation)
სიბრტყე	Plane (mathematics)
პლანეტა	Planet
მცენარეები	Plant
პლატინა	Platinum
პლატონი	Plato
იხვნისკარტა	Platypus
პლეიბოი (ჟურნალი)	Playboy
პლინიუს უფროსი	Pliny the Elder
პლინიუს უმცროსი	Pliny the Younger
პლოვდივი	Plovdiv
პლუტარქე	Plutarch
პლუტონი (პლანეტა)	Pluto
მარცვლოვანნი	Poaceae
პოეზია	Poetry
კატეგორია:პოეზია	Poetry
პუატუ-შარანტი	Poitou-Charentes
პოლონეთი	Poland
კატეგორია:პოლონეთი	Poland
თეთრი დათვი	Polar bear
პოლიცია	Police
პოლიტიკური პარტია	Political party
პოლიტოლოგია	Political science
კატეგორია:პოლიტოლოგია	Political science
პოლიტიკა	Politics
ცხენბურთი	Polo
პოლონიუმი	Polonium
პოლიგამია	Polygamy
პენტაკონტაგონი	Polygon
პოლითეიზმი	Polytheism
ბროწეული	Pomegranate
თურინჯი	Pomelo
გნეუს პომპეუს მაგნუსი	Pompey
პოპ-არტი	Pop art
რომის პაპი	Pope
ვერხვი	Poplar
მოსახლეობა	Population
პორტ-ო-პრენსი	Port-au-Prince
პორტლენდი	Portland
პორტუ	Porto
პორტრეტი	Portrait
პორტუგალია	Portugal
კატეგორია:პორტუგალია	Portugal
პოსეიდონი	Poseidon
პოსტმოდერნიზმი	Postmodernism
კარტოფილი	Potato
პოტსდამი	Potsdam
ფუნტი სტერლინგი	Pound sterling
სიმძლავრე	Power (physics)
პრეტორი	Praetor
პრაღა	Prague
კატეგორია:პრაღა	Prague
პრეზიდენტი	President
აშშ-ის პრეზიდენტი	President of the United States
პრეტორია	Pretoria
მღვდელი	Priest
კატეგორია:პრიმატები	Primates
პრემიერ-მინისტრი	Prime minister
მარტივი რიცხვი	Prime number
პრინს-ედუარდის კუნძული	Prince Edward Island
პრინსტონის უნივერსიტეტი	Princeton University
ფარდობითობის თეორია	Principle of relativity
პრიზმა	Prism (geometry)
გონკურის პრემია	Prix Goncourt
ალბათობის თეორია	Probability theory
ენოტისებრნი	Procyonidae
დაპროგრამების ენა	Programming language
პროგრესული როკი	Progressive rock
პრომეთე	Prometheus
პროპაგანდა	Propaganda
პროზა	Prose
ცილები	Protein
პროტესტანტიზმი	Protestantism
პრუსია	Prussia
კატეგორია:ფსევდო-მეცნიერებები	Pseudoscience
ფსი (ასო)	Psi (letter)
კატეგორია:ფსიქიატრია	Psychiatry
ფსიქოანალიზი	Psychoanalysis
ფსიქოლოგია	Psychology
კატეგორია:ფსიქოლოგია	Psychology
პუბერტატი	Puberty
პუერტო-რიკო	Puerto Rico
პენჯაბი (ინდოეთი)	Punjab (India)
ფხენიანი	Pyongyang
პიროსის გამარჯვება	Pyrrhic victory
პითაგორა	Pythagoras
პითონი (პროგრამირების ენა)	Python (programming language)
Q	Q
კატარი	Qatar
კატეგორია:კატარი	Qatar
კვადრატული განტოლება	Quadratic equation
ოთხკუთხედი	Quadrilateral
კვესტორი	Quaestor
კვანტური მექანიკა	Quantum mechanics
მეოთხეული სისტემა	Quaternary
კვებეკი	Quebec
კვებეკი (ქალაქი)	Quebec City
კუინზი	Queens
კვინსლენდი	Queensland
კომში	Quince
კიტო	Quito
R	R
რიბონუკლეინის მჟავა	RNA
რა (ღვთაება)	Ra
რაბინდრანათ თაგორი	Rabindranath Tagore
ენოტისმსგავსი ძაღლი	Raccoon Dog
რასიზმი	Racism
კატეგორია:რასიზმი	Racism
რადიანი	Radian
კატეგორია:რადიო	Radio
რამა	Rama
რამზეს II	Ramesses II
ოპერატიული მეხსიერება	Random access memory
ბაიასებრნი	Ranunculaceae
რაფაელი	Raphael
კატეგორია:მეტროპოლიტენი	Rapid transit
რაციონალური რიცხვი	Rational number
ნამდვილი რიცხვი	Real number
მართკუთხედი	Rectangle
კეთილშობილი ირემი	Red Deer
მცირე პანდა	Red Panda
წითელი ზღვა	Red Sea
ძოწეული წყალმცენარეები	Red algae
ერითროციტები	Red blood cell
რეფერენდუმი	Referendum
რეგი	Reggae
რეგიონი	Region
რელიგია	Religion
კატეგორია:რელიგია	Religion
რემბრანდტი	Rembrandt
რენესანსი	Renaissance
კატეგორია:რენესანსი	Renaissance
ქვეწარმავლები	Reptile
რესპუბლიკა	Republic
ტაივანი	Republic of China
ირლანდიის რესპუბლიკა	Republic of Ireland
კატეგორია:ირლანდია	Republic of Ireland
კონგოს რესპუბლიკა	Republic of the Congo
რესპუბლიკური პარტია (აშშ)	Republican Party (United States)
რეზისტორი	Resistor
რევოლუცია	Revolution
რეა	Rhea (mythology)
რიტორიკა	Rhetoric
კატეგორია:რიტორიკა	Rhetoric
მარტორქისებრნი	Rhinoceros
რო (ასო)	Rho (letter)
როდ-აილენდი	Rhode Island
რომბი	Rhombus
რითმა	Rhyme
რიტმი	Rhythm
რიტმ-ენდ-ბლუზი	Rhythm and blues
ბრინჯი	Rice
რიჩარდ ფეინმანი	Richard Feynman
რიჩარდ ნიქსონი	Richard Nixon
რიხარდ ვაგნერი	Richard Wagner
რიჩარდ რაიტი	Richard Wright (musician)
რიგა	Riga
რინგო სტარი	Ringo Starr
