Esperanto	English
Kategorio:Elektra inĝenierarto	Electrical engineering
Elektrotekniko	Electrical engineering
Elektra rezistanco	Electrical resistance
Elektro	Electricity
Kategorio:Elektro	Electricity
Elektrokemio	Electrochemistry
Elektrolizo	Electrolysis
Elektrolito	Electrolyte
Elektromagneta ondo	Electromagnetic radiation
Elektromagnetismo	Electromagnetism
Elektrono	Electron
Elektrona mikroskopo	Electron microscope
Elektroniko	Electronics
Elegio	Elegy
Elemento	Element
Elementa partiklo	Elementary particle
Elefanto	Elephant
Lifto	Elevator
Elfo	Elf
Elia Kazan	Elia Kazan
Elias Canetti	Elias Canetti
Elija	Elijah
Elizabeth Taylor	Elizabeth Taylor
Elipso (matematiko)	Ellipse
Tripunkto	Ellipsis
Ulmo	Elm
Elvis Presley	Elvis Presley
Embrio	Embryo
Embriologio	Embryology
Smeraldo	Emerald
Emilio-Romanjo	Emilia-Romagna
Emiliano Zapata	Emiliano Zapata
Emily Dickinson	Emily Dickinson
Emiro	Emir
Emma Goldman	Emma Goldman
Miensimbolo	Emoticon
Emocio	Emotion
Kategorio:Emocioj	Emotion
Empedoklo	Empedocles
Imperiestro	Emperor
Imperiestra pingveno	Emperor Penguin
Imperio	Empire
Empire State Building	Empire State Building
Empiriismo	Empiricism
Emuo	Emu
Enciklopedio	Encyclopedia
Endemismo	Endemism
Endokrina sistemo	Endocrine system
Energio	Energy
Kategorio:Energio	Energy
Energio	Energy (society)
Motoro	Engine
Inĝeniero	Engineer
Inĝenierarto	Engineering
Kategorio:Inĝenierarto	Engineering
Anglio	England
Kategorio:Anglio	England
Manika Markolo	English Channel
Angla enlanda milito	English Civil War
Angla lingvo	English language
Kategorio:Angla lingvo	English language
Kategorio:Angloj	English people
Angloj	English people
Enrico Caruso	Enrico Caruso
Enrico Fermi	Enrico Fermi
Kategorio:Distrado	Entertainment
Entalpio	Enthalpy
Entomologio	Entomology
Kategorio:Entomologio	Entomology
Entropio	Entropy
Kategorio:Mediprotektado	Environment
Enzimo	Enzyme
Eoceno	Eocene
Eono	Eon (geology)
Efeso	Ephesus
Eposo	Epic poetry
Surcentro	Epicenter
Epikteto	Epictetus
Epikuro	Epicurus
Epidemio	Epidemic
Epidemiologio	Epidemiology
Epilepsio	Epilepsy
Adrenalino	Epinephrine
Epifanio	Epiphany (Christian)
Epiro (administra regiono)	Epirus (periphery)
Sciteorio	Epistemology
Epistolo al la Galatoj	Epistle to the Galatians
Epistolo al la Romanoj	Epistle to the Romans
Epitelio	Epithelium
Epsilono	Epsilon
Ekvacio	Equation
Ekvatoro	Equator
Ekvatora Gvineo	Equatorial Guinea
Kategorio:Ekvatora Gvineo	Equatorial Guinea
Ekvedoj	Equidae
Ekvinokso	Equinox
Ekvizeto	Equisetum
Erasure	Erasure
Erato	Erato
Eratosteno	Eratosthenes
Erbio	Erbium
Erebo	Erebus
Impotenteco	Erectile dysfunction
Erektiĝo	Erection
Erikacoj	Ericaceae
Eridano (konstelacio)	Eridanus (constellation)
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Eriso	Eris (dwarf planet)
Eriso (diino)	Eris (mythology)
Kategorio:Eritreo	Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Eroso	Eros (mythology)
Erozio	Erosion
Erotismo	Erotica
Erwin Rommel	Erwin Rommel
Eskapa rapido	Escape velocity
Eskatologio	Eschatology
Esfahano	Esfahan
Ezofago	Esophagus
Esperanto	Esperanto
Kategorio:Esperanto	Esperanto
Spionado	Espionage
Espoo	Espoo
Eseo	Essay
Essen	Essen
Volatila oleo	Essential oil
Essex	Essex
Estero	Ester
Kategorio:Estonio	Estonia
Eto (litero)	Eta (letter)
Etano	Ethane
Etanolo	Ethanol
Etero (kemio)	Ether
Eterreto	Ethernet
Etiko	Ethics
Kategorio:Etiko	Ethics
Etiopio	Ethiopia
Kategorio:Etiopio	Ethiopia
Etno	Ethnic group
Etnografio	Ethnography
Kategorio:Etnologio	Ethnology
Etologio	Ethology
Eteno	Ethylene
Etimologio	Etymology
Eŭkalipto	Eucalyptus
Komunio	Eucharist
Eŭklido	Euclid
Eŭkariotoj	Eukaryote
Eŭnuko	Eunuch
Eŭfemismo	Euphemism
Eŭfrato	Euphrates
Eŭrazio	Eurasia
Melo	Eurasian Badger
Eŭripido	Euripides
Eŭro	Euro
Eŭropo (luno)	Europa (moon)
Eŭropa	Europa (mythology)
Eŭropo	Europe
Kategorio:Eŭropo	Europe
Eŭropa Centra Banko	European Central Bank
Eŭropa Ekonomia Komunumo	European Community
Eŭropa pigo	European Magpie
Eŭropa Unio	European Union
Kategorio:Eŭropa Unio	European Union
Eŭropio	Europium
Eŭsebio de Cezareo	Eusebius of Caesarea
Eŭterpo	Euterpe
Eŭtanazio	Euthanasia
Eva Braun	Eva Braun
Evangelista Torricelli	Evangelista Torricelli
Vaporado	Evaporation
Parhufuloj	Even-toed ungulate
Evoluismo	Evolution
Kurzo	Exchange rate
Krisigno	Exclamation mark
Ekskomuniko	Excommunication
Plenuma povo	Executive (government)
Ekzistadismo	Existentialism
Eliro	Exodus
Atendata valoro	Expected value
Eksperimento	Experiment
Eksplodo	Explosion
Internacia ekspozicio	Expo (exhibition)
Eksponenta funkcio	Exponential function
Potenco (matematiko)	Exponentiation
Ekspresionismo	Expressionism
Formorto	Extinction
Okulo	Eye
Kategorio:Okulo	Eye
Ezra Pound	Ezra Pound
F	F
Francis Scott Key Fitzgerald	F. Scott Fitzgerald
Fabacoj	Fabaceae
Fablo	Fable
Vizaĝo	Face
Faktorialo	Factorial
Fabriko	Factory
Sunmakulo	Facula
Fado	Fado
Kategorio:Fagacoj	Fagaceae
Farenhejta skalo	Fahrenheit
Justa uzo	Fair use
Feo	Fairy
Fabelo	Fairy tale
Falko	Falcon
Falkoformaj birdoj	Falconiformes
Falklandoj	Falkland Islands
Salpingo	Fallopian tube
Damao	Fallow Deer
Falun Gong	Falun Gong
Kategorio:Familio	Family
Familio (biologio)	Family (biology)
Genealogio	Family history
Familia nomo	Family name
Fantasto	Fantasy
Farado	Farad
Kategorio:Ferooj	Faroe Islands
Faŝismo	Fascism
Kategorio:Modo	Fashion
Modo	Fashion
Rapidmanĝejo	Fast food
Fasto	Fasting
Fatah	Fatah
Grasacido	Fatty acid
Bestaro	Fauna
Faŭvismo	Fauvism
Faksilo	Fax
Timo	Fear
Plumo	Feather
Februaro	February
12-a de februaro	February 12
14-a de februaro	February 14
2-a de februaro	February 2
22-a de februaro	February 22
29-a de februaro	February 29
Fekaĵo	Feces
FBI	Federal Bureau of Investigation
Federacio de Mikronezio	Federated States of Micronesia
Kategorio:Federacio de Mikronezio	Federated States of Micronesia
Federacio	Federation
Federico Fellini	Federico Fellini
Feldspato	Feldspar
Felisedoj	Felidae
Felix Mendelssohn Bartholdy	Felix Mendelssohn
Feminismo	Feminism
Kategorio:Feminismo	Feminism
Skermo	Fencing
Fengŝuo	Feng shui
Ferdinando la 2-a (Sankta Romia Imperio)	Ferdinand II
Fernão de Magalhães	Ferdinand Magellan
Ferdinand de Saussure	Ferdinand de Saussure
Fermentado	Fermentation (biochemistry)
Fermentado	Fermentation (food)
Fermiono	Fermion
Fermio	Fermium
Filiko	Fern
Ferrara	Ferrara
Pramo	Ferry
Fekunda duonluno	Fertile Crescent
Sterko	Fertilizer
Feto	Fetus
Feŭdismo	Feudalism
Febro	Fever
Fiat	Fiat
Fibonaĉi-nombro	Fibonacci number
Kategorio:Fikcio	Fiction
Fikciulo	Fictional character
Fidel Castro	Fidel Castro
Korpo (algebro)	Field (mathematics)
Ĉasaviadilo	Fighter aircraft
Arta sketado	Figure skating
Fiĝioj	Fiji
Kategorio:Fiĝioj	Fiji
FAT	File Allocation Table
Dosiero-Transiga Protokolo	File Transfer Protocol
Dosiersistemo	File system
Kategorio:Kino	Film
Filmo	Film
Portalo:Filmo	Film
Reĝisoro	Film director
Balenoptero	Fin Whale
Fingro	Finger
Finnlando	Finland
Kategorio:Finnlando	Finland
Abio	Fir
Fajro	Fire
Pafilo	Firearm
Fajroestingisto	Firefighter
Fajroŝirmilo	Firewall (networking)
Unua krucmilito	First Crusade
1-a Epistolo al la Korintanoj	First Epistle to the Corinthians
Sukuro	First aid
Gepatra lingvo	First language
Fiŝoj	Fish
Kategorio:Fiŝoj	Fish
Fiŝkaptado	Fishing
Fjordo	Fjord
Flago	Flag
Flagelo	Flagellum
Flamenko	Flamenco
Flamengo	Flamingo
Flandrio	Flanders
Fulmomemoro	Flash memory
Furzo	Flatulence
Platvermo	Flatworm
Pulo	Flea
Flandra lingvo	Flemish (linguistics)
Siliko	Flint
Inundo	Flood
Disketo	Floppy disk
Florenco	Florence
Florence Nightingale	Florence Nightingale
Florido	Florida
Kategorio:Florido	Florida
Faruno	Flour
Floro	Flower
Angiospermoj	Flowering plant
Fluido	Fluid
Fluto	Flute
Dipteroj	Fly
Nebulo	Fog
Popola muziko	Folk music
Folkloro	Folklore
Kategorio:Folkloro	Folklore
Manĝaĵo	Food
Organizaĵo pri Nutrado kaj Agrikulturo	Food and Agriculture Organization
Nutroĉeno	Food chain
Piedo	Foot
Futo	Foot (unit of length)
Futbalo	Football (soccer)
Kategorio:Futbalo	Football (soccer)
Kategorio:Futbalteamoj	Football (soccer) clubs
Kategorio:Trejnistoj de futbalo	Football (soccer) managers
Kategorio:Futbalistoj	Football (soccer) players
Malpermesita Urbo	Forbidden City
Forto	Force
Arbaro	Forest
Forko	Fork
Ŝtatformo	Form of government
Formaldehido	Formaldehyde
Formika acido	Formic acid
Forno (konstelacio)	Fornax
Fortikaĵo	Fortification
Fortran (programlingvo)	Fortran
Fosilio	Fossil
Fosilia brulaĵo	Fossil fuel
Pendolo de Foucault	Foucault pendulum
Fontano	Fountain
Vulpo	Fox
Fraktalo	Fractal
Frakcio (matematiko)	Fraction (mathematics)
Francio	France
Kategorio:Francio	France
Francis Bacon	Francis Bacon
Francis Crick	Francis Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Francisko la 1-a (Aŭstrio)	Francis II
Francis Poulenc	Francis Poulenc
Sankta Francisko el Asizo	Francis of Assisi
Franciskanoj	Franciscan
Francisco Franco	Francisco Franco
Francisco de Goya	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Franciumo	Francium
Francia-Prusia Milito	Franco-Prussian War
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfort (Kentukio)	Frankfort
Frankfurto ĉe Majno	Frankfurt
Kategorio:Frankfurt	Frankfurt
Frankfurto ĉe Odro	Frankfurt (Oder)
Frankfurto	Frankfurt (disambiguation)
Franklin Pierce	Franklin Pierce
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Franz Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Fred Astaire	Fred Astaire
Frederiko la 1-a (Sankta Romia Imperio)	Frederick I
Frederiko la 2-a (Sankta Romia Imperio)	Frederick II
Frederiktono (Nov-Brunsviko)	Fredericton
Liberŝtato	Free State
Libera volo	Free will
Framasonismo	Freemasonry
Fritaŭno	Freetown
Franca Polinezio	French Polynesia
Kategorio:Franca Polinezio	French Polynesia
Francaj revolucioj	French Revolution
Kategorio:Franca Revolucio	French Revolution
Franca franko	French franc
Kategorio:Francoj	French people
Frekvenco	Frequency
Fresko	Fresco
Nesala akvo	Freshwater
Freyr	Freyr
Frotado	Friction
Vendredo	Friday
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Frislando	Friesland
Fregato	Frigate
Frigg	Frigg
Friulo-Venecio Julia	Friuli-Venezia Giulia
Rano	Frog
Fruktozo	Fructose
Frukto	Fruit
Kategorio:Fruktoj	Fruit
Fucking	Fucking
Brulaĵo	Fuel
Fuelpilo	Fuel cell
Fugo	Fugue
Fukuoka (urbo)	Fukuoka
Plenluno	Full moon
Funafutio	Funafuti
Funkcio (matematiko)	Function (mathematics)
Kategorio:Ĉio	Fundamental
Fundamenta forto	Fundamental interaction
Fundamentismo	Fundamentalism
Kategorio:Fungoj	Fungi
Fungoj	Fungus
Funikularo	Funicular
Funko	Funk
Kategorio:Mebloj	Furniture
Meblo	Furniture
Estonteco	Future
Futurismo	Futurism (art)
Neakra logiko	Fuzzy logic
Fjodor Dostojevskij	Fyodor Dostoevsky
G	G
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabono	Gabon
Kategorio:Gabono	Gabon
Gaborono	Gaborone
Sankta Gabrielo	Gabriel
Gabriel Lippmann	Gabriel Lippmann
Gadolinio	Gadolinium
Geo	Gaia (mythology)
Galatia	Galatia
Galaksio	Galaxy
Galeno de Pergamono	Galen
Galeno	Galena
Galicio	Galicia (Central Europe)
Galegio	Galicia (Spain)
Galileo (regiono)	Galilee
Galilejo	Galileo Galilei
Kokoformaj birdoj	Galliformes
Galiumo	Gallium
Galjono	Gallon
Galway	Galway
Nasser	Gamal Abdel Nasser
Hazardludo	Gambling
Ludo	Game
Ludoteorio	Game theory
Gamo (litero)	Gamma
Gama-radiado	Gamma ray
Gango	Ganges
Ganĝa	Ganja
Gansuo	Gansu
Ganimedo	Ganymede (moon)
Gap (Hautes-Alpes)	Gap
Ĝardeno	Garden
Edena ĝardeno	Garden of Eden
Ĝardenado	Gardening
Gargojlo	Gargoyle
Ajlo	Garlic
Grenato	Garnet
Garono	Garonne
Gaso	Gas
Universala gaskonstanto	Gas constant
Gasgiganto	Gas giant
Benzino	Gasoline
Digesta sistemo	Gastrointestinal tract
Gastropodo	Gastropoda
Gaŭloj	Gaul
Siddhartha Gautama	Gautama Buddha
Gejo	Gay
Gaza-urbo	Gaza
Gaza Sektoro	Gaza Strip
Dentrado	Gear
Gejŝo	Geisha
Ĝemeloj (konstelacio)	Gemini (constellation)
Gemo	Gemstone
Geno	Gene
Genealogio	Genealogy
Generalo	General Officer
Ĝenerala relativeco	General relativity
Genezo	Genesis
Genetika kodo	Genetic code
Gentekniko	Genetic engineering
Genetiko	Genetics
Kategorio:Genetiko	Genetics
Ĝenevo	Geneva
Ĝino (spirito)	Genie
Genitivo	Genitive case
Ĝenovo	Genoa
Genocido	Genocide
Genomo	Genome
Genro (biologio)	Genus
Geokemio	Geochemistry
Geodezio	Geodesy
Kategorio:Geodezio	Geodesy
Geoffrey Chaucer	Geoffrey Chaucer
Geografio	Geography
Kategorio:Geografio	Geography
Kategorio:Geologio	Geology
Geologio	Geology
Geometrio	Geometry
Kategorio:Geometrio	Geometry
Geomorfologio	Geomorphology
Geofiziko	Geophysics
Kategorio:Geofiziko	Geophysics
Geopolitiko	Geopolitics
Georg Philipp Telemann	Georg Philipp Telemann
Hegelo	Georg Wilhelm Friedrich Hegel
George Bernard Shaw	George Bernard Shaw
George Boole	George Boole
George Bush	George Bush
Georg Friedrich Händel	George Frideric Handel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Catlett Marshall	George Marshall
George Orwell	George Orwell
George Paget Thomson	George Paget Thomson
George Sand	George Sand
George Stephenson	George Stephenson
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georges Braque	Georges Braque
Georges Clemenceau	Georges Clemenceau
Georges Simenon	Georges Simenon
Ĝorĝtaŭno (Gujano)	Georgetown
Georgio	Georgia (U.S. state)
Kategorio:Georgio	Georgia (U.S. state)
Kartvelio	Georgia (country)
Kategorio:Kartvelio	Georgia (country)
Gerald Ford	Gerald Ford
Gerard Kuiper	Gerard Kuiper
Germana lingvo	German language
Kategorio:Germana lingvo	German language
Germana marko	German mark
Germaniumo	Germanium
Germanio	Germany
Kategorio:Germanio	Germany
Geronimo	Geronimo
Gestapo	Gestapo
Gejsero	Geyser
Ganao	Ghana
Kategorio:Ganao	Ghana
Gento (urbo)	Ghent
Geto	Ghetto
Fantomo	Ghost
Giacomo Puccini	Giacomo Puccini
Granda pando	Giant Panda
Gibonoj	Gibbon
Ĝibraltaro	Gibraltar
Kategorio:Ĝibraltaro	Gibraltar
Gilgameŝ	Gilgamesh
Zingibro	Ginger
Ginko	Ginkgo
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giorgio de Chirico	Giorgio de Chirico
Giotto	Giotto di Bondone
Giovanni Boccaccio	Giovanni Boccaccio
Ĝirafo	Giraffe
Gironde	Gironde
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Gizo	Giza
Glaĉero	Glacier
Gladiatoro	Gladiator
Glando	Gland
Glasgovo	Glasgow
Glasnost	Glasnost
Vitro	Glass
Okulvitro	Glasses
Glisilo	Glider
Tutmonda loktrova sistemo	Global Positioning System
Tutmonda varmiĝo	Global warming
Tutmondiĝo	Globalization
Artiŝoko	Globe artichoke
Gloucestershire	Gloucestershire
Glukagono	Glucagon
Glukozo	Glucose
Gluono	Gluon
Glutama acido	Glutamic acid
Glicerino	Glycerol
Glicino	Glycine
Glikogeno	Glycogen
Glikolizo	Glycolysis
Makzelulo	Gnathostomata
Gnejso	Gneiss
Gnostikismo	Gnosticism
Goo	Go (board game)
Goao	Goa
Golulo	Goalkeeper
Gobi	Gobi Desert
Dio	God
Golanaj Altaĵoj	Golan Heights
Oro	Gold
Golda Meir	Golda Meir
Reĝa aglo	Golden Eagle
Golden-Gate-Ponto	Golden Gate Bridge
Ora Hordo	Golden Horde
Orkolora reporthundo	Golden Retriever
Golfo (sporto)	Golf
Golĝi-aparato	Golgi apparatus
Google	Google
Kategorio:Google	Google
Guglo	Googol
Gorilo	Gorilla
Akcipitro	Goshawk
Evangelio	Gospel
Evangelio laŭ Luko	Gospel of Luke
Göteborg	Gothenburg
Gotiko	Gothic
Gotika arkitekturo	Gothic architecture
Gotthold Ephraim Lessing	Gotthold Ephraim Lessing
Gottlieb Daimler	Gottlieb Daimler
Podagro	Gout
Registaro	Government
Grace Kelly	Grace Kelly
Gradiento (matematiko)	Gradient
Graham Greene	Graham Greene
Gramo	Gram
Gramatiko	Grammar
Kategorio:Gramatiko	Grammar
Genro	Grammatical gender
Granado (Hispanio)	Granada
Granda Kanjono	Grand Canyon
Grandmajstro	Grandmaster (chess)
Granito	Granite
Vinbero	Grape
Grapfrukto	Grapefruit
Grafika uzantinterfaco	Graphical user interface
Grafito	Graphite
Gravito	Gravitation
Gravita konstanto	Gravitational constant
Grajo	Gray (unit)
Lupo	Gray Wolf
Graz	Graz
Granda barilrifo	Great Barrier Reef
Britio (insulo)	Great Britain
Tufgrebo	Great Crested Grebe
Granda depresio	Great Depression
Grandaj Lagoj (Nordameriko)	Great Lakes
Granda Rifto	Great Rift Valley
Granda Ĉina Muro	Great Wall of China
Grandaj Antiloj	Greater Antilles
Granda Londono	Greater London
Plej granda komuna divizoro	Greatest common divisor
Greboj	Grebe
Grekio	Greece
Kategorio:Grekio	Greece
Greka alfabeto	Greek alphabet
Kategorio:Greka alfabeto	Greek alphabet
Greka fajro	Greek fire
Helena mitologio	Greek mythology
Kategorio:Helena mitologio	Greek mythology
Verdo	Green
Forcejo	Greenhouse
Forceja efiko	Greenhouse effect
Gronlando	Greenland
Kategorio:Gronlando	Greenland
Greenpeace	Greenpeace
Greenwich	Greenwich
GMT	Greenwich Mean Time
Johann Gregor Mendel	Gregor Mendel
Gregoria kalendaro	Gregorian calendar
Kategorio:Grenado	Grenada
Grenoblo	Grenoble
Greta Garbo	Greta Garbo
Griza	Grey
Griza ansero	Greylag Goose
Grifo	Griffin
Ansergrifo	Griffon Vulture
Malneta enlanda produkto	Gross domestic product
Grupo	Group
Grupo (algebro)	Group (mathematics)
Grupo de la perioda tabelo	Group (periodic table)
Grupa teorio	Group theory
Grover Cleveland	Grover Cleveland
Grozno	Grozny
Gruoformaj	Gruiformes
Gruo (konstelacio)	Grus (constellation)
Gvadalaharo	Guadalajara
Gvadelupo	Guadeloupe
Gvamo	Guam
Kantono (Ĉinio)	Guangzhou
Guanino	Guanine
Guano	Guano
Kategorio:Gvatemalo	Guatemala
Gvatemalurbo	Guatemala City
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Gildo	Guild
Guillaume Apollinaire	Guillaume Apollinaire
Gilotino	Guillotine
Gvineo	Guinea
Kategorio:Gvineo	Guinea
Kobajo	Guinea pig
Gvineo Bisaŭa	Guinea-Bissau
Kategorio:Gvineo Bisaŭa	Guinea-Bissau
Gitaro	Guitar
Guĝarato	Gujarat
Gulago	Gulag
Golfa Marfluo	Gulf Stream
Golfa Milito	Gulf War
Adena Golfo	Gulf of Aden
Akaba Golfo	Gulf of Aqaba
Botnia golfo	Gulf of Bothnia
Finna golfo	Gulf of Finland
Gvinea Golfo	Gulf of Guinea
Meksika Golfo	Gulf of Mexico
Golfo de Rigo	Gulf of Riga
Mevo	Gull
Pulvo	Gunpowder
Pulva konspiro	Gunpowder Plot
Gupio	Guppy
Gustav Klimt	Gustav Klimt
Gustav Hertz	Gustav Ludwig Hertz
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
Gustave Flaubert	Gustave Flaubert
Guy Fawkes	Guy Fawkes
Guy de Maupassant	Guy de Maupassant
Kategorio:Gujano	Guyana
Gimnastiko	Gymnastics
Gimnospermoj	Gymnosperm
Ginekologio	Gynaecology
Gipsoŝtono	Gypsum
Giroskopo	Gyroscope
H	H
H. G. Wells	H. G. Wells
HIV	HIV
HTML	HTML
Kodumulo	Hacker
Hadeso	Hades
Hadriano	Hadrian
Muro de Hadriano	Hadrian's Wall
Hadrono	Hadron
Hemofilio	Haemophilia
Hafnio	Hafnium
Hagia Sofia	Hagia Sophia
Ĥajfo	Haifa
Hajko	Haiku
Hajlo	Hail
Ave Maria	Hail Mary
Haro	Hair
Haitio	Haiti
Kategorio:Haitio	Haiti
Haĝo	Hajj
Halebardo	Halberd
Duoniĝtempo	Half-life
Halle (Saale)	Halle
Halloween	Halloween
Halucino	Hallucination
Halogeno	Halogen
Hamas	Hamas
Hamburgo	Hamburg
Kategorio:Hamburgo	Hamburg
Hamburgero	Hamburger
Hamleto	Hamlet
Martelo	Hammer
Rikoltilo kaj martelo	Hammer and sickle
Hamurabi	Hammurabi
Hampshire	Hampshire
Hamstro	Hamster
Dinastio Han	Han Dynasty
Mano	Hand
Pistolo	Handgun
Pendumo	Hanging
Pendĝardenoj de Babilono	Hanging Gardens of Babylon
Hannah Arendt	Hannah Arendt
Hanibal Barka	Hannibal
Hanojo	Hanoi
Hanovro	Hanover
Hans Albrecht Bethe	Hans Bethe
Hans Christian Andersen	Hans Christian Andersen
Hansa ligo	Hanseatic League
Ĥanuka	Hanukkah
Ĝojo	Happiness
Harareo	Harare
Dureco	Hardness
Haremo	Harem
Buŝharmoniko	Harmonica
Harmoniscienco	Harmony
Harold Pinter	Harold Pinter
Harpo	Harp
Klaviceno	Harpsichord
Harpio	Harpy
Harriet Beecher Stowe	Harriet Beecher Stowe
Harrisburg (Pensilvanio)	Harrisburg
Harry Houdini	Harry Houdini
Hartford (Konektikuto)	Hartford
Hasio	Hassium
Malamo	Hatred
Supra Normandio	Haute-Normandie
Havano	Havana
Havajo	Hawaii
Kategorio:Havajo	Hawaii
Avelujo	Hazel
Kapo	Head
Ŝtatestro	Head of state
Sano	Health
Koro	Heart
Varmo	Heat
Paradizo	Heaven
Metalroko	Heavy metal music
Peza akvo	Heavy water
Hebejo	Hebei
Hebrea alfabeto	Hebrew alphabet
Hebrea kalendaro	Hebrew calendar
Hebridaj Insuloj	Hebrides
Hekato	Hecate
Hektaro	Hectare
Hektoro	Hector
Louis Hector Berlioz	Hector Berlioz
Erinaco	Hedgehog
Hedonismo	Hedonism
Heinrich Rudolf Hertz	Heinrich Hertz
Heinrich Himmler	Heinrich Himmler
Heinrich Schliemann	Heinrich Schliemann
Hel (mitologio)	Hel (being)
Helena de Trojo	Helen
Helen Keller	Helen Keller
Helena (Montano)	Helena
Helikoptero	Helicopter
Helios	Helios
Heliumo	Helium
Infero	Hell
Helmut Schmidt	Helmut Schmidt
Helsinko	Helsinki
Hematito	Hematite
Hematologio	Hematology
Hemoglobino	Hemoglobin
Hemoroido	Hemorrhoid
Antoine Henri Becquerel	Henri Becquerel
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henro	Henry (unit)
Henry David Thoreau	Henry David Thoreau
Henry Fonda	Henry Fonda
Henry Ford	Henry Ford
Henry Kissinger	Henry Kissinger
Henry Moore	Henry Moore
Henry Purcell	Henry Purcell
Hepatito	Hepatitis
Hefesto	Hephaestus
Hera	Hera
Heraklo	Heracles
Heraklito	Heraclitus
Heraldiko	Heraldry
Kategorio:Heraldiko	Heraldry
Herbert C. Hoover	Herbert Hoover
Herbert Spencer	Herbert Spencer
Heraklo	Hercules
Herkulo (konstelacio)	Hercules (constellation)
Herezo	Heresy
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann von Helmholtz	Hermann von Helmholtz
Hermeso	Hermes
Heroo	Hero
Herono	Hero of Alexandria
Herodo la Granda	Herod the Great
Herodoto	Herodotus
Heroino	Heroin
Ardeedoj	Heron
Arĝentmevo	Herring Gull
Hertfordshire	Hertfordshire
Herco	Hertz
Heziodo	Hesiod
Hesio	Hesse
Kategorio:Hesio	Hesse
Hestia	Hestia
Aliseksemo	Heterosexuality
Heterotrofo	Heterotroph
Deksesuma sistemo	Hexadecimal
Seslatero	Hexagon
Hizbulaho	Hezbollah
Vintra dormo	Hibernation
Yukawa Hideki	Hideki Yukawa
Hieronymus Bosch	Hieronymus Bosch
Hilberta spaco	Hilbert space
Himalajo	Himalayas
Hindukuŝo	Hindu Kush
Hinduismo	Hinduism
Kategorio:Hinduismo	Hinduism
Hiparko	Hipparchus
Hipio	Hippie
Hipokrato	Hippocrates
Amfibia hipopotamo	Hippopotamus
Hirohito	Hirohito
Hiroŝimo	Hiroshima
Hispaniolo	Hispaniola
Histidino	Histidine
Histologio	Histology
Historiografio	Historiography
Historio	History
Kategorio:Historio	History
Ho Chi Minh	Ho Chi Minh
Ho-Ĉi-Min-urbo	Ho Chi Minh City
Hobarto	Hobart
Hobito	Hobbit
Ŝatokupo	Hobby
Katsushika Hokusai	Hokusai
Festaj kaj feriaj tagoj	Holiday
Holivudo	Hollywood
Holmio	Holmium
Holoceno	Holocene
Holografio	Holography
Sankta gralo	Holy Grail
Sankta Romia Imperio	Holy Roman Empire
Sankta Spirito	Holy Spirit
Homeopatio	Homeopathy
Homero	Homer
Homedoj	Hominidae
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homonimo	Homonym
Samseksemo	Homosexuality
Honduro	Honduras
Kategorio:Honduro	Honduras
Mielo	Honey
Vespobuteo	Honey Buzzard
Honkongo	Hong Kong
Kategorio:Honkongo	Hong Kong
Honiaro	Honiara
Honolulu (Havajo)	Honolulu
Nargileo	Hookah
Upupedoj	Hoopoe
Horacio	Horace
Horatio Nelson	Horatio Nelson
Horizonto	Horizon
Hormono	Hormone
Korno (anatomio)	Horn (anatomy)
Korno (muzikinstrumento)	Horn (instrument)
Korno de Afriko	Horn of Africa
Horoskopo	Horoscope
Ĉevalo	Horse
Ĉevalvetkuro	Horse racing
Ĉevalpovo	Horsepower
Horuso	Horus
Hosni Mubarak	Hosni Mubarak
Malsanulejo	Hospital
Hotelo	Hotel
Horo	Hour
Domo	House
House	House (TV series)
Dompasero	House Sparrow
Houston (Teksaso)	Houston
Aeroglita boato	Hovercraft
Howard Carter	Howard Carter (archaeologist)
Hudsona Golfo	Hudson Bay
Hugo Kapeto	Hugh Capet
Hugenotoj	Huguenot
Homo	Human
Humanismo	Humanism
Kategorio:Homa scienco	Humanities
Humero	Humerus
Kolibro	Hummingbird
Kategorio:Humuro	Humor
Humuro	Humour
Ĝiba baleno	Humpback Whale
