Italian	English
Bismarck (Dakota del Nord)	Bismarck
Bismarck	Bismarck (disambiguation)
Bismuto	Bismuth
Bissau	Bissau
Bit (informatica)	Bit
Bitinia	Bithynia
Bivalvia	Bivalvia
Nero	Black
Peste nera	Black Death
Foresta Nera	Black Forest
Milvus migrans	Black Kite
Mar Nero	Black Sea
Ciconia nigra	Black Stork
Corpo nero	Black body
Buco nero	Black hole
Piper nigrum	Black pepper
Turdus merula	Blackbird
Blaise Pascal	Blaise Pascal
Blender	Blender (software)
Cecità	Blindness
Blitzkrieg	Blitzkrieg
Bloemfontein	Bloemfontein
Blog	Blog
Sangue	Blood
Plasma (biologia)	Blood plasma
Pressione del sangue	Blood pressure
Gruppo sanguigno	Blood type
Vaso sanguigno	Blood vessel
Blu	Blue
Balaenoptera musculus	Blue Whale
Blues	Blues
Sus scrofa	Boar
Gioco da tavolo	Board game
Imbarcazione	Boat
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Bob	Bobsleigh
Bodhisattva	Bodhisattva
Indice di massa corporea	Body mass index
Culturismo	Bodybuilding
Boemia	Bohemia
Bohrio	Bohrium
Punto di ebollizione	Boiling point
Boise	Boise
Boletus edulis	Boletus edulis
Bolivia	Bolivia
Categoria:Bolivia	Bolivia
Bollywood	Bollywood
Bologna	Bologna
Bolscevismo	Bolshevik
Bolzano	Bolzano
Bomba (ordigno)	Bomb
Bombardiere	Bomber
Bombyx mori	Bombyx mori
Obbligazione (finanza)	Bond (finance)
Osso	Bone
Midollo osseo	Bone marrow
Bonn	Bonn
Bonsai	Bonsai
Libro	Book
Libro di Ester	Book of Esther
Libro di Giosuè	Book of Joshua
Libro dei Giudici	Book of Judges
Libro di Mormon	Book of Mormon
Numeri (Bibbia)	Book of Numbers
Apocalisse di Giovanni	Book of Revelation
Libro di Rut	Book of Ruth
Algebra di Boole	Boolean algebra (structure)
Boomerang	Boomerang
Bordeaux	Bordeaux
Boris Godunov (zar)	Boris Godunov
Boris Leonidovič Pasternak	Boris Pasternak
Boris Vasil'evič Spasskij	Boris Spassky
Borneo	Borneo
Boro	Boron
Bosnia-Erzegovina	Bosnia and Herzegovina
Categoria:Bosnia Erzegovina	Bosnia and Herzegovina
Bosone	Boson
Bosforo	Bosporus
Boston (Massachusetts)	Boston
Boston Tea Party	Boston Tea Party
Template:Bot	Bot
Orto botanico	Botanical garden
Botanica	Botany
Categoria:Botanica	Botany
Botswana	Botswana
Categoria:Botswana	Botswana
Bottiglia	Bottle
Tursiops truncatus	Bottlenose Dolphin
Borghesia	Bourgeoisie
Borgogna	Bourgogne
Isola Bouvet	Bouvet Island
Bovidae	Bovid
Arco (arma)	Bow (weapon)
Bowling	Bowling
Boxer (cane)	Boxer (dog)
Categoria:Pugili	Boxers
Pugilato	Boxing
Categoria:Pugilato	Boxing
Legge di Boyle-Mariotte	Boyle's law
Parentesi	Bracket
Braga	Braga
Brahma	Brahma
Brahmaputra	Brahmaputra River
Braille	Braille
Cervello	Brain
Brainstorming	Brainstorming
Bram Stoker	Bram Stoker
Brandeburgo	Brandenburg
Brandy	Brandy
Ottone (metallo)	Brass
Brassicaceae	Brassicaceae
Reggiseno	Brassiere
Bratislava	Bratislava
Braunschweig	Braunschweig
Brasile	Brazil
Categoria:Brasile	Brazil
Brazzaville	Brazzaville
Pane	Bread
Mammella	Breast
Carcinoma mammario	Breast cancer
Brema (città)	Bremen
Brema (stato)	Bremen (state)
Bremerhaven	Bremerhaven
Brescia	Brescia
Brest (Francia)	Brest
Brěst	Brest
Brest	Brest
Bretagna	Bretagne
Mattone	Brick
Ponte	Bridge
Categoria:Ponti	Bridges
Bridgetown	Bridgetown
Brigata	Brigade
Brighton	Brighton
Brindisi	Brindisi
Brisbane	Brisbane
Bristol	Bristol
Columbia Britannica	British Columbia
Impero britannico	British Empire
Arcipelago britannico	British Isles
Isole Vergini britanniche	British Virgin Islands
Categoria:Britannici	British people
Brno	Brno
Broadway	Broadway (New York City)
Bromo	Bromine
Bronzo	Bronze
Età del bronzo	Bronze Age
Brooklyn	Brooklyn
Ponte di Brooklyn	Brooklyn Bridge
Marrone	Brown
Ursus arctos	Brown Bear
Moto browniano	Brownian motion
Bruce Lee	Bruce Lee
Bruges	Bruges
Brunei	Brunei
Categoria:Brunei	Brunei
Bruxelles	Brussels
Peste	Bubonic plague
Bucarest	Bucharest
Buckingham Palace	Buckingham Palace
Richard Buckminster Fuller	Buckminster Fuller
Fagopyrum esculentum	Buckwheat
Budapest	Budapest
Buddha	Buddha
Buddhismo	Buddhism
Categoria:Buddhismo	Buddhism
Buddy Holly	Buddy Holly
Buenos Aires	Buenos Aires
Buffalo (New York)	Buffalo
Edificio	Building
Bujumbura	Bujumbura
Bulgaria	Bulgaria
Categoria:Bulgaria	Bulgaria
Bombus	Bumblebee
Principio di Archimede	Buoyancy
Burocrazia	Bureaucracy
Sindaco	Burgomaster
Burkina Faso	Burkina Faso
Categoria:Burkina Faso	Burkina Faso
Birmania	Burma
Categoria:Birmania	Burma
Burqa	Burqa
Bursa	Bursa
Categoria:Burundi	Burundi
Autobus	Bus
Bus (informatica)	Bus (computing)
Business	Business
Categoria:Imprenditori	Businesspeople
Buster Keaton	Buster Keaton
Butano	Butane
Burro	Butter
Farfalla	Butterfly
Effetto farfalla	Butterfly effect
Bydgoszcz	Bydgoszcz
Byte	Byte
Categoria:Impero bizantino	Byzantine Empire
C	C
C (linguaggio)	C (programming language)
Clive Staples Lewis	C. S. Lewis
CD	CD (disambiguation)
CHAOS	CHAOS (Linux distribution)
CN Tower	CN Tower
COBOL	COBOL
Cabaret (spettacolo)	Cabaret
Theobroma cacao	Cacao
Cache	Cache
Cactaceae	Cactus
Cadmio	Cadmium
Cadmo	Cadmus
Bulino (costellazione)	Caelum
Cesio (elemento)	Caesium
Caffeina	Caffeine
Il Cairo	Cairo
Torta	Cake
Calabria	Calabria
Calais	Calais
Calcite	Calcite
Calcio (metallo)	Calcium
Carbonato di calcio	Calcium carbonate
Ossido di calcio	Calcium oxide
Calcolatrice	Calculator
Calcolo infinitesimale	Calculus
Caldera (geologia)	Caldera
Calendario	Calendar
Calibro (arma)	Caliber
California	California
Categoria:California	California
Californio	Californium
Caligola	Caligula
Califfo	Caliph
Calligrafia	Calligraphy
Calliope	Calliope
Callisto (astronomia)	Callisto (moon)
Callisto	Callisto (mythology)
Caloria	Calorie
Calvados	Calvados
Calvario	Calvary
Calvin Coolidge	Calvin Coolidge
Calvinismo	Calvinism
Calipso	Calypso (mythology)
Cambogia	Cambodia
Categoria:Cambogia	Cambodia
Cambriano	Cambrian
Cambridge	Cambridge
Cambridge (Massachusetts)	Cambridge
Cambridge (disambigua)	Cambridge (disambiguation)
Cammello	Camel
Camembert (formaggio)	Camembert (cheese)
Macchina fotografica	Camera
Camerun	Cameroon
Categoria:Camerun	Cameroon
Campania	Campania
Canada	Canada
Categoria:Canada	Canada
Dollaro canadese	Canadian dollar
Canale artificiale	Canal
Isole Canarie	Canary Islands
Categoria:Canarie	Canary Islands
Canberra	Canberra
Tumore	Cancer
Cancro (costellazione)	Cancer (constellation)
Candela (unità di misura)	Candela
Candela (illuminazione)	Candle
Canidae	Canidae
Cane Maggiore (costellazione)	Canis Major
Cane Minore (costellazione)	Canis Minor
Cannabis	Cannabis
Marijuana	Cannabis (drug)
Cannes	Cannes
Cannibalismo	Cannibalism
Cannone	Cannon
Canoa (imbarcazione)	Canoe
Canon	Canon (company)
Canopo	Canopus
Cantata	Cantata
Canterbury (Regno Unito)	Canterbury
Lingua cantonese	Cantonese (linguistics)
Canuto I di Danimarca	Canute the Great
Capacità elettrica	Capacitance
Condensatore	Capacitor
Cape Canaveral	Cape Canaveral
Capo Horn	Cape Horn
Città del Capo	Cape Town
Capo Verde	Cape Verde
Categoria:Capo Verde	Cape Verde
Capo di Buona Speranza	Cape of Good Hope
Capitale (città)	Capital
Capitale (economia)	Capital (economics)
Pena di morte	Capital punishment
Capitalismo	Capitalism
Cappadocia (regione)	Cappadocia
Capricorno (costellazione)	Capricornus
Capsicum	Capsicum
Caracal caracal	Caracal
Caracas	Caracas
Averrhoa carambola	Carambola
Carato	Carat (mass)
Carato	Carat (purity)
Michelangelo Merisi da Caravaggio	Caravaggio
Glucidi	Carbohydrate
Carbonio	Carbon
Ciclo del carbonio	Carbon cycle
Anidride carbonica	Carbon dioxide
Monossido di carbonio	Carbon monoxide
Acido carbonico	Carbonic acid
Carbonifero	Carboniferous
Acidi carbossilici	Carboxylic acid
Carburatore	Carburetor
Gioco di carte	Card game
Cardamomo	Cardamom
Cardiff	Cardiff
Cardinale	Cardinal (Catholicism)
Armand-Jean du Plessis de Richelieu	Cardinal Richelieu
Cardiologia	Cardiology
Categoria:Cardiologia	Cardiology
Categoria:Sistema cardiovascolare	Cardiovascular system
Caraibi	Caribbean
Mare Caraibico	Caribbean Sea
Caricatura	Caricature
Carena (costellazione)	Carina (constellation)
Carl David Anderson	Carl David Anderson
Carl Jung	Carl Jung
Carl Lewis	Carl Lewis
Carl Maria von Weber	Carl Maria von Weber
Carl Orff	Carl Orff
Carnevale	Carnival
Carnivora	Carnivora
Carnivoro	Carnivore
Pianta carnivora	Carnivorous plant
Carolingi	Carolingian dynasty
Carl von Linné	Carolus Linnaeus
Carpazi	Carpathian Mountains
Daucus carota	Carrot
Carson City	Carson City
Cartagena (Spagna)	Cartagena
Piano cartesiano	Cartesian coordinate system
Prodotto cartesiano	Cartesian product
Cartagine	Carthage
Cartografia	Cartography
Categoria:Cartografia	Cartography
Cary Grant	Cary Grant
Caryophyllales	Caryophyllales
Casablanca	Casablanca
Anacardium	Cashew
Casa da gioco	Casino
Mar Caspio	Caspian Sea
Cassandra (mitologia)	Cassandra
Cassiopea (costellazione)	Cassiopeia (constellation)
Ghisa	Cast iron
Casta	Caste
Castiglia	Castile (historical region)
Castello	Castle
Arrocco	Castling
Castries (Saint Lucia)	Castries
Casus belli	Casus belli
Felis silvestris catus	Cat
Catalogna	Catalonia
Categoria:Catalogna	Catalonia
Catalisi	Catalysis
Catafratto	Cataphract
Cataratta	Cataract
Siluriformes	Catfish
Catarismo	Catharism
Cattedrale	Cathedral
Catherine Parr	Catherine Parr
Caterina d'Aragona	Catherine of Aragon
Catodo	Cathode
Tradizione cattolica	Catholicism
Bos taurus	Cattle
Bubulcus ibis	Cattle Egret
Gaio Valerio Catullo	Catullus
Caucaso	Caucasus
Catena del Caucaso	Caucasus Mountains
Causalità	Causality
Cavalleria	Cavalry
Grotta	Cave
Caviale	Caviar
Caienna	Cayenne
Isole Cayman	Cayman Islands
Cecil Rhodes	Cecil Rhodes
Cedrus	Cedar
Apium graveolens	Celery
Equatore celeste	Celestial equator
Categoria:Meccanica celeste	Celestial mechanics
Meccanica celeste	Celestial mechanics
Sfera celeste	Celestial sphere
Celibato	Celibacy
Cellula	Cell (biology)
Membrana cellulare	Cell membrane
Nucleo cellulare	Cell nucleus
Parete cellulare	Cell wall
Violoncello	Cello
Cellulosa	Cellulose
Celsius	Celsius
Cemento (edilizia)	Cement
Cimitero	Cemetery
Cenozoico	Cenozoic
Censimento	Census
Centauro	Centaur
Centauro (costellazione)	Centaurus
Centro di massa	Center of mass
Centimetro	Centimetre
Africa Centrale	Central Africa
Repubblica Centrafricana	Central African Republic
Categoria:Repubblica Centrafricana	Central African Republic
America centrale	Central America
Categoria:America centrale	Central America
Central Intelligence Agency	Central Intelligence Agency
Central Park	Central Park
Imperi centrali	Central Powers
Banca centrale	Central bank
Sistema nervoso centrale	Central nervous system
CPU	Central processing unit
Centro (regione francese)	Centre
Centriolo	Centriole
Secolo	Century
Cephalopoda	Cephalopod
Cefeo (costellazione)	Cepheus (constellation)
Ceramica	Ceramic
Cerbero	Cerberus
Cereali	Cereal
Cervelletto	Cerebellum
Ceres	Ceres
Cerere (astronomia)	Ceres (dwarf planet)
Cerere	Ceres (mythology)
Cerio	Cerium
Cesare Borgia	Cesare Borgia
Cestoda	Cestoda
Cetacea	Cetacea
Balena (costellazione)	Cetus
Ciad	Chad
Categoria:Ciad	Chad
Fringilla coelebs	Chaffinch
Sedia	Chair
Calcedonio	Chalcedony
Camaleonte (costellazione)	Chamaeleon
Rupicapra rupicapra	Chamois
Champagne	Champagne (wine)
Champagne-Ardenne	Champagne-Ardenne
Eurotunnel	Channel Tunnel
Caos (mitologia)	Chaos (mythology)
Charadriiformes	Charadriiformes
Carlo Magno	Charlemagne
Charleroi	Charleroi
Carlo, principe del Galles	Charles
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Lindbergh	Charles Lindbergh
Charles Sanders Peirce	Charles Peirce
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Carlo il Calvo	Charles the Bald
Charleston (Virginia Occidentale)	Charleston
Charlie Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Charlotte (Carolina del Nord)	Charlotte
Streghe	Charmed
Caronte (astronomia)	Charon (moon)
Caronte (mitologia)	Charon (mythology)
Chartres	Chartres
Sciovinismo	Chauvinism
Che Guevara	Che Guevara
Cecenia	Chechnya
Categoria:Cecenia	Chechnya
Formaggio	Cheese
Acinonyx jubatus	Cheetah
Čeljabinsk	Chelyabinsk
Legame chimico	Chemical bond
Composto chimico	Chemical compound
Elemento chimico	Chemical element
Ingegneria chimica	Chemical engineering
Formula chimica	Chemical formula
Reazione chimica	Chemical reaction
Armi chimiche	Chemical warfare
Chimica	Chemistry
Categoria:Chimica	Chemistry
Portale:Chimica	Chemistry
Chemnitz	Chemnitz
Chemioterapia	Chemotherapy
Chennai	Chennai
Assegno	Cheque
Černobyl'	Chernobyl
Ciliegia	Cherry
Selce	Chert
Cherubino	Cherub
Scacchi	Chess
Categoria:Scacchi	Chess
Apertura (scacchi)	Chess opening
Chester Arthur	Chester A. Arthur
Castanea	Chestnut
Gomma da masticare	Chewing gum
Cheyenne (Wyoming)	Cheyenne
Chi (lettera)	Chi (letter)
Chiang Kai-shek	Chiang Kai-shek
Chicago	Chicago
Gallo (animale)	Chicken
Varicella	Chickenpox
Cicer arietinum	Chickpea
Chihuahua (stato)	Chihuahua
Bambino	Child
Parto	Childbirth
Cile	Chile
Categoria:Cile	Chile
Chimborazo	Chimborazo (volcano)
Chimera (mitologia)	Chimera (mythology)
Pan (zoologia)	Chimpanzee
Categoria:Cina	China
Chio	Chios
Chirone (mitologia)	Chiron
Chitina	Chitin
Cloro	Chlorine
Cloroformio	Chloroform
Clorofilla	Chlorophyll
Cloroplasto	Chloroplast
Cioccolato	Chocolate
Coro (musica)	Choir
Colera	Cholera
Colesterolo	Cholesterol
Chondrichthyes	Chondrichthyes
Chongqing	Chongqing
Accordo (musica)	Chord (music)
Chordata	Chordate
Christchurch	Christchurch
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Cristianesimo	Christianity
Categoria:Cristianesimo	Christianity
Natale	Christmas
Categoria:Natale	Christmas
Vigilia di Natale	Christmas Eve
Albero di Natale	Christmas tree
Cristoforo Colombo	Christopher Columbus
Christopher Marlowe	Christopher Marlowe
Cromatina	Chromatin
Cromatografia	Chromatography
Cromo	Chromium
Cromosoma	Chromosome
Categoria:Cronologia	Chronology
Chuck Berry	Chuck Berry
Mare dei Chukci	Chukchi Sea
Chiesa (istituzione)	Church
Chiesa (architettura)	Church (building)
Chiesa anglicana	Church of England
Marco Tullio Cicerone	Cicero
Ciconiiformes	Ciconiiformes
Sidro	Cider
Sigaretta	Cigarette
Cenerentola	Cinderella
Cinabro	Cinnabar
Cinnamomum zeylanicum	Cinnamon
Circe	Circe
Compasso (costellazione)	Circinus
Cerchio	Circle
Apparato circolatorio	Circulatory system
Circoncisione	Circumcision
Circo (spettacolo)	Circus
Cirrosi epatica	Cirrhosis
Cittadinanza (diritto)	Citizenship
Acido citrico	Citric acid
Ciclo di Krebs	Citric acid cycle
Citrus	Citrus
Città-stato	City-state
Guerra civile	Civil war
Civiltà	Civilization
Civilization	Civilization (computer game)
Clarinetto	Clarinet
Clark Gable	Clark Gable
Classe	Class
Classe (tassonomia)	Class (biology)
Classe (informatica)	Class (computer science)
Meccanica classica	Classical mechanics
Musica classica	Classical music
Categoria:Musica classica	Classical music
Classicismo (arte)	Classicism
Claude Monet	Claude Monet
Claude Shannon	Claude Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudio	Claudius
Clavicola	Clavicle
Argilla	Clay
Chiave musicale	Clef
Clement Attlee	Clement Attlee
Cleopatra (disambigua)	Cleopatra (disambiguation)
Clero	Clergy
Cleveland (Ohio)	Cleveland
Sistema client/server	Client-server
Clima	Climate
Mutamento climatico	Climate change
Climatologia	Climatology
Categoria:Climatologia	Climatology
Depressione (malattia)	Clinical depression
Clio	Clio
Clitoride	Clitoris
Orologio	Clock
Big Ben	Clock Tower
Clonazione (genetica)	Cloning
Categoria:Abbigliamento	Clothing
Abbigliamento	Clothing
Nuvola	Cloud
Eugenia caryophyllata	Clove
Trifolium	Clover
Clodoveo I	Clovis I
Cnidaria	Cnidaria
Carbone (minerale)	Coal
Costa	Coast
Stemma	Coat of arms
Cobalto	Cobalt
Cocaina	Cocaine
Coccinellidae	Coccinellidae
Cacatuidae	Cockatoo
Blattodea	Cockroach
Cocktail	Cocktail
Cocos nucifera	Coconut
Isole Cocos	Cocos (Keeling) Islands
Codeina	Codeine
Caffè	Coffee
Categoria:Caffè	Coffee
Cognac (liquore)	Cognac (drink)
Psicologia cognitiva	Cognitive psychology
Scienze cognitive	Cognitive science
Moneta	Coin
Cola (bibita)	Cola
Colchide	Colchis
Guerra fredda	Cold War
Categoria:Guerra Fredda	Cold War
Colin Powell	Colin Powell
Collage (arte)	Collage
Collagene	Collagen
Colloide	Colloid
Colonia (Germania)	Cologne
Colombia	Colombia
Categoria:Colombia	Colombia
Colombo (città)	Colombo
Colonnello	Colonel
Colonia (insediamento)	Colony
Colore	Color
Daltonismo	Color blindness
Colorado	Colorado
Categoria:Colorado	Colorado
Colorado (fiume - Utah)	Colorado River
Colosseo	Colosseum
Colosso di Rodi	Colossus of Rhodes
Colubridae	Colubrid
Colomba (costellazione)	Columba (constellation)
Columbia (Carolina del Sud)	Columbia
Columbia	Columbia
Columbia (fiume)	Columbia River
Columbia University	Columbia University
Columbidae	Columbidae
Columbiformes	Columbiformes
Columbus (Ohio)	Columbus
Columbus	Columbus
Coma	Coma
Chioma di Berenice (costellazione)	Coma Berenices
Combustione	Combustion
Commedia	Comedy
Comenius	Comenius
Cometa	Comet
Virgola	Comma (punctuation)
Commedia dell'arte	Commedia dell'arte
Categoria:Commercio	Commerce
Ficus carica	Common Fig
Raffreddore comune	Common cold
Comunità degli Stati Indipendenti	Commonwealth of Independent States
Commonwealth delle nazioni	Commonwealth of Nations
Categoria:Comunicazione	Communication
Comunicazione	Communication
Comunismo	Communism
Categoria:Comunismo	Communism
Comore	Comoros
Categoria:Comore	Comoros
Compact disc	Compact Disc
Compagnia (unità militare)	Company (military unit)
Bussola	Compass
Compasso (strumento)	Compass (drafting)
Concorrenza (diritto commerciale)	Competition
Compilatore	Compiler
Complex instruction set computer	Complex instruction set computer
Numero complesso	Complex number
Compositore	Composer
Materiale composito	Composite material
Numero composto	Composite number
Linguistica computazionale	Computational linguistics
Tomografia computerizzata	Computed tomography
Computer	Computer
Architettura (computer)	Computer architecture
Monitor (video)	Computer display
File	Computer file
Categoria:Computer grafica	Computer graphics
Hardware	Computer hardware
Categoria:Hardware	Computer hardware
Rete informatica	Computer network
Programma (informatica)	Computer program
Programmazione (informatica)	Computer programming
Categoria:Programmazione	Computer programming
Informatica	Computer science
Categoria:Informatica	Computer science
Software	Computer software
Virus (informatica)	Computer virus
CAD	Computer-aided design
Categoria:Informatica	Computing
Conakry	Conakry
Concentrazione	Concentration
Concerto (composizione musicale)	Concerto
Concord (New Hampshire)	Concord
Calcestruzzo	Concrete
Profilattico	Condom
Direttore d'orchestra	Conducting
Cono (solido)	Cone (geometry)
Stati Confederati d'America	Confederate States of America
Confederazione	Confederation
Penitenza (sacramento)	Confession
Confermazione	Confirmation
Conflitto (sociologia)	Conflict
Confucianesimo	Confucianism
Confucio	Confucius
Congo	Congo
Congo (fiume)	Congo River
Sezione conica	Conic section
Connecticut	Connecticut
Categoria:Connecticut	Connecticut
Tessuto connettivo	Connective tissue
Conquistadores	Conquistador
Legge di conservazione dell'energia	Conservation of energy
Conservatorismo	Conservatism
Consonante	Consonant
Costantino I	Constantine I
Costantinopoli	Constantinople
Costellazione	Constellation
Costituzione	Constitution (political)
Console (storia romana)	Consul
Consumo	Consumption (economics)
Lente a contatto	Contact lens
Continente	Continent
Deriva dei continenti	Continental drift
Piattaforma continentale	Continental shelf
Contratto	Contract
Bridge (gioco)	Contract bridge
Convezione	Convection
Cottura	Cooking
Società cooperativa	Cooperative
Sistema di riferimento	Coordinate system
Tempo coordinato universale	Coordinated Universal Time
Copenaghen	Copenhagen
Rame	Copper
Copyright	Copyright
Corno inglese	Cor anglais
Coraciiformes	Coraciiformes
Mar dei Coralli	Coral Sea
Barriera corallina	Coral reef
Coriandrum sativum	Coriander
Corinto	Corinth
Forza di Coriolis	Coriolis effect
Cork	Cork (city)
Cornea	Cornea
Cornell University	Cornell University
Cornovaglia	Cornwall
Corona Boreale (costellazione)	Corona Borealis
Società (diritto)	Corporation
Corrosione	Corrosion
Corsica	Corsica
Corindone	Corundum
Corvetta	Corvette
Corvidae	Corvidae
Corvo (costellazione)	Corvus (constellation)
Radiazione cosmica di fondo	Cosmic microwave background radiation
Raggi cosmici	Cosmic ray
Cosmologia	Cosmology
Categoria:Cosmologia	Cosmology
Costa Rica	Costa Rica
Categoria:Costa Rica	Costa Rica
Cotonou	Cotonou
Cotopaxi	Cotopaxi
Cotone (fibra)	Cotton
Puma concolor	Cougar
Coulomb	Coulomb
Forza di Coulomb	Coulomb's law
Concilio di Calcedonia	Council of Chalcedon
Concilio di Efeso	Council of Ephesus
Concilio di Trento	Council of Trent
Contrappunto	Counterpoint
Country (musica)	Country music
Tribunale	Court
Legame covalente	Covalent bond
Coventry	Coventry
Canis latrans	Coyote
Brachyura	Crab
Nebulosa del Granchio	Crab Nebula
Gruidae	Crane (bird)
Cratere (costellazione)	Crater (constellation)
Creazionismo	Creationism
Cremona	Cremona
Cretacico	Cretaceous
Creta	Crete
Cricket	Cricket
Crimea	Crimea
Guerra di Crimea	Crimean War
Categoria:Diritto penale	Criminal law
Diritto penale	Criminal law
