Portuguese	English
Greta Garbo	Greta Garbo
Cinza	Grey
Ganso-bravo	Greylag Goose
Grifo	Griffin
Abutre-fouveiro	Griffon Vulture
Produto interno bruto	Gross domestic product
Grupo	Group
Grupo (matemática)	Group (mathematics)
Grupo (Química)	Group (periodic table)
Teoria dos grupos	Group theory
Grover Cleveland	Grover Cleveland
Grózni	Grozny
Gruiformes	Gruiformes
Grus	Grus (constellation)
Guadalajara (México)	Guadalajara
Guadalupe	Guadeloupe
Guam	Guam
Guangdong	Guangdong
Cantão (China)	Guangzhou
Guanina	Guanine
Guano	Guano
Categoria:Guatemala	Guatemala
Cidade da Guatemala	Guatemala City
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guilda	Guild
Guillaume Apollinaire	Guillaume Apollinaire
Guilhotina	Guillotine
Guiné	Guinea
Categoria:Guiné	Guinea
Porquinho-da-índia	Guinea pig
Guiné-Bissau	Guinea-Bissau
Categoria:Guiné-Bissau	Guinea-Bissau
Guitarra	Guitar
Guzerate	Gujarat
Gulag	Gulag
Corrente do Golfo	Gulf Stream
Guerra do Golfo	Gulf War
Golfo de Áden	Gulf of Aden
Golfo de Acaba	Gulf of Aqaba
Golfo de Bótnia	Gulf of Bothnia
Golfo da Finlândia	Gulf of Finland
Golfo da Guiné	Gulf of Guinea
Golfo do México	Gulf of Mexico
Golfo de Omã	Gulf of Oman
Golfo de Riga	Gulf of Riga
Golfo da Tailândia	Gulf of Thailand
Gaivota (ave)	Gull
Pólvora	Gunpowder
Conspiração da pólvora	Gunpowder Plot
Guppy	Guppy
Gustav Klimt	Gustav Klimt
Gustav Ludwig Hertz	Gustav Ludwig Hertz
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
Gustave Flaubert	Gustave Flaubert
Guy Fawkes	Guy Fawkes
Guy de Maupassant	Guy de Maupassant
Categoria:Guiana	Guyana
Ginástica	Gymnastics
Gymnospermas	Gymnosperm
Ginecologia	Gynaecology
Gipsita	Gypsum
Giroscópio	Gyroscope
H	H
H. G. Wells	H. G. Wells
Vírus da imunodeficiência humana	HIV
HTML	HTML
Hábitat	Habitat
Hacker	Hacker
Hadeano	Hadean
Hades	Hades
Hadith	Hadith
Adriano	Hadrian
Muralha de Adriano	Hadrian's Wall
Hádron	Hadron
Hemofilia	Haemophilia
Háfnio	Hafnium
Basílica de Santa Sofia	Hagia Sophia
Haifa	Haifa
Haikai	Haiku
Granizo	Hail
Ave Maria	Hail Mary
Pêlo	Hair
Haiti	Haiti
Categoria:Haiti	Haiti
Hajj	Hajj
Halal	Halal
Alabarda	Halberd
Meia-vida	Half-life
Halle an der Saale	Halle
Dia das bruxas	Halloween
Alucinação	Hallucination
Halogênio	Halogen
Hamas	Hamas
Hamburgo	Hamburg
Categoria:Hamburgo	Hamburg
Hambúrguer	Hamburger
Hamlet	Hamlet
Martelo	Hammer
Foice e martelo	Hammer and sickle
Hamurabi	Hammurabi
Hampshire	Hampshire
Hamster	Hamster
Dinastia Han	Han Dynasty
Mão	Hand
Granada (arma)	Hand grenade
Pistola	Handgun
Forca	Hanging
Jardins suspensos da Babilónia	Hanging Gardens of Babylon
Hannah Arendt	Hannah Arendt
Aníbal	Hannibal
Hanói	Hanoi
Hanôver	Hanover
Hans Bethe	Hans Bethe
Hans Christian Andersen	Hans Christian Andersen
Liga Hanseática	Hanseatic League
Chanucá	Hanukkah
Hanuman	Hanuman
Felicidade	Happiness
Harare	Harare
Dureza	Hardness
Harém	Harem
Harlem	Harlem
Gaita	Harmonica
Harmonia	Harmony
Harold Pinter	Harold Pinter
Harpa	Harp
Cravo (instrumento)	Harpsichord
Harpia (mitologia)	Harpy
Harriet Beecher Stowe	Harriet Beecher Stowe
Harriet Tubman	Harriet Tubman
Harrisburg	Harrisburg
Harry Houdini	Harry Houdini
Hartford	Hartford
Hássio	Hassium
Ódio	Hatred
Alta-Normandia	Haute-Normandie
Havana	Havana
Havaí	Hawaii
Categoria:Havaí	Hawaii
Corylus	Hazel
Cabeça	Head
Chefe de Estado	Head of state
Saúde	Health
Categoria:Saúde	Health
Coração	Heart
Calor	Heat
Máquina térmica	Heat engine
Céu (religião)	Heaven
Categoria:Heavy metal	Heavy metal
Heavy metal	Heavy metal music
Água pesada	Heavy water
Hebe	Hebe (mythology)
Hebei	Hebei
Alfabeto hebraico	Hebrew alphabet
Calendário hebraico	Hebrew calendar
Hébridas	Hebrides
Hécate (mitologia)	Hecate
Hectare	Hectare
Heitor	Hector
Hector Berlioz	Hector Berlioz
Ouriço	Hedgehog
Hedonismo	Hedonism
Heimdall	Heimdall
Heinrich Rudolf Hertz	Heinrich Hertz
Heinrich Himmler	Heinrich Himmler
Heinrich Schliemann	Heinrich Schliemann
Hela	Hel (being)
Helena (mitologia)	Helen
Helen Keller	Helen Keller
Helena (Montana)	Helena
Helicóptero	Helicopter
Hélios	Helios
Hélio	Helium
Inferno	Hell
Helmut Schmidt	Helmut Schmidt
Helsínquia	Helsinki
Hematita	Hematite
Hematologia	Hematology
Categoria:Hematologia	Hematology
Hemoglobina	Hemoglobin
Hemorróida	Hemorrhoid
Antoine Henri Becquerel	Henri Becquerel
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry Cavendish	Henry Cavendish
Henry David Thoreau	Henry David Thoreau
Henry Fonda	Henry Fonda
Henry Ford	Henry Ford
Henry James	Henry James
Henry A. Kissinger	Henry Kissinger
Henry Miller	Henry Miller
Henry Moore	Henry Moore
Henry Purcell	Henry Purcell
Hepatite	Hepatitis
Hefesto	Hephaestus
Hera	Hera
Hércules	Heracles
Heráclito de Éfeso	Heraclitus
Heráldica	Heraldry
Categoria:Heráldica	Heraldry
Herat	Herat
Herbert Hoover	Herbert Hoover
Herbert Marcuse	Herbert Marcuse
Herbert Spencer	Herbert Spencer
Hércules	Hercules
Hércules (constelação)	Hercules (constellation)
Heresia	Heresy
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann Minkowski	Hermann Minkowski
Hermann von Helmholtz	Hermann von Helmholtz
Hermafrodita	Hermaphrodite
Hermenêutica	Hermeneutics
Hermes	Hermes
Herói	Hero
Heron de Alexandria	Hero of Alexandria
Herodes, o Grande	Herod the Great
Heródoto	Herodotus
Heroína	Heroin
Ardeidae	Heron
Gaivota-prateada	Herring Gull
Hertfordshire	Hertfordshire
Hertz	Hertz
Hesíodo	Hesiod
Hespérides	Hesperides
Hessen	Hesse
Categoria:Hessen	Hesse
Héstia	Hestia
Heterossexualidade	Heterosexuality
Heterotrofismo	Heterotroph
Sistema hexadecimal	Hexadecimal
Hexágono	Hexagon
Hizbollah	Hezbollah
Hibernação	Hibernation
Hideki Yukawa	Hideki Yukawa
Hieronymus Bosch	Hieronymus Bosch
Espaço de Hilbert	Hilbert space
Himalaia	Himalayas
Hindu Kush	Hindu Kush
Hinduísmo	Hinduism
Categoria:Hinduísmo	Hinduism
Hiparco	Hipparchus
Hippie	Hippie
Hipócrates	Hippocrates
Juramento de Hipócrates	Hippocratic Oath
Hipopótamo	Hippopotamus
Hirohito	Hirohito
Hiroxima (cidade)	Hiroshima
Ilha de São Domingos	Hispaniola
Histidina	Histidine
Histologia	Histology
Categoria:Histologia	Histology
Histona	Histone
Historiografia	Historiography
História	History
Categoria:História	History
Portal:História	History
Ho Chi Minh	Ho Chi Minh
Cidade de Ho Chi Minh	Ho Chi Minh City
Hobart	Hobart
Hobbit	Hobbit
Passatempo	Hobby
Katsushika Hokusai	Hokusai
Feriado	Holiday
Hollywood	Hollywood
Hólmio	Holmium
Holoceno	Holocene
Holografia	Holography
Santo Graal	Holy Grail
Sacro Império Romano-Germânico	Holy Roman Empire
Categoria:Sacro Império Romano-Germânico	Holy Roman Empire
Espírito Santo	Holy Spirit
Homeopatia	Homeopathy
Homeostase	Homeostasis
Homero	Homer
Hominidae	Hominidae
Homo	Homo (genus)
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homónimo	Homonym
Homofobia	Homophobia
Homossexualidade	Homosexuality
Honduras	Honduras
Categoria:Honduras	Honduras
Mel	Honey
Tartaranhão-apívoro	Honey Buzzard
Hong Kong	Hong Kong
Categoria:Hong Kong	Hong Kong
Honiara	Honiara
Honolulu	Honolulu
Narguilé	Hookah
Lei de Hooke	Hooke's law
Poupa	Hoopoe
Horácio	Horace
Horatio Nelson	Horatio Nelson
Horizonte	Horizon
Hormona	Hormone
Corno	Horn (anatomy)
Trompa	Horn (instrument)
Corno de África	Horn of Africa
Cavalo	Horse
Turfe	Horse racing
Cavalo-vapor	Horsepower
Hórus	Horus
Hosni Mubarak	Hosni Mubarak
Hospital	Hospital
Hotel	Hotel
Hora	Hour
Ampulheta	Hourglass
Casa	House
House, M.D.	House (TV series)
Camundongo	House Mouse
Pardal	House Sparrow
Houston	Houston
Hovercraft	Hovercraft
Howard Carter	Howard Carter (archaeologist)
Lei de Hubble-Homason	Hubble's law
Baía de Hudson	Hudson Bay
Rio Hudson	Hudson River
Hugo Capeto	Hugh Capet
Hugo Grócio	Hugo Grotius
Huguenote	Huguenot
Homo sapiens	Human
Humanismo	Humanism
Categoria:Ciências humanas	Humanities
Úmero	Humerus
Humidade	Humidity
Beija-flor	Hummingbird
Categoria:Humor	Humor
Humor	Humour
Baleia-jubarte	Humpback Whale
Humphrey Bogart	Humphrey Bogart
Húmus	Humus
Hunan	Hunan
Guerra dos Cem Anos	Hundred Years' War
Hungria	Hungary
Categoria:Hungria	Hungary
Fome	Hunger
Caça	Hunting
Hútus	Hutu
Híbrido (biologia)	Hybrid
Hydra	Hydra (constellation)
Hidrocarboneto	Hydrocarbon
Ácido clorídrico	Hydrochloric acid
Usina hidrelétrica	Hydroelectricity
Hidrogénio	Hydrogen
Ligação de hidrogênio	Hydrogen bond
Cianeto de hidrogênio	Hydrogen cyanide
Peróxido de hidrogénio	Hydrogen peroxide
Hidrologia	Hydrology
Categoria:Hidrologia	Hydrology
Hidrólise	Hydrolysis
Hidrosfera	Hydrosphere
Hydrus	Hydrus
Hienídeo	Hyena
Categoria:Higiene	Hygiene
Hímen	Hymen
Categoria:Hymenoptera	Hymenoptera
Hymenoptera	Hymenoptera
Hino (canção)	Hymn
Hipérbole	Hyperbola
Hipérbole (figura de estilo)	Hyperbole
Hiperião (satélite)	Hyperion (moon)
Hiperião	Hyperion (mythology)
Hipertensão arterial	Hypertension
Hipertexto	Hypertext
HTTP	Hypertext Transfer Protocol
Hipnos	Hypnos
Hipnose	Hypnosis
Hipotálamo	Hypothalamus
Hipótese	Hypothesis
I	I
Ieoh Ming Pei	I. M. Pei
IPod	IPod
Ian Fleming	Ian Fleming
Jápeto (satélite)	Iapetus (moon)
Jápeto	Iapetus (mythology)
Península Ibérica	Iberian Peninsula
Ibuprofeno	Ibuprofen
Gelo	Ice
Glaciação	Ice age
Gelado	Ice cream
Hóquei no gelo	Ice hockey
Categoria:Hóquei no gelo	Ice hockey
Iceberg	Iceberg
Islândia	Iceland
Categoria:Islândia	Iceland
Ictiologia	Ichthyology
Ícone (pintura)	Icon
Iconoclastia	Iconoclasm
Idaho	Idaho
Categoria:Idaho	Idaho
Gás perfeito	Ideal gas
Idealismo	Idealism
Elemento neutro	Identity element
Matriz identidade	Identity matrix
Ideologia	Ideology
Ido	Ido
Iglu	Igloo
Inácio de Loyola	Ignatius of Loyola
Rocha ígnea	Igneous rock
Ígor Stravinski	Igor Stravinsky
Cataratas do Iguaçu	Iguazu Falls
Ilíada	Iliad
Illinois	Illinois
Categoria:Illinois	Illinois
Ilíria	Illyria
Digitalizador	Image scanner
Imame	Imam
Immanuel Kant	Immanuel Kant
Sistema imunitário	Immune system
Imunologia	Immunology
Categoria:Imunologia	Immunology
Imperialismo	Imperialism
Impressionismo	Impressionism
Incesto	Incest
Polegada	Inch
Incheon	Incheon
Plano inclinado	Inclined plane
Independência	Independence
Índia	India
Categoria:Índia	India
Oceano Índico	Indian Ocean
Categoria:Oceano Índico	Indian Ocean
Indiana	Indiana
Categoria:Indiana	Indiana
Indianápolis	Indianapolis
Indira Gandhi	Indira Gandhi
Índio (elemento químico)	Indium
Indochina	Indochina
Indonésia	Indonesia
Categoria:Indonésia	Indonesia
Indra	Indra
Indutância	Inductance
Raciocínio indutivo	Inductive reasoning
Indutor	Inductor
Indulgência	Indulgence
Indus	Indus (constellation)
Rio Indo	Indus River
Revolução Industrial	Industrial Revolution
Indústria	Industry
Categoria:Indústria	Industry
Desigualdade	Inequality
Inércia	Inertia
Infantaria	Infantry
Doença infecciosa	Infectious disease
Infinitivo	Infinitive
Infinito	Infinity
Inflamação	Inflammation
Inflação	Inflation
Gripe	Influenza
Informação	Information
Tecnologia da informação	Information technology
Teoria da informação	Information theory
Radiação infravermelha	Infrared
Infra-estrutura	Infrastructure
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Mongólia Interior	Inner Mongolia
Inovação	Innovation
Innsbruck	Innsbruck
Química inorgânica	Inorganic chemistry
Categoria:Química inorgânica	Inorganic chemistry
Inquisição	Inquisition
Inseto	Insect
Inseticida	Insecticide
Insectívoros	Insectivora
Instituição	Institution
Insulina	Insulin
Seguro	Insurance
Número inteiro	Integer
Integral	Integral
Circuito integrado	Integrated circuit
Propriedade intelectual	Intellectual property
Inteligência	Intelligence
Quociente de inteligência	Intelligence quotient
ICBM	Intercontinental ballistic missile
Juro	Interest
Interferência	Interference
Interjeição	Interjection
Interlíngua	Interlingua
Agência Internacional de Energia Atómica	International Atomic Energy Agency
Organização da Aviação Civil Internacional	International Civil Aviation Organization
Tribunal Internacional de Justiça	International Court of Justice
Linha Internacional de Data	International Date Line
Organização Internacional do Trabalho	International Labour Organization
Fundo Monetário Internacional	International Monetary Fund
Sistema Internacional de Unidades	International System of Units
Categoria:Direito internacional público	International law
Organização internacional	International organization
Internet	Internet
Categoria:Internet	Internet
Internet Explorer	Internet Explorer
Campo de concentração	Internment
Interpretador	Interpreter (computing)
Interseção	Intersection (set theory)
Intervalo (música)	Interval (music)
Intestino	Intestine
Intranet	Intranet
Invenção	Invention
Invertebrado	Invertebrate
Io	Io (moon)
Io (mitologia)	Io (mythology)
Iodo	Iodine
Íon	Ion
Jônia	Ionia
Mar Jônico	Ionian Sea
Ligação iônica	Ionic bond
Ionosfera	Ionosphere
Ι	Iota
Iowa	Iowa
Categoria:Iowa	Iowa
Irão	Iran
Categoria:Irão	Iran
Guerra Irã-Iraque	Iran-Iraq War
Iraque	Iraq
Categoria:Iraque	Iraq
Irlanda	Ireland
Categoria:Irlanda	Ireland
Ireneu de Lyon	Irenaeus
Irídio	Iridium
Íris	Iris (anatomy)
Íris (mitologia)	Iris (mythology)
Exército Republicano Irlandês	Irish Republican Army
Mar da Irlanda	Irish Sea
Categoria:Irlandeses	Irish people
Ferro	Iron
Idade do Ferro	Iron Age
Cortina de ferro	Iron Curtain
Iron Maiden	Iron Maiden
Ironia	Irony
Número irracional	Irrational number
Irredentismo	Irredentism
Rio Irtich	Irtysh River
Isaac	Isaac
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Ismael	Ishmael
Ísis	Isis
Islão	Islam
Categoria:Islão	Islam
Islamabad	Islamabad
Calendário islâmico	Islamic calendar
Ilha	Island
Ilha de Man	Isle of Man
Categoria:Ilha de Man	Isle of Man
Ilha de Wight	Isle of Wight
Isomerismo	Isomer
Isoroku Yamamoto	Isoroku Yamamoto
Isótopo	Isotope
Israel	Israel
Categoria:Israel	Israel
Istambul	Istanbul
Categoria:Istambul	Istanbul
Istmo	Isthmus
Istmo do Panamá	Isthmus of Panama
Península Itálica	Italian Peninsula
Italo Calvino	Italo Calvino
Itália	Italy
Categoria:Itália	Italy
Ítaca	Ithaca
Ivan Lendl	Ivan Lendl
Ivan Petrovich Pavlov	Ivan Pavlov
Ivan Turgeniev	Ivan Turgenev
Marfim	Ivory
Ivy League	Ivy League
Iwo Jima	Iwo Jima
J	J
J. D. Salinger	J. D. Salinger
James Matthew Barrie	J. M. Barrie
Jack Kerouac	Jack Kerouac
Jack Lemmon	Jack Lemmon
Jack London	Jack London
Jack o Estripador	Jack the Ripper
Gralha-de-nuca-cinzenta	Jackdaw
Jackson (Mississippi)	Jackson
Jackson Pollock	Jackson Pollock
Jacksonville	Jacksonville
Jacó	Jacob
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jacques Offenbach	Jacques Offenbach
Jade	Jade
Onça-pintada	Jaguar
Jainismo	Jainism
Jacarta	Jakarta
Jalalabad	Jalalabad
Jamaica	Jamaica
Categoria:Jamaica	Jamaica
Santiago Maior	James
James A. Garfield	James A. Garfield
James Bond	James Bond
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James Knox Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Naismith	James Naismith
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jammu e Caxemira	Jammu and Kashmir
Jan Hus	Jan Hus
Jan van Eyck	Jan van Eyck
Jane Austen	Jane Austen
Jane Fonda	Jane Fonda
Joana Seymour	Jane Seymour
Janis Joplin	Janis Joplin
Janízaro	Janissary
Janeiro	January
1 de Janeiro	January 1
19 de Janeiro	January 19
20 de Janeiro	January 20
6 de Janeiro	January 6
Jano (satélite)	Janus (moon)
Jano	Janus (mythology)
Japão	Japan
Categoria:Japão	Japan
Jasão	Jason
Icterícia	Jaundice
Java	Java
Java (desambiguação)	Java (disambiguation)
Java (linguagem de programação)	Java (programming language)
Jawaharlal Nehru	Jawaharlal Nehru
Jazz	Jazz
Categoria:Jazz	Jazz
Jean Auguste Dominique Ingres	Jean Auguste Dominique Ingres
Jean Cocteau	Jean Cocteau
Jean Piaget	Jean Piaget
Jean Racine	Jean Racine
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Jidá	Jeddah
Jefferson City	Jefferson City
Jefferson Davis	Jefferson Davis
Tetragrama YHVH	Jehovah
Testemunhas de Jeová	Jehovah's Witnesses
Scyphozoa	Jellyfish
Jena	Jena
Jeremy Bentham	Jeremy Bentham
Jerez de la Frontera	Jerez de la Frontera
Jericó	Jericho
Jerónimo de Strídon	Jerome
Jersey	Jersey
Jerusalém	Jerusalem
Categoria:Jerusalém	Jerusalem
Jesus	Jesus
Motor a jacto	Jet engine
Judeu	Jew
Berimbau de boca	Jew's harp
Jihad	Jihad
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Joana d'Arc	Joan of Arc
Johann Bernoulli	Johann Bernoulli
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Diderik van der Waals	Johannes Diderik van der Waals
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
Joanesburgo	Johannesburg
John Adams	John Adams
John Bardeen	John Bardeen
John Cage	John Cage
João Calvino	John Calvin
São João Crisóstomo	John Chrysostom
John Dalton	John Dalton
John Dewey	John Dewey
John Galsworthy	John Galsworthy
John Herschel	John Herschel
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Major	John Major
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Napier	John Napier
John Quincy Adams	John Quincy Adams
John Ruskin	John Ruskin
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wayne	John Wayne
John Wycliffe	John Wycliffe
João Baptista	John the Baptist
John von Neumann	John von Neumann
Johnny Cash	Johnny Cash
Articulação	Joint
Jonathan Swift	Jonathan Swift
Jordânia	Jordan
Categoria:Jordânia	Jordan
Rio Jordão	Jordan River
Jorge Luis Borges	Jorge Luis Borges
Joseph Conrad	Joseph Conrad
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Louis Joseph Gay-Lussac	Joseph Louis Gay-Lussac
Joseph McCarthy	Joseph McCarthy
Joseph Priestley	Joseph Priestley
Joseph Pulitzer	Joseph Pulitzer
Joseph Schumpeter	Joseph Schumpeter
Joseph Smith Jr.	Joseph Smith
Josef Stalin	Joseph Stalin
Flávio Josefo	Josephus
Joule	Joule
Categoria:Jornalismo	Journalism
Jornalismo	Journalism
Joviano	Jovian
Joystick	Joystick
Judaísmo	Judaism
Categoria:Judaísmo	Judaism
Judas Iscariotes	Judas Iscariot
Judéia	Judea
Judô	Judo
Judy Garland	Judy Garland
Jiu-jitsu	Jujutsu
Júlio Verne	Jules Verne
Calendário juliano	Julian calendar
Júlio César	Julius Caesar
Julho	July
1 de Julho	July 1
4 de Julho	July 4
Junho	June
14 de Junho	June 14
21 de Junho	June 21
23 de Junho	June 23
24 de Junho	June 24
29 de Junho	June 29
3 de Junho	June 3
Juneau	Juneau
Juniperus	Juniper
Juno	Juno (mythology)
Júpiter (planeta)	Jupiter
Categoria:Júpiter	Jupiter
Júpiter	Jupiter (disambiguation)
Júpiter (mitologia)	Jupiter (mythology)
Jurássico	Jurassic
Justiniano I	Justinian I
Jutlândia	Jutland
K	K
K2	K2
KGB	KGB
Caaba	Kaaba
Cabala	Kabbalah
Cabul	Kabul
Kalahari	Kalahari Desert
Península de Kamchatka	Kamchatka Peninsula
Kamikaze	Kamikaze
Kampala	Kampala
Kandahar	Kandahar
Canguru	Kangaroo
Kansas	Kansas
Categoria:Kansas	Kansas
Kansas City (Missouri)	Kansas City
Κ	Kappa
Mar de Kara	Kara Sea
Carachi	Karachi
Caracórum	Karakoram
Karaokê	Karaoke
Caratê	Karate
Karen Blixen	Karen Blixen
Karl Barth	Karl Barth
Karl Jaspers	Karl Jaspers
Karl Marx	Karl Marx
Karl Popper	Karl Popper
Karma	Karma
Karnataka	Karnataka
Katharine Hepburn	Katharine Hepburn
Catmandu	Kathmandu
Katowice	Katowice
Kaunas	Kaunas
Caiaque	Kayak
Cazaquistão	Kazakhstan
Categoria:Cazaquistão	Kazakhstan
Cazã	Kazan
Kazimir Malevich	Kazimir Malevich
Kelvin	Kelvin
Kent	Kent
Kentucky	Kentucky
Categoria:Kentucky	Kentucky
Quénia	Kenya
Categoria:Quénia	Kenya
Kernel	Kernel (computer science)
Querosene	Kerosene
Ketchup	Ketchup
Cetona	Ketone
Teclado (computador)	Keyboard (computing)
Instrumento de teclas	Keyboard instrument
Khabarovsk	Khabarovsk
Khan	Khan
Carcóvia	Kharkiv
Cartum	Khartoum
Khmer Vermelho	Khmer Rouge
Quéops	Khufu
Kibutz	Kibbutz
Rim	Kidney
Kiev	Kiev
Kigali	Kigali
Quilograma	Kilogram
Quilômetro	Kilometre
Quilômetro por hora	Kilometres per hour
Quimono	Kimono
Jardim de infância	Kindergarten
Cinemática	Kinematics
Energia cinética	Kinetic energy
Rei (xadrez)	King (chess)
Rei Artur	King Arthur
King Lear	King Lear
Reino (biologia)	Kingdom (biology)
Kingston	Kingston
Kingstown	Kingstown
Kinshasa	Kinshasa
Kiribati	Kiribati
Categoria:Kiribati	Kiribati
Kirkuk	Kirkuk
Beijo	Kiss
Pipa (brinquedo)	Kite
Quivi	Kiwi
Joelho	Knee
Knesset	Knesset
Faca	Knife
Cavaleiro	Knight
Cavalo (xadrez)	Knight (chess)
Cnossos	Knossos
Nó (unidade)	Knot (speed)
Conhecimento	Knowledge
Knut Hamsun	Knut Hamsun
Coala	Koala
Kobe	Kobe
Península de Kola	Kola Peninsula
Calcutá	Kolkata
Dragão-de-komodo	Komodo dragon
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Coreia	Korea
Categoria:Coreia	Korea
Guerra da Coréia	Korean War
Kosovo	Kosovo
Categoria:Kosovo	Kosovo
Krakatoa	Krakatoa
Kremlin	Kremlin
Krishna	Krishna
Crípton	Krypton
Ku Klux Klan	Ku Klux Klan
Kuala Lumpur	Kuala Lumpur
Kublai Khan	Kublai Khan
Cintura de Kuiper	Kuiper belt
Fortunella	Kumquat
Kunlun	Kunlun Mountains
Kuomintang	Kuomintang
Rio Kura	Kura River
Curdistão	Kurdistan
Categoria:Curdistão	Kurdistan
Partido dos Trabalhadores do Curdistão	Kurdistan Workers Party
Kursk	Kursk
Kurt Vonnegut	Kurt Vonnegut
Kurt Waldheim	Kurt Waldheim
Kuwait	Kuwait
Categoria:Kuwait	Kuwait
Kuwait (cidade)	Kuwait City
KwaZulu-Natal	KwaZulu-Natal
Quioto (cidade)	Kyoto
Quirguistão	Kyrgyzstan
Categoria:Quirguistão	Kyrgyzstan
L	L
Áquila	L'Aquila
LAMP	LAMP (software bundle)
La Paz	La Paz
La Plata	La Plata
La Spezia	La Spezia
LaTeX	LaTeX
Laboratório	Laboratory
Partido Trabalhista do Reino Unido	Labour Party (UK)
Retriever do Labrador	Labrador Retriever
Lacerta	Lacerta
Ácido láctico	Lactic acid
Lactose	Lactose
Joana Grey	Lady Jane Grey
Lagomorfos	Lagomorpha
Lagos (Nigéria)	Lagos
Lahore	Lahore
Laissez-faire	Laissez-faire
Lago	Lake
Lago Baikal	Lake Baikal
Lago Balaton	Lake Balaton
Lago Chade	Lake Chad
Lago de Constança	Lake Constance
Lago Erie	Lake Erie
Lago Eyre	Lake Eyre
Lago Léman	Lake Geneva
Lago Huron	Lake Huron
Lago Ilmen	Lake Ilmen
Lago Ladoga	Lake Ladoga
Lago Niassa	Lake Malawi
Lago Michigan	Lake Michigan
Lago Onega	Lake Onega
Lago Ontário	Lake Ontario
Lago Superior	Lake Superior
Lago Tanganica	Lake Tanganyika
Lago Vitória	Lake Victoria
Lakshmi	Lakshmi
Λ	Lambda
Lamiaceae	Lamiaceae
Abutre-barbudo	Lammergeier
Lampreia	Lamprey
Lancashire	Lancashire
Cephalochordata	Lancelet
Aterro sanitário	Landfill
Linguagem	Language
Languedoc-Roussillon	Languedoc-Roussillon
Lansing	Lansing
Lantanídio	Lanthanide
Lantânio	Lanthanum
Laos	Laos
Categoria:Laos	Laos
Mar de Laptev	Laptev Sea
Laptop	Laptop
Larix	Larch
Larva	Larva
Laringe	Larynx
Las Vegas	Las Vegas
Lascaux	Lascaux
Laser	Laser
Torno mecânico	Lathe
Latim	Latin
América Latina	Latin America
Alfabeto latino	Latin alphabet
Latitude	Latitude
Letónia	Latvia
Categoria:Letónia	Latvia
Riso	Laughter
Laurásia	Laurasia
Lausana	Lausanne
Lava	Lava
Direito	Law
Categoria:Direito	Law
Categoria:Polícia	Law enforcement
Laurêncio	Lawrencium
Advogado	Lawyer
Lácio	Lazio
Le Corbusier	Le Corbusier
Le Havre	Le Havre
Chumbo	Lead
Folha (botânica)	Leaf
Sociedade das Nações	League of Nations
Torre de Pisa	Leaning Tower of Pisa
Ano bissexto	Leap year
Aprendizagem	Learning
Líbano	Lebanon
Categoria:Líbano	Lebanon
Leda	Leda (mythology)
Lee Harvey Oswald	Lee Harvey Oswald
Leeds	Leeds
Canhoto	Left-handed
Lenda	Legend
Poder legislativo	Legislature
Lego	Lego
Leicester	Leicester
Leida	Leiden
Leipzig	Leipzig
Limão	Lemon
Erva-cidreira	Lemon balm
Rio Lena (Rússia)	Lena River
Comprimento	Length
Lente	Lens (optics)
Quaresma	Lent
Lentilha	Lentil
Leo	Leo (constellation)
Leão I de Bizâncio	Leo I (emperor)
Leon Trótski	Leon Trotsky
Leonard Bernstein	Leonard Bernstein
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
