Lithuanian	English
Olivinas	Olivine
Olimpija (Vašingtonas)	Olympia
Olimpinės žaidynės	Olympic Games
Kategorija:Olimpinės žaidynės	Olympics
Omaha	Omaha
Omanas	Oman
Kategorija:Omanas	Oman
Omega (raidė)	Omega
Omikron (raidė)	Omicron
Omskas	Omsk
Kategorija:Onkologija	Oncology
Valgomasis svogūnas	Onion
Onomastika	Onomastics
Ontarijas	Ontario
Ontologija	Ontology
Orto kometoidų debesis	Oort cloud
Opalas	Opal
Opel	Opel
Opera	Opera
Opera (naršyklė)	Opera (Internet suite)
Operacinė sistema	Operating system
Operetė	Operetta
Gyvatnešis	Ophiuchus
Opijus	Opium
Skaidulinė optika	Optical fiber
Optika	Optics
Kategorija:Optika	Optics
Optimizavimas (matematika)	Optimization (mathematics)
Oralinis seksas	Oral sex
Oranžinė	Orange (colour)
Apelsinas	Orange (fruit)
Orangutanai	Orangutan
Orbita	Orbit
Orka	Orca
Simfoninis orkestras	Orchestra
Gegužraibiniai	Orchidaceae
Būrys	Order (biology)
Benediktinai	Order of Saint Benedict
Ordovikas	Ordovician
Oregonas	Oregon
Orestas	Orestes (mythology)
Organas	Organ (anatomy)
Organelės	Organelle
Organinė chemija	Organic chemistry
Organinis junginys	Organic compound
Organizmas	Organism
Organizavimas	Organization
Orgazmas	Orgasm
Origami	Origami
Origenas	Origen
Orinokas	Orinoco
Orionas (astronomija)	Orion (constellation)
Orisa	Orissa
Orlandas	Orlando
Ornitologija	Ornithology
Kategorija:Ornitologija	Ornithology
Orfėjas	Orpheus
Osaka	Osaka
Osama bin Ladenas	Osama bin Laden
Oskaras Vaildas	Oscar Wilde
Ozyris	Osiris
Oslas	Oslo
Osmis	Osmium
Erelis žuvininkas	Osprey
Kaulinės žuvys	Osteichthyes
Osteoporozė	Osteoporosis
Ostrava	Ostrava
Afrikinis strutis	Ostrich
Otava	Ottawa
Otto von Bismarck	Otto von Bismarck
Osmanų imperija	Ottoman Empire
Kategorija:Osmanų imperija	Ottoman Empire
Kiaušidė	Ovary
Ovidijus	Ovid
Ovjedas	Oviedo
Kiaušialąstė	Ovum
Pelėdiniai paukščiai	Owl
Oksfordas	Oxford
Oksidacijos laipsnis	Oxidation state
Oksidas	Oxide
Deguonis	Oxygen
Oksimoronas	Oxymoron
Oksitocinas	Oxytocin
Ozonas	Ozone
Ozono sluoksnis	Ozone layer
P	P
PH	PH
Pablo Neruda	Pablo Neruda
Pablo Picasso	Pablo Picasso
Ramusis vandenynas	Pacific Ocean
Pacifizmas	Pacifism
Paduva	Padua
Pagonys	Paganism
Pakistanas	Pakistan
Kategorija:Pakistanas	Pakistan
Palau	Palau
Kategorija:Palau	Palau
Paleolitas	Paleolithic
Paleontologija	Paleontology
Kategorija:Paleontologija	Paleontology
Paleozojus	Paleozoic
Palermas	Palermo
Kategorija:Palestina	Palestine
Palestinos išsivadavimo organizacija	Palestine Liberation Organization
Pali	Pali
Paladis	Palladium
Pamyras	Pamir Mountains
Panas (mitologija)	Pan (mythology)
Panama	Panama
Panamos kanalas	Panama Canal
Panama (miestas)	Panama City
Kasa	Pancreas
Pandemija	Pandemic
Pandora	Pandora
Pangėja	Pangaea
Panteros	Panthera
Papua Naujoji Gvinėja	Papua New Guinea
Kategorija:Papua Naujoji Gvinėja	Papua New Guinea
Parabolė	Parabola
Paracelsas	Paracelsus
Parašiutas	Parachute
Paradoksas	Paradox
Paragvajus	Paraguay
Kategorija:Paragvajus	Paraguay
Paralaksas	Parallax
Lygiagretainis	Parallelogram
Paramaribas	Paramaribo
Paranoja	Paranoia
Lytinis nukrypimas	Paraphilia
Parapsichologija	Parapsychology
Parazitizmas	Parasitism
Paryžius	Paris
Kategorija:Paryžius	Paris
Paris	Paris (mythology)
Lyginiai ir nelyginiai skaičiai	Parity (mathematics)
Parlamentas	Parliament
Papūginiai paukščiai	Parrot
Parsekas	Parsec
Petražolė	Parsley
Partenonas	Parthenon
Partai	Parthia
Dalelių fizika	Particle physics
Kategorija:Dalelių fizika	Particle physics
Parvati	Parvati
Paskalis	Pascal
Pascal	Pascal (programming language)
Paskalis (matavimo vienetas)	Pascal (unit)
Žvirbliniai paukščiai	Passerine
Pasas	Passport
Pasterizacija	Pasteurization
Patagonija	Patagonia
Patentas	Patent
Augalų ligos	Pathology
Patrai	Patras
Patriotizmas	Patriotism
Paul Gauguin	Paul Gauguin
Paul McCartney	Paul McCartney
Paul Newman	Paul Newman
Apaštalas Paulius	Paul the Apostle
Paulio draudimo principas	Pauli exclusion principle
Povas (astronomija)	Pavo (constellation)
Pėstininkas (šachmatai)	Pawn (chess)
Luaros kraštas	Pays de la Loire
Sėjamasis žirnis	Pea
Taika	Peace
Vestfalijos taika	Peace of Westphalia
Persikas	Peach
Valgomasis arachis	Peanut
Kriaušė	Pear
Perlas	Pearl
Perl Harboras	Pearl Harbor
Durpės	Peat
Edukologija	Pedagogy
Kategorija:Pedagogika	Pedagogy
Pediatrija	Pediatrics
Pedofilija	Pedophilia
Paprastasis ąžuolas	Pedunculate Oak
Pegasas	Pegasus
Pegasas (astronomija)	Pegasus (constellation)
Peloponesas	Peloponnese
Peloponeso karas	Peloponnesian War
Pieštukas	Pencil
Penelopė	Penelope
Pingvininiai	Penguin
Penicilinas	Penicillin
Pusiasalis	Peninsula
Pensilvanija	Pennsylvania
Pentagrama	Pentagram
Sekminės	Pentecost
Sekmininkai	Pentecostalism
Kategorija:Biografijos	People
Kinijos Liaudies Respublika	People's Republic of China
Polipeptidas	Peptide
Nuošimtis	Percentage
Suvokimas	Perception
Ešeržuvės	Perciformes
Mušamieji instrumentai	Percussion instrument
Sakalas keleivis	Peregrine Falcon
Perestroika	Perestroika
Kvepalai	Perfume
Periklis	Pericles
Periodinė elementų lentelė	Periodic table
Permė	Perm
Amžinasis įšalas	Permafrost
Permas	Permian
Kėliniai	Permutation
Amžinasis variklis	Perpetual motion
Persefonė	Persephone
Persepolis	Persepolis
Persėjas	Perseus
Persėjas (astronomija)	Perseus (constellation)
Senovės Persija	Persian Empire
Persijos įlanka	Persian Gulf
Delninis kompiuteris	Personal digital assistant
Pertas	Perth
Peru	Peru
Kategorija:Peru	Peru
Pesticidas	Pesticide
Piteris Paulius Rubensas	Peter Paul Rubens
Nafta	Petroleum
Petrologija	Petrology
Fanerozojus	Phanerozoic
Faraonas	Pharaoh
Farmakologija	Pharmacology
Kategorija:Farmakologija	Pharmacology
Ryklė	Pharynx
Fenomenologija	Phenomenology
Fenilalaninas	Phenylalanine
Fi (raidė)	Phi (letter)
Filadelfija	Philadelphia
Filatelija	Philately
Kategorija:Filatelija	Philately
Pilypas II	Philip II of Spain
Filipinų jūra	Philippine Sea
Filipinai	Philippines
Kategorija:Filipinai	Philippines
Filologija	Philology
Kategorija:Filologija	Philology
Filosofinis akmuo	Philosopher's stone
Filosofija	Philosophy
Kategorija:Filosofija	Philosophy
Pnompenis	Phnom Penh
Fobija	Phobia
Fobas (palydovas)	Phobos (moon)
Finikija	Phoenicia
Finiksas	Phoenix
Feniksas (reikšmės)	Phoenix
Feniksas (astronomija)	Phoenix (constellation)
Feniksas	Phoenix (mythology)
Phoenix (Marso zondas)	Phoenix (spacecraft)
Fosforo rūgštis	Phosphoric acid
Fosforas	Phosphorus
Fotografija	Photography
Kategorija:Fotografija	Photography
Fotonas	Photon
Fotosfera	Photosphere
Fotosintezė	Photosynthesis
Tipas	Phylum
Gydytojas	Physician
Fizika	Physics
Kategorija:Fizika	Physics
Wikipedia:Fizika	Physics
Fiziologija	Physiology
Kategorija:Fiziologija	Physiology
Pi	Pi
Pi (raidė)	Pi (letter)
Pianinas	Piano
Pikardija	Picardie
Geniniai paukščiai	Piciformes
Tapytojas (astronomija)	Pictor
Pidžinas	Pidgin
Pjemontas	Piedmont
Pierre Curie	Pierre Curie
Pjeras Ferma	Pierre de Fermat
Pigmentas	Pigment
Pilzenas	Pilsen
Pušiniai	Pinaceae
Pindaras	Pindar
Pušis	Pine
Valgomasis ananasas	Pineapple
Ping	Ping
Rausva	Pink
Ruoniniai	Pinniped
Piratavimas	Piracy
Piza	Pisa
Žuvys (astronomija)	Pisces (constellation)
Pitsburgas	Pittsburgh
Hipofizė	Pituitary gland
Pica	Pizza
Plagijavimas	Plagiarism
Planeta	Planet
Planetiškasis ūkas	Planetary nebula
Planktonas	Plankton
Augalai	Plant
Plazma	Plasma (physics)
Plastikas	Plastic
Plastidė	Plastid
Plokščių tektonika	Plate tectonics
Trombocitas	Platelet
Platina	Platinum
Platonas	Plato
Ančiasnapis	Platypus
Playboy	Playboy
Žaidimo korta	Playing card
Plejadės (astronomija)	Pleiades (star cluster)
Pleistocenas	Pleistocene
Plevenas	Pleven
Pliocenas	Pliocene
Plovdivas	Plovdiv
Plutarchas	Plutarch
Plutonas (nykštukinė planeta)	Pluto
Plutonis	Plutonium
Plimutas (Anglija)	Plymouth
Po (upė)	Po River
Migliniai	Poaceae
Podcasting	Podcast
Poezija	Poetry
Kategorija:Poezija	Poetry
Taškas	Point (geometry)
Nuodas	Poison
Puatjė	Poitiers
Puatu-Šarantos	Poitou-Charentes
Pokeris	Poker
Lenkija	Poland
Kategorija:Lenkija	Poland
Baltasis lokys	Polar bear
Šiaurinė	Polaris
Policija	Police
Poliomielitas	Poliomyelitis
Partija	Political party
Politologija	Political science
Kategorija:Politologija	Political science
Politika	Politics
Žiedadulkė	Pollen
Apdulkinimas	Pollination
Teršimas	Pollution
Polonis	Polonium
Polietilenas	Polyethylene
Polymnija	Polyhymnia
Polimeras	Polymer
Polinezija	Polynesia
Polinomas	Polynomial
Politeizmas	Polytheism
Polivinilchloridas	Polyvinyl chloride
Paprastasis granatmedis	Pomegranate
Didysis citrinmedis	Pomelo
Pompėja	Pompeii
Poncijus Pilotas	Pontius Pilate
Pop art menas	Pop art
Popmuzika	Pop music
Popiežius	Pope
Aleksandras VI	Pope Alexander VI
Tuopa	Poplar
Populiacija	Population
Porcelianas	Porcelain
Pornografija	Pornography
uostas	Port
Port Luisas	Port Louis
Port Morsbis	Port Moresby
Port Vila	Port Vila
Port of Speinas	Port of Spain
Port o Prensas	Port-au-Prince
Portlandas	Portland
Portas	Porto
Portretas	Portrait
Portugalija	Portugal
Kategorija:Portugalija	Portugal
Poseidonas	Poseidon
Pozitronas	Positron
Pašto ženklas	Postage stamp
Pašto kodas	Postal code
Postmodernizmas	Postmodernism
Kalis	Potassium
Kalio salietra	Potassium nitrate
Valgomoji bulvė	Potato
Potencinė energija	Potential energy
Potsdamas	Potsdam
Svaras	Pound (mass)
Svaras sterlingų	Pound sterling
Skurdas	Poverty
Galia (fizika)	Power (physics)
Jėgainė	Power station
Praha	Prague
Praja	Praia
Prazeodimis	Praseodymium
Malda	Prayer
Krituliai	Precipitation (meteorology)
Nėštumas	Pregnancy
Priešistorė	Prehistory
Prezidentas	President
JAV prezidentas	President of the United States
Slėgis	Pressure
Pretorija	Pretoria
Priamas	Priam
Kaina	Price
Kunigas	Priest
Primatai	Primate
Kategorija:Primatai	Primates
Ministras pirmininkas	Prime minister
Pirminis skaičius	Prime number
Princo Edvardo sala	Prince Edward Island
Reliatyvumo teorija	Principle of relativity
Prionas	Prion
Prizmė	Prism (optics)
Kalėjimas	Prison
Nelaisvė	Prisoner of war
Tikimybių teorija	Probability theory
Kategorija:Tikimybių teorija	Probability theory
Meškėniniai	Procyonidae
Profesorius	Professor
Pelnas	Profit
Programavimo kalba	Programming language
Progresyvusis rokas	Progressive rock
Projektas	Project
Prokariotinė ląstelė	Prokaryote
Prolog	Prolog
Prometėjas	Prometheus
Prometis	Promethium
Propaganda	Propaganda
Propanas	Propane
Pranašas	Prophet
Proza	Prose
Prostata	Prostate
Protaktinis	Protactinium
Baltymas	Protein
Proterozojus	Proterozoic
Reformacija	Protestant Reformation
Protestantizmas	Protestantism
Pirmuonys	Protist
Kategorija:Pirmuonys	Protista
Protonas	Proton
Providensas	Providence
Proxima Centauri	Proxima Centauri
Slyva	Prunus
Prūsija	Prussia
Kategorija:Pseudomokslai	Pseudoscience
Pseudomokslas	Pseudoscience
Psi (raidė)	Psi (letter)
Žvynelinė	Psoriasis
Psichiatrija	Psychiatry
Kategorija:Psichiatrija	Psychiatry
Psichoanalizė	Psychoanalysis
Psichologija	Psychology
Kategorija:Psichologija	Psychology
Psichozė	Psychosis
Psichoterapija	Psychotherapy
Ptachas	Ptah
Pterozaurai	Pterosaur
Ptolemėjų dinastija	Ptolemaic dynasty
Klaudijus Ptolemėjus	Ptolemy
Lytinė branda	Puberty
Viešo naudojimo režimas	Public domain
Puerto Rikas	Puerto Rico
Kategorija:Puerto Rikas	Puerto Rico
Pula	Pula
Skridinys	Pulley
Pulsaras	Pulsar
Skyryba	Punctuation
Pandžabas (Indija)	Punjab (India)
Pankrokas	Punk rock
Vyzdys	Pupil
Laivagalis	Puppis
Pchenjanas	Pyongyang
Piramidė	Pyramid
Pirėnai	Pyrenees
Piritas	Pyrite
Pyro pergalė	Pyrrhic victory
Pitagoras	Pythagoras
Python	Python (programming language)
Kompasas (astronomija)	Pyxis
Q	Q
Kataras	Qatar
Kategorija:Kataras	Qatar
Čin dinastija	Qin Dynasty
Čing dinastija	Qing Dynasty
Kvadratinė lygtis	Quadratic equation
Keturkampis	Quadrilateral
Kvestorius	Quaestor
Kvantinė lauko teorija	Quantum field theory
Kvantinė mechanika	Quantum mechanics
Karantinas	Quarantine
Kvarkas	Quark
Kvarcas	Quartz
Kvazaras	Quasar
Kvarteras	Quaternary
Kvaternionas	Quaternion
Kvebekas	Quebec
Kvebekas (miestas)	Quebec City
Kečujų kalba	Quechua
Kvinsas	Queens
Kvinslandas	Queensland
Quentin Tarantino	Quentin Tarantino
Klaustukas	Question mark
Kecalkoatlis	Quetzalcoatl
Paprastoji cidonija	Quince
Kitas	Quito
R	R
RAF	RAF (disambiguation)
Ribonukleino rūgštis	RNA
Ra	Ra
Rabatas	Rabat
Rabinas	Rabbi
Rabindranatas Tagorė	Rabindranath Tagore
Usūrinis šuo	Raccoon Dog
Rasė	Race
Rasizmas	Racism
Kategorija:Rasizmas	Racism
Radaras	Radar
Kategorija:Radijas	Radio
Radioteleskopas	Radio telescope
Radis	Radium
Spindulys	Radius
Radonas	Radon
Lietus	Rain
Vaivorykštė	Rainbow
Rainer Maria Rilke	Rainer Maria Rilke
Rolis	Raleigh
Rama (mitologija)	Rama
Ramadanas	Ramadan
Ramajana	Ramayana
Ramzis II	Ramesses II
Vėdryniniai	Ranunculaceae
Išprievartavimas	Rape
Rapsas	Rapeseed
Rafaelis	Raphael
Arkangelas Rafaelis	Raphael (archangel)
Paprastoji avietė	Raspberry
Žiurkė	Rat
Racionalusis skaičius	Rational number
Beketeriai paukščiai	Ratite
Ravena	Ravenna
Ravalpindis	Rawalpindi
Ray Bradbury	Ray Bradbury
Realusis skaičius	Real number
Recesija	Recession
Resifė	Recife
Stačiakampis	Rectangle
Elektros srovės lygintuvas	Rectifier
Rekursija	Recursion
Raudona	Red
Raudonosios armijos frakcija	Red Army Faction
Taurusis elnias	Red Deer
Rudoji lapė	Red Fox
Raudonoji jūra	Red Sea
Raudondumbliai	Red algae
Raudonasis kraujo kūnelis	Red blood cell
Raudonoji nykštukė	Red dwarf
Raudonoji milžinė	Red giant
RISC	Reduced instruction set computer
Referendumas	Referendum
Bangos lūžis	Refraction
Lūžio rodiklis	Refractive index
Regentas	Regent
Regis	Reggae
Pulkas	Regiment
Redžaina	Regina
Regionas	Region
Šiaurinis elnias	Reindeer
Reliatyvizmas	Relativism
Kategorija:Reliatyvumo teorija	Relativity
Relė	Relay
Religija	Religion
Kategorija:Religija	Religion
Rembrandt	Rembrandt
Renesansas	Renaissance
Ropliai	Reptile
Respublika	Republic
Taivanas	Republic of China
Airija	Republic of Ireland
Kategorija:Airija	Republic of Ireland
Kongo Respublika	Republic of the Congo
Kategorija:Kongas	Republic of the Congo
JAV respublikonų partija	Republican Party (United States)
Rezistorius	Resistor
Tinklelis	Reticulum
Tinklainė	Retina
Vitaminas A	Retinol
Revoliucija	Revolution
Revolveris	Revolver
Rėja (palydovas)	Rhea (moon)
Rėja	Rhea (mythology)
Renis	Rhenium
Retorika	Rhetoric
Kategorija:Retorika	Rhetoric
Reinas	Rhine
Raganosiniai	Rhinoceros
Rod Ailandas	Rhode Island
Rodas	Rhodes
Rodis	Rhodium
Rombas	Rhombus
Ritmenbliuzas	Rhythm and blues
Šonkaulis	Rib
Riboflavinas	Riboflavin
Ribosoma	Ribosome
Richard Feynman	Richard Feynman
Richard Nixon	Richard Nixon
Richard Wagner	Richard Wagner
Richard Wright	Richard Wright (musician)
Ryga	Riga
Rigelis	Rigel
Rektascensija	Right ascension
Ringo Starr	Ringo Starr
Grandė (JAV-Meksika)	Rio Grande
Rio de Žaneiras	Rio de Janeiro
Upė	River
Temzė	River Thames
Rijadas	Riyadh
Kelias	Road
Roaldas Amundsenas	Roald Amundsen
Robert Boyle	Robert Boyle
Robert Burns	Robert Burns
Robert Falcon Scott	Robert Falcon Scott
Robert Oppenheimer	Robert Oppenheimer
Robert Schumann	Robert Schumann
Robinas Hudas	Robin Hood
Robotas	Robot
Akmuo, žirklės, popierius	Rock
Uoliena	Rock (geology)
Rokenrolas	Rock and roll
Rokas	Rock music
Kategorija:Rokas	Rock music
Uoliniai kalnai	Rocky Mountains
Graužikai	Rodent
Stirna	Roe Deer
Rentgenis	Roentgenium
Romos katalikų bažnyčia	Roman Catholic Church
Romos imperija	Roman Empire
Romėnų kalendorius	Roman calendar
Romėnų teisė	Roman law
Legionas	Roman legion
Romėnų mitologija	Roman mythology
Kategorija:Romėnų mitologija	Roman mythology
Rumunija	Romania
Kategorija:Rumunija	Romania
Retoromanų kalba	Romansh
Romantizmas	Romanticism
Roma	Rome
Ronald Reagan	Ronald Reagan
Stogas	Roof
Kovas (paukštis)	Rook (bird)
Bokštas (šachmatai)	Rook (chess)
Šaknis	Root
Erškėtiniai	Rosaceae
Erškėtiečiai	Rosales
Rosarijas	Rosario
Rožinys	Rosary
Erškėtis	Rose
Rozo	Roseau
Rozetės akmuo	Rosetta Stone
Roso jūra	Ross Sea
Rostokas	Rostock
Verpetės	Rotifer
Roterdamas	Rotterdam
Maršrutizatorius	Router
Royal Air Force	Royal Air Force
Guma	Rubber
Rubikonas	Rubicon
Rubidis	Rubidium
Paprastoji avietė	Rubus idaeus
Rubinas	Ruby
Ruby	Ruby (programming language)
Rudolf Diesel	Rudolf Diesel
Rudolf Hess	Rudolf Hess
Radjardas Kiplingas	Rudyard Kipling
Rusija	Russia
Kategorija:Rusija	Russia
Rusijos stačiatikių bažnyčia	Russian Orthodox Church
Rusijos revoliucija	Russian Revolution (1917)
Rutenis	Ruthenium
Rezerfordis	Rutherfordium
Ruanda	Rwanda
Kategorija:Ruanda	Rwanda
Sėjamasis rugys	Rye
S	S
Sakramentas	Sacrament
Sakramentas (Kalifornija)	Sacramento
Sadamas Huseinas	Saddam Hussein
Apple Safari	Safari (web browser)
Strėlė (astronomija)	Sagitta
Šaulys (astronomija)	Sagittarius (constellation)
Sachara	Sahara
Burė	Sail
Apaštalas Andriejus	Saint Andrew
Šv. Jurgis	Saint George
Sent Kitsas ir Nevis	Saint Kitts and Nevis
Šv. Lauryno upė	Saint Lawrence River
Sent Lusija	Saint Lucia
Kategorija:Sent Lusija	Saint Lucia
Sent Polis	Saint Paul
Apaštalas Petras	Saint Peter
Sankt Peterburgas	Saint Petersburg
Sent Vinsentas ir Grenadinai	Saint Vincent and the Grenadines
Sakė	Sake
Saladinas	Saladin
Uodeguotieji varliagyviai	Salamander
Salernas	Salerno
Seilės	Saliva
Salman Rushdie	Salman Rushdie
Lašišinės	Salmonidae
Druska	Salt
Druska	Salt (chemistry)
Solt Leik Sitis	Salt Lake City
Salvadoras (miestas)	Salvador
Zalcburgas	Salzburg
Zalcburgas (žemė)	Salzburg (state)
Samara	Samara
Samaris	Samarium
Samarkandas	Samarkand
Samoa	Samoa
Kategorija:Samoa	Samoa
Samsara	Samsara
Samuel Beckett	Samuel Beckett
Samurajus	Samurai
San Antonijas	San Antonio
San Diegas	San Diego
San Franciskas	San Francisco
San Chosė (JAV)	San Jose
San Chuanas (Puerto Rikas)	San Juan
San Marinas	San Marino
Kategorija:San Marinas	San Marino
San Marinas (miestas)	San Marino
San Salvadoras	San Salvador
Smėlis	Sand
Sandro Botticelli	Sandro Botticelli
Smiltainis	Sandstone
Sumuštinis	Sandwich
Sanskritas	Sanskrit
Kalėdų Senelis	Santa Claus
Santa Fė (Naujoji Meksika)	Santa Fe
Čilės Santjagas	Santiago
Santjagas	Santiago
Santo Domingas	Santo Domingo
Safyras	Sapphire
Sapfo	Sappho
Saporas	Sapporo
Sarah Bernhardt	Sarah Bernhardt
Sarajevas	Sarajevo
Saratovas	Saratov
Sardinija	Sardinia
Saris (miestas)	Sari
Saskačevanas	Saskatchewan
Satanizmas	Satanism
Dirbtinis palydovas	Satellite
Šeštadienis	Saturday
Saturnas	Saturn
Kategorija:Saturnas	Saturn
Saturnas (mitologija)	Saturn (mythology)
Satyras	Satyr
Padažas	Sauce
Saudo Arabija	Saudi Arabia
Kategorija:Saudo Arabija	Saudi Arabia
Dešra	Sausage
Saksonija	Saxony
Kategorija:Saksonija	Saxony
Saksofonas	Saxophone
Skandinavija	Scandinavia
Skandinavijos pusiasalis	Scandinavian Peninsula
Skandis	Scandium
Mentė	Scapula
Scheme	Scheme (programming language)
Šizofrenija	Schizophrenia
Scholastika	Scholasticism
Mokykla	School
SS	Schutzstaffel
Mokslas	Science
Kategorija:Mokslas	Science
Mokslinė fantastika	Science fiction
Mokslinis metodas	Scientific method
Scientologija	Scientology
Scipionas Afrikietis	Scipio Africanus
Voveriniai	Sciuridae
Skorpionai	Scorpion
Skorpionas (astronomija)	Scorpius
Škotija	Scotland
Kategorija:Škotija	Scotland
Paprastoji pušis	Scots Pine
Škotų gėlų kalba	Scottish Gaelic
Atsuktuvas	Screwdriver
Kapšelis	Scrotum
Skulptorius (astronomija)	Sculptor (constellation)
Skulptūra	Sculpture
Jūra	Sea
Jūrinė ūdra	Sea Otter
Holoturijos	Sea cucumber
Azovo jūra	Sea of Azov
Japonijos jūra	Sea of Japan
Marmuro jūra	Sea of Marmara
Ochotsko jūra	Sea of Okhotsk
Jūrų ežiai	Sea urchin
Syborgis	Seaborgium
Sears Tower	Sears Tower
Metų laikai	Season
Sietlas	Seattle
Sekundė	Second
Antrasis kryžiaus žygis	Second Crusade
II Vatikano susirinkimas	Second Vatican Council
Sekta	Sect
Sėkla	Seed
Sena	Seine
Seismologija	Seismology
Selenė	Selene
Selenas	Selenium
Semantika	Semantics
Sperma	Semen
Puslaidininkis	Semiconductor
Semiotika	Semiotics
Senatas	Senate
Senegalas	Senegal
Kategorija:Senegalas	Senegal
Seulas	Seoul
Sepuku	Seppuku
Rugsėjis	September
Rugsėjo 11	September 11
Rugsėjo 11 d. atakos	September 11
Rugsėjo 17	September 17
Rugsėjo 29	September 29
Serbija	Serbia
Kategorija:Serbija	Serbia
Serbija ir Juodkalnija	Serbia and Montenegro
Kategorija:Serbija ir Juodkalnija	Serbia and Montenegro
Sergejus Rachmaninovas	Sergei Rachmaninoff
Serinas	Serine
Serotoninas	Serotonin
Gyvatė (astronomija)	Serpens
Serveris	Server (computing)
Aibė	Set
Kategorija:Aibių teorija	Set theory
Sevastopolis	Sevastopol
Septynerių metų karas	Seven Years' War
SARS	Severe acute respiratory syndrome
Sevilija	Seville
Lytiniai organai	Sex organ
Seksizmas	Sexism
Lytinis aktas	Sexual intercourse
Lytiniu keliu plintančios ligos	Sexually transmitted disease
Seišeliai	Seychelles
Kategorija:Seišeliai	Seychelles
Šamanizmas	Shamanism
Šanchajus	Shanghai
Akcija (finansai)	Share (finance)
Laikinai nemokama programinė įranga	Shareware
Šariatas	Sharia
Rykliai	Shark
Šefildas	Sheffield
Šerlokas Holmsas	Sherlock Holmes
Šetlando salos	Shetland
Skydas	Shield
Šikoku	Shikoku
Šintoizmas	Shinto
Laivas	Ship
Šyva	Shiva
Siogūnas	Shogun
Krūmas	Shrub
Sibiras	Siberia
Sibiro haskis	Siberian Husky
Sičuanas	Sichuan
Sicilija	Sicily
Siera Leonė	Sierra Leone
Kategorija:Siera Leonė	Sierra Leone
Sigmund Freud	Sigmund Freud
Ženklų kalba	Sign language
Sigrid Undset	Sigrid Undset
Sikhizmas	Sikhism
Sikimas	Sikkim
Silezija	Silesia
Silicis	Silicon
Silicio dioksidas	Silicon dioxide
Šilkas	Silk
Šilko kelias	Silk Road
Silūras	Silurian
Sidabras	Silver
Simone de Beauvoir	Simone de Beauvoir
Sinajaus pusiasalis	Sinai Peninsula
Singapūras	Singapore
Kategorija:Singapūras	Singapore
Singlas	Single (music)
Sirenos (mitologija)	Siren
Sirenos (gyvūnai)	Sirenia
Sirijus	Sirius
Siksto koplyčia	Sistine Chapel
Sizifas	Sisyphus
Šešių dienų karas	Six-Day War
Riedlentė	Skateboard
Oda	Skin
Skustagalviai	Skinhead
Skopjė	Skopje
Galvos griaučiai	Skull
Skylab	Skylab
Dangoraižis	Skyscraper
Saul Hudson	Slash (musician)
Vergovė	Slavery
Miegas	Sleep
Slovakija	Slovakia
Kategorija:Slovakija	Slovakia
Slovėnija	Slovenia
Kategorija:Slovėnija	Slovenia
Plonoji žarna	Small intestine
Smogas	Smog
Smolenskas	Smolensk
Gyvatės	Snake
Angliškasis biliardas	Snooker
Sniegas	Snow
Muilas	Soap
Socialinė psichologija	Social psychology
Socializmas	Socialism
Kategorija:Socializmas	Socialism
Prancūzijos socialistų partija	Socialist Party (France)
Jėzuitai	Society of Jesus
Sociologija	Sociology
Kategorija:Sociologija	Sociology
Sokratas	Socrates
Natris	Sodium
Natrio hidrokarbonatas	Sodium bicarbonate
Natrio chloridas	Sodium chloride
Natrio šarmas	Sodium hydroxide
Sofija	Sofia
Dirvožemis	Soil
Bulviniai	Solanaceae
Kategorija:Bulviniai	Solanaceae
Saulės sistema	Solar System
Saulės baterija	Solar cell
Saulės užtemimas	Solar eclipse
Saulės energija	Solar energy
Saulės vėjas	Solar wind
Solidarumas	Solidarity
Saliamonas	Solomon
Saliamono Salos	Solomon Islands
Solonas	Solon
Saulėgrįža	Solstice
Tirpalas	Solution
Tirpiklis	Solvent
Somalis	Somalia
Kategorija:Somalis	Somalia
Somersetas	Somerset
Soma (departamentas)	Somme
Daina	Song
Sonetas	Sonnet
Sofizmas	Sophism
Sofoklis	Sophocles
Sorbona	Sorbonne
Sorgas	Sorghum
Rikiavimo algoritmas	Sorting algorithm
Siela	Soul
Garsas	Sound
Sriuba	Soup
Išeitinis kodas	Source code
Pietūs	South
Kategorija:Pietų Afrikos Respublika	South Africa
Pietų Amerika	South America
Kategorija:Pietų Amerika	South America
Pietų Australija	South Australia
Pietų Karolina	South Carolina
Pietų Kinijos jūra	South China Sea
Pietų Dakota	South Dakota
Pietų sala	South Island
Pietų Korėja	South Korea
Kategorija:Pietų Korėja	South Korea
Pietų ašigalis	South Pole
Pietryčių Azija	Southeast Asia
Pietų pusrutulis	Southern Hemisphere
Suverenitetas	Sovereignty
Tarybų Sąjunga	Soviet Union
Kategorija:Tarybų Sąjunga	Soviet Union
Gauruotoji soja	Soybean
Space Shuttle	Space Shuttle
Kosminė stotis	Space station
Spagečiai	Spaghetti
Ispanija	Spain
Kategorija:Ispanija	Spain
Elektroninės šiukšlės	Spam (electronic)
Ispanijos pilietinis karas	Spanish Civil War
Kategorija:Ispanijos asmenybės	Spanish people
Sparta	Sparta
Specialioji reliatyvumo teorija	Special relativity
Rūšis	Species
Greitis	Speed
Šviesos greitis	Speed of light
Speleologija	Speleology
Kašalotiniai	Sperm Whale
Spermatozoidas	Spermatozoon
