Breton	English
Treuzrevelezh	Transsexualism
Treuzsilvania	Transylvania
Trento	Trento
Triaseg	Triassic
Triseratops	Triceratops
Trier	Trier
An Dreinded	Trinity
Tripoli (Libia)	Tripoli
Tritiom	Tritium
Bolz-enor	Triumphal arch
Brezel Troia	Trojan War
Roñfl (kenrouedad)	Troll (Internet)
Trovan	Tropics
Trotskiouriezh	Trotskyism
Troia	Troy
Trompilh (sonerezh)	Trumpet
Tsunami	Tsunami
Meurzh (deiz)	Tuesday
Tuniz	Tunis
Tunizia	Tunisia
Riboul	Tunnel
Torino	Turin
Turkia	Turkey
Rummad:Turkia	Turkey
Turkmenistan	Turkmenistan
Toskana	Tuscany
Tuvalu	Tuvalu
Rummad:Tuvalu	Tuvalu
Tycho Brahe	Tycho Brahe
Tiranosaor	Tyrannosaurus
Tir (kêr)	Tyre
Tirol (Aostria)	Tyrol (state)
Mor Tirrenia	Tyrrhenian Sea
U (lizherenn)	U
UNESCO	UNESCO
Oufa (kêr)	Ufa
Ouganda	Uganda
Rummad:Ouganda	Uganda
Ukraina	Ukraine
Rummad:Ukraina	Ukraine
Cúige Uladh	Ulster
Uslimestra	Ultraviolet
Umbria	Umbria
Emirelezhioù Arab Unanet	United Arab Emirates
Rouantelezh Unanet Breizh-Veur ha Norzhiwerzhon	United Kingdom
Aozadur ar Broadoù Unanet	United Nations
Rummad:ABU	United Nations
Stadoù-Unanet Amerika	United States
Rummad:Stadoù-Unanet Amerika	United States
Unix	Unix
Uppsala	Uppsala
Upsilon (lizherenn)	Upsilon
Ourania	Urania
Ouran (planedenn)	Uranus
Ouranos	Uranus (mythology)
Ourdoueg	Urdu
Uruguay	Uruguay
Utah	Utah
Utrecht (kêr)	Utrecht (city)
Uttar Pradesh	Uttar Pradesh
Ouzbekistan	Uzbekistan
Rummad:Ouzbekistan	Uzbekistan
V (lizherenn)	V
Gouhin	Vagina
Valletta	Valletta
Traoñienn	Valley
Vandalerezh	Vandalism
Var (departamant)	Var (department)
Varna	Varna
Keoded ar Vatikan	Vatican City
Velosiraptor	Velociraptor
Veneto	Veneto
Venezuela	Venezuela
Rummad:Venezuela	Venezuela
Venezia	Venice
Gwener (planedenn)	Venus
Gwener (doueez)	Venus (mythology)
Verb	Verb
Vermont	Vermont
Verona	Verona
Gwalenn ar c'hein	Vertebral column
Vertebrata	Vertebrate
Vespasian	Vespasian
Vesta	Vesta (mythology)
Victor Hugo	Victor Hugo
C'hoari video	Video game
Vienna	Vienna
Vienne (departamant)	Vienne
Viêt Nam	Vietnam
Rummad:Viêt Nam	Vietnam
Vikinged	Viking
Vilnius	Vilnius
Vincent van Gogh	Vincent van Gogh
Biolin	Violin
Publius Vergilius Maro	Virgil
Virginia	Virginia
Gwerc'hded	Virginity
Vichnou	Vishnu
Vitus Bering	Vitus Bering
Vladimir Lenin	Vladimir Lenin
Vladimir Nabokov	Vladimir Nabokov
Vladimir Poutin	Vladimir Putin
Menez-tan	Volcano
Volkanegezh	Volcanology
Volga	Volga River
Volgograd	Volgograd
Volt	Volt
Voltaire	Voltaire
Vogalenn	Vowel
Vulgat	Vulgate
Kourzh	Vulva
W (lizherenn)	W
Kembre	Wales
Rummad:Kembre	Wales
Walt Disney	Walt Disney
Walter Gropius	Walter Gropius
Walter Scott	Walter Scott
Brezel	War
Varsovia	Warsaw
Washington D.C.	Washington
Washington (stad)	Washington
Washington	Washington (disambiguation)
Vassily Kandinsky	Wassily Kandinsky
Dour	Water
Rummad:Dour	Water
Watt	Watt
Hirder gwagenn	Wavelength
Merdeer	Web browser
Merc'her (deiz)	Wednesday
Sizhun	Week
Wellington (Zeland-Nevez)	Wellington
Weser	Weser River
Kornôg	West
West-Sussex	West Sussex
West Virginia	West Virginia
Impalaeriezh roman ar C'hornôg	Western Roman Empire
Sahara ar C'hornôg	Western Sahara
Rod	Wheel
Wicca	Wicca
Wiesbaden	Wiesbaden
William Butler Yeats	William Butler Yeats
William Faulkner	William Faulkner
William Harvey	William Harvey
Gwilherm Iañ Alamagn	William I
William Rowan Hamilton	William Rowan Hamilton
William Shakespeare	William Shakespeare
Willy Brandt	Willy Brandt
Windhoek	Windhoek
Prenestr	Window
Gwin	Wine
Winston Churchill	Winston Churchill
Wisconsin (stad)	Wisconsin
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Maouez	Woman
Woodrow Wilson	Woodrow Wilson
Woody Allen	Woody Allen
Ger	Word
Brezel-bed kentañ	World War I
Rummad:Brezel bed kentañ	World War I
Eil brezel-bed	World War II
Rummad:Eil Brezel Bed	World War II
World Wide Web	World Wide Web
Doare-skrivañ	Writing system
Wyoming (stad)	Wyoming
X (lizherenn)	X
Skinoù X	X-ray
Xi (lizherenn)	Xi
Xinjiang	Xinjiang
Y (lizherenn)	Y
Yakuza	Yakuza
Kendalc'h Yalta	Yalta Conference
Bloaz	Year
Rummad:Bloavezhioù	Years
Yemen	Yemen
Yerevan	Yerevan
York	York
Yougoslavia	Yugoslavia
Youriy Gagarin	Yuri Gagarin
Z (lizherenn)	Z
Zambia	Zambia
Rummad:Zambia	Zambia
Zanzibar	Zanzibar
Zeta (lizherenn)	Zeta
Zeus	Zeus
Zimbabwe	Zimbabwe
Rummad:Zimbabwe	Zimbabwe
Loenoniezh	Zoology
Rummad:Loenoniezh	Zoology
