English	Slovenian
Giuseppe Verdi	Giuseppe Verdi
Giza	Giza
Glacier	Ledenik
Gland	Žleza
Glasgow	Glasgow
Glass	Steklo
Glider	Jadralno letalo
Global Positioning System	GPS
Global warming	Globalno segrevanje
Globalization	Globalizacija
Glucose	Glukoza
Gluon	Gluon
Glycerol	Glicerol
Glycogen	Glikogen
Glycolysis	Glikoliza
Gnosticism	Gnosticizem
Go (board game)	Go
Goat	Domača koza
Gobi Desert	Gobi
God	Bog
Golan Heights	Golanska planota
Gold	Zlato
Golda Meir	Golda Meir
Golden Eagle	Planinski orel
Golden Horde	Zlata horda
Golden Retriever	Zlati prinašalec
Golf	Golf
Golf	Kategorija:Golf
Golgi apparatus	Golgijev aparat
Good Friday	Veliki petek
Google	Google
Google	Kategorija:Google
Googol	Gugol
Gorgon	Gorgona
Goshawk	Kragulj
Gospel	Evangelij
Gospel of Luke	Evangelij po Luku
Gothic	Gotika
Government	Vladavina
Grace Kelly	Grace Kelly
Gradient	Gradient
Graham Greene	Graham Greene
Gram	Gram
Grammar	Slovnica
Grammar	Kategorija:Slovnica
Grammatical gender	Spol (jezik)
Granada	Granada
Grand Canyon	Veliki kanjon
Grandmaster (chess)	Šahovske kategorije in naslovi
Granite	Granit
Grape	Grozdje
Grapefruit	Grenivka
Graphic design	Kategorija:Grafično oblikovanje
Graphical user interface	Grafični uporabniški vmesnik
Graphite	Grafit
Gravitation	Težnost
Gravitational constant	Gravitacijska konstanta
Graviton	Graviton
Gray (unit)	Grej
Gray Wolf	Sivi volk
Graz	Gradec
Great Barrier Reef	Veliki koralni greben
Great Britain	Velika Britanija
Great Crested Grebe	Čopasti ponirek
Great Lakes	Velika jezera
Great Wall of China	Kitajski zid
Great white shark	Beli morski volk
Greatest common divisor	Največji skupni delitelj
Grebe	Ponirek
Greece	Grčija
Greece	Kategorija:Grčija
Greek alphabet	Grška abeceda
Greek alphabet	Kategorija:Grška abeceda
Greek fire	Grški ogenj
Greek mythology	Grška mitologija
Greek mythology	Kategorija:Grška mitologija
Green	Zelena
Greenhouse effect	Učinek tople grede
Greenhouse gas	Toplogredni plini
Greenland	Grenlandija
Greenland	Kategorija:Grenlandija
Greenpeace	Greenpeace
Greenwich	Greenwich
Greenwich Mean Time	Greenwiški srednji čas
Gregor Mendel	Gregor Mendel
Gregorian calendar	Gregorijanski koledar
Grenada	Kategorija:Grenada
Grenoble	Grenoble
Griffon Vulture	Beloglavi jastreb
Gross domestic product	Bruto domači proizvod
Group (mathematics)	Grupa (matematika)
Group (periodic table)	Skupina periodnega sistema
Group theory	Teorija grup
Grover Cleveland	Grover Cleveland
Gruiformes	Žerjavovci
Guadeloupe	Guadeloupe
Guam	Guam
Guanine	Gvanin
Guatemala	Kategorija:Gvatemala
Guatemala City	Ciudad Guatemala
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guild	Ceh
Guillotine	Giljotina
Guinea	Gvineja
Guinea	Kategorija:Gvineja
Guinea pig	Morski prašiček
Guinea-Bissau	Gvineja Bissau
Guinea-Bissau	Kategorija:Gvineja Bissau
Guitar	Kitara
Gulag	Gulag
Gulf War	Zalivska vojna
Gulf of Aden	Adenski zaliv
Gulf of Aqaba	Akabski zaliv
Gulf of Mexico	Mehiški zaliv
Gunpowder	smodnik
Gunpowder Plot	Smodniška zarota
Gustav Klimt	Gustav Klimt
Gustav Ludwig Hertz	Gustav Ludwig Hertz
Gustav Mahler	Gustav Mahler
Gustave Flaubert	Gustave Flaubert
Guy Fawkes	Guy Fawkes
Guyana	Kategorija:Gvajana
Gymnosperm	Golosemenke
Gynaecology	Ginekologija
Gypsum	Sadra
Gyroscope	Žiroskop
H	H
H. G. Wells	Herbert George Wells
HIV	HIV
HTML	HTML
Habitat	Habitat (ekologija)
Hacker	Heker
Hadean	Had (geologija)
Hades	Had
Hadrian	Hadrijan
Hadrian's Wall	Hadrijanov zid
Hadron	Hadron
Hafnium	Hafnij
Hagia Sophia	Hagija Sofija
Haiku	Haiku
Hail	Toča
Hail Mary	Zdravamarija
Hair	Las
Haiti	Haiti
Haiti	Kategorija:Haiti
Hajj	Hadž
Halal	Halal
Halberd	Helebarda
Halle	Halle, Saška-Anhalt
Hallucination	Halucinacija
Halogen	Halogen
Hamas	Hamas
Hamburg	Hamburg
Hamburg	Kategorija:Hamburg
Hamlet	Hamlet
Hammer and sickle	Srp in kladivo
Hammurabi	Hamurabi
Hamster	Hrčki
Hand	Roka
Handgun	Pištola
Hannah Arendt	Hannah Arendt
Hannibal	Hanibal
Hanoi	Hanoj
Hanover	Hannover
Hans Bethe	Hans Albrecht Bethe
Hans Christian Andersen	Hans Christian Andersen
Hanseatic League	Hansa
Hanuman	Hanuman
Hardness	Trdota
Harmonica	Orglice
Harmony	Harmonija
Harold Pinter	Harold Pinter
Harp	Harfa
Harpsichord	Čembalo
Harpy	Harpije
Harriet Tubman	Harriet Tubman
Harry Houdini	Harry Houdini
Hassium	Hasij
Haute-Normandie	Zgornja Normandija
Hawaii	Havaji
Hawaii	Kategorija:Havaji
Head	Glava
Health	Zdravje
Health	Kategorija:Zdravje
Heart	Srce
Heat	Toplota
Heat engine	Toplotni stroj
Heaven	Nebesa
Heavy metal music	Metal
Heavy water	Težka voda
Hebrew alphabet	Hebrejska abeceda
Hectare	Hektar
Hector	Hektor
Hector Berlioz	Hector Berlioz
Hedgehog	ježi
Heinrich Hertz	Heinrich Rudolf Hertz
Heinrich Himmler	Heinrich Himmler
Heinrich Schliemann	Heinrich Schliemann
Helen	Helena (mitologija)
Helen Keller	Helen Keller
Helicopter	Helikopter
Helium	Helij
Hell	Pekel
Helsinki	Helsinki
Hematology	Kategorija:Hematologija
Hemoglobin	Hemoglobin
Hemorrhoid	Hemoroidi
Henri Becquerel	Antoine Henri Becquerel
Henri Bergson	Henri Bergson
Henrik Ibsen	Henrik Ibsen
Henry Cavendish	Henry Cavendish
Henry Ford	Henry Ford
Henry Miller	Henry Miller
Hera	Hera
Heracles	Heraklej
Heraclitus	Heraklit Mračni
Heraldry	Heraldika
Heraldry	Kategorija:Heraldika
Herat	Herat
Herbert Hoover	Herbert Hoover
Hercules	Heraklej
Heresy	Herezija
Hermann Hesse	Hermann Hesse
Hermann Minkowski	Hermann Minkowski
Hermann von Helmholtz	Hermann Ludwig Ferdinand von Helmholtz
Hermeneutics	Hermenevtika
Hermes	Hermes
Hero of Alexandria	Heron
Herod the Great	Herod Veliki
Herodotus	Herodot
Heroin	Heroin
Herring Gull	Srebrni galeb
Hertz	Herc
Hesiod	Heziod
Hesperides	Hesperide
Hesse	Hessen
Hesse	Kategorija:Hessen
Heterotroph	Heterotrof
Hexadecimal	Šestnajstiški številski sistem
Hexagon	Šestkotnik
Hezbollah	Hezbolah
Hibernation	Hibernacija
Hideki Yukawa	Hideki Jukava
Hieronymus Bosch	Hieronymus Bosch
Himalayas	Himalaja
Hindu Kush	Hindukuš
Hinduism	Hinduizem
Hinduism	Kategorija:Hinduizem
Hipparchus	Hiparh
Hippie	Hipi
Hippocrates	Hipokrat
Hippocratic Oath	Hipokratova prisega
Hippopotamus	Veliki povodni konj
Hirohito	Hirohito
Hispaniola	Hispaniola
Histology	Histologija
Histology	Kategorija:Histologija
Histone	Histon
History	Zgodovina
History	Kategorija:Zgodovina
History	Portal:Zgodovina
Ho Chi Minh	Ho Ši Minh (politik)
Ho Chi Minh City	Hošiminh
Hobbit	Hobiti
Hobby	Konjiček
Hollywood	Hollywood
Holmium	Holmij
Holocene	Holocen
Holography	Holografija
Holy Grail	Sveti gral
Holy Roman Empire	Sveto rimsko cesarstvo
Holy Roman Empire	Kategorija:Sveto rimsko cesarstvo
Holy Spirit	Sveti Duh
Homeopathy	Homeopatija
Homeostasis	Homeostaza
Homer	Homer
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homonym	Enakozvočnica
Homophobia	Homofobija
Homosexuality	Homoseksualnost
Honduras	Honduras
Honduras	Kategorija:Honduras
Honey	Med
Honey Buzzard	Sršenar
Hong Kong	Hong Kong
Hooke's law	Hookov zakon
Hoopoe	Smrdokavra
Horace	Horacij
Horatio Nelson	Horatio Nelson
Horizon	Obzorje
Hormone	Hormon
Horn (instrument)	Rog
Horn of Africa	Afriški rog
Horse	Domači konj
Horsepower	Konjska moč
Horus	Hor
Hospital	Bolnišnica
Hotel	Hotel
Hour	Ura
House	Hiša
Hovercraft	Hoverkraft
Howard Carter (archaeologist)	Howard Carter
Hubble's law	Hubblov čas
Human	Človek
Humanism	Humanizem
Humanities	Kategorija:Humanistične vede
Humerus	Nadlahtnica
Humidity	Vlažnost
Hummingbird	Kolibriji
Humor	Kategorija:Humor
Humphrey Bogart	Humphrey Bogart
Hundred Years' War	Stoletna vojna
Hungary	Madžarska
Hungary	Kategorija:Madžarska
Hunger	Lakota
Hunting	Lov
Hybrid	Križanec
Hydrocarbon	Ogljikovodiki
Hydrochloric acid	Klorovodikova kislina
Hydrogen	Vodik
Hydrogen cyanide	Cianovodikova kislina
Hydrogen peroxide	Vodikov peroksid
Hydrology	Hidrologija
Hydrology	Kategorija:Hidrologija
Hydrosphere	Hidrosfera
Hygiene	Kategorija:Higiena
Hymen	Deviška kožica
Hymenoptera	Kategorija:Kožokrilci
Hymenoptera	Kožokrilci
Hyperbola	Hiperbola
Hyperion (moon)	Hiperion (luna)
Hyperion (mythology)	Hiperion
Hypertext	Nadbesedilo
Hypertext Transfer Protocol	HTTP
Hypnos	Hipnos
Hypnosis	Hipnoza
Hypothesis	Hipoteza
I	I
IPod	IPod
Iapetus (moon)	Japet (luna)
Iberian Peninsula	Iberski polotok
Ice	Led
Ice cream	Sladoled
Ice hockey	Hokej na ledu
Iceland	Islandija
Iceland	Kategorija:Islandija
Icon	Ikona
Iconoclasm	Ikonoklazem
Idaho	Idaho
Idaho	Kategorija:Idaho
Ideal gas	Idealni plin
Idealism	Idealizem
Identity element	Nevtralni element
Identity matrix	Enotska matrika
Ideology	Ideologija
Ido	Ido
Ignatius of Loyola	Sveti Ignacij Lojolski
Igneous rock	Magmatske kamnine
Igor Stravinsky	Igor Stravinski
Iguazu Falls	Slapovi Iguazú
Iliad	Iliada
Illinois	Illinois
Illinois	Kategorija:Illinois
Image scanner	Optični bralnik
Imam	Imamiti
Immanuel Kant	Immanuel Kant
Immunology	Imunologija
Immunology	Kategorija:Imunologija
Imperialism	Imperializem
Impressionism	Impresionizem
Incest	Incest
Inch	Palec
Inclined plane	Klančina
Independence	Neodvisnost
India	Indija
India	Kategorija:Indija
Indian Ocean	Indijski ocean
Indian Ocean	Kategorija:Indijski ocean
Indiana	Indiana
Indiana	Kategorija:Indiana
Indira Gandhi	Indira Gandhi
Indium	Indij
Indonesia	Indonezija
Indonesia	Kategorija:Indonezija
Indra	Indra
Inductance	Induktivnost
Inductive reasoning	Indukcija (logika)
Inductor	Dušilka
Indulgence	Cerkveni odpustki
Indus River	Ind
Industrial Revolution	Industrijska revolucija
Industry	Industrija
Inertia	Vztrajnost
Infantry	Pehota
Infectious disease	Nalezljiva bolezen
Infinity	Neskončnost
Inflammation	Vnetje
Influenza	Gripa
Information	Informacija
Information technology	Informacijska tehnologija
Infrared	Infrardeče valovanje
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Innovation	Inovacija
Innsbruck	Innsbruck
Inorganic chemistry	Kategorija:Anorganska kemija
Inquisition	Inkvizicija
Insect	Žuželke
Insulin	Insulin
Integer	Celo število
Integral	Integral
Integrated circuit	Integrirano vezje
Intelligence quotient	Inteligenčni količnik
Intercontinental ballistic missile	Medcelinska balistična raketa
Interference	Interferenca
International Atomic Energy Agency	Mednarodna agencija za jedrsko energijo
International Court of Justice	Meddržavno sodišče OZN
International Labour Organization	Mednarodna organizacija dela
International Monetary Fund	Mednarodni denarni sklad
International System of Units	Mednarodni sistem enot
Internet	Internet
Internet	Kategorija:Internet
Internet Explorer	Windows Internet Explorer
Internment	Koncentracijsko taborišče
Intersection (set theory)	Presek množic
Interval (music)	Interval (glasba)
Intestine	Črevo
Invention	Izum
Invertebrate	Nevretenčarji
Io (moon)	Io (luna)
Iodine	Jod
Ion	Ion
Ionia	Jonija
Ionian Sea	Jonsko morje
Ionic bond	Ionska vez
Iota	Jota (črka)
Iowa	Iowa
Iowa	Kategorija:Iowa
Iran	Iran
Iran	Kategorija:Iran
Iran-Iraq War	Iransko-iraška vojna
Iraq	Irak
Iraq	Kategorija:Irak
Ireland	Irska (otok)
Ireland	Category:Irska
Irenaeus	Sveti Irenej Lyonski
Iridium	Iridij
Iris (anatomy)	Šarenica
Irish Republican Army	Irska republikanska armada
Irish Sea	Irsko morje
Irish people	Kategorija:Irci
Iron	Železo
Iron Age	Železna doba
Iron Curtain	Železna zavesa
Iron Maiden	Iron Maiden
Irony	Ironija
Irrational number	Iracionalno število
Irredentism	Iredentizem
Irtysh River	Irtiš
Isaac Asimov	Isaac Asimov
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Isis	Izida
Islam	Islam
Islam	Kategorija:Islam
Islamic calendar	Islamski koledar
Island	Otok
Isle of Man	Man
Isle of Man	Kategorija:Otok Man
Isomer	Izomer
Isotope	Izotop
Israel	Izrael
Israel	Kategorija:Izrael
Istanbul	Istanbul
Italy	Italija
Italy	Kategorija:Italija
Ivan Pavlov	Ivan Petrovič Pavlov
Ivan Turgenev	Ivan Sergejevič Turgenjev
Iwo Jima	Iwo Jima
J	J
J. D. Salinger	Jerome David Salinger
Jackdaw	Kavka
Jackson Pollock	Jackson Pollock
Jacques Cartier	Jacques Cartier
Jacques Offenbach	Jacques Offenbach
Jaguar	Jaguar
Jainism	Džainizem
Jakarta	Džakarta
Jamaica	Jamajka
Jamaica	Kategorija:Jamajka
James	Apostol Jakob Veliki
James A. Garfield	James Abram Garfield
James Bond	James Bond
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James K. Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Naismith	James Naismith
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jan Hus	Jan Hus
Jan van Eyck	Jan van Eyck
Jane Austen	Jane Austen
Janis Joplin	Janis Joplin
Janissary	Janičar
January	Januar
January 1	1. januar
January 19	19. januar
January 20	20. januar
January 6	6. januar
Janus (moon)	Jan (luna)
Janus (mythology)	Janus
Japan	Japonska
Japan	Kategorija:Japonska
Jason	Jazon
Jaundice	Zlatenica
Java	Java
Java (disambiguation)	Java (razločitev)
Java (programming language)	Programski jezik java
Jawaharlal Nehru	Džavaharlal Nehru
Jazz	Jazz
Jean Cocteau	Jean Cocteau
Jean Piaget	Jean Piaget
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Jehovah's Witnesses	Jehovove priče
Jersey	Jersey
Jerusalem	Jeruzalem
Jerusalem	Kategorija:Jeruzalem
Jesus	Jezus Kristus
Jew	Judje
Jew's harp	Dromlja
Jihad	Džihad
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Joan of Arc	Ivana Orleanska
Johann Bernoulli	Johann Bernoulli I.
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Diderik van der Waals	Johannes Diderik van der Waals
Johannes Gutenberg	Johann Gutenberg
Johannes Kepler	Johannes Kepler
Johannesburg	Johannesburg
John Bardeen	John Bardeen
John Chrysostom	Sveti Janez Krizostom
John Dalton	John Dalton
John Herschel	John Frederick William Herschel
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Maynard Keynes	John Maynard Keynes
John Napier	John Napier
John Quincy Adams	John Quincy Adams
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wayne	John Wayne
John Wycliffe	John Wycliffe
John the Baptist	Janez Krstnik
John von Neumann	John von Neumann
Johnny Cash	Johnny Cash
Jordan	Jordanija
Jordan	Kategorija:Jordanija
Jordan River	Jordan
Joseph Goebbels	Paul Joseph Goebbels
Joseph Haydn	Joseph Haydn
Joseph Louis Gay-Lussac	Joseph Louis Gay-Lussac
Joseph Pulitzer	Joseph Pulitzer
Joseph Stalin	Josip Visarijonovič Džugašvili
Josephus	Jožef Flavij
Joule	Džul
Journalism	Kategorija:Novinarstvo
Journalist	Novinar
Joystick	Igralna palica
Judaism	Judovstvo
Judaism	Kategorija:Judovstvo
Judas Iscariot	Juda Iškarijot
Judo	Judo
Jujutsu	Ju jutsu
Jules Verne	Jules Verne
Julian calendar	Julijanski koledar
Julius Caesar	Gaj Julij Cezar
July	Julij
July 1	1. julij
July 4	4. julij
June	Junij
June 14	14. junij
June 21	21. junij
June 23	23. junij
June 24	24. junij
June 29	29. junij
June 3	3. junij
Juniper	Brin
Jupiter	Jupiter
Jupiter	Kategorija:Jupiter
Jupiter (disambiguation)	Jupiter (razločitev)
Jupiter (mythology)	Jupiter (bog)
Jurassic	Jura
Justinian I	Justinijan I.
K	K
K2	K2
KGB	KGB
Kabbalah	Kabala
Kabul	Kabul
Kalahari Desert	Kalahari
Kamchatka Peninsula	Kamčatka
Kamikaze	Kamikaza
Kandahar	Kandahar
Kangaroo	Kenguru
Kansas	Kansas
Kansas	Kategorija:Kansas
Kappa	Kapa (črka)
Karachi	Karači
Karate	Karate
Karl Marx	Karl Marx
Karma	Karma
Katharine Hepburn	Katharine Hepburn
Katowice	Katovice
Kayak	Kajak
Kazakhstan	Kazahstan
Kazakhstan	Kategorija:Kazahstan
Kazan	Kazan
Kazimir Malevich	Kazimir Severinovič Malevič
Kelvin	Kelvin
Kentucky	Kentucky
Kentucky	Kategorija:Kentucky
Kenya	Kenija
Kenya	Kategorija:Kenija
Kernel (computer science)	Jedro (računalništvo)
Ketchup	Kečap
Keyboard (computing)	Tipkovnica
Keyboard instrument	Glasbila s tipkami
Kibbutz	Kibuc
Kidney	Ledvica
Kiev	Kijev
Kilogram	Kilogram
Kilometre	Kilometer
Kilometres per hour	Kilometer na uro
Kimono	Kimono
Kinematics	Kinematika
Kinetic energy	Kinetična energija
King (chess)	Kralj (šah)
King Arthur	Kralj Artur
Kingdom (biology)	Kraljestvo (biologija)
Kingstown	Kingstown
Kiribati	Kiribati
Kiribati	Kategorija:Kiribati
Kiss	Poljub
Kite	Spuščanje zmajev
Kiwi	Kivi (žival)
Knee	Koleno
Knesset	Kneset
Knight	Vitez
Knight (chess)	Skakač (šah)
Knot (speed)	Vozel (enota)
Knowledge	Znanje
Knut Hamsun	Knut Hamsun
Koala	Koala
Komodo dragon	Komodoški varan
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Korea	Koreja
Korea	Kategorija:Koreja
Korean War	Korejska vojna
Kosovo	Kosovo
Kosovo	Kategorija:Kosovo
Krishna	Krišna
Krypton	Kripton
Ku Klux Klan	Kukluksklan
Kuiper belt	Kuiperjev pas
Kumquat	Fortunella
Kung fu (term)	Kung fu
Kuomintang	Kuomintang
Kurt Vonnegut	Kurt Vonnegut
Kurt Waldheim	Kurt Waldheim
Kuwait	Kuvajt
Kuwait	Kategorija:Kuvajt
Kyoto	Kjoto
Kyrgyzstan	Kirgizistan
Kyrgyzstan	Kategorija:Kirgizistan
L	L
LAMP (software bundle)	LAMP
La Paz	La Paz
La Plata	La Plata
Laboratory	Laboratorij
Labrador Retriever	Labradorec
Lactose	Laktoza
Lagomorpha	Lagomorfi
Lake	Jezero
Lake Baikal	Bajkalsko jezero
Lake Balaton	Blatno jezero
Lake Constance	Bodensko jezero
Lake Tanganyika	Tanganjiško jezero
Lake Victoria	Jezero Ukerewe
Lakshmi	Lakšmi
Lambda	Lambda
Lammergeier	Brkati ser
Landfill	Smetišče
Language	Jezik (sredstvo sporazumevanja)
Languedoc-Roussillon	Languedoc-Roussillon
Lanthanide	Lantanidi
Lanthanum	Lantan
Laos	Laos
Laos	Kategorija:Laos
Laptev Sea	Morje Laptevov
Laptop	Prenosnik
Laser	Laser
Lathe	Stružnica
Latin	Latinščina
Latin America	Latinska Amerika
Latin alphabet	Latinica
Latitude	Zemljepisna širina
Latvia	Latvija
Latvia	Kategorija:Latvija
Laughter	Smeh
Lausanne	Lausanne
Law	Pravo
Law	Kategorija:Pravo
Law enforcement	Kategorija:Policija
Lawrencium	Lavrencij
Lazio	Lacij
Le Havre	Le Havre
Lead	Svinec
Leaf	List (rastlina)
League of Nations	Društvo narodov
Leap year	Prestopno leto
Lebanon	Libanon
Lebanon	Kategorija:Libanon
Legend	Legenda
Legislature	zakonodajna oblast
Lego	Lego kocke
Leiden	Leiden
Leipzig	Leipzig
Lemon	limona
Lemon balm	Navadna melisa
Lena River	Lena
Length	Dolžina
Lentil	Navadna leča
Leon Trotsky	Lev Trocki
Leonard Bernstein	Leonard Bernstein
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leopard	Leopard
Lepidoptera	Metulji
Leprosy	Gobavost
Lepton	Lepton
Lesotho	Lesoto
Lesotho	Kategorija:Lesoto
Lesser Antilles	Mali Antili
Leto	Leto (boginja)
Letter (alphabet)	Črka
Lever	Vzvod
Leviathan	Leviatan
Lhotse	Lhotse
Liberalism	Liberalizem
Liberia	Liberija
Liberia	Kategorija:Liberija
Library science	Bibliotekarstvo in informacijska znanost
Libretto	Libreto
Libya	Libija
Libya	Kategorija:Libija
Lichen	Lišaj
Liechtenstein	Lihtenštajn
Liechtenstein	Kategorija:Lihtenštajn
Lieutenant	Nadporočnik
Life	Življenje
Life	Kategorija:Življenje
Light	Svetloba
Light-emitting diode	Svetleča dioda
Light-year	Svetlobno leto
Lighthouse	Svetilnik
Lightning	Strela
Liguria	Ligurija
Ligurian Sea	Ligursko morje
Lilith	Lilit
Lille	Lille
Lima	Lima
Limestone	Apnenec
Limousin (region)	Limousin
Lincoln	Lincoln
Line (mathematics)	Premica
Linear algebra	Linearna algebra
Linear algebra	Kategorija:Linearna algebra
Linear equation	Linearna enačba
Lingua franca	Lingua franca
Linguistics	Jezikoslovje
Linguistics	Kategorija:Jezikoslovje
Linus Pauling	Linus Carl Pauling
Linux	Linux
Linux	Kategorija:Linux
Linz	Linz
Lion	Lev
Lipid	Lipid
Liquid	Kapljevina
Liquid crystal display	LCD
Lisbon	Lizbona
Lisp (programming language)	Lisp (programski jezik)
Literacy	Pismenost
Literature	Književnost
Literature	Kategorija:Književnost
Lithium	Litij
Lithosphere	Litosfera
Lithuania	Litva
Lithuania	Kategorija:Litva
Litre	Liter
Little Owl	Navadni čuk
Liverpool	Liverpool
Livy	Tit Livij
Ljubljana	Ljubljana
Llama	Lama
Loanword	Prevzeta beseda
Loch Ness	Loch Ness
Loch Ness Monster	Nessie
Locomotive	Lokomotiva
Logarithm	Logaritem
Logic	Logika
Logic	Kategorija:Logika
Logistics	Logistika
Logo	Logotip
Loire	Loire (departma)
Loire River	Loara
Loki	Loki
Lombardy	Lombardija
London	London
London	Kategorija:London
Long-eared Owl	Mala uharica
Lord's Prayer	Očenaš
Lorraine (region)	Lorena
Los Angeles	Los Angeles, Kalifornija
Lot (department)	Lot (departma)
Louis Armstrong	Louis Armstrong
Louis Pasteur	Louis Pasteur
Louis the Pious	Ludvik Pobožni
Louisiana	Louisiana
Louisiana	Kategorija:Louisiana
Louvre	Louvre
Love	Ljubezen
Low German	Nizka nemščina
Lower Saxony	Spodnja Saška
Lucerne	Luzern
Luciano Pavarotti	Luciano Pavarotti
Lucifer	Lucifer
Lucretius	Lukrecij
Ludwig Boltzmann	Ludwig Edward Boltzmann
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Luftwaffe	Luftwaffe (Wehrmacht)
Luigi Galvani	Luigi Galvani
Lumen (unit)	Lumen
Luminescence	Luminiscenca
Lunar eclipse	Lunin mrk
Lung	Pljuča
Lute	Lutnja
Lutetium	Lutecij
Lutheranism	Luteranstvo
Luxembourg	Luksemburg
Luxembourg	Kategorija:Luksemburg
Luxembourg (city)	Luxembourg
Luxor	Luksor
Lychee	Liči
Lydia	Lidija
Lyon	Lyon
Lyra	Lira (ozvezdje)
Lysergic acid diethylamide	LSD
Lysosome	Lizosom
M	M
MIME	MIME
Macau	Macao
Macedonia	Makedonija
Mach number	Machovo število
Machine	Stroj
Machine code	Strojna koda
Machine gun	Mitraljez
Machu Picchu	Machu Picchu
Macintosh	Apple Macintosh
Macroeconomics	Makroekonomija
Madagascar	Madagaskar
Madagascar	Kategorija:Madagaskar
Madeira	Madeira
Madonna (entertainer)	Madonna
Madrid	Madrid
Mafia	Mafija
Magazine	Revija
Maghreb	Magreb
Magic square	Magični kvadrat
Magma	Magma
Magna Carta	Velika listina svoboščin
Magnesium	Magnezij
Magnet	Magnet
Magnetic field	Magnetno polje
Magnetic resonance imaging	Slikanje z magnetno resonanco
Magnetism	Magnetizem
Mahatma Gandhi	Mahatma Gandhi
Mail	Pošta
Main	Predloga:Glavni
Maine	Maine
Maine	Kategorija:Maine
Mainframe computer	Veliki računalnik
Maitreya	Maitreja
Maize	Koruza
Major	Major
Malachite	Malahit
Malaria	Malarija
Malaysia	Malezija
Malaysia	Kategorija:Malezija
Maldives	Maldivi
Maldives	Kategorija:Maldivi
Mali	Mali
Mali	Kategorija:Mali
Mallard	Mlakarica
Malta	Malta
Malta	Kategorija:Malta
Maltese language	Malteščina
Maltose	Maltoza
Malvaceae	Slezenovke
Mammal	Sesalci
Management	Upravljanje
Manchester	Manchester
Mandarin orange	Mandarina
Manganese	Mangan
Mango	Mangovec
Manhattan	Manhattan
Manhattan Project	Projekt Manhattan
Manila	Manila
Mannerism	Manierizem
Mantra	Mantra
Manuel de Falla	Manuel de Falla
Mao Zedong	Mao Cetung
Maoism	Maoizem
Map	Zemljevid
Maple	Javor
Marble	Marmor
Marc Chagall	Marc Chagall
Marcel Marceau	Marcel Marceau
Marcel Proust	Marcel Proust
March	Marec
March 17	17. marec
March 19	19. marec
March 2	2. marec
March 25	25. marec
Marche	Marke
Marco Polo	Marco Polo
Marcus Aurelius	Mark Avrelij
Marcus Vipsanius Agrippa	Mark Vipsanij Agripa
Marduk	Marduk
Margaret Thatcher	Margaret Thatcher
Marie Antoinette	Marija Antoinetta
Marie Curie	Marie Skłodowska-Curie
Marilyn Monroe	Marilyn Monroe
Mark Antony	Mark Antonij
Marketing	Trženje
Marketing	Kategorija:Trženje
Marlene Dietrich	Marlene Dietrich
Marquis de Sade	Markiz de Sade
Marriage	Poroka
Mars	Kategorija:Mars
Mars (disambiguation)	Mars (razločitev)
Mars (mythology)	Mars (bog)
Marseille	Marseille
Marshall Islands	Marshallovi otoki
Marsupial	Vrečarji
Martin Buber	Martin Buber
Martin Heidegger	Martin Heidegger
Martin Luther	Martin Luther
Martin Luther King	Martin Luther King mlajši
Martin Scorsese	Martin Scorsese
Martin Van Buren	Martin Van Buren
Martina Navratilova	Martina Navratilova
Martinique	Martinik
Marx Brothers	Bratje Marx
Marxism	Marksizem
Mary (mother of Jesus)	Devica Marija
Mary Magdalene	Sveta Marija Magdalena
Mary Shelley	Mary Shelley
Mary Wollstonecraft	Mary Wollstonecraft
Maryland	Maryland
Maryland	Kategorija:Maryland
Mass	Masa
Mass (liturgy)	Maša
Mass number	Masno število
Massachusetts	Massachusetts
Massachusetts	Kategorija:Massachusetts
Massachusetts Institute of Technology	Tehnološki inštitut Massachusettsa
Mata Hari	Mata Hari
Match	Vžigalica
Materialism	Materializem
Mathematical logic	Matematična logika
Mathematical logic	Kategorija:Matematična logika
Mathematical proof	Matematični dokaz
Mathematics	Matematika
