Russian	English
Иерихон	Jericho
Иероним Стридонский	Jerome
Джерси	Jersey
Иерусалим	Jerusalem
Категория:Иерусалим	Jerusalem
Иисус Христос	Jesus
Воздушно-реактивный двигатель	Jet engine
Евреи	Jew
Варган	Jew's harp
Джихад	Jihad
Хендрикс, Джеймс Маршалл	Jimi Hendrix
Картер, Джимми	Jimmy Carter
Жанна д’Арк	Joan of Arc
Бернулли, Иоганн	Johann Bernoulli
Бах, Иоганн Себастьян	Johann Sebastian Bach
Гёте, Иоганн Вольфганг	Johann Wolfgang von Goethe
Брамс, Иоганнес	Johannes Brahms
Ван-дер-Ваальс, Ян Дидерик	Johannes Diderik van der Waals
Гутенберг, Иоганн	Johannes Gutenberg
Кеплер, Иоганн	Johannes Kepler
Йенсен, Йоханнес Вильхельм	Johannes Vilhelm Jensen
Йоханнесбург	Johannesburg
Адамс, Джон (президент)	John Adams
Бардин, Джон	John Bardeen
Кейдж, Джон Мильтон	John Cage
Кальвин, Жан	John Calvin
Иоанн Златоуст	John Chrysostom
Дальтон, Джон	John Dalton
Дьюи, Джон	John Dewey
Голсуорси, Джон	John Galsworthy
Гершель, Джон	John Herschel
Китс, Джон	John Keats
Леннон, Джон	John Lennon
Локк, Джон	John Locke
Мейджор, Джон	John Major
Кейнс, Джон Мейнард	John Maynard Keynes
Мильтон, Джон	John Milton
Непер, Джон	John Napier
Адамс, Джон Куинси	John Quincy Adams
Рёскин, Джон	John Ruskin
Стейнбек, Джон	John Steinbeck
Милль, Джон Стюарт	John Stuart Mill
Тайлер, Джон	John Tyler
Джон Уэйн	John Wayne
Джон Виклиф	John Wycliffe
Иоанн Креститель	John the Baptist
Нейман, Джон фон	John von Neumann
Кэш, Джонни	Johnny Cash
Сустав	Joint
Свифт, Джонатан	Jonathan Swift
Иордания	Jordan
Категория:Иордания	Jordan
Иордан	Jordan River
Борхес, Хорхе Луис	Jorge Luis Borges
Конрад, Джозеф	Joseph Conrad
Геббельс, Пауль Йозеф	Joseph Goebbels
Гайдн, Франц Йозеф	Joseph Haydn
Гей-Люссак, Жозеф Луи	Joseph Louis Gay-Lussac
Маккарти, Джозеф Реймонд	Joseph McCarthy
Пристли, Джозеф	Joseph Priestley
Пулитцер, Джозеф	Joseph Pulitzer
Шумпетер, Йозеф	Joseph Schumpeter
Смит, Джозеф	Joseph Smith
Сталин, Иосиф Виссарионович	Joseph Stalin
Иосиф Флавий	Josephus
Джоуль	Joule
Категория:Журналистика	Journalism
Журналистика	Journalism
Журналист	Journalist
Иовиан	Jovian
Джойстик	Joystick
Иудаизм	Judaism
Категория:Иудаизм	Judaism
Иуда Искариот	Judas Iscariot
Иудея	Judea
Дзюдо	Judo
Джуди Гарленд	Judy Garland
Джиу-джитсу	Jujutsu
Верн, Жюль	Jules Verne
Юлианский календарь	Julian calendar
Флавий Клавдий Юлиан	Julian the Apostate
Юлий Цезарь	Julius Caesar
Июль	July
1 июля	July 1
4 июля	July 4
Июнь	June
14 июня	June 14
21 июня	June 21
23 июня	June 23
24 июня	June 24
29 июня	June 29
3 июня	June 3
Джуно (Аляска)	Juneau
Можжевельник	Juniper
Юнона	Juno (mythology)
Юпитер (планета)	Jupiter
Категория:Юпитер	Jupiter
Юпитер	Jupiter (disambiguation)
Юпитер (мифология)	Jupiter (mythology)
Юрский период	Jurassic
Юстиниан I	Justinian I
Ютландия	Jutland
K (латиница)	K
К2	K2
Комитет государственной безопасности СССР	KGB
Кааба	Kaaba
Каббала	Kabbalah
Кабул	Kabul
Калахари	Kalahari Desert
Полуостров Камчатка	Kamchatka Peninsula
Камикадзе	Kamikaze
Кампала	Kampala
Кандагар	Kandahar
Кенгуру	Kangaroo
Канзас	Kansas
Категория:Канзас	Kansas
Канзас-Сити (Миссури)	Kansas City
Каппа (буква)	Kappa
Карское море	Kara Sea
Карачи	Karachi
Каракорум (хребет)	Karakoram
Караоке	Karaoke
Карате	Karate
Бликсен, Карен	Karen Blixen
Барт, Карл	Karl Barth
Ясперс, Карл Теодор	Karl Jaspers
Маркс, Карл	Karl Marx
Поппер, Карл Рэймонд	Karl Popper
Карма	Karma
Карнатака	Karnataka
Хепбёрн, Кэтрин	Katharine Hepburn
Катманду	Kathmandu
Катовице	Katowice
Каунас	Kaunas
Каяк	Kayak
Казахстан	Kazakhstan
Категория:Казахстан	Kazakhstan
Казань	Kazan
Малевич, Казимир Северинович	Kazimir Malevich
Кельвин	Kelvin
Кент	Kent
Кентукки	Kentucky
Категория:Кентукки	Kentucky
Кения	Kenya
Категория:Кения	Kenya
Ядро операционной системы	Kernel (computer science)
Керосин	Kerosene
Кетчуп	Ketchup
Кетоны	Ketone
Клавиатура	Keyboard (computing)
Клавишные музыкальные инструменты	Keyboard instrument
Хабаровск	Khabarovsk
Хан (титул)	Khan
Харьков	Kharkiv
Хартум	Khartoum
Красные кхмеры	Khmer Rouge
Хеопс	Khufu
Кибуц	Kibbutz
Почка (анатомия)	Kidney
Киев	Kiev
Кигали	Kigali
Килобайт	Kilobyte
Килограмм	Kilogram
Километр	Kilometre
Километр в час	Kilometres per hour
Кимоно	Kimono
Детский сад	Kindergarten
Кинематика точки	Kinematics
Кинетическая энергия	Kinetic energy
Король (шахматы)	King (chess)
Король Артур	King Arthur
Король Лир (пьеса)	King Lear
Царство (биология)	Kingdom (biology)
Кингстон (Ямайка)	Kingston
Кингстаун	Kingstown
Киншаса	Kinshasa
Кирибати	Kiribati
Категория:Кирибати	Kiribati
Киркук	Kirkuk
Поцелуй	Kiss
Воздушный змей	Kite
Киви (птица)	Kiwi
Колено (анатомия)	Knee
Кнессет	Knesset
Нож	Knife
Рыцарь	Knight
Конь (шахматы)	Knight (chess)
Кносс	Knossos
Узел (единица измерения)	Knot (speed)
Знание	Knowledge
Гамсун, Кнут	Knut Hamsun
Коала	Koala
Кобе	Kobe
Кольский полуостров	Kola Peninsula
Калькутта	Kolkata
Комодский варан	Komodo dragon
Konqueror	Konqueror
Аденауэр, Конрад	Konrad Adenauer
Корея	Korea
Категория:Корея	Korea
Корейская война 1950—1953	Korean War
Косово	Kosovo
Категория:Косово и Метохия	Kosovo
Кракатау	Krakatoa
Кремль	Kremlin
Кришна	Krishna
Криптон	Krypton
Ку-клукс-клан	Ku Klux Klan
Куала-Лумпур	Kuala Lumpur
Хубилай	Kublai Khan
Пояс Койпера	Kuiper belt
Кумкват	Kumquat
Куньлунь	Kunlun Mountains
Гоминьдан	Kuomintang
Кура (река)	Kura River
Курдистан	Kurdistan
Категория:Курдистан	Kurdistan
Рабочая партия Курдистана	Kurdistan Workers Party
Курск	Kursk
Воннегут, Курт	Kurt Vonnegut
Вальдхайм, Курт	Kurt Waldheim
Кувейт	Kuwait
Категория:Кувейт	Kuwait
Кувейт (город)	Kuwait City
Квазулу-Натал	KwaZulu-Natal
Киото	Kyoto
Киргизия	Kyrgyzstan
Категория:Киргизия	Kyrgyzstan
L (латиница)	L
Л’Аквила	L'Aquila
LAMP	LAMP (software bundle)
Ла-Пас (Боливия)	La Paz
Ла-Плата (город)	La Plata
Специя	La Spezia
LaTeX	LaTeX
Лаборатория	Laboratory
Лейбористская партия (Великобритания)	Labour Party (UK)
Лабрадор ретривер	Labrador Retriever
Ящерица (созвездие)	Lacerta
Молочная кислота	Lactic acid
Лактоза	Lactose
Джейн Грей	Lady Jane Grey
Зайцеобразные	Lagomorpha
Лагос	Lagos
Лахор	Lahore
Laissez-faire	Laissez-faire
Озеро	Lake
Байкал	Lake Baikal
Балатон	Lake Balaton
Чад (озеро)	Lake Chad
Боденское озеро	Lake Constance
Эри (озеро)	Lake Erie
Эйр (озеро)	Lake Eyre
Женевское озеро	Lake Geneva
Гурон (озеро)	Lake Huron
Ильмень	Lake Ilmen
Ладожское озеро	Lake Ladoga
Малави (озеро)	Lake Malawi
Мичиган (озеро)	Lake Michigan
Онежское озеро	Lake Onega
Онтарио (озеро)	Lake Ontario
Верхнее озеро	Lake Superior
Танганьика	Lake Tanganyika
Виктория (озеро)	Lake Victoria
Лакшми	Lakshmi
Лямбда (буква)	Lambda
Яснотковые	Lamiaceae
Бородач	Lammergeier
Миноги	Lamprey
Ланкашир	Lancashire
Головохордовые	Lancelet
Свалка	Landfill
Язык	Language
Лангедок-Руссильон	Languedoc-Roussillon
Лансинг (Мичиган)	Lansing
Лантаноиды	Lanthanide
Лантан	Lanthanum
Лаос	Laos
Категория:Лаос	Laos
Море Лаптевых	Laptev Sea
Ноутбук	Laptop
Лиственница	Larch
Личинка	Larva
Гортань	Larynx
Лас-Вегас (Невада)	Las Vegas
Пещера Ласко	Lascaux
Лазер	Laser
Токарная группа станков	Lathe
Латинский язык	Latin
Латинская Америка	Latin America
Латинский алфавит	Latin alphabet
Широта	Latitude
Латвия	Latvia
Категория:Латвия	Latvia
Смех	Laughter
Лавразия	Laurasia
Лозанна	Lausanne
Лава	Lava
Право	Law
Категория:Право	Law
Категория:Полиция	Law enforcement
Лоуренсий	Lawrencium
Адвокат	Lawyer
Лацио	Lazio
Ле Корбюзье	Le Corbusier
Гавр	Le Havre
Свинец	Lead
Лист	Leaf
Лига Наций	League of Nations
Пизанская башня	Leaning Tower of Pisa
Високосный год	Leap year
Обучение	Learning
Ливан	Lebanon
Категория:Ливан	Lebanon
Леда	Leda (mythology)
Освальд, Ли Харви	Lee Harvey Oswald
Лидс	Leeds
Левша	Left-handed
Легенда	Legend
Законодательная власть	Legislature
LEGO	Lego
Лестер	Leicester
Лейден	Leiden
Лейпциг	Leipzig
Лимон	Lemon
Лена (река)	Lena River
Длина	Length
Линза	Lens (optics)
Великий пост	Lent
Чечевица	Lentil
Лев (созвездие)	Leo (constellation)
Лев I Макелла	Leo I (emperor)
Троцкий, Лев Давидович	Leon Trotsky
Бернстайн, Леонард	Leonard Bernstein
Леонардо да Винчи	Leonardo da Vinci
Эйлер, Леонард	Leonhard Euler
Брежнев, Леонид Ильич	Leonid Brezhnev
Леопард	Leopard
Чешуекрылые	Lepidoptera
Лепра	Leprosy
Лептон	Lepton
Заяц (созвездие)	Lepus (constellation)
Лесбиянство	Lesbian
Лесото	Lesotho
Категория:Лесото	Lesotho
Малые Антильские острова	Lesser Antilles
Лето (мифология)	Leto
Буква	Letter (alphabet)
Лейкозы	Leukemia
Левант	Levant
Рычаг	Lever
Левиафан	Leviathan
Книга Левит	Leviticus
Льюис Кэрролл	Lewis Carroll
Лексикология	Lexicology
Лхаса	Lhasa
Лхоцзе	Lhotse
Либерализм	Liberalism
Категория:Либерализм	Liberalism
Тигры освобождения Тамил-Илама	Liberation Tigers of Tamil Eelam
Либерия	Liberia
Категория:Либерия	Liberia
Весы (созвездие)	Libra (constellation)
Библиотека	Library
Библиотековедение	Library science
Либретто	Libretto
Либревиль	Libreville
Ливия	Libya
Категория:Ливия	Libya
Лишайники	Lichen
Ложь	Lie
Лихтенштейн	Liechtenstein
Категория:Лихтенштейн	Liechtenstein
Лейтенант	Lieutenant
Жизнь	Life
Категория:Жизнь	Life
Свет	Light
Светодиод	Light-emitting diode
Световой год	Light-year
Зажигалка	Lighter
Маяк	Lighthouse
Молния	Lightning
Лигурия	Liguria
Лигурийское море	Ligurian Sea
Лилейные	Liliaceae
Лилит	Lilith
Лилль	Lille
Лилонгве	Lilongwe
Лима	Lima
Лимерик	Limerick
Известняк	Limestone
Лимнология	Limnology
Лимузен (регион)	Limousin (region)
Линкольн (Небраска)	Lincoln
Линкольн	Lincoln
Линкольншир	Lincolnshire
Прямая	Line (mathematics)
Линейная алгебра	Linear algebra
Категория:Линейная алгебра	Linear algebra
Линейное уравнение	Linear equation
Лингва-франка	Lingua franca
Лингвистика	Linguistics
Категория:Лингвистика	Linguistics
Полинг, Лайнус Карл	Linus Pauling
Linux	Linux
Категория:Linux	Linux
Линц	Linz
Лев	Lion
Липиды	Lipid
Ликёр	Liqueur
Жидкость	Liquid
ЖК-монитор	Liquid crystal display
Лакрица	Liquorice
Лиссабон	Lisbon
Мейтнер, Лиза	Lise Meitner
Лисп	Lisp (programming language)
Грамотность	Literacy
Литература	Literature
Категория:Литература	Literature
Портал:Литература	Literature
Литий	Lithium
Литография	Lithography
Литосфера	Lithosphere
Литва	Lithuania
Категория:Литва	Lithuania
Литр	Litre
Сыч домовой	Little Owl
Ливерпуль	Liverpool
Ливония	Livonia
Тит Ливий	Livy
Ящерицы	Lizard
Любляна	Ljubljana
Лама (животное)	Llama
Заимствование	Loanword
Локальная вычислительная сеть	Local area network
Лох-Несс	Loch Ness
Лох-Несское чудовище	Loch Ness Monster
Локомотив	Locomotive
Логарифм	Logarithm
Логика	Logic
Категория:Логика	Logic
Логический вентиль	Logic gate
Логистика	Logistics
Логотип	Logo
Луара (департамент)	Loire
Луара (река)	Loire River
Локи	Loki
Лолита (роман)	Lolita
Ломбардия	Lombardy
Лондон	London
Категория:Лондон	London
Лонг-Бич (Калифорния)	Long Beach
Лонг-Айленд	Long Island
Прыжок в длину	Long jump
Ушастая сова	Long-eared Owl
Вега, Лопе де	Lope de Vega
Отче наш	Lord's Prayer
Лотарингия (регион)	Lorraine (region)
Лос-Анджелес	Los Angeles
Ло (департамент)	Lot (department)
Громкоговоритель	Loudspeaker
Луи Арагон	Louis Aragon
Армстронг, Луи	Louis Armstrong
Брайль, Луи	Louis Braille
Пастер, Луи	Louis Pasteur
Людовик I Благочестивый	Louis the Pious
Людовик II Заика	Louis the Stammerer
Луизиана	Louisiana
Категория:Луизиана	Louisiana
Луисвилл	Louisville
Лувр	Louvre
Любовь	Love
Нижненемецкий язык	Low German
Нижняя Саксония	Lower Saxony
Луанда	Luanda
Люблин	Lublin
Люцерн	Lucerne
Паваротти, Лучано	Luciano Pavarotti
Люцифер	Lucifer
Тит Лукреций Кар	Lucretius
Борджиа, Лукреция	Lucrezia Borgia
Больцман, Людвиг	Ludwig Boltzmann
Людвиг Мис ван дер Роэ	Ludwig Mies van der Rohe
Витгенштейн, Людвиг	Ludwig Wittgenstein
Бетховен, Людвиг ван	Ludwig van Beethoven
Люфтваффе	Luftwaffe
Гальвани, Луиджи	Luigi Galvani
Пиранделло, Луиджи	Luigi Pirandello
Люмен	Lumen (unit)
Люминесценция	Luminescence
Лунное затмение	Lunar eclipse
Лунд	Lund
Лёгкие	Lung
Злокачественные новообразования лёгких	Lung cancer
Двоякодышащие	Lungfish
Волк (созвездие)	Lupus (constellation)
Лусака	Lusaka
Лузитания (римская провинция)	Lusitania
Лютня	Lute
Лютеций	Lutetium
Лютеранство	Lutheranism
Люкс	Lux
Люксембург	Luxembourg
Категория:Люксембург	Luxembourg
Люксембург (город)	Luxembourg (city)
Луксор	Luxor
Лусон	Luzon
Личи	Lychee
Лидия	Lydia
Лимфатическая система	Lymphatic system
Рысь (созвездие)	Lynx (constellation)
Lynx	Lynx (web browser)
Лион	Lyon
Лира (созвездие)	Lyra
ЛСД	Lysergic acid diethylamide
Лизин	Lysine
Лизосома	Lysosome
M (латиница)	M
М-теория	M-theory
MESSENGER (КА)	MESSENGER
MIME	MIME
MS-DOS	MS-DOS
Аомынь	Macau
Макбет (пьеса)	Macbeth
Древняя Македония	Macedon
Македония	Macedonia
Македония (Греция)	Macedonia (Greece)
Число Маха	Mach number
Машина	Machine
Машинный код	Machine code
Пулемёт	Machine gun
Машинный перевод	Machine translation
Мачу-Пикчу	Machu Picchu
Macintosh	Macintosh
Макроэкономика	Macroeconomics
Категория:Макроэкономика	Macroeconomics
Мадагаскар	Madagascar
Категория:Мадагаскар	Madagascar
Мадейра	Madeira
Мэдисон (Висконсин)	Madison
Мадонна (певица)	Madonna (entertainer)
Мадрид	Madrid
Мадрид (автономное сообщество)	Madrid (autonomous community)
Мафия	Mafia
Журнал	Magazine
Маджента	Magenta
Магриб	Maghreb
Магия	Magic (paranormal)
Магический квадрат	Magic square
Линия Мажино	Maginot Line
Магма	Magma
Великая хартия вольностей	Magna Carta
Магний	Magnesium
Магнит	Magnet
Магнитное поле	Magnetic field
Магнитно-резонансная томография	Magnetic resonance imaging
Магнетизм	Magnetism
Категория:Магнетизм	Magnetism
Магнетит	Magnetite
Лупа	Magnifying glass
Категория:Двудольные	Magnoliopsida
Махараштра	Maharashtra
Махатма Ганди	Mahatma Gandhi
Махаяна	Mahayana
Почта	Mail
Рамбам	Maimonides
Майн (река)	Main
Шаблон:Main	Main
Мэн (штат)	Maine
Категория:Мэн	Maine
Мейнфрейм	Mainframe computer
Майтрея	Maitreya
Кукуруза	Maize
Майор	Major
Мажор	Major scale
Мальорка	Majorca
Макалу	Makalu
Малабо	Malabo
Малахит	Malachite
Высшие раки	Malacostraca
Малярия	Malaria
Категория:Малави	Malawi
Малайский полуостров	Malay Peninsula
Чепрачный тапир	Malayan Tapir
Малайзия	Malaysia
Категория:Малайзия	Malaysia
Малколм Икс	Malcolm X
Мальдивы	Maldives
Категория:Мальдивы	Maldives
Мали	Mali
Категория:Мали	Mali
Кряква	Mallard
Мальта	Malta
Категория:Мальта	Malta
Мальтийский язык	Maltese language
Мальтоза	Maltose
Мальвовые	Malvaceae
Млекопитающие	Mammal
Мамонты	Mammoth
Менеджмент	Management
Манагуа	Managua
Манама	Manama
Ламантины	Manatee
Манчестер	Manchester
Маньчжурия	Manchuria
Мандала	Mandala
Северные диалекты китайского языка	Mandarin (linguistics)
Мандарин	Mandarin orange
Множество Мандельброта	Mandelbrot set
Марганец	Manganese
Манго	Mango
Мангры	Mangrove
Манхэттен	Manhattan
Манхэттенский проект	Manhattan Project
Манихейство	Manichaeism
Манила	Manila
Манипур	Manipur
Манитоба	Manitoba
Маньеризм	Mannerism
Мангейм	Mannheim
Мантия Земли	Mantle (geology)
Мантра	Mantra
Мантуя	Mantua
Фалья, Мануэль де	Manuel de Falla
Манускрипт	Manuscript
Мао Цзэдун	Mao Zedong
Маоизм	Maoism
Географическая карта	Map
Клён	Maple
Мапуту	Maputo
Марафон	Marathon
Мрамор	Marble
Шагал, Марк Захарович	Marc Chagall
Дюшан, Марсель	Marcel Duchamp
Марсо, Марсель	Marcel Marceau
Пруст, Марсель	Marcel Proust
Март	March
17 марта	March 17
19 марта	March 19
2 марта	March 2
25 марта	March 25
Марке	Marche
Поло, Марко	Marco Polo
Марк Аврелий	Marcus Aurelius
Марк Юний Брут	Marcus Junius Brutus
Марк Випсаний Агриппа	Marcus Vipsanius Agrippa
Мардук	Marduk
Мид, Маргарет	Margaret Mead
Митчелл, Маргарет	Margaret Mitchell
Тэтчер, Маргарет	Margaret Thatcher
Мария Каллас	Maria Callas
Марианские острова	Mariana Islands
Мария-Антуанетта	Marie Antoinette
Кюри-Склодовская, Мария	Marie Curie
Маарианхамина	Mariehamn
Мэрилин Монро	Marilyn Monroe
Варгас Льоса, Марио	Mario Vargas Llosa
Марк Антоний	Mark Antony
Марк Твен	Mark Twain
Рынок	Market
Маркетинг	Marketing
Категория:Маркетинг	Marketing
Язык разметки	Markup language
Дитрих, Марлен	Marlene Dietrich
Маркиз де Сад	Marquis de Sade
Марракеш	Marrakech
Брачный союз	Marriage
Категория:Марс	Mars
Марс (значения)	Mars (disambiguation)
Марс (мифология)	Mars (mythology)
Марсель	Marseille
Маршалловы Острова	Marshall Islands
Категория:Маршалловы Острова	Marshall Islands
План Маршалла	Marshall Plan
Сумчатые	Marsupial
Бубер, Мартин	Martin Buber
Хайдеггер, Мартин	Martin Heidegger
Лютер, Мартин	Martin Luther
Кинг, Мартин Лютер	Martin Luther King
Скорсезе, Мартин	Martin Scorsese
Ван Бюрен, Мартин	Martin Van Buren
Навратилова, Мартина	Martina Navratilova
Мартиника	Martinique
Мученик	Martyr
Братья Маркс	Marx Brothers
Марксизм	Marxism
Категория:Марксизм	Marxism
Дева Мария	Mary (mother of Jesus)
Мария Магдалина	Mary Magdalene
Шелли, Мэри Уолстонкрафт	Mary Shelley
Уолстонкрафт, Мэри	Mary Wollstonecraft
Мэриленд	Maryland
Категория:Мэриленд	Maryland
Масеру	Maseru
Мешхед	Mashhad
Масса	Mass
Месса	Mass (liturgy)
Массовое число	Mass number
Массачусетс	Massachusetts
Категория:Массачусетс	Massachusetts
Массачусетсский технологический институт	Massachusetts Institute of Technology
Мастурбация	Masturbation
Мата Хари	Mata Hari
Спичка	Match
Материализм	Materialism
Математическая логика	Mathematical logic
Категория:Математическая логика	Mathematical logic
Математическое доказательство	Mathematical proof
Математика	Mathematics
Категория:Математика	Mathematics
Портал:Математика	Mathematics
Матрица (математика)	Matrix (mathematics)
Материя (физика)	Matter
Маттерхорн	Matterhorn
Мауна-Кеа	Mauna Kea
Мауна-Лоа	Mauna Loa
Великий четверг	Maundy Thursday
Равель, Морис	Maurice Ravel
Мавритания	Mauritania
Категория:Мавритания	Mauritania
Маврикий	Mauritius
Категория:Маврикий	Mauritius
Борн, Макс	Max Born
Брух, Макс	Max Bruch
Эрнст, Макс	Max Ernst
Планк, Макс	Max Planck
Вебер, Эмиль Максимилиан	Max Weber
Максимиан	Maximian
Уравнения Максвелла	Maxwell's equations
Май	May
1 мая	May 1
24 мая	May 24
Майенн	Mayenne
Подёнки	Mayfly
Майонез	Mayonnaise
Мэр	Mayor
Мбабане	Mbabane
Маккартизм	McCarthyism
Мёд (напиток)	Mead
Корь	Measles
Мера множества	Measure (mathematics)
Категория:Измерение	Measurement
Измерение	Measurement
Мясо	Meat
Мекка	Mecca
Машиностроение	Mechanical engineering
Категория:Машиностроение	Mechanical engineering
Категория:Механика	Mechanics
Механика	Mechanics
Медея	Medea
Медиана (статистика)	Median
Лекарственные средства	Medication
Медичи (семья)	Medici
Медицина	Medicine
Категория:Медицина	Medicine
Медина	Medina
Медитация	Meditation
Категория:Средиземное море	Mediterranean
Средиземное море	Mediterranean Sea
Горгона Медуза	Medusa
Сурикат	Meerkat
Мегабайт	Megabyte
Мейоз	Meiosis
Мейстер Экхарт	Meister Eckhart
Мейтнерий	Meitnerium
Меконг	Mekong
Гибсон, Мел	Mel Gibson
Меланезия	Melanesia
Мелодия	Melody
Мельпомена	Melpomene
Плавление	Melting
Температура плавления	Melting point
Мем	Meme
Память	Memory
Мемфис (Теннесси)	Memphis
Мемфис (Египет)	Memphis
Бегин, Менахем	Menachem Begin
Менделевий	Mendelevium
Менелай	Menelaus
Менингит	Meningitis
Столовая Гора (созвездие)	Mensa (constellation)
Менструальный цикл	Menstrual cycle
Менструация	Menstruation
Психическое расстройство	Mental disorder
Мята	Mentha
Меркантилизм	Mercantilism
Наёмник	Mercenary
Меркурий (значения)	Mercury
Ртуть	Mercury (element)
Гермес	Mercury (mythology)
Меркурий (планета)	Mercury (planet)
Меридиан	Meridian (geography)
Меритократия	Meritocracy
Русалка	Mermaid
Меровинги	Merovingian
Стрип, Мэрил	Meryl Streep
Мескалин	Mescaline
Мезолит	Mesolithic
Мезон	Meson
Междуречье	Mesopotamia
Категория:Междуречье	Mesopotamia
Мезосфера	Mesosphere
Мезозой	Mesozoic
МРНК	Messenger RNA
Мессия	Messiah
Мессина	Messina
Метаболизм	Metabolism
Метаданные	Metadata
Металлы	Metal
Полуметаллы	Metalloid
Металлургия	Metallurgy
Категория:Металлургия	Metallurgy
Метаморфические горные породы	Metamorphic rock
Метафора	Metaphor
Метафизика	Metaphysics
Метастаз	Metastasis
Метеорный поток	Meteor shower
Метеорит	Meteorite
Метеороид	Meteoroid
Категория:Метеорология	Meteorology
Метеорология	Meteorology
Метадон	Methadone
Метамфетамин	Methamphetamine
Метанол	Methanol
Метионин	Methionine
Методизм	Methodism
3,4-метилендиоксиметамфетамин	Methylenedioxymethamphetamine
Метида (спутник)	Metis (moon)
Метонимия	Metonymy
Метр	Metre
Метрическое пространство	Metric space
Мёз (департамент)	Meuse
Маас (река)	Meuse River
Мексика	Mexico
Категория:Мексика	Mexico
Мехико	Mexico City
Майами	Miami
Слюды	Mica
Архангел Михаил	Michael (archangel)
Фарадей, Майкл	Michael Faraday
Ней, Мишель	Michel Ney
Микеланджело	Michelangelo
Мичиган	Michigan
Категория:Мичиган	Michigan
Джаггер, Мик	Mick Jagger
Микки Маус	Mickey Mouse
Микробиология	Microbiology
Категория:Микробиология	Microbiology
Микроэкономика	Microeconomics
Категория:Микроэкономика	Microeconomics
Микронезия	Micronesia
Микроорганизмы	Microorganism
Микрофон	Microphone
Микроскоп	Microscope
Микроскоп (созвездие)	Microscopium
Микроволновое излучение	Microwave
Микроволновая печь	Microwave oven
Средние века	Middle Ages
Категория:Средние века	Middle Ages
Средний Восток	Middle East
Категория:Ближний Восток	Middle East
Полярный день	Midnight sun
Мигрень	Migraine
Сервантес, Мигель де	Miguel de Cervantes
Тайсон, Майк	Mike Tyson
Бакунин, Михаил Александрович	Mikhail Bakunin
Глинка, Михаил Иванович	Mikhail Glinka
Горбачёв, Михаил Сергеевич	Mikhail Gorbachev
Милан	Milan
Миля	Mile
Дэвис, Майлз	Miles Davis
Категория:Военное дело	Military
Воинское звание	Military rank
Молоко	Milk
Млечный Путь	Milky Way
Филлмор, Миллард	Millard Fillmore
Тысячелетие	Millennium
Миллиметр	Millimetre
Миллион	Million
Многоножки	Millipede
Фридман, Милтон	Milton Friedman
Милуоки (Висконсин)	Milwaukee
Минарет	Minaret
Минданао (остров)	Mindanao
Минерал	Mineral
Минеральная вода	Mineral water
Минералогия	Mineralogy
Категория:Минералогия	Mineralogy
Минерва	Minerva
Мин (династия)	Ming Dynasty
Минимализм	Minimalism
Горное дело	Mining
Министр	Minister (government)
Миннеаполис	Minneapolis
Миннесота	Minnesota
Категория:Миннесота	Minnesota
Минойская цивилизация	Minoan civilization
Минор	Minor scale
Минос	Minos
Минотавр	Minotaur
Минск	Minsk
Минута	Minute
Миоцен	Miocene
Чудо	Miracle
Зеркало	Mirror
Мишна	Mishnah
Категория:Миссисипи	Mississippi
Миссисипи (река)	Mississippi River
Миссури (штат)	Missouri
Категория:Миссури	Missouri
Миссури (река)	Missouri River
Митохондрия	Mitochondrion
Мнемозина	Mnemosyne
Сотовый телефон	Mobile phone
Модем	Modem
Модернизм	Modernism
Мусоргский, Модест Петрович	Modest Mussorgsky
Модуляция	Modulation
Могадишо	Mogadishu
Мойры	Moirae
Плесневые грибы	Mold
Молдавия	Moldova
Категория:Молдавия	Moldova
Моль	Mole (unit)
Молекулярная биология	Molecular biology
Категория:Молекулярная биология	Molecular biology
Молекула	Molecule
Молизе	Molise
Моллюски	Mollusca
Коктейль Молотова	Molotov cocktail
Молибден	Molybdenum
Момбаса	Mombasa
Импульс	Momentum
Монако	Monaco
Категория:Монако	Monaco
Монарх	Monarch
Монархия	Monarchy
Категория:Монархия	Monarchy
Монастырь	Monastery
Понедельник	Monday
Деньги	Money
Монголия	Mongolia
Категория:Монголия	Mongolia
Мангустовые	Mongoose
Селеш, Моника	Monica Seles
Монизм	Monism
Однодольные	Monocotyledon
Мономер	Monomer
Монополия	Monopoly
Монополия (игра)	Monopoly (game)
Моносахариды	Monosaccharide
Глутамат натрия	Monosodium glutamate
Монотеизм	Monotheism
Однопроходные	Monotreme
Доктрина Монро	Monroe Doctrine
Монровия	Monrovia
Муссон	Monsoon
Монблан	Mont Blanc
Монтана	Montana
Категория:Монтана (штат)	Montana
Монте-Карло	Monte Carlo
Черногория	Montenegro
Категория:Черногория	Montenegro
Monterrey	Monterrey
Монтевидео	Montevideo
Монтгомери (Алабама)	Montgomery
Месяц	Month
Монтпилиер (Вермонт)	Montpelier
Монреаль	Montreal
Монтсеррат	Montserrat
Луна	Moon
Лось	Moose
Мораль	Morality
Моравия	Moravia
Марокко	Morocco
Категория:Марокко	Morocco
Морфема	Morpheme
Морфин	Morphine
Морфологический анализ	Morphology
Морфология (лингвистика)	Morphology (linguistics)
Азбука Морзе	Morse code
Миномёт	Mortar (weapon)
Мозаика	Mosaic
Москва	Moscow
Категория:Москва	Moscow
Мозель (департамент)	Moselle
Моисей	Moses
