English	Swedish
Dire Straits	Dire Straits
Direct current	Likström
Disaccharide	Disackarider
Disambiguation	Kategori:Förgreningssidor
Disc jockey	DJ
Discourse	Diskurs
Discrimination	Diskriminering
Disease	Sjukdom
Distance	Avstånd
Distillation	Destillation
Division (mathematics)	Division (matematik)
Division (military)	Division (militärt förband)
Divorce	Skilsmässa
Dizzy Gillespie	Dizzy Gillespie
Djibouti	Kategori:Djibouti
Djibouti (city)	Djibouti (stad)
Dmitri Mendeleev	Dmitrij Mendelejev
Dmitri Shostakovich	Dmitrij Sjostakovitj
Dnieper River	Dnepr
Dnipropetrovsk	Dnipropetrovsk
Doberman Pinscher	Dobermann
Doctor of the Church	Kyrkolärare
Document	Dokument
Dodecahedron	Dodekaeder
Dodecanese	Dodekanisos
Dodo	Dront
Dodoma	Dodoma
Dog	Hund
Dogma	Dogm
Doha	Doha
Dollar	Dollar
Dolly (sheep)	Dolly (får)
Dolmen	Dös
Dolomite	Dolomit
Dolphin	Delfiner
Domain (biology)	Domän (biologi)
Domain name	Domännamn
Dome	Kupolvalv
Domesday Book	Domesday Book
Domestication	Domesticering
Dominica	Dominica
Dominica	Kategori:Dominica
Dominican Order	Dominikanorden
Dominican Republic	Dominikanska republiken
Dominican Republic	Kategori:Dominikanska republiken
Domitian	Domitianus
Don Quixote	Don Quijote
Don River (Russia)	Don (flod)
Donald Duck	Kalle Anka
Donatello	Donatello
Donato Bramante	Donato Bramante
Donetsk	Donetsk
Donkey	Åsna
Door	Dörr
Dopamine	Dopamin
Doppler effect	Dopplereffekt
Dorado	Svärdfisken
Doric order	Dorisk ordning
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Douala	Douala
Double bass	Kontrabas
Douglas MacArthur	Douglas MacArthur
Dover	Dover, Delaware
Dover	Dover
Down syndrome	Downs syndrom
Draco (constellation)	Draken (stjärnbild)
Dragon	Drake
Drainage basin	Avrinningsområde
Drama	Drama
Draughts	Damspel
Dream	Dröm
Dresden	Dresden
Drink	Dryck
Dromedary	Dromedar
Drought	Torka
Drug addiction	Narkomani
Druid	Druid
Drum	Trumma
Dualism	Dualism
Dualism (philosophy of mind)	Dualism
Dubai	Dubai
Dublin	Dublin
Dubnium	Dubnium
Dubrovnik	Dubrovnik
Duck	Änder
Dugong	Dugonger
Duke	Hertig
Duke Ellington	Duke Ellington
Duke University	Duke University
Dune	Sanddyn
Dunkirk	Dunkerque
Duodenum	Tolvfingertarm
Durban	Durban
Dushanbe	Dusjanbe
Dustin Hoffman	Dustin Hoffman
Dutch people	Kategori:Nederländare
Dwight D. Eisenhower	Dwight D. Eisenhower
Dynamite	Dynamit
Dynasty	Dynasti
Dyslexia	Dyslexi
Dysprosium	Dysprosium
Dystopia	Dystopi
E	E
E (mathematical constant)	E (tal)
E-mail	E-post
E. T. A. Hoffmann	E.T.A. Hoffmann
ETA	ETA
Eagle	Örn
Ear	Öra
Eared seal	Öronsälar
Earless seal	Öronlösa sälar
Earth	Jorden
Earth	Kategori:Jorden
Earth science	Geovetenskap
Earthquake	Jordbävning
East	Öster
East Africa	Östafrika
East China Sea	Östkinesiska havet
East Germany	Östtyskland
East Sussex	East Sussex
East Timor	Östtimor
East Timor	Kategori:Östtimor
Easter	Påsk
Eastern Orthodox Church	Östortodox kristendom
Ebola	Ebolafeber
Ebro	Ebro
Eccentricity (mathematics)	Excentricitet
Ecclesiastes	Predikaren
Echidna	Myrpiggsvin
Echidna (mythology)	Echidna
Echinoderm	Tagghudingar
Eclipse	Eklips
Eclipse (software)	Eclipse
Ecliptic	Ekliptikan
Ecological niche	Ekologisk nisch
Ecology	Ekologi
Ecology	Kategori:Ekologi
Econometrics	Ekonometri
Economics	Nationalekonomi
Economics	Kategori:Ekonomi
Economy	Ekonomi
Ecosystem	Ekosystem
Ecuador	Ecuador
Ecuador	Kategori:Ecuador
Ecumenical council	Koncilium
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edgar Rice Burroughs	Edgar Rice Burroughs
Edinburgh	Edinburgh
Edirne	Edirne
Edmond Halley	Edmond Halley
Edmonton	Edmonton
Edmund Burke	Edmund Burke
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Edo	Edo
Eduard Buchner	Eduard Buchner
Education	Utbildning
Education	Kategori:Utbildning
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Gibbon	Edward Gibbon
Edward Jenner	Edward Jenner
Edward Teller	Edward Teller
Edward the Confessor	Edvard Bekännaren
Edwin Hubble	Edwin Hubble
Eel	Ålartade fiskar
Egg (biology)	Ägg
Eggplant	Aubergine
Egypt	Egypten
Egypt	Kategori:Egypten
Egyptian pound	Egyptiskt pund
Egyptology	Egyptologi
Eiffel Tower	Eiffeltornet
Eindhoven	Eindhoven
Einsteinium	Einsteinium
Ejaculation	Ejakulation
El Cid	El Cid (person)
El Greco	El Greco
El Paso	El Paso
El Salvador	El Salvador
El Salvador	Kategori:El Salvador
Elam	Elam
Elbe	Elbe
Eleanor Roosevelt	Eleanor Roosevelt
Election	Val
Electra	Elektra
Electric charge	Elektrisk laddning
Electric current	Elektrisk ström
Electric field	Elektriskt fält
Electric guitar	Elgitarr
Electric motor	Elektrisk motor
Electrical engineering	Kategori:Elektroteknik
Electrical engineering	Elektroteknik
Electrical resistance	Resistans
Electricity	Elektricitet
Electricity	Kategori:Elektricitet
Electrocardiogram	EKG
Electrochemistry	Elektrokemi
Electrochemistry	Kategori:Elektrokemi
Electrolysis	Elektrolys
Electrolyte	Elektrolyt
Electromagnetic radiation	Elektromagnetisk strålning
Electromagnetism	Elektromagnetism
Electromagnetism	Kategori:Elektromagnetism
Electron	Elektron
Electron microscope	Elektronmikroskop
Electronegativity	Elektronegativitet
Electronics	Elektronik
Electronics	Kategori:Elektronik
Elegy	Elegi
Element	Element
Elementary particle	Elementarpartikel
Elephant	Elefanter
Elevator	Hiss
Elf	Quendi
Elia Kazan	Elia Kazan
Elias Canetti	Elias Canetti
Elijah	Elia
Elizabeth Taylor	Elizabeth Taylor
Ella Fitzgerald	Ella Fitzgerald
Ellipse	Ellips (matematik)
Ellipsis	Uteslutningstecken
Elm	Almsläktet
Elvis Presley	Elvis Presley
Embryo	Embryo
Embryology	Embryologi
Emerald	Smaragd
Emilia-Romagna	Emilia-Romagna
Emiliano Zapata	Emiliano Zapata
Emily Dickinson	Emily Dickinson
Emir	Emir
Emma Goldman	Emma Goldman
Emoticon	Uttryckssymbol
Emotion	Känsla
Emotion	Kategori:Känslor
Empathy	Empati
Empedocles	Empedokles
Emperor	Kejsare
Emperor Penguin	Kejsarpingvin
Empire	Imperium
Empire State Building	Empire State Building
Empiricism	Empiri
Emu	Australisk emu
Emulator	Emulator
Emulsion	Emulsion
Encyclopedia	Uppslagsverk
Endemism	Endemism
Endocrine system	Endokrina systemet
Endocrinology	Endokrinologi
Endocrinology	Kategori:Endokrinologi
Energy	Energi
Energy	Kategori:Energi
Energy (society)	Energi
Engine	Motor
Engineer	Ingenjör
England	England
England	Kategori:England
English Channel	Engelska kanalen
English Civil War	Engelska inbördeskriget
English language	Engelska
English language	Kategori:Engelska
English people	Kategori:Engelsmän
Enki	Enki
Enrico Caruso	Enrico Caruso
Enrico Fermi	Enrico Fermi
Enthalpy	Entalpi
Entomology	Entomologi
Entomology	Kategori:Entomologi
Entropy	Entropi
Environment	Kategori:Miljö
Environment	Miljö
Enzyme	Enzym
Eocene	Eocen
Eon (geology)	Eon (geologi)
Eos	Eos
Ephesus	Efesos
Epic poetry	Epik
Epicenter	Epicentrum
Epictetus	Epiktetos
Epicurus	Epikuros
Epidemic	Epidemi
Epidemiology	Epidemiologi
Epigraphy	Epigrafik
Epilepsy	Epilepsi
Epimetheus (mythology)	Epimetheus
Epinephrine	Adrenalin
Epiphany (Christian)	Trettondedag jul
Epirus (periphery)	Epirus
Epistemology	Kunskapsteori
Epistle to the Galatians	Galaterbrevet
Epistle to the Romans	Romarbrevet
Epithelium	Epitel
Epsilon	Epsilon
Equation	Ekvation
Equator	Ekvator
Equatorial Guinea	Ekvatorialguinea
Equatorial Guinea	Kategori:Ekvatorialguinea
Equidae	Hästdjur
Equinox	Dagjämning
Equisetum	Fräken
Erasure	Erasure
Erato	Erato
Eratosthenes	Eratosthenes
Erbium	Erbium
Erebus	Erebos
Erectile dysfunction	Impotens
Erection	Erektion
Ericaceae	Ljungväxter
Ericales	Ericales
Eridanus (constellation)	Floden Eridanus
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Erik Satie	Erik Satie
Eris (dwarf planet)	Eris (dvärgplanet)
Eris (mythology)	Eris (gudinna)
Eritrea	Kategori:Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Ernst Werner von Siemens	Werner von Siemens
Eros (mythology)	Eros (gud)
Erosion	Erosion
Erotica	Erotik
Erwin Rommel	Erwin Rommel
Escape velocity	Flykthastighet
Eschatology	Eskatologi
Escherichia coli	Escherichia coli
Esfahan	Isfahan
Esophagus	Matstrupe
Esperanto	Esperanto
Esperanto	Kategori:Esperanto
Espionage	Spioneri
Espoo	Esbo
Espresso	Espresso
Essay	Essä
Essen	Essen
Essential oil	Eterisk olja
Essex	Essex
Ester	Estrar
Estonia	Kategori:Estland
Estrogen	Östrogen
Eta (letter)	Eta
Etching	Etsning (konst)
Ethane	Etan
Ethanol	Etanol
Ether	Etrar
Ethernet	Ethernet
Ethics	Etik
Ethics	Kategori:Etik
Ethiopia	Etiopien
Ethiopia	Kategori:Etiopien
Ethnic group	Etnicitet
Ethnography	Etnografi
Ethnology	Kategori:Etnologi
Ethology	Etologi
Ethylene	Eten
Etymology	Etymologi
Eucalyptus	Eukalyptussläktet
Eucharist	Nattvard
Euclid	Euklides
Euclidean geometry	Euklidisk geometri
Eugene O'Neill	Eugene O'Neill
Eukaryote	Eukaryoter
Eunuch	Eunuck
Euphemism	Eufemism
Euphrates	Eufrat
Eurasia	Eurasien
Eurasian Badger	Europeisk grävling
Euripides	Euripides
Euro	Euro
Europa (moon)	Europa (måne)
Europa (mythology)	Europa (mytologi)
Europe	Europa
Europe	Kategori:Europa
European Central Bank	Europeiska centralbanken
European Community	Europeiska gemenskapen
European Magpie	Skata
European Union	Europeiska unionen
European Union	Kategori:Europeiska unionen
Europium	Europium
Eusebius of Caesarea	Eusebios av Caesarea
Euterpe	Euterpe
Euthanasia	Dödshjälp
Eva Braun	Eva Braun
Evanescence	Evanescence
Evangelista Torricelli	Evangelista Torricelli
Evaporation	Avdunstning
Even-toed ungulate	Partåiga hovdjur
Evolution	Evolution
Excalibur	Excalibur
Exchange rate	Växelkurs
Exclamation mark	Utropstecken
Excommunication	Bannlysning
Executive (government)	Verkställande makt
Exhibitionism	Exhibitionism
Existentialism	Existentialism
Exodus	Andra Moseboken
Expected value	Väntevärde
Experiment	Experiment
Explosion	Explosion
Expo (exhibition)	Världsutställning
Exponential function	Exponentialfunktion
Exponentiation	Potens (matematik)
Expressionism	Expressionism
Extinction	Utrotning
Eye	Öga
Eye	Kategori:Ögat
Ezra Pound	Ezra Pound
F	F
F. Scott Fitzgerald	F. Scott Fitzgerald
Fabaceae	Ärtväxter
Fable	Fabel
Face	Ansikte
Fact	Mall:Källa behövs
Factorial	Fakultet (matematik)
Factory	Fabrik
Facula	Solfläckar
Fado	Fado
Fagaceae	Kategori:Bokväxter
Fagales	Fagales
Fahrenheit	Grad Fahrenheit
Fair use	Fair use
Fairy	Fe (väsen)
Fairy tale	Saga (fantasi)
Falcon	Egentliga falkar
Falconiformes	Rovfåglar
Falkland Islands	Falklandsöarna
Fallacy	Argumentationsfel
Fallopian tube	Äggledare
Fallow Deer	Dovhjort
Falun Gong	Falungong
Family	Kategori:Familjeliv
Family (biology)	Familj (biologi)
Family history	Genealogi
Family name	Efternamn
Fantasy	Fantasy
Far East	Fjärran östern
Farad	Farad
Faroe Islands	Kategori:Färöarna
Fascism	Fascism
Fascism	Kategori:Fascism
Fashion	Kategori:Mode
Fashion	Mode
Fast food	Snabbmat
Fasting	Fasta
Fatah	Fatah
Fatty acid	Fettsyra
Fault (geology)	Förkastning
Fauna	Fauna
Fauvism	Fauvism
Fax	Telefax
Fear	Rädsla
Feather	Fjäder (biologi)
February	Februari
February 12	12 februari
February 14	14 februari
February 2	2 februari
February 22	22 februari
February 29	29 februari
February Revolution	Februarirevolutionen 1917
Feces	Avföring
Federal Bureau of Investigation	FBI
Federal Reserve System	Federal Reserve
Federated States of Micronesia	Mikronesiens federerade stater
Federated States of Micronesia	Kategori:Mikronesiens federerade stater
Federation	Federation
Federico Fellini	Federico Fellini
Fedora (Linux distribution)	Fedora Core
Feedback	Återkoppling
Feldspar	Fältspat
Felidae	Kattdjur
Felix Mendelssohn	Felix Mendelssohn
Feminism	Feminism
Feminism	Kategori:Feminism
Fencing	Fäktning
Feng shui	Fengshui
Fennel	Fänkål
Fenrir	Fenrisulven
Fenugreek	Bockhornsklöver
Ferdinand II	Ferdinand II (tysk-romersk kejsare)
Ferdinand Magellan	Ferdinand Magellan
Ferdinand de Saussure	Ferdinand de Saussure
Fermentation (biochemistry)	Fermentation
Fermentation (food)	Fermentering
Fermion	Fermion
Fermium	Fermium
Fern	Ormbunksväxter
Ferrara	Ferrara
Ferry	Färja
Fertile Crescent	Bördiga halvmånen
Fertilisation	Befruktning
Fertilizer	Gödsel
Fetus	Foster
Feudalism	Feodalism
Fever	Feber
Fiat	Fiat
Fibonacci number	Fibonaccital
Fiction	Kategori:Fiktion
Fictional character	Litterär figur
Fidel Castro	Fidel Castro
Field (mathematics)	Kropp (matematik)
Field hockey	Landhockey
Fighter aircraft	Jaktplan
Figure skating	Konståkning
Fiji	Fiji
Fiji	Kategori:Fiji
File Allocation Table	FAT
File Transfer Protocol	File Transfer Protocol
File system	Filsystem
Filippo Brunelleschi	Filippo Brunelleschi
Film	Kategori:Film
Film	Film
Film	Portal:Film
Film director	Filmregissör
Fin Whale	Sillval
Finance	Kategori:Finansväsen
Finance	Finans
Finger	Finger
Fingerprint	Fingeravtryck
Finland	Finland
Finland	Kategori:Finland
Fir	Ädelgranssläktet
Fire	Eld
Firearm	Eldvapen
Firefighter	Brandförsvar
Firewall (networking)	Brandvägg
Firmware	Firmware
First Council of Constantinople	Första konciliet i Konstantinopel
First Council of Nicaea	Första konciliet i Nicaea
First Crusade	Första korståget
First Epistle to the Corinthians	Första Korinthierbrevet
First aid	Första hjälpen
First language	Modersmål
Fish	Fiskar
Fishing	Fiske
Fishing	Kategori:Fiske
Fjord	Fjord
Flag	Flagga
Flagellum	Flagell
Flamenco	Flamenco
Flamingo	Flamingoer
Flanders	Flandern
Flash memory	Flashminne
Flatulence	Flatulens
Flatworm	Plattmaskar
Flea	Loppor
Flemish (linguistics)	Flamländska
Flint	Flinta
Flip-flop (electronics)	Vippa
Flood	Översvämning
Floppy disk	Diskett
Florence	Florens
Florence Nightingale	Florence Nightingale
Florida	Florida
Florida	Kategori:Florida
Flour	Mjöl
Flower	Blomma
Flowering plant	Gömfröväxter
Fluid	Fluid
Fluid mechanics	Strömningsmekanik
Fluorite	Fluorit
Flute	Flöjt
Fly	Tvåvingar
Fog	Dimma
Folic acid	Folsyra
Folk music	Folkmusik
Folklore	Folklore
Folklore	Kategori:Folkminnen
Food	Mat
Food additive	Livsmedelstillsats
Food and Agriculture Organization	FAO
Food chain	Näringskedja
Foot	Fot
Foot (unit of length)	Fot (enhet)
Football (soccer)	Fotboll
Football (soccer)	Kategori:Fotboll
Football (soccer) clubs	Kategori:Fotbollsklubbar
Football (soccer) managers	Kategori:Fotbollstränare
Football (soccer) players	Kategori:Fotbollsspelare
Football (soccer) venues	Kategori:Fotbollsanläggningar
Forbidden City	Förbjudna staden
Force	Kraft
Forest	Skog
Forestry	Skogsbruk
Fork	Gaffel
Form of government	Statsskick
Formaldehyde	Formaldehyd
Formic acid	Myrsyra
Fornax	Ugnen
Fort Worth	Fort Worth
Fortification	Fästning
Fortran	Fortran
Fossil	Fossil
Fossil fuel	Fossila bränslen
Foucault pendulum	Foucaults pendel
Fountain	Fontän
Fourier series	Fourierserie
Fox	Rävar
Fractal	Fraktal
Fraction (mathematics)	Bråk
France	Frankrike
France	Kategori:Frankrike
Francis Bacon	Francis Bacon
Francis Crick	Francis Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Francis II	Frans II (tysk-romersk kejsare)
Francis Poulenc	Francis Poulenc
Francis of Assisi	Franciskus av Assisi
Franciscan	Franciskanorden
Francisco Franco	Francisco Franco
Francisco Goya	Francisco de Goya
Francisco Pizarro	Francisco Pizarro
Francium	Francium
Franco-Prussian War	Fransk-tyska kriget
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfort	Frankfort, Kentucky
Frankfurt	Frankfurt am Main
Frankfurt	Kategori:Frankfurt am Main
Frankfurt (Oder)	Frankfurt (Oder)
Frankfurt (disambiguation)	Frankfurt (olika betydelser)
Franklin Pierce	Franklin Pierce
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Franz Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Fred Astaire	Fred Astaire
Frederick I	Fredrik I Barbarossa
Frederick II	Fredrik II (tysk-romersk kejsare)
Frederick Sanger	Frederick Sanger
Frederick Soddy	Frederick Soddy
Fredericton	Fredericton
Free State	Fristatsprovinsen
Free will	Fri vilja
Freedom (philosophy)	Frihet
Freedom of speech	Yttrandefrihet
Freemasonry	Frimureri
Freetown	Freetown
Freeware	Gratisprogram
French Polynesia	Franska Polynesien
French Polynesia	Kategori:Franska Polynesien
French Revolution	Franska revolutionen
French Revolution	Kategori:Franska revolutionen
French people	Kategori:Fransmän
Frequency	Frekvens
Fresco	Fresk
Freshwater	Sötvatten
Fresno	Fresno
Freyja	Fröja
Freyr	Frö (mytologi)
Friction	Friktion
Friday	Fredag
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Friesland	Friesland
Frigate	Fregatt
Frigg	Frigg
Fritz Haber	Fritz Haber
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Frog	Stjärtlösa groddjur
Fructose	Fruktos
Fruit	Frukt
Fruit	Kategori:Frukter
Fucking	Fucking
Fuel	Bränsle
Fuel cell	Bränslecell
Fugue	Fuga
Fukuoka	Fukuoka
Full moon	Fullmåne
Funafuti	Funafuti
Function (mathematics)	Funktion
Fundamental	Kategori:Topp
Fundamental interaction	Fundamental växelverkan
Fundamentalism	Fundamentalism
Fungi	Kategori:Svampar
Fungus	Svampar
Funicular	Bergbana
Funk	Funk
Furniture	Kategori:Möbler
Furniture	Möbler
Future	Framtid
Futurism (art)	Futurism
Fuzzy logic	Suddig logik
Fyodor Dostoevsky	Fjodor Dostojevskij
G	G
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabon	Gabon
Gabon	Kategori:Gabon
Gaborone	Gaborone
Gabriel	Gabriel
Gabriel Lippmann	Gabriel Lippmann
Gadolinium	Gadolinium
Gaetano Donizetti	Gaetano Donizetti
Gaia (mythology)	Gaia
Galatia	Galatien
Galaxy	Galax
Galen	Galenos
Galena	Blyglans
Galicia (Central Europe)	Galizien
Galicia (Spain)	Galicien
Galilee	Galileen
Galileo (spacecraft)	Galileo (rymdsond)
Galileo Galilei	Galileo Galilei
Gallbladder	Gallblåsa
Galley	Galär
Galliformes	Hönsfåglar
Galliformes	Kategori:Hönsfåglar
Gallium	Gallium
Gallon	Gallon
Galway	Galway
Gamal Abdel Nasser	Gamal Abdel Nasser
Gambling	Hasardspel
Game	Spel
Game theory	Spelteori
Gamma	Gamma
Gamma ray	Gammastrålning
Ganesha	Ganesha
Ganges	Ganges
Ganja	Gəncə
Gansu	Gansu
Ganymede	Ganymedes
Ganymede (moon)	Ganymedes (måne)
Gap	Gap
Garden	Trädgård
Garden of Eden	Eden
Garfield	Katten Gustaf
Gargoyle	Vattenkastare
Garlic	Vitlök
Garnet	Granater
Garonne	Garonne
Gas	Gas
Gas constant	Allmänna gaskonstanten
Gas giant	Gasjätte
Gasoline	Bensin
Gastrointestinal tract	Mag-tarmkanalen
Gastropoda	Snäckor
Gaul	Gallien
Gautama Buddha	Buddha
Gay	Gay
Gaza	Gaza
Gaza Strip	Gazaremsan
Gear	Kugghjul
Geb	Geb
Geisha	Geisha
Gemini (constellation)	Tvillingarna (stjärnbild)
Gemstone	Ädelsten
Gene	Gen
Genealogy	Genealogi
Genealogy	Kategori:Genealogi
General Agreement on Tariffs and Trade	General Agreement on Tariffs and Trade
General Officer	General
General relativity	Allmänna relativitetsteorin
Genesis	Första Moseboken
Genetic code	Genetiska koden
Genetic engineering	Genetisk modifiering
Genetics	Genetik
Genetics	Kategori:Genetik
Geneva	Genève
Genie	Djinner
Genitive case	Genitiv
Genoa	Genua
Genocide	Folkmord
Genome	Genom
Genotype	Genotyp
Genus	Släkte
Geodesy	Geodesi
Geodesy	Kategori:Geodesi
Geoffrey Chaucer	Geoffrey Chaucer
Geography	Geografi
Geography	Kategori:Geografi
Geography	Portal:Geografi
Geology	Kategori:Geologi
Geology	Geologi
Geometric progression	Geometrisk funktion
Geometry	Geometri
Geometry	Kategori:Geometri
Geomorphology	Geomorfologi
Geomorphology	Kategori:Geomorfologi
Geophysics	Geofysik
Geophysics	Kategori:Geofysik
Geopolitics	Geopolitik
Georg Philipp Telemann	Georg Philipp Telemann
Georg Wilhelm Friedrich Hegel	Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Boole	George Boole
George Bush	George Bush
George Frideric Handel	Georg Friedrich Händel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Marshall	George C. Marshall
George Orwell	George Orwell
George Paget Thomson	George Paget Thomson
George Sand	George Sand
George Stephenson	George Stephenson
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georges Braque	Georges Braque
Georges Clemenceau	Georges Clemenceau
Georges Simenon	Georges Simenon
Georgetown	Georgetown, Guyana
Georgia (U.S. state)	Georgia
Georgia (U.S. state)	Kategori:Georgia
Georgia (country)	Georgien
Georgia (country)	Kategori:Georgien
Gerald Ford	Gerald Ford
Gerard Kuiper	Gerard Kuiper
German Shepherd Dog	Schäferhund
German language	Tyska
German language	Kategori:Tyska
German mark	D-mark
Germanium	Germanium
Germany	Tyskland
Germany	Kategori:Tyskland
Geronimo	Geronimo
Gestapo	Gestapo
Geyser	Gejser
Ghana	Ghana
Ghana	Kategori:Ghana
Ghent	Gent
Ghetto	Getto
Ghost	Spöke
Giacomo Puccini	Giacomo Puccini
Giant Panda	Jättepanda
Gibbon	Gibboner
Gibraltar	Gibraltar
Gibraltar	Kategori:Gibraltar
Gilgamesh	Gilgamesh
Ginger	Ingefära
Ginkgo	Ginkgo
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giorgio de Chirico	Giorgio de Chirico
Giotto di Bondone	Giotto di Bondone
Giovanni Boccaccio	Giovanni Boccaccio
Giraffe	Giraff
Giraffidae	Giraffdjur
Girolamo Savonarola	Girolamo Savonarola
Gironde	Gironde (departement)
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Giza	Giza
Glacier	Glaciär
Gladiator	Gladiator
Gland	Körtel
Glasgow	Glasgow
Glasnost	Glasnost
Glass	Glas
Glasses	Glasögon
Glider	Glidflygplan
Global Positioning System	GPS
Global warming	Global uppvärmning
Globalization	Globalisering
Globe artichoke	Kronärtskocka
Gloucestershire	Gloucestershire
Glucagon	Glukagon
Glucose	Glukos
Gluon	Gluon
Glutamic acid	Glutaminsyra
Glycerol	Propantriol
Glycine	Glycin
Glycogen	Glykogen
Glycolysis	Glykolys
Gnathostomata	Käkförsedda ryggradsdjur
Gneiss	Gnejs
Gnosticism	Gnosticism
Go (board game)	Go (brädspel)
Goa	Goa
Goalkeeper	Målvakt
Goat	Tamget
Gobi Desert	Gobiöknen
God	Gud
Golan Heights	Golanhöjderna
Gold	Guld
Golda Meir	Golda Meir
Golden Eagle	Kungsörn
Golden Gate Bridge	Golden Gate-bron
Golden Horde	Gyllene horden
Golden Retriever	Golden retriever
Golf	Golf
Golf	Kategori:Golf
Golgi apparatus	Golgiapparaten
Gomel	Homel
Good Friday	Långfredagen
Google	Google
Google	Kategori:Google
Googol	Googol
Gorgon	Gorgoner
Gorilla	Gorillor
Goshawk	Duvhök
Gospel	Evangelium
Gospel of Luke	Lukasevangeliet
Gothenburg	Göteborg
Gothic	Gotisk
Gothic architecture	Gotisk arkitektur
Gotthold Ephraim Lessing	Gotthold Ephraim Lessing
Gottlieb Daimler	Gottlieb Daimler
Gout	Gikt
Government	Regering
Grace Kelly	Grace Kelly
Gradient	Gradient
Graffiti	Graffiti
Graham Greene	Graham Greene
Gram	Gram
Grammar	Grammatik
Grammar	Kategori:Grammatik
Grammatical gender	Grammatiskt genus
Granada	Granada (stad)
Grand Canyon	Grand Canyon
Grand Slam (tennis)	Tennisens Grand Slam
Grandmaster (chess)	Schacktitlar
Granite	Granit
Grapefruit	Grapefrukt
Graphic design	Kategori:Grafisk teknik
Graphic design	Grafisk design
Graphical user interface	Grafiskt användargränssnitt
Graphite	Grafit
Gravitation	Gravitation
Gravitational constant	Gravitationskonstant
Graviton	Graviton
Gray (unit)	Gray
Gray Wolf	Varg
Graz	Graz
Great Barrier Reef	Stora barriärrevet
Great Britain	Storbritannien (ö)
Great Crested Grebe	Skäggdopping
Great Depression	Den stora depressionen
Great Lakes	Stora sjöarna
Great Rift Valley	Östafrikanska gravsänkesystemet
Great Wall of China	Kinesiska muren
Great white shark	Vithaj
Greater Antilles	Stora Antillerna
Greater London	Storlondon
Greatest common divisor	Största gemensamma delare
Grebe	Doppingar
Greece	Grekland
Greece	Kategori:Grekland
Greek alphabet	Grekiska alfabetet
Greek alphabet	Kategori:Grekiska alfabetet
Greek fire	Grekisk eld
Greek mythology	Grekisk mytologi
Greek mythology	Kategori:Grekisk mytologi
Green	Grön
Greenhouse	Växthus
Greenhouse effect	Växthuseffekten
Greenhouse gas	Växthusgas
Greenland	Grönland
Greenland	Kategori:Grönland
Greenland Sea	Grönlandshavet
Greenpeace	Greenpeace
Greenwich	Greenwich
Greenwich Mean Time	Greenwich Mean Time
Gregor Mendel	Gregor Mendel
Gregorian calendar	Gregorianska kalendern
Grenada	Kategori:Grenada
Grenoble	Grenoble
Greta Garbo	Greta Garbo
Grey	Grå
Greylag Goose	Grågås
Griffin	Grip
Griffon Vulture	Gåsgam
Group	Grupp
Group (mathematics)	Grupp (matematik)
Group (periodic table)	Periodiska systemets grupper
Group theory	Grupp (matematik)
Grover Cleveland	Grover Cleveland
Grozny	Groznyj
Gruiformes	Tran- och rallfåglar
Grus (constellation)	Tranan
Guadalajara	Guadalajara, Mexiko
Guadeloupe	Guadeloupe
Guam	Guam
Guangdong	Guangdong
Guangzhou	Guangzhou
Guanine	Guanin
Guano	Guano
Guatemala	Kategori:Guatemala
Guatemala City	Guatemala City
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guild	Skråväsen
Guillaume Apollinaire	Guillaume Apollinaire
Guillotine	Giljotin
Guinea	Guinea
Guinea	Kategori:Guinea
Guinea pig	Marsvin
Guinea-Bissau	Guinea-Bissau
Guinea-Bissau	Kategori:Guinea-Bissau
Guitar	Gitarr
Gujarat	Gujarat
Gulag	Gulag
Gulf Stream	Golfströmmen
Gulf War	Kuwaitkriget
Gulf of Aden	Adenviken
Gulf of Aqaba	Akabaviken
Gulf of Bothnia	Bottniska viken
Gulf of Finland	Finska viken
Gulf of Guinea	Guineabukten
Gulf of Mexico	Mexikanska golfen
Gulf of Oman	Omanbukten
