English	Lithuanian
Onion	Valgomasis svogūnas
Onomastics	Onomastika
Ontario	Ontarijas
Ontology	Ontologija
Oort cloud	Orto kometoidų debesis
Opal	Opalas
Opel	Opel
Opera	Opera
Opera (Internet suite)	Opera (naršyklė)
Operating system	Operacinė sistema
Operetta	Operetė
Ophiuchus	Gyvatnešis
Opium	Opijus
Optical fiber	Skaidulinė optika
Optics	Optika
Optics	Kategorija:Optika
Optimization (mathematics)	Optimizavimas (matematika)
Oral sex	Oralinis seksas
Orange (colour)	Oranžinė
Orange (fruit)	Apelsinas
Orangutan	Orangutanai
Orbit	Orbita
Orca	Orka
Orchestra	Simfoninis orkestras
Orchidaceae	Gegužraibiniai
Order (biology)	Būrys
Order of Saint Benedict	Benediktinai
Ordovician	Ordovikas
Oregon	Oregonas
Orestes (mythology)	Orestas
Organ (anatomy)	Organas
Organelle	Organelės
Organic chemistry	Organinė chemija
Organic compound	Organinis junginys
Organism	Organizmas
Organization	Organizavimas
Orgasm	Orgazmas
Origami	Origami
Origen	Origenas
Orinoco	Orinokas
Orion (constellation)	Orionas (astronomija)
Orissa	Orisa
Orlando	Orlandas
Ornithology	Ornitologija
Ornithology	Kategorija:Ornitologija
Orpheus	Orfėjas
Osaka	Osaka
Osama bin Laden	Osama bin Ladenas
Oscar Wilde	Oskaras Vaildas
Osiris	Ozyris
Oslo	Oslas
Osmium	Osmis
Osprey	Erelis žuvininkas
Osteichthyes	Kaulinės žuvys
Osteoporosis	Osteoporozė
Ostrava	Ostrava
Ostrich	Afrikinis strutis
Ottawa	Otava
Otto von Bismarck	Otto von Bismarck
Ottoman Empire	Osmanų imperija
Ottoman Empire	Kategorija:Osmanų imperija
Ovary	Kiaušidė
Ovid	Ovidijus
Oviedo	Ovjedas
Ovum	Kiaušialąstė
Owl	Pelėdiniai paukščiai
Oxford	Oksfordas
Oxidation state	Oksidacijos laipsnis
Oxide	Oksidas
Oxygen	Deguonis
Oxymoron	Oksimoronas
Oxytocin	Oksitocinas
Ozone	Ozonas
Ozone layer	Ozono sluoksnis
P	P
PH	PH
Pablo Neruda	Pablo Neruda
Pablo Picasso	Pablo Picasso
Pacific Ocean	Ramusis vandenynas
Pacifism	Pacifizmas
Padua	Paduva
Paganism	Pagonys
Pakistan	Pakistanas
Pakistan	Kategorija:Pakistanas
Palau	Palau
Palau	Kategorija:Palau
Paleolithic	Paleolitas
Paleontology	Paleontologija
Paleontology	Kategorija:Paleontologija
Paleozoic	Paleozojus
Palermo	Palermas
Palestine	Kategorija:Palestina
Palestine Liberation Organization	Palestinos išsivadavimo organizacija
Pali	Pali
Palladium	Paladis
Pamir Mountains	Pamyras
Pan (mythology)	Panas (mitologija)
Panama	Panama
Panama Canal	Panamos kanalas
Panama City	Panama (miestas)
Pancreas	Kasa
Pandemic	Pandemija
Pandora	Pandora
Pangaea	Pangėja
Panthera	Panteros
Papua New Guinea	Papua Naujoji Gvinėja
Papua New Guinea	Kategorija:Papua Naujoji Gvinėja
Parabola	Parabolė
Paracelsus	Paracelsas
Parachute	Parašiutas
Paradox	Paradoksas
Paraguay	Paragvajus
Paraguay	Kategorija:Paragvajus
Parallax	Paralaksas
Parallelogram	Lygiagretainis
Paramaribo	Paramaribas
Paranoia	Paranoja
Paraphilia	Lytinis nukrypimas
Parapsychology	Parapsichologija
Parasitism	Parazitizmas
Paris	Paryžius
Paris	Kategorija:Paryžius
Paris (mythology)	Paris
Parity (mathematics)	Lyginiai ir nelyginiai skaičiai
Parliament	Parlamentas
Parrot	Papūginiai paukščiai
Parsec	Parsekas
Parsley	Petražolė
Parthenon	Partenonas
Parthia	Partai
Particle physics	Dalelių fizika
Particle physics	Kategorija:Dalelių fizika
Parvati	Parvati
Pascal	Paskalis
Pascal (programming language)	Pascal
Pascal (unit)	Paskalis (matavimo vienetas)
Passerine	Žvirbliniai paukščiai
Passport	Pasas
Pasteurization	Pasterizacija
Patagonia	Patagonija
Patent	Patentas
Pathology	Augalų ligos
Patras	Patrai
Patriotism	Patriotizmas
Paul Gauguin	Paul Gauguin
Paul McCartney	Paul McCartney
Paul Newman	Paul Newman
Paul the Apostle	Apaštalas Paulius
Pauli exclusion principle	Paulio draudimo principas
Pavo (constellation)	Povas (astronomija)
Pawn (chess)	Pėstininkas (šachmatai)
Pays de la Loire	Luaros kraštas
Pea	Sėjamasis žirnis
Peace	Taika
Peace of Westphalia	Vestfalijos taika
Peach	Persikas
Peanut	Valgomasis arachis
Pear	Kriaušė
Pearl	Perlas
Pearl Harbor	Perl Harboras
Peat	Durpės
Pedagogy	Edukologija
Pedagogy	Kategorija:Pedagogika
Pediatrics	Pediatrija
Pedophilia	Pedofilija
Pedunculate Oak	Paprastasis ąžuolas
Pegasus	Pegasas
Pegasus (constellation)	Pegasas (astronomija)
Peloponnese	Peloponesas
Peloponnesian War	Peloponeso karas
Pencil	Pieštukas
Penelope	Penelopė
Penguin	Pingvininiai
Penicillin	Penicilinas
Peninsula	Pusiasalis
Pennsylvania	Pensilvanija
Pentagram	Pentagrama
Pentecost	Sekminės
Pentecostalism	Sekmininkai
People	Kategorija:Biografijos
People's Republic of China	Kinijos Liaudies Respublika
Peptide	Polipeptidas
Percentage	Nuošimtis
Perception	Suvokimas
Perciformes	Ešeržuvės
Percussion instrument	Mušamieji instrumentai
Peregrine Falcon	Sakalas keleivis
Perestroika	Perestroika
Perfume	Kvepalai
Pericles	Periklis
Periodic table	Periodinė elementų lentelė
Perm	Permė
Permafrost	Amžinasis įšalas
Permian	Permas
Permutation	Kėliniai
Perpetual motion	Amžinasis variklis
Persephone	Persefonė
Persepolis	Persepolis
Perseus	Persėjas
Perseus (constellation)	Persėjas (astronomija)
Persian Empire	Senovės Persija
Persian Gulf	Persijos įlanka
Personal digital assistant	Delninis kompiuteris
Perth	Pertas
Peru	Peru
Peru	Kategorija:Peru
Pesticide	Pesticidas
Peter Paul Rubens	Piteris Paulius Rubensas
Petroleum	Nafta
Petrology	Petrologija
Phanerozoic	Fanerozojus
Pharaoh	Faraonas
Pharmacology	Farmakologija
Pharmacology	Kategorija:Farmakologija
Pharynx	Ryklė
Phenomenology	Fenomenologija
Phenylalanine	Fenilalaninas
Phi (letter)	Fi (raidė)
Philadelphia	Filadelfija
Philately	Filatelija
Philately	Kategorija:Filatelija
Philip II of Spain	Pilypas II
Philippine Sea	Filipinų jūra
Philippines	Filipinai
Philippines	Kategorija:Filipinai
Philology	Filologija
Philology	Kategorija:Filologija
Philosopher's stone	Filosofinis akmuo
Philosophy	Filosofija
Philosophy	Kategorija:Filosofija
Phnom Penh	Pnompenis
Phobia	Fobija
Phobos (moon)	Fobas (palydovas)
Phoenicia	Finikija
Phoenix	Finiksas
Phoenix	Feniksas (reikšmės)
Phoenix (constellation)	Feniksas (astronomija)
Phoenix (mythology)	Feniksas
Phoenix (spacecraft)	Phoenix (Marso zondas)
Phosphoric acid	Fosforo rūgštis
Phosphorus	Fosforas
Photography	Fotografija
Photography	Kategorija:Fotografija
Photon	Fotonas
Photosphere	Fotosfera
Photosynthesis	Fotosintezė
Phylum	Tipas
Physician	Gydytojas
Physics	Fizika
Physics	Kategorija:Fizika
Physics	Wikipedia:Fizika
Physiology	Fiziologija
Physiology	Kategorija:Fiziologija
Pi	Pi
Pi (letter)	Pi (raidė)
Piano	Pianinas
Picardie	Pikardija
Piciformes	Geniniai paukščiai
Pictor	Tapytojas (astronomija)
Pidgin	Pidžinas
Piedmont	Pjemontas
Pierre Curie	Pierre Curie
Pierre de Fermat	Pjeras Ferma
Pigment	Pigmentas
Pilsen	Pilzenas
Pinaceae	Pušiniai
Pindar	Pindaras
Pine	Pušis
Pineapple	Valgomasis ananasas
Ping	Ping
Pink	Rausva
Pinniped	Ruoniniai
Piracy	Piratavimas
Pisa	Piza
Pisces (constellation)	Žuvys (astronomija)
Pittsburgh	Pitsburgas
Pituitary gland	Hipofizė
Pizza	Pica
Plagiarism	Plagijavimas
Planet	Planeta
Planetary nebula	Planetiškasis ūkas
Plankton	Planktonas
Plant	Augalai
Plasma (physics)	Plazma
Plastic	Plastikas
Plastid	Plastidė
Plate tectonics	Plokščių tektonika
Platelet	Trombocitas
Platinum	Platina
Plato	Platonas
Platypus	Ančiasnapis
Playboy	Playboy
Playing card	Žaidimo korta
Pleiades (star cluster)	Plejadės (astronomija)
Pleistocene	Pleistocenas
Pleven	Plevenas
Pliocene	Pliocenas
Plovdiv	Plovdivas
Plutarch	Plutarchas
Pluto	Plutonas (nykštukinė planeta)
Plutonium	Plutonis
Plymouth	Plimutas (Anglija)
Po River	Po (upė)
Poaceae	Migliniai
Podcast	Podcasting
Poetry	Poezija
Poetry	Kategorija:Poezija
Point (geometry)	Taškas
Poison	Nuodas
Poitiers	Puatjė
Poitou-Charentes	Puatu-Šarantos
Poker	Pokeris
Poland	Lenkija
Poland	Kategorija:Lenkija
Polar bear	Baltasis lokys
Polaris	Šiaurinė
Police	Policija
Poliomyelitis	Poliomielitas
Political party	Partija
Political science	Politologija
Political science	Kategorija:Politologija
Politics	Politika
Pollen	Žiedadulkė
Pollination	Apdulkinimas
Pollution	Teršimas
Polonium	Polonis
Polyethylene	Polietilenas
Polyhymnia	Polymnija
Polymer	Polimeras
Polynesia	Polinezija
Polynomial	Polinomas
Polytheism	Politeizmas
Polyvinyl chloride	Polivinilchloridas
Pomegranate	Paprastasis granatmedis
Pomelo	Didysis citrinmedis
Pompeii	Pompėja
Pontius Pilate	Poncijus Pilotas
Pop art	Pop art menas
Pop music	Popmuzika
Pope	Popiežius
Pope Alexander VI	Aleksandras VI
Poplar	Tuopa
Population	Populiacija
Porcelain	Porcelianas
Pornography	Pornografija
Port	uostas
Port Louis	Port Luisas
Port Moresby	Port Morsbis
Port Vila	Port Vila
Port of Spain	Port of Speinas
Port-au-Prince	Port o Prensas
Portland	Portlandas
Porto	Portas
Portrait	Portretas
Portugal	Portugalija
Portugal	Kategorija:Portugalija
Poseidon	Poseidonas
Positron	Pozitronas
Postage stamp	Pašto ženklas
Postal code	Pašto kodas
Postmodernism	Postmodernizmas
Potassium	Kalis
Potassium nitrate	Kalio salietra
Potato	Valgomoji bulvė
Potential energy	Potencinė energija
Potsdam	Potsdamas
Pound (mass)	Svaras
Pound sterling	Svaras sterlingų
Poverty	Skurdas
Power (physics)	Galia (fizika)
Power station	Jėgainė
Prague	Praha
Praia	Praja
Praseodymium	Prazeodimis
Prayer	Malda
Precipitation (meteorology)	Krituliai
Pregnancy	Nėštumas
Prehistory	Priešistorė
President	Prezidentas
President of the United States	JAV prezidentas
Pressure	Slėgis
Pretoria	Pretorija
Priam	Priamas
Price	Kaina
Priest	Kunigas
Primate	Primatai
Primates	Kategorija:Primatai
Prime minister	Ministras pirmininkas
Prime number	Pirminis skaičius
Prince Edward Island	Princo Edvardo sala
Principle of relativity	Reliatyvumo teorija
Prion	Prionas
Prism (optics)	Prizmė
Prison	Kalėjimas
Prisoner of war	Nelaisvė
Probability theory	Tikimybių teorija
Probability theory	Kategorija:Tikimybių teorija
Procyonidae	Meškėniniai
Professor	Profesorius
Profit	Pelnas
Programming language	Programavimo kalba
Progressive rock	Progresyvusis rokas
Project	Projektas
Prokaryote	Prokariotinė ląstelė
Prolog	Prolog
Prometheus	Prometėjas
Promethium	Prometis
Propaganda	Propaganda
Propane	Propanas
Prophet	Pranašas
Prose	Proza
Prostate	Prostata
Protactinium	Protaktinis
Protein	Baltymas
Proterozoic	Proterozojus
Protestant Reformation	Reformacija
Protestantism	Protestantizmas
Protist	Pirmuonys
Protista	Kategorija:Pirmuonys
Proton	Protonas
Providence	Providensas
Proxima Centauri	Proxima Centauri
Prunus	Slyva
Prussia	Prūsija
Pseudoscience	Kategorija:Pseudomokslai
Pseudoscience	Pseudomokslas
Psi (letter)	Psi (raidė)
Psoriasis	Žvynelinė
Psychiatry	Psichiatrija
Psychiatry	Kategorija:Psichiatrija
Psychoanalysis	Psichoanalizė
Psychology	Psichologija
Psychology	Kategorija:Psichologija
Psychosis	Psichozė
Psychotherapy	Psichoterapija
Ptah	Ptachas
Pterosaur	Pterozaurai
Ptolemaic dynasty	Ptolemėjų dinastija
Ptolemy	Klaudijus Ptolemėjus
Puberty	Lytinė branda
Public domain	Viešo naudojimo režimas
Puerto Rico	Puerto Rikas
Puerto Rico	Kategorija:Puerto Rikas
Pula	Pula
Pulley	Skridinys
Pulsar	Pulsaras
Punctuation	Skyryba
Punjab (India)	Pandžabas (Indija)
Punk rock	Pankrokas
Pupil	Vyzdys
Puppis	Laivagalis
Pyongyang	Pchenjanas
Pyramid	Piramidė
Pyrenees	Pirėnai
Pyrite	Piritas
Pyrrhic victory	Pyro pergalė
Pythagoras	Pitagoras
Python (programming language)	Python
Pyxis	Kompasas (astronomija)
Q	Q
Qatar	Kataras
Qatar	Kategorija:Kataras
Qin Dynasty	Čin dinastija
Qing Dynasty	Čing dinastija
Quadratic equation	Kvadratinė lygtis
Quadrilateral	Keturkampis
Quaestor	Kvestorius
Quantum field theory	Kvantinė lauko teorija
Quantum mechanics	Kvantinė mechanika
Quarantine	Karantinas
Quark	Kvarkas
Quartz	Kvarcas
Quasar	Kvazaras
Quaternary	Kvarteras
Quaternion	Kvaternionas
Quebec	Kvebekas
Quebec City	Kvebekas (miestas)
Quechua	Kečujų kalba
Queens	Kvinsas
Queensland	Kvinslandas
Quentin Tarantino	Quentin Tarantino
Question mark	Klaustukas
Quetzalcoatl	Kecalkoatlis
Quince	Paprastoji cidonija
Quito	Kitas
R	R
RAF (disambiguation)	RAF
RNA	Ribonukleino rūgštis
Ra	Ra
Rabat	Rabatas
Rabbi	Rabinas
Rabindranath Tagore	Rabindranatas Tagorė
Raccoon Dog	Usūrinis šuo
Race	Rasė
Racism	Rasizmas
Racism	Kategorija:Rasizmas
Radar	Radaras
Radio	Kategorija:Radijas
Radio telescope	Radioteleskopas
Radium	Radis
Radius	Spindulys
Radon	Radonas
Rain	Lietus
Rainbow	Vaivorykštė
Rainer Maria Rilke	Rainer Maria Rilke
Raleigh	Rolis
Rama	Rama (mitologija)
Ramadan	Ramadanas
Ramayana	Ramajana
Ramesses II	Ramzis II
Ranunculaceae	Vėdryniniai
Rape	Išprievartavimas
Rapeseed	Rapsas
Raphael	Rafaelis
Raphael (archangel)	Arkangelas Rafaelis
Raspberry	Paprastoji avietė
Rat	Žiurkė
Rational number	Racionalusis skaičius
Ratite	Beketeriai paukščiai
Ravenna	Ravena
Rawalpindi	Ravalpindis
Ray Bradbury	Ray Bradbury
Real number	Realusis skaičius
Recession	Recesija
Recife	Resifė
Rectangle	Stačiakampis
Rectifier	Elektros srovės lygintuvas
Recursion	Rekursija
Red	Raudona
Red Army Faction	Raudonosios armijos frakcija
Red Deer	Taurusis elnias
Red Fox	Rudoji lapė
Red Sea	Raudonoji jūra
Red algae	Raudondumbliai
Red blood cell	Raudonasis kraujo kūnelis
Red dwarf	Raudonoji nykštukė
Red giant	Raudonoji milžinė
Reduced instruction set computer	RISC
Referendum	Referendumas
Refraction	Bangos lūžis
Refractive index	Lūžio rodiklis
Regent	Regentas
Reggae	Regis
Regiment	Pulkas
Regina	Redžaina
Region	Regionas
Reindeer	Šiaurinis elnias
Relativism	Reliatyvizmas
Relativity	Kategorija:Reliatyvumo teorija
Relay	Relė
Religion	Religija
Religion	Kategorija:Religija
Rembrandt	Rembrandt
Renaissance	Renesansas
Reptile	Ropliai
Republic	Respublika
Republic of China	Taivanas
Republic of Ireland	Airija
Republic of Ireland	Kategorija:Airija
Republic of the Congo	Kongo Respublika
Republic of the Congo	Kategorija:Kongas
Republican Party (United States)	JAV respublikonų partija
Resistor	Rezistorius
Reticulum	Tinklelis
Retina	Tinklainė
Retinol	Vitaminas A
Revolution	Revoliucija
Revolver	Revolveris
Rhea (moon)	Rėja (palydovas)
Rhea (mythology)	Rėja
Rhenium	Renis
Rhetoric	Retorika
Rhetoric	Kategorija:Retorika
Rhine	Reinas
Rhinoceros	Raganosiniai
Rhode Island	Rod Ailandas
Rhodes	Rodas
Rhodium	Rodis
Rhombus	Rombas
Rhythm and blues	Ritmenbliuzas
Rib	Šonkaulis
Riboflavin	Riboflavinas
Ribosome	Ribosoma
Richard Feynman	Richard Feynman
Richard Nixon	Richard Nixon
Richard Wagner	Richard Wagner
Richard Wright (musician)	Richard Wright
Riga	Ryga
Rigel	Rigelis
Right ascension	Rektascensija
Ringo Starr	Ringo Starr
Rio Grande	Grandė (JAV-Meksika)
Rio de Janeiro	Rio de Žaneiras
River	Upė
River Thames	Temzė
Riyadh	Rijadas
Road	Kelias
Roald Amundsen	Roaldas Amundsenas
Robert Boyle	Robert Boyle
Robert Burns	Robert Burns
Robert Falcon Scott	Robert Falcon Scott
Robert Oppenheimer	Robert Oppenheimer
Robert Schumann	Robert Schumann
Robin Hood	Robinas Hudas
Robot	Robotas
Rock	Akmuo, žirklės, popierius
Rock (geology)	Uoliena
Rock and roll	Rokenrolas
Rock music	Rokas
Rock music	Kategorija:Rokas
Rocky Mountains	Uoliniai kalnai
Rodent	Graužikai
Roe Deer	Stirna
Roentgenium	Rentgenis
Roman Catholic Church	Romos katalikų bažnyčia
Roman Empire	Romos imperija
Roman calendar	Romėnų kalendorius
Roman law	Romėnų teisė
Roman legion	Legionas
Roman mythology	Romėnų mitologija
Roman mythology	Kategorija:Romėnų mitologija
Romania	Rumunija
Romania	Kategorija:Rumunija
Romansh	Retoromanų kalba
Romanticism	Romantizmas
Rome	Roma
Ronald Reagan	Ronald Reagan
Roof	Stogas
Rook (bird)	Kovas (paukštis)
Rook (chess)	Bokštas (šachmatai)
Root	Šaknis
Rosaceae	Erškėtiniai
Rosales	Erškėtiečiai
Rosario	Rosarijas
Rosary	Rožinys
Rose	Erškėtis
Roseau	Rozo
Rosetta Stone	Rozetės akmuo
Ross Sea	Roso jūra
Rostock	Rostokas
Rotifer	Verpetės
Rotterdam	Roterdamas
Router	Maršrutizatorius
Royal Air Force	Royal Air Force
Rubber	Guma
Rubicon	Rubikonas
Rubidium	Rubidis
Rubus idaeus	Paprastoji avietė
Ruby	Rubinas
Ruby (programming language)	Ruby
Rudolf Diesel	Rudolf Diesel
Rudolf Hess	Rudolf Hess
Rudyard Kipling	Radjardas Kiplingas
Russia	Rusija
Russia	Kategorija:Rusija
Russian Orthodox Church	Rusijos stačiatikių bažnyčia
Russian Revolution (1917)	Rusijos revoliucija
Ruthenium	Rutenis
Rutherfordium	Rezerfordis
Rwanda	Ruanda
Rwanda	Kategorija:Ruanda
Rye	Sėjamasis rugys
S	S
Sacrament	Sakramentas
Sacramento	Sakramentas (Kalifornija)
Saddam Hussein	Sadamas Huseinas
Safari (web browser)	Apple Safari
Sagitta	Strėlė (astronomija)
Sagittarius (constellation)	Šaulys (astronomija)
Sahara	Sachara
Sail	Burė
Saint Andrew	Apaštalas Andriejus
Saint George	Šv. Jurgis
Saint Kitts and Nevis	Sent Kitsas ir Nevis
Saint Lawrence River	Šv. Lauryno upė
Saint Lucia	Sent Lusija
Saint Lucia	Kategorija:Sent Lusija
Saint Paul	Sent Polis
Saint Peter	Apaštalas Petras
Saint Petersburg	Sankt Peterburgas
Saint Vincent and the Grenadines	Sent Vinsentas ir Grenadinai
Sake	Sakė
Saladin	Saladinas
Salamander	Uodeguotieji varliagyviai
Salerno	Salernas
Saliva	Seilės
Salman Rushdie	Salman Rushdie
Salmonidae	Lašišinės
Salt	Druska
Salt (chemistry)	Druska
Salt Lake City	Solt Leik Sitis
Salvador	Salvadoras (miestas)
Salzburg	Zalcburgas
Salzburg (state)	Zalcburgas (žemė)
Samara	Samara
Samarium	Samaris
Samarkand	Samarkandas
Samoa	Samoa
Samoa	Kategorija:Samoa
Samsara	Samsara
Samuel Beckett	Samuel Beckett
Samurai	Samurajus
San Antonio	San Antonijas
San Diego	San Diegas
San Francisco	San Franciskas
San Jose	San Chosė (JAV)
San Juan	San Chuanas (Puerto Rikas)
San Marino	San Marinas
San Marino	Kategorija:San Marinas
San Marino	San Marinas (miestas)
San Salvador	San Salvadoras
Sand	Smėlis
Sandro Botticelli	Sandro Botticelli
Sandstone	Smiltainis
Sandwich	Sumuštinis
Sanskrit	Sanskritas
Santa Claus	Kalėdų Senelis
Santa Fe	Santa Fė (Naujoji Meksika)
Santiago	Čilės Santjagas
Santiago	Santjagas
Santo Domingo	Santo Domingas
Sapphire	Safyras
Sappho	Sapfo
Sapporo	Saporas
Sarah Bernhardt	Sarah Bernhardt
Sarajevo	Sarajevas
Saratov	Saratovas
Sardinia	Sardinija
Sari	Saris (miestas)
Saskatchewan	Saskačevanas
Satanism	Satanizmas
Satellite	Dirbtinis palydovas
Saturday	Šeštadienis
Saturn	Saturnas
Saturn	Kategorija:Saturnas
Saturn (mythology)	Saturnas (mitologija)
Satyr	Satyras
Sauce	Padažas
Saudi Arabia	Saudo Arabija
Saudi Arabia	Kategorija:Saudo Arabija
Sausage	Dešra
Saxony	Saksonija
Saxony	Kategorija:Saksonija
Saxophone	Saksofonas
Scandinavia	Skandinavija
Scandinavian Peninsula	Skandinavijos pusiasalis
Scandium	Skandis
Scapula	Mentė
Scheme (programming language)	Scheme
Schizophrenia	Šizofrenija
Scholasticism	Scholastika
School	Mokykla
Schutzstaffel	SS
Science	Mokslas
Science	Kategorija:Mokslas
Science fiction	Mokslinė fantastika
Scientific method	Mokslinis metodas
Scientology	Scientologija
Scipio Africanus	Scipionas Afrikietis
Sciuridae	Voveriniai
Scorpion	Skorpionai
Scorpius	Skorpionas (astronomija)
Scotland	Škotija
Scotland	Kategorija:Škotija
Scots Pine	Paprastoji pušis
Scottish Gaelic	Škotų gėlų kalba
Screwdriver	Atsuktuvas
Scrotum	Kapšelis
Sculptor (constellation)	Skulptorius (astronomija)
Sculpture	Skulptūra
Sea	Jūra
Sea Otter	Jūrinė ūdra
Sea cucumber	Holoturijos
Sea of Azov	Azovo jūra
Sea of Japan	Japonijos jūra
Sea of Marmara	Marmuro jūra
Sea of Okhotsk	Ochotsko jūra
Sea urchin	Jūrų ežiai
Seaborgium	Syborgis
Sears Tower	Sears Tower
Season	Metų laikai
Seattle	Sietlas
Second	Sekundė
Second Crusade	Antrasis kryžiaus žygis
Second Vatican Council	II Vatikano susirinkimas
Sect	Sekta
Seed	Sėkla
Seine	Sena
Seismology	Seismologija
Selene	Selenė
Selenium	Selenas
Semantics	Semantika
Semen	Sperma
Semiconductor	Puslaidininkis
Semiotics	Semiotika
Senate	Senatas
Senegal	Senegalas
Senegal	Kategorija:Senegalas
Seoul	Seulas
Seppuku	Sepuku
September	Rugsėjis
September 11	Rugsėjo 11
September 11	Rugsėjo 11 d. atakos
September 17	Rugsėjo 17
September 29	Rugsėjo 29
Serbia	Serbija
Serbia	Kategorija:Serbija
Serbia and Montenegro	Serbija ir Juodkalnija
Serbia and Montenegro	Kategorija:Serbija ir Juodkalnija
Sergei Rachmaninoff	Sergejus Rachmaninovas
Serine	Serinas
Serotonin	Serotoninas
Serpens	Gyvatė (astronomija)
Server (computing)	Serveris
Set	Aibė
Set theory	Kategorija:Aibių teorija
Sevastopol	Sevastopolis
Seven Years' War	Septynerių metų karas
Severe acute respiratory syndrome	SARS
Seville	Sevilija
Sex organ	Lytiniai organai
Sexism	Seksizmas
Sexual intercourse	Lytinis aktas
Sexually transmitted disease	Lytiniu keliu plintančios ligos
Seychelles	Seišeliai
Seychelles	Kategorija:Seišeliai
Shamanism	Šamanizmas
Shanghai	Šanchajus
Share (finance)	Akcija (finansai)
Shareware	Laikinai nemokama programinė įranga
Sharia	Šariatas
Shark	Rykliai
Sheffield	Šefildas
Sherlock Holmes	Šerlokas Holmsas
Shetland	Šetlando salos
Shield	Skydas
Shikoku	Šikoku
Shinto	Šintoizmas
Ship	Laivas
Shiva	Šyva
Shogun	Siogūnas
Shrub	Krūmas
Siberia	Sibiras
Siberian Husky	Sibiro haskis
Sichuan	Sičuanas
Sicily	Sicilija
Sierra Leone	Siera Leonė
Sierra Leone	Kategorija:Siera Leonė
Sigmund Freud	Sigmund Freud
Sign language	Ženklų kalba
Sigrid Undset	Sigrid Undset
Sikhism	Sikhizmas
Sikkim	Sikimas
Silesia	Silezija
Silicon	Silicis
Silicon dioxide	Silicio dioksidas
Silk	Šilkas
Silk Road	Šilko kelias
Silurian	Silūras
Silver	Sidabras
Simone de Beauvoir	Simone de Beauvoir
Sinai Peninsula	Sinajaus pusiasalis
Singapore	Singapūras
Singapore	Kategorija:Singapūras
Single (music)	Singlas
Siren	Sirenos (mitologija)
Sirenia	Sirenos (gyvūnai)
Sirius	Sirijus
Sistine Chapel	Siksto koplyčia
Sisyphus	Sizifas
Six-Day War	Šešių dienų karas
Skateboard	Riedlentė
Skin	Oda
Skinhead	Skustagalviai
Skopje	Skopjė
Skull	Galvos griaučiai
Skylab	Skylab
Skyscraper	Dangoraižis
Slash (musician)	Saul Hudson
Slavery	Vergovė
Sleep	Miegas
Slovakia	Slovakija
Slovakia	Kategorija:Slovakija
Slovenia	Slovėnija
Slovenia	Kategorija:Slovėnija
Small intestine	Plonoji žarna
Smog	Smogas
Smolensk	Smolenskas
Snake	Gyvatės
Snooker	Angliškasis biliardas
Snow	Sniegas
Soap	Muilas
Social psychology	Socialinė psichologija
Socialism	Socializmas
Socialism	Kategorija:Socializmas
Socialist Party (France)	Prancūzijos socialistų partija
Society of Jesus	Jėzuitai
Sociology	Sociologija
Sociology	Kategorija:Sociologija
Socrates	Sokratas
Sodium	Natris
Sodium bicarbonate	Natrio hidrokarbonatas
Sodium chloride	Natrio chloridas
Sodium hydroxide	Natrio šarmas
Sofia	Sofija
Soil	Dirvožemis
Solanaceae	Bulviniai
Solanaceae	Kategorija:Bulviniai
Solar System	Saulės sistema
Solar cell	Saulės baterija
Solar eclipse	Saulės užtemimas
Solar energy	Saulės energija
Solar wind	Saulės vėjas
Solidarity	Solidarumas
Solomon	Saliamonas
Solomon Islands	Saliamono Salos
Solon	Solonas
Solstice	Saulėgrįža
Solution	Tirpalas
Solvent	Tirpiklis
Somalia	Somalis
Somalia	Kategorija:Somalis
Somerset	Somersetas
Somme	Soma (departamentas)
Song	Daina
Sonnet	Sonetas
Sophism	Sofizmas
Sophocles	Sofoklis
Sorbonne	Sorbona
Sorghum	Sorgas
Sorting algorithm	Rikiavimo algoritmas
Soul	Siela
Sound	Garsas
Soup	Sriuba
Source code	Išeitinis kodas
South	Pietūs
South Africa	Kategorija:Pietų Afrikos Respublika
South America	Pietų Amerika
South America	Kategorija:Pietų Amerika
South Australia	Pietų Australija
South Carolina	Pietų Karolina
South China Sea	Pietų Kinijos jūra
South Dakota	Pietų Dakota
South Island	Pietų sala
South Korea	Pietų Korėja
South Korea	Kategorija:Pietų Korėja
South Pole	Pietų ašigalis
Southeast Asia	Pietryčių Azija
Southern Hemisphere	Pietų pusrutulis
Sovereignty	Suverenitetas
Soviet Union	Tarybų Sąjunga
Soviet Union	Kategorija:Tarybų Sąjunga
Soybean	Gauruotoji soja
Space Shuttle	Space Shuttle
Space station	Kosminė stotis
Spaghetti	Spagečiai
Spain	Ispanija
Spain	Kategorija:Ispanija
Spam (electronic)	Elektroninės šiukšlės
Spanish Civil War	Ispanijos pilietinis karas
Spanish people	Kategorija:Ispanijos asmenybės
Sparta	Sparta
Special relativity	Specialioji reliatyvumo teorija
Species	Rūšis
Speed	Greitis
Speed of light	Šviesos greitis
Speleology	Speleologija
Sperm Whale	Kašalotiniai
Spermatozoon	Spermatozoidas
Sphere	Sfera
Sphinx	Sfinksas (mitologija)
Spice	Prieskonis
Spider	Vorai
Spin (physics)	Sukinys
Spinach	Špinatas
Spinal cord	Nugaros smegenys
Spiral galaxy	Spiralinė galaktika
Spleen	Blužnis
Split	Splitas
Sponge	Pintys
Sport	Sportas
