Slovak	English
Kategória:Oko	Eye
Ezra Pound	Ezra Pound
F	F
Bájka	Fable
Tvár	Face
Šablóna:Bez citácie	Fact
Faktoriál	Factorial
Kategória:Bukovité	Fagaceae
Stupeň Fahrenheita	Fahrenheit
Fair use	Fair use
Sokolotvaré	Falconiformes
Falklandy	Falkland Islands
Logický klam	Fallacy
Vajíčkovod	Fallopian tube
Daniel škvrnitý	Fallow Deer
Kategória:Rodina	Family
Čeľaď (taxonómia)	Family (biology)
Genealógia (história)	Family history
Priezvisko	Family name
Fantasy	Fantasy
Farad	Farad
Kategória:Faerské ostrovy	Faroe Islands
Fašizmus	Fascism
Kategória:Fašizmus	Fascism
Kategória:Móda	Fashion
Móda	Fashion
Rýchle občerstvenie	Fast food
Pôst	Fasting
Fatah	Fatah
Tektonický zlom	Fault (geology)
Fauna	Fauna
Fauvizmus	Fauvism
Fax (zariadenie)	Fax
Strach	Fear
Perie	Feather
Február	February
12. február	February 12
14. február	February 14
2. február	February 2
22. február	February 22
29. február	February 29
Februárová revolúcia (1917)	February Revolution
Výkal	Feces
Federal Reserve System	Federal Reserve System
Mikronézia (štát)	Federated States of Micronesia
Kategória:Mikronézia (štát)	Federated States of Micronesia
Federácia	Federation
Federico Fellini	Federico Fellini
Fedora Core	Fedora (Linux distribution)
Spätná väzba	Feedback
Skupina živca	Feldspar
Mačkovité	Felidae
Felix Mendelssohn-Bartholdy	Felix Mendelssohn
Feminizmus (hnutie)	Feminism
Kategória:Feminizmus	Feminism
Fenikel obyčajný	Fennel
Ferdinand II. Habsburský	Ferdinand II
Fernão de Magalhães	Ferdinand Magellan
Ferdinand de Saussure	Ferdinand de Saussure
Fermión	Fermion
Fermium	Fermium
Úrodný polmesiac	Fertile Crescent
Oplodnenie	Fertilisation
Feudalizmus	Feudalism
Horúčka	Fever
FIAT	Fiat
Fibonacciho postupnosť	Fibonacci number
Kategória:Fikcia	Fiction
Fidel Castro	Fidel Castro
Pole (algebra)	Field (mathematics)
Pozemný hokej	Field hockey
Stíhacie lietadlo	Fighter aircraft
Krasokorčuľovanie	Figure skating
Fidži	Fiji
Kategória:Fidži	Fiji
File Allocation Table	File Allocation Table
File Transfer Protocol	File Transfer Protocol
Súborový systém	File system
Filippo Brunelleschi	Filippo Brunelleschi
Kategória:Kinematografia	Film
Film	Film
Portál:Film	Film
Vráskavec myšok	Fin Whale
Kategória:Financie	Finance
Prst	Finger
Daktyloskopia	Fingerprint
Fínsko	Finland
Kategória:Fínsko	Finland
Oheň	Fire
Strelná zbraň	Firearm
Firewall	Firewall (networking)
Firmware	Firmware
Prvý carihradský koncil	First Council of Constantinople
Prvý nicejský koncil	First Council of Nicaea
Prvá križiacka výprava	First Crusade
Prvá pomoc	First aid
Materinský jazyk	First language
Ryby (v najširšom zmysle)	Fish
Kategória:Ryby	Fish
Kategória:Rybárstvo	Fishing
Fjord	Fjord
Zástava	Flag
Flamenco	Flamenco
Plameniakotvaré	Flamingo
Flash pamäť	Flash memory
Ploskavce	Flatworm
Blchy	Flea
Silicit	Flint
Preklápací obvod	Flip-flop (electronics)
Disketa	Floppy disk
Florencia	Florence
Florence Nightingalová	Florence Nightingale
Florida	Florida
Kategória:Florida	Florida
Múka	Flour
Tekutina	Fluid
Mechanika tekutín	Fluid mechanics
Fluorit	Fluorite
Hmla	Fog
Kyselina listová	Folic acid
Folk	Folk music
Folklór	Folklore
Kategória:Folklór	Folklore
Jedlo	Food
Futbal	Football (soccer)
Kategória:Futbal	Football (soccer)
Kategória:Futbal podľa štátu	Football (soccer) by country
Kategória:Futbalové kluby	Football (soccer) clubs
Kategória:Futbaloví tréneri	Football (soccer) managers
Kategória:Futbalisti	Football (soccer) players
Kategória:Futbalové štadióny	Football (soccer) venues
Sila	Force
Les	Forest
Forma štátu	Form of government
Formaldehyd	Formaldehyde
Kyselina mravčia	Formic acid
Súhvezdie Pec	Fornax
Fort Worth	Fort Worth
Fortran	Fortran
Fosília	Fossil
Fosílne palivo	Fossil fuel
Foucaultovo kyvadlo	Foucault pendulum
Fontána	Fountain
Fourierov rad	Fourier series
Štvrtá križiacka výprava	Fourth Crusade
Fraktál	Fractal
Zlomok	Fraction (mathematics)
Francúzsko	France
Kategória:Francúzsko	France
Francis Bacon	Francis Bacon
Francis Harry Compton Crick	Francis Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
František II. (SRR)	Francis II
Francis Poulenc	Francis Poulenc
František z Assisi	Francis of Assisi
Františkáni	Franciscan
Francisco Franco	Francisco Franco
Francisco Goya	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Francium	Francium
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfort (Kentucky)	Frankfort
Frankfurt nad Mohanom	Frankfurt
Kategória:Frankfurt nad Mohanom	Frankfurt
Frankfurt	Frankfurt (disambiguation)
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Franz Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Fridrich I. (SRR)	Frederick I
Fridrich II. (SRR)	Frederick II
Frederick Sanger	Frederick Sanger
Frederick Soddy	Frederick Soddy
Slobodná vôľa	Free will
Sloboda slova	Freedom of speech
Slobodomurárstvo	Freemasonry
Freetown	Freetown
Freeware	Freeware
Francúzska Polynézia	French Polynesia
Francúzska revolúcia	French Revolution
Kategória:Francúzska revolúcia	French Revolution
Francúzsky frank	French franc
Kategória:Francúzske osobnosti	French people
Frekvencia (fyzika)	Frequency
Freska	Fresco
Fresno (Kalifornia)	Fresno
Trenie	Friction
Piatok	Friday
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Frízsko (provincia)	Friesland
Fritz Haber	Fritz Haber
Žabotvaré	Frog
Kategória:Ovocie	Fruit
Fucking	Fucking
Palivo	Fuel
Fúga	Fugue
Fukuoka (Fukuoka)	Fukuoka
Spln	Full moon
Funafuti	Funafuti
Zobrazenie (matematika)	Function (mathematics)
Kategória:Základné kategórie	Fundamental
Základná interakcia	Fundamental interaction
Fundamentalizmus	Fundamentalism
Kategória:Huby	Fungi
Huby	Fungus
Pozemná lanovka	Funicular
Funk	Funk
Kategória:Nábytok	Furniture
Nábytok	Furniture
Budúcnosť	Future
Futurizmus	Futurism (art)
Fuzzy logika	Fuzzy logic
Fiodor Michajlovič Dostojevskij	Fyodor Dostoevsky
G	G
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabon	Gabon
Kategória:Gabon	Gabon
Gaborone	Gaborone
Gabriel (anjel)	Gabriel
Gadolínium	Gadolinium
Gaetano Donizetti	Gaetano Donizetti
Gaia (mytológia)	Gaia (mythology)
Galatia	Galatia
Galaxia	Galaxy
Claudius Galénos	Galen
Galenit	Galena
Halič (región)	Galicia (Central Europe)
Galícia	Galicia (Spain)
Galileo (kozmická sonda)	Galileo (spacecraft)
Galileo Galilei	Galileo Galilei
Žlčník	Gallbladder
Galéra	Galley
Kurotvaré	Galliformes
Kategória:Kurotvaré	Galliformes
Gálium	Gallium
Galón	Gallon
Gamál Abd an-Násir	Gamal Abdel Nasser
Hazardná hra	Gambling
Hra	Game
Teória hier	Game theory
Gama (grécke písmeno)	Gamma
Žiarenie gama	Gamma ray
Ganeš	Ganesha
Ganga	Ganges
Gəncə	Ganja
Ganymedes (mytológia)	Ganymede
Ganymedes (mesiac)	Ganymede (moon)
Gap	Gap
Záhrada	Garden
Rajská záhrada	Garden of Eden
Záhradníctvo	Gardening
Cesnak kuchynský	Garlic
Skupina granátu	Garnet
Plyn	Gas
Univerzálna plynová konštanta	Gas constant
Joviálna planéta	Gas giant
Benzín	Gasoline
Tráviaca sústava	Gastrointestinal tract
Ulitníky	Gastropoda
Galia	Gaul
Gautama Budha	Gautama Buddha
Gaza	Gaza
Pásmo Gazy	Gaza Strip
Ozubené koleso	Gear
Geb	Geb
Súhvezdie Blíženci	Gemini (constellation)
Drahokam	Gemstone
Gén	Gene
Genealógia (história)	Genealogy
Všeobecná dohoda o clách a obchode	General Agreement on Tariffs and Trade
Generál	General Officer
Všeobecná teória relativity	General relativity
Genesis (Biblia)	Genesis
Genetický kód	Genetic code
Genetika	Genetics
Kategória:Genetika	Genetics
Ženeva	Geneva
Genitív	Genitive case
Janov (Taliansko)	Genoa
Genocída (právo)	Genocide
Genóm	Genome
Genotyp	Genotype
Rod (taxonómia)	Genus
Geochémia	Geochemistry
Geodézia	Geodesy
Kategória:Geodézia	Geodesy
Geoffrey Chaucer	Geoffrey Chaucer
Geografia	Geography
Kategória:Geografia	Geography
Portál:Geografia	Geography
Kategória:Geológia	Geology
Geológia	Geology
Geometrická postupnosť	Geometric progression
Geometria	Geometry
Kategória:Geometria	Geometry
Geomorfológia	Geomorphology
Kategória:Geomorfológia	Geomorphology
Geofyzika	Geophysics
Kategória:Geofyzika	Geophysics
Geopolitika	Geopolitics
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Boole	George Boole
George Bush	George Bush
Georg Friedrich Händel	George Frideric Handel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Catlett Marshall	George Marshall
George Orwell	George Orwell
George W. Bush	George W. Bush
George Washington	George Washington
Georges Clemenceau	Georges Clemenceau
Georgetown (Guyana)	Georgetown
Georgia (štát USA)	Georgia (U.S. state)
Kategória:Georgia (štát USA)	Georgia (U.S. state)
Gruzínsko	Georgia (country)
Kategória:Gruzínsko	Georgia (country)
Gerald Ford	Gerald Ford
Gerard Peter Kuiper	Gerard Kuiper
Nemecký ovčiak	German Shepherd Dog
Nemčina	German language
Kategória:Nemčina	German language
Nemecká marka	German mark
Germánium	Germanium
Nemecko	Germany
Kategória:Nemecko	Germany
Geronimo	Geronimo
Gestapo	Gestapo
Gejzír	Geyser
Ghana	Ghana
Kategória:Ghana	Ghana
Geto	Ghetto
Duch (prízrak)	Ghost
Giacomo Puccini	Giacomo Puccini
Panda veľká	Giant Panda
Gibonorodé	Gibbon
Gibraltár	Gibraltar
Kategória:Gibraltár	Gibraltar
Gigabajt	Gigabyte
Gilgameš	Gilgamesh
Ďumbier (korenie)	Ginger
Ginko dvojlaločné	Ginkgo
Giordano Bruno	Giordano Bruno
Giotto di Bondone	Giotto di Bondone
Giovanni Boccaccio	Giovanni Boccaccio
Žirafa štíhla	Giraffe
Žirafovité	Giraffidae
Girolamo Savonarola	Girolamo Savonarola
Gironde (departement)	Gironde
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Gíza (mesto)	Giza
Ľadovec	Glacier
Gladiátor	Gladiator
Žľaza	Gland
Glasgow	Glasgow
Glasnosť	Glasnost
Sklo	Glass
Okuliare	Glasses
Klzák	Glider
Global Positioning System	Global Positioning System
Globálne otepľovanie	Global warming
Gloucestershire	Gloucestershire
Glukóza	Glucose
Gluón	Gluon
Kyselina glutámová	Glutamic acid
Glykogén	Glycogen
Čeľustnatce	Gnathostomata
Rula	Gneiss
Gnosticizmus	Gnosticism
Go	Go (board game)
Goa	Goa
Koza domáca	Goat
Gobi	Gobi Desert
Boh	God
Zlato	Gold
Golda Meirová	Golda Meir
Orol skalný	Golden Eagle
Golden Gate Bridge	Golden Gate Bridge
Zlatý retríver	Golden Retriever
Golf	Golf
Kategória:Golf	Golf
Golgiho aparát	Golgi apparatus
Veľký piatok	Good Friday
Google	Google
Kategória:Google	Google
Googol	Googol
Gorila	Gorilla
Jastrab lesný	Goshawk
Göteborg	Gothenburg
Gotthold Ephraim Lessing	Gotthold Ephraim Lessing
Gottlieb Daimler	Gottlieb Daimler
Dna	Gout
Grace Kellyová	Grace Kelly
Gradient	Gradient
Graffiti	Graffiti
Gram	Gram
Gramatika (jazykoveda)	Grammar
Kategória:Gramatika	Grammar
Granada	Granada
Veľký kaňon	Grand Canyon
Veľmajster (šach)	Grandmaster (chess)
Granit	Granite
Kategória:Grafický dizajn	Graphic design
GUI	Graphical user interface
Grafit	Graphite
Gravitácia	Gravitation
Gravitón	Graviton
Gray (jednotka)	Gray (unit)
Vlk dravý	Gray Wolf
Graz	Graz
Veľká koralová bariéra	Great Barrier Reef
Veľká Británia (ostrov)	Great Britain
Potápka chochlatá	Great Crested Grebe
Veľká hospodárska kríza	Great Depression
Veľké kanadské jazerá	Great Lakes
Východoafrická priekopová prepadlina	Great Rift Valley
Veľký čínsky múr	Great Wall of China
Žralok modrý	Great white shark
Veľký Londýn	Greater London
Potápkotvaré	Grebe
Grécko	Greece
Kategória:Grécko	Greece
Grécka abeceda	Greek alphabet
Kategória:Grécka mytológia	Greek mythology
Zelená	Green
Skleník	Greenhouse
Skleníkový efekt	Greenhouse effect
Skleníkový plyn	Greenhouse gas
Grónsko	Greenland
Grónske more	Greenland Sea
Greenpeace	Greenpeace
Gregor Mendel	Gregor Mendel
Gregoriánsky kalendár	Gregorian calendar
Kategória:Grenada	Grenada
Grenoble	Grenoble
Greta Garbo	Greta Garbo
Sivá	Grey
Hus divá	Greylag Goose
Hrubý domáci produkt	Gross domestic product
Skupina (sociológia)	Group
Grupa (matematika)	Group (mathematics)
Skupina (periodická tabuľka)	Group (periodic table)
Stephen Grover Cleveland	Grover Cleveland
Groznyj	Grozny
Žeriavotvaré	Gruiformes
Súhvezdie Žeriav	Grus (constellation)
Guadeloupe	Guadeloupe
Guam	Guam
Kanton (mesto)	Guangzhou
Guanín	Guanine
Kategória:Guatemala (štát)	Guatemala
Guatemala (mesto)	Guatemala City
Santiago de Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Cech	Guild
Guillaume Apollinaire	Guillaume Apollinaire
Gilotína	Guillotine
Guinea (štát)	Guinea
Kategória:Guinea (štát)	Guinea
Guinea-Bissau	Guinea-Bissau
Kategória:Guinea-Bissau	Guinea-Bissau
Gitara	Guitar
Golfský prúd	Gulf Stream
Druhá vojna v Perzskom zálive	Gulf War
Botnický záliv	Gulf of Bothnia
Fínsky záliv	Gulf of Finland
Guinejský záliv	Gulf of Guinea
Mexický záliv	Gulf of Mexico
Gupka dúhová	Guppy
Gustav Klimt	Gustav Klimt
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
Gustave Flaubert	Gustave Flaubert
Guy de Maupassant	Guy de Maupassant
Kategória:Guyana (štát)	Guyana
Gymnastika	Gymnastics
Nahosemenné rastliny	Gymnosperm
Gynekológia	Gynaecology
Sadrovec	Gypsum
Gyroskop	Gyroscope
H	H
Herbert George Wells	H. G. Wells
HIV	HIV
Hypertext markup language	HTML
Haker	Hacker
Hadaikum	Hadean
Hádes	Hades
Hadrián	Hadrian
Hadriánov val	Hadrian's Wall
Hadrón	Hadron
Hafnium	Hafnium
Hagia Sofia	Hagia Sophia
Hajfa	Haifa
Haiku	Haiku
Krúpa (ľadovec)	Hail
Zdravas Mária	Hail Mary
Chlp (cicavce)	Hair
Haiti (štát)	Haiti
Kategória:Haiti (štát)	Haiti
Polčas rozpadu	Half-life
Halle (Saale)	Halle
Halloween	Halloween
Halucinácia	Hallucination
Halogény	Halogen
Hamburg	Hamburg
Hamburger	Hamburger
Hamlet	Hamlet
Kladivo (nástroj)	Hammer
Kosák a kladivo	Hammer and sickle
Chammu-rabi	Hammurabi
Hampshire	Hampshire
Články prstov	Hand
Ručný granát	Hand grenade
Pištoľ	Handgun
Semiramidine visuté záhrady	Hanging Gardens of Babylon
Hannah Arendtová	Hannah Arendt
Hannibal Barkas	Hannibal
Hanoj	Hanoi
Hannover	Hanover
Hans Albrecht Bethe	Hans Bethe
Hans Christian Andersen	Hans Christian Andersen
Chanuka	Hanukkah
Šťastie (pocit)	Happiness
Harare	Harare
Materiálová tvrdosť	Hardness
Hárem	Harem
Harlem	Harlem
Harold Pinter	Harold Pinter
Harfa	Harp
Čembalo	Harpsichord
Harriet Beecher Stowe	Harriet Beecher Stowe
Harriet Tubmanová	Harriet Tubman
Harrisburg (Pensylvánia)	Harrisburg
Harry Houdini	Harry Houdini
Hartford (Connecticut)	Hartford
Hassium	Hassium
Horná Normandia	Haute-Normandie
Havana	Havana
Havaj (štát USA)	Hawaii
Kategória:Havaj (štát USA)	Hawaii
Hlava	Head
Hlava štátu	Head of state
Zdravie	Health
Kategória:Zdravie	Health
Srdce (orgán)	Heart
Heavy metal	Heavy metal music
Ťažká voda	Heavy water
Hebrejská abeceda	Hebrew alphabet
Židovský kalendár	Hebrew calendar
Hektár	Hectare
Hector Berlioz	Hector Berlioz
Hedonizmus	Hedonism
Heinrich Rudolf Hertz	Heinrich Hertz
Heinrich Himmler	Heinrich Himmler
Heinrich Schliemann	Heinrich Schliemann
Helen Kellerová	Helen Keller
Helena (Montana)	Helena
Vrtuľník	Helicopter
Helios	Helios
Hélium	Helium
Peklo	Hell
Helsinki	Helsinki
Hematit	Hematite
Hematológia	Hematology
Kategória:Hematológia	Hematology
Hemoglobín	Hemoglobin
Hemoroidy	Hemorrhoid
Antoine Henri Becquerel	Henri Becquerel
Henri Bergson	Henri Bergson
Henrik Ibsen	Henrik Ibsen
Henry (jednotka)	Henry (unit)
Henry Cavendish	Henry Cavendish
Henry David Thoreau	Henry David Thoreau
Henry Fonda	Henry Fonda
Henry Ford	Henry Ford
Henry Kissinger	Henry Kissinger
Henry Purcell	Henry Purcell
Hefaistos	Hephaestus
Héra	Hera
Herakles	Heracles
Herakleitos	Heraclitus
Heraldika	Heraldry
Kategória:Heraldika	Heraldry
Herbert Hoover	Herbert Hoover
Herbert Marcuse	Herbert Marcuse
Herbert Spencer	Herbert Spencer
Herakles	Hercules
Súhvezdie Herkules	Hercules (constellation)
Heréza	Heresy
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann Minkowski	Hermann Minkowski
Hermann von Helmholtz	Hermann von Helmholtz
Hermeneutika	Hermeneutics
Hermes (boh)	Hermes
Hrdina	Hero
Herón z Alexandrie	Hero of Alexandria
Herodes Veľký	Herod the Great
Herodotos	Herodotus
Heroín	Heroin
Volavkovité	Heron
Hertfordshire	Hertfordshire
Hertz (jednotka)	Hertz
Hesiodos	Hesiod
Hesensko	Hesse
Kategória:Hesensko	Hesse
Hestia	Hestia
Heterotrofia	Heterotroph
Šestnástková sústava	Hexadecimal
Šesťuholník	Hexagon
Hizballáh	Hezbollah
Hibernácia	Hibernation
Hieronymus Bosch	Hieronymus Bosch
Hilbertov priestor	Hilbert space
Himaláje	Himalayas
Hindúkuš	Hindu Kush
Hinduizmus	Hinduism
Kategória:Hinduizmus	Hinduism
Hipparchos	Hipparchus
Hippies	Hippie
Hippokrates	Hippocrates
Hippokratova prísaha	Hippocratic Oath
Hirohito	Hirohito
Haiti (ostrov)	Hispaniola
Histológia	Histology
Kategória:Histológia	Histology
Historiografia (dejepisectvo)	Historiography
Dejiny	History
Kategória:História	History
Portál:História	History
Ho Či Min	Ho Chi Minh
Hočiminovo Mesto	Ho Chi Minh City
Hobart (Tasmánia)	Hobart
Hobit	Hobbit
Hobby	Hobby
Kacušika Hokusai	Hokusai
Sviatok	Holiday
Hollywood	Hollywood
Holmium	Holmium
Holocén	Holocene
Holografia	Holography
Svätý grál	Holy Grail
Rímskonemecká ríša	Holy Roman Empire
Duch Svätý	Holy Spirit
Homeopatia	Homeopathy
Homeostáza	Homeostasis
Homér	Homer
Človek (Homo)	Homo (genus)
Človek vzpriamený	Homo erectus
Človek zručný	Homo habilis
Homonymum	Homonym
Homofóbia	Homophobia
Homosexualita	Homosexuality
Honduras	Honduras
Kategória:Honduras	Honduras
Med	Honey
Včelár lesný	Honey Buzzard
Hongkong	Hong Kong
Honiara	Honiara
Honolulu	Honolulu
Vodná fajka	Hookah
Hookov zákon	Hooke's law
Dudok chochlatý	Hoopoe
Horatius	Horace
Horatio Nelson	Horatio Nelson
Obzor (Zem)	Horizon
Hormón	Hormone
Africký roh	Horn of Africa
Horoskop	Horoscope
Kôň (podrod)	Horse
Dostihy	Horse racing
Hórus	Horus
Nemocnica	Hospital
Hotel	Hotel
Hodina	Hour
Dr. House	House (TV series)
Houston	Houston
Vznášadlo	Hovercraft
Howard Carter	Howard Carter (archaeologist)
Hubblova konštanta	Hubble's law
Hudsonov záliv	Hudson Bay
Hudson River	Hudson River
Hugo Kapet	Hugh Capet
Hugo Grotius	Hugo Grotius
Hugenoti	Huguenot
Človek rozumný	Human
Humanizmus (ľudomilnosť)	Humanism
Ramenná kosť	Humerus
Kategória:Humor	Humor
Humor	Humour
Vráskavec dlhoplutvý	Humpback Whale
Humphrey Bogart	Humphrey Bogart
Storočná vojna	Hundred Years' War
Maďarsko	Hungary
Kategória:Maďarsko	Hungary
Lov	Hunting
Súhvezdie Hydra	Hydra (constellation)
Uhľovodík	Hydrocarbon
Vodík	Hydrogen
Vodíková väzba	Hydrogen bond
Kyanovodík	Hydrogen cyanide
Peroxid vodíka	Hydrogen peroxide
Hydrológia	Hydrology
Kategória:Hydrológia	Hydrology
Hydrolýza	Hydrolysis
Hydrosféra	Hydrosphere
Hydroxid	Hydroxide
Súhvezdie Vodný had	Hydrus
Kategória:Hygiena	Hygiene
Kategória:Blanokrídlovce	Hymenoptera
Blanokrídlovce	Hymenoptera
Hyperbola	Hyperbola
Hyperbola (literatúra)	Hyperbole
Hyperion (mesiac)	Hyperion (moon)
Hyperión (boh)	Hyperion (mythology)
Hypertext	Hypertext
Hypertext Transfer Protocol	Hypertext Transfer Protocol
Hypnos	Hypnos
Hypnóza	Hypnosis
Podlôžko	Hypothalamus
Hypotéza	Hypothesis
I	I
Ieoh Ming Pei	I. M. Pei
IPod	IPod
Ian Fleming	Ian Fleming
Japetus (mesiac)	Iapetus (moon)
Pyrenejský polostrov	Iberian Peninsula
Ľad	Ice
Ľadová doba	Ice age
Zmrzlina	Ice cream
Ľadový hokej	Ice hockey
Kategória:Ľadový hokej	Ice hockey
Island	Iceland
Kategória:Island	Iceland
Ikona	Icon
Obrazoborectvo	Iconoclasm
Idaho	Idaho
Kategória:Idaho	Idaho
Ideálny plyn	Ideal gas
Idealizmus	Idealism
Neutrálny prvok	Identity element
Ideológia	Ideology
Ido	Ido
Ignác z Loyoly	Ignatius of Loyola
Vyvretá hornina	Igneous rock
Igor Fiodorovič Stravinskij	Igor Stravinsky
Iliada	Iliad
Illinois	Illinois
Kategória:Illinois	Illinois
Skener	Image scanner
Imám	Imam
Immanuel Kant	Immanuel Kant
Imunitný systém	Immune system
Imunológia	Immunology
Kategória:Imunológia	Immunology
Imperializmus	Imperialism
Impresionizmus	Impressionism
Incest	Incest
Inčhon	Incheon
Naklonená rovina	Inclined plane
India	India
Kategória:India	India
Indický oceán	Indian Ocean
Kategória:Indický oceán	Indian Ocean
Indiana	Indiana
Kategória:Indiana	Indiana
Indianapolis	Indianapolis
Indira Gándhiová	Indira Gandhi
Indium	Indium
Indonézia	Indonesia
Kategória:Indonézia	Indonesia
Indra	Indra
Cievka (elektrická súčiastka)	Inductor
Súhvezdie Indián	Indus (constellation)
Indus	Indus River
Priemyselná revolúcia	Industrial Revolution
Priemysel	Industry
Kategória:Priemysel	Industry
Zotrvačnosť	Inertia
Pechota	Infantry
Infekčná choroba	Infectious disease
Nekonečno	Infinity
Inflácia	Inflation
Chrípka	Influenza
Informácia	Information
Infračervené žiarenie	Infrared
Ingmar Bergman	Ingmar Bergman
Innsbruck	Innsbruck
Anorganická chémia	Inorganic chemistry
Kategória:Anorganická chémia	Inorganic chemistry
Inkvizícia	Inquisition
Hmyz	Insect
Hmyzožravce	Insectivora
Inzulín	Insulin
Celé číslo	Integer
Integrovaný obvod	Integrated circuit
Inteligencia	Intelligence
Inteligenčný kvocient	Intelligence quotient
Medzikontinentálna balistická raketa	Intercontinental ballistic missile
Interferencia (vlny)	Interference
Citoslovce	Interjection
Interlingua	Interlingua
Medzinárodná agentúra pre atómovú energiu	International Atomic Energy Agency
Medzinárodná organizácia pre civilné letectvo	International Civil Aviation Organization
Medzinárodný súdny dvor	International Court of Justice
Medzinárodná organizácia práce	International Labour Organization
Medzinárodný menový fond	International Monetary Fund
SI	International System of Units
Kategória:Medzinárodné právo	International law
Medzinárodná organizácia	International organization
Internet	Internet
Kategória:Internet	Internet
Internet Explorer	Internet Explorer
Koncentračný tábor	Internment
Interpreter (programovanie)	Interpreter (computing)
Prienik (matematika)	Intersection (set theory)
Intranet	Intranet
Bezstavovce	Invertebrate
Io (mesiac)	Io (moon)
Jód	Iodine
Ión	Ion
Iónske more	Ionian Sea
Iónová väzba	Ionic bond
Ionosféra	Ionosphere
Ióta	Iota
Iowa	Iowa
Kategória:Iowa	Iowa
Irán	Iran
Kategória:Irán	Iran
Iránsko-iracká vojna	Iran-Iraq War
Irak	Iraq
Kategória:Irak	Iraq
Kategória:Írsko (ostrov)	Ireland
Irenej z Lyonu	Irenaeus
Irídium	Iridium
Dúhovka (anatómia)	Iris (anatomy)
Írska republikánska armáda	Irish Republican Army
Írske more	Irish Sea
Kategória:Írske osobnosti	Irish people
Železo	Iron
Železná doba	Iron Age
Železná opona	Iron Curtain
Iron Maiden	Iron Maiden
Irónia	Irony
Iracionálne číslo	Irrational number
Irtyš	Irtysh River
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Isadora Duncanová	Isadora Duncan
Eset	Isis
Islam	Islam
Kategória:Islam	Islam
Islamabad	Islamabad
Islamský kalendár	Islamic calendar
Ostrov	Island
Man (ostrov)	Isle of Man
Kategória:Man	Isle of Man
Wight	Isle of Wight
Izoméria	Isomer
Isoroku Jamamoto	Isoroku Yamamoto
Izotop	Isotope
Izrael	Israel
Kategória:Izrael	Israel
Istanbul	Istanbul
Apeninský polostrov	Italian Peninsula
Italo Calvino	Italo Calvino
Taliansko	Italy
Kategória:Taliansko	Italy
Ivan Lendl	Ivan Lendl
Ivan Petrovič Pavlov	Ivan Pavlov
Ivan Sergejevič Turgenev	Ivan Turgenev
Iótó	Iwo Jima
J	J
Jerome David Salinger	J. D. Salinger
James Matthew Barrie	J. M. Barrie
Jack Kerouac	Jack Kerouac
Jack Lemmon	Jack Lemmon
Jack London	Jack London
Jack Rozparovač	Jack the Ripper
Kavka tmavá	Jackdaw
Jackson (Mississippi)	Jackson
Jackson Pollock	Jackson Pollock
Jacksonville (Florida)	Jacksonville
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jacques Offenbach	Jacques Offenbach
Jaguár americký	Jaguar
Džinizmus	Jainism
Jakarta	Jakarta
Jamajka	Jamaica
Kategória:Jamajka	Jamaica
Jakub starší	James
James Bond	James Bond
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James Knox Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Naismith	James Naismith
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Ján Hus	Jan Hus
Jan van Eyck	Jan van Eyck
Jane Austenová	Jane Austen
Jana Seymourová	Jane Seymour
Január	January
1. január	January 1
19. január	January 19
20. január	January 20
6. január	January 6
Janus (mesiac)	Janus (moon)
Japonsko	Japan
Kategória:Japonsko	Japan
Žltačka	Jaundice
Jáva	Java
Java	Java (programming language)
Džez	Jazz
Kategória:Džez	Jazz
Jean Cocteau	Jean Cocteau
Jean Piaget	Jean Piaget
Jean Racine	Jean Racine
Jean Sibelius	Jean Sibelius
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jefferson City	Jefferson City
Svedkovia Jehovovi	Jehovah's Witnesses
Medúzovce	Jellyfish
Jeremy Bentham	Jeremy Bentham
Hieronym	Jerome
Jersey	Jersey
Jeruzalem	Jerusalem
Kategória:Jeruzalem	Jerusalem
