Slovenian	English
Giuseppe Verdi	Giuseppe Verdi
Giza	Giza
Ledenik	Glacier
Žleza	Gland
Glasgow	Glasgow
Steklo	Glass
Jadralno letalo	Glider
GPS	Global Positioning System
Globalno segrevanje	Global warming
Globalizacija	Globalization
Glukoza	Glucose
Gluon	Gluon
Glicerol	Glycerol
Glikogen	Glycogen
Glikoliza	Glycolysis
Gnosticizem	Gnosticism
Go	Go (board game)
Domača koza	Goat
Gobi	Gobi Desert
Bog	God
Golanska planota	Golan Heights
Zlato	Gold
Golda Meir	Golda Meir
Planinski orel	Golden Eagle
Zlata horda	Golden Horde
Zlati prinašalec	Golden Retriever
Golf	Golf
Kategorija:Golf	Golf
Golgijev aparat	Golgi apparatus
Veliki petek	Good Friday
Google	Google
Kategorija:Google	Google
Gugol	Googol
Gorgona	Gorgon
Kragulj	Goshawk
Evangelij	Gospel
Evangelij po Luku	Gospel of Luke
Gotika	Gothic
Vladavina	Government
Grace Kelly	Grace Kelly
Gradient	Gradient
Graham Greene	Graham Greene
Gram	Gram
Slovnica	Grammar
Kategorija:Slovnica	Grammar
Spol (jezik)	Grammatical gender
Granada	Granada
Veliki kanjon	Grand Canyon
Šahovske kategorije in naslovi	Grandmaster (chess)
Granit	Granite
Grozdje	Grape
Grenivka	Grapefruit
Kategorija:Grafično oblikovanje	Graphic design
Grafični uporabniški vmesnik	Graphical user interface
Grafit	Graphite
Težnost	Gravitation
Gravitacijska konstanta	Gravitational constant
Graviton	Graviton
Grej	Gray (unit)
Sivi volk	Gray Wolf
Gradec	Graz
Veliki koralni greben	Great Barrier Reef
Velika Britanija	Great Britain
Čopasti ponirek	Great Crested Grebe
Velika jezera	Great Lakes
Kitajski zid	Great Wall of China
Beli morski volk	Great white shark
Največji skupni delitelj	Greatest common divisor
Ponirek	Grebe
Grčija	Greece
Kategorija:Grčija	Greece
Grška abeceda	Greek alphabet
Kategorija:Grška abeceda	Greek alphabet
Grški ogenj	Greek fire
Grška mitologija	Greek mythology
Kategorija:Grška mitologija	Greek mythology
Zelena	Green
Učinek tople grede	Greenhouse effect
Toplogredni plini	Greenhouse gas
Grenlandija	Greenland
Kategorija:Grenlandija	Greenland
Greenpeace	Greenpeace
Greenwich	Greenwich
Greenwiški srednji čas	Greenwich Mean Time
Gregor Mendel	Gregor Mendel
Gregorijanski koledar	Gregorian calendar
Kategorija:Grenada	Grenada
Grenoble	Grenoble
Beloglavi jastreb	Griffon Vulture
Bruto domači proizvod	Gross domestic product
Grupa (matematika)	Group (mathematics)
Skupina periodnega sistema	Group (periodic table)
Teorija grup	Group theory
Grover Cleveland	Grover Cleveland
Žerjavovci	Gruiformes
Guadeloupe	Guadeloupe
Guam	Guam
Gvanin	Guanine
Kategorija:Gvatemala	Guatemala
Ciudad Guatemala	Guatemala City
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Ceh	Guild
Giljotina	Guillotine
Gvineja	Guinea
Kategorija:Gvineja	Guinea
Morski prašiček	Guinea pig
Gvineja Bissau	Guinea-Bissau
Kategorija:Gvineja Bissau	Guinea-Bissau
Kitara	Guitar
Gulag	Gulag
Zalivska vojna	Gulf War
Adenski zaliv	Gulf of Aden
Akabski zaliv	Gulf of Aqaba
Mehiški zaliv	Gulf of Mexico
smodnik	Gunpowder
Smodniška zarota	Gunpowder Plot
Gustav Klimt	Gustav Klimt
Gustav Ludwig Hertz	Gustav Ludwig Hertz
Gustav Mahler	Gustav Mahler
Gustave Flaubert	Gustave Flaubert
Guy Fawkes	Guy Fawkes
Kategorija:Gvajana	Guyana
Golosemenke	Gymnosperm
Ginekologija	Gynaecology
Sadra	Gypsum
Žiroskop	Gyroscope
H	H
Herbert George Wells	H. G. Wells
HIV	HIV
HTML	HTML
Habitat (ekologija)	Habitat
Heker	Hacker
Had (geologija)	Hadean
Had	Hades
Hadrijan	Hadrian
Hadrijanov zid	Hadrian's Wall
Hadron	Hadron
Hafnij	Hafnium
Hagija Sofija	Hagia Sophia
Haiku	Haiku
Toča	Hail
Zdravamarija	Hail Mary
Las	Hair
Haiti	Haiti
Kategorija:Haiti	Haiti
Hadž	Hajj
Halal	Halal
Helebarda	Halberd
Halle, Saška-Anhalt	Halle
Halucinacija	Hallucination
Halogen	Halogen
Hamas	Hamas
Hamburg	Hamburg
Kategorija:Hamburg	Hamburg
Hamlet	Hamlet
Srp in kladivo	Hammer and sickle
Hamurabi	Hammurabi
Hrčki	Hamster
Roka	Hand
Pištola	Handgun
Hannah Arendt	Hannah Arendt
Hanibal	Hannibal
Hanoj	Hanoi
Hannover	Hanover
Hans Albrecht Bethe	Hans Bethe
Hans Christian Andersen	Hans Christian Andersen
Hansa	Hanseatic League
Hanuman	Hanuman
Trdota	Hardness
Orglice	Harmonica
Harmonija	Harmony
Harold Pinter	Harold Pinter
Harfa	Harp
Čembalo	Harpsichord
Harpije	Harpy
Harriet Tubman	Harriet Tubman
Harry Houdini	Harry Houdini
Hasij	Hassium
Zgornja Normandija	Haute-Normandie
Havaji	Hawaii
Kategorija:Havaji	Hawaii
Glava	Head
Zdravje	Health
Kategorija:Zdravje	Health
Srce	Heart
Toplota	Heat
Toplotni stroj	Heat engine
Nebesa	Heaven
Metal	Heavy metal music
Težka voda	Heavy water
Hebrejska abeceda	Hebrew alphabet
Hektar	Hectare
Hektor	Hector
Hector Berlioz	Hector Berlioz
ježi	Hedgehog
Heinrich Rudolf Hertz	Heinrich Hertz
Heinrich Himmler	Heinrich Himmler
Heinrich Schliemann	Heinrich Schliemann
Helena (mitologija)	Helen
Helen Keller	Helen Keller
Helikopter	Helicopter
Helij	Helium
Pekel	Hell
Helsinki	Helsinki
Kategorija:Hematologija	Hematology
Hemoglobin	Hemoglobin
Hemoroidi	Hemorrhoid
Antoine Henri Becquerel	Henri Becquerel
Henri Bergson	Henri Bergson
Henrik Ibsen	Henrik Ibsen
Henry Cavendish	Henry Cavendish
Henry Ford	Henry Ford
Henry Miller	Henry Miller
Hera	Hera
Heraklej	Heracles
Heraklit Mračni	Heraclitus
Heraldika	Heraldry
Kategorija:Heraldika	Heraldry
Herat	Herat
Herbert Hoover	Herbert Hoover
Heraklej	Hercules
Herezija	Heresy
Hermann Hesse	Hermann Hesse
Hermann Minkowski	Hermann Minkowski
Hermann Ludwig Ferdinand von Helmholtz	Hermann von Helmholtz
Hermenevtika	Hermeneutics
Hermes	Hermes
Heron	Hero of Alexandria
Herod Veliki	Herod the Great
Herodot	Herodotus
Heroin	Heroin
Srebrni galeb	Herring Gull
Herc	Hertz
Heziod	Hesiod
Hesperide	Hesperides
Hessen	Hesse
Kategorija:Hessen	Hesse
Heterotrof	Heterotroph
Šestnajstiški številski sistem	Hexadecimal
Šestkotnik	Hexagon
Hezbolah	Hezbollah
Hibernacija	Hibernation
Hideki Jukava	Hideki Yukawa
Hieronymus Bosch	Hieronymus Bosch
Himalaja	Himalayas
Hindukuš	Hindu Kush
Hinduizem	Hinduism
Kategorija:Hinduizem	Hinduism
Hiparh	Hipparchus
Hipi	Hippie
Hipokrat	Hippocrates
Hipokratova prisega	Hippocratic Oath
Veliki povodni konj	Hippopotamus
Hirohito	Hirohito
Hispaniola	Hispaniola
Histologija	Histology
Kategorija:Histologija	Histology
Histon	Histone
Zgodovina	History
Kategorija:Zgodovina	History
Portal:Zgodovina	History
Ho Ši Minh (politik)	Ho Chi Minh
Hošiminh	Ho Chi Minh City
Hobiti	Hobbit
Konjiček	Hobby
Hollywood	Hollywood
Holmij	Holmium
Holocen	Holocene
Holografija	Holography
Sveti gral	Holy Grail
Sveto rimsko cesarstvo	Holy Roman Empire
Kategorija:Sveto rimsko cesarstvo	Holy Roman Empire
Sveti Duh	Holy Spirit
Homeopatija	Homeopathy
Homeostaza	Homeostasis
Homer	Homer
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Enakozvočnica	Homonym
Homofobija	Homophobia
Homoseksualnost	Homosexuality
Honduras	Honduras
Kategorija:Honduras	Honduras
Med	Honey
Sršenar	Honey Buzzard
Hong Kong	Hong Kong
Hookov zakon	Hooke's law
Smrdokavra	Hoopoe
Horacij	Horace
Horatio Nelson	Horatio Nelson
Obzorje	Horizon
Hormon	Hormone
Rog	Horn (instrument)
Afriški rog	Horn of Africa
Domači konj	Horse
Konjska moč	Horsepower
Hor	Horus
Bolnišnica	Hospital
Hotel	Hotel
Ura	Hour
Hiša	House
Hoverkraft	Hovercraft
Howard Carter	Howard Carter (archaeologist)
Hubblov čas	Hubble's law
Človek	Human
Humanizem	Humanism
Kategorija:Humanistične vede	Humanities
Nadlahtnica	Humerus
Vlažnost	Humidity
Kolibriji	Hummingbird
Kategorija:Humor	Humor
Humphrey Bogart	Humphrey Bogart
Stoletna vojna	Hundred Years' War
Madžarska	Hungary
Kategorija:Madžarska	Hungary
Lakota	Hunger
Lov	Hunting
Križanec	Hybrid
Ogljikovodiki	Hydrocarbon
Klorovodikova kislina	Hydrochloric acid
Vodik	Hydrogen
Cianovodikova kislina	Hydrogen cyanide
Vodikov peroksid	Hydrogen peroxide
Hidrologija	Hydrology
Kategorija:Hidrologija	Hydrology
Hidrosfera	Hydrosphere
Kategorija:Higiena	Hygiene
Deviška kožica	Hymen
Kategorija:Kožokrilci	Hymenoptera
Kožokrilci	Hymenoptera
Hiperbola	Hyperbola
Hiperion (luna)	Hyperion (moon)
Hiperion	Hyperion (mythology)
Nadbesedilo	Hypertext
HTTP	Hypertext Transfer Protocol
Hipnos	Hypnos
Hipnoza	Hypnosis
Hipoteza	Hypothesis
I	I
IPod	IPod
Japet (luna)	Iapetus (moon)
Iberski polotok	Iberian Peninsula
Led	Ice
Sladoled	Ice cream
Hokej na ledu	Ice hockey
Islandija	Iceland
Kategorija:Islandija	Iceland
Ikona	Icon
Ikonoklazem	Iconoclasm
Idaho	Idaho
Kategorija:Idaho	Idaho
Idealni plin	Ideal gas
Idealizem	Idealism
Nevtralni element	Identity element
Enotska matrika	Identity matrix
Ideologija	Ideology
Ido	Ido
Sveti Ignacij Lojolski	Ignatius of Loyola
Magmatske kamnine	Igneous rock
Igor Stravinski	Igor Stravinsky
Slapovi Iguazú	Iguazu Falls
Iliada	Iliad
Illinois	Illinois
Kategorija:Illinois	Illinois
Optični bralnik	Image scanner
Imamiti	Imam
Immanuel Kant	Immanuel Kant
Imunologija	Immunology
Kategorija:Imunologija	Immunology
Imperializem	Imperialism
Impresionizem	Impressionism
Incest	Incest
Palec	Inch
Klančina	Inclined plane
Neodvisnost	Independence
Indija	India
Kategorija:Indija	India
Indijski ocean	Indian Ocean
Kategorija:Indijski ocean	Indian Ocean
Indiana	Indiana
Kategorija:Indiana	Indiana
Indira Gandhi	Indira Gandhi
Indij	Indium
Indonezija	Indonesia
Kategorija:Indonezija	Indonesia
Indra	Indra
Induktivnost	Inductance
Indukcija (logika)	Inductive reasoning
Dušilka	Inductor
Cerkveni odpustki	Indulgence
Ind	Indus River
Industrijska revolucija	Industrial Revolution
Industrija	Industry
Vztrajnost	Inertia
Pehota	Infantry
Nalezljiva bolezen	Infectious disease
Neskončnost	Infinity
Vnetje	Inflammation
Gripa	Influenza
Informacija	Information
Informacijska tehnologija	Information technology
Infrardeče valovanje	Infrared
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Inovacija	Innovation
Innsbruck	Innsbruck
Kategorija:Anorganska kemija	Inorganic chemistry
Inkvizicija	Inquisition
Žuželke	Insect
Insulin	Insulin
Celo število	Integer
Integral	Integral
Integrirano vezje	Integrated circuit
Inteligenčni količnik	Intelligence quotient
Medcelinska balistična raketa	Intercontinental ballistic missile
Interferenca	Interference
Mednarodna agencija za jedrsko energijo	International Atomic Energy Agency
Meddržavno sodišče OZN	International Court of Justice
Mednarodna organizacija dela	International Labour Organization
Mednarodni denarni sklad	International Monetary Fund
Mednarodni sistem enot	International System of Units
Internet	Internet
Kategorija:Internet	Internet
Windows Internet Explorer	Internet Explorer
Koncentracijsko taborišče	Internment
Presek množic	Intersection (set theory)
Interval (glasba)	Interval (music)
Črevo	Intestine
Izum	Invention
Nevretenčarji	Invertebrate
Io (luna)	Io (moon)
Jod	Iodine
Ion	Ion
Jonija	Ionia
Jonsko morje	Ionian Sea
Ionska vez	Ionic bond
Jota (črka)	Iota
Iowa	Iowa
Kategorija:Iowa	Iowa
Iran	Iran
Kategorija:Iran	Iran
Iransko-iraška vojna	Iran-Iraq War
Irak	Iraq
Kategorija:Irak	Iraq
Irska (otok)	Ireland
Category:Irska	Ireland
Sveti Irenej Lyonski	Irenaeus
Iridij	Iridium
Šarenica	Iris (anatomy)
Irska republikanska armada	Irish Republican Army
Irsko morje	Irish Sea
Kategorija:Irci	Irish people
Železo	Iron
Železna doba	Iron Age
Železna zavesa	Iron Curtain
Iron Maiden	Iron Maiden
Ironija	Irony
Iracionalno število	Irrational number
Iredentizem	Irredentism
Irtiš	Irtysh River
Isaac Asimov	Isaac Asimov
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Izida	Isis
Islam	Islam
Kategorija:Islam	Islam
Islamski koledar	Islamic calendar
Otok	Island
Man	Isle of Man
Kategorija:Otok Man	Isle of Man
Izomer	Isomer
Izotop	Isotope
Izrael	Israel
Kategorija:Izrael	Israel
Istanbul	Istanbul
Italija	Italy
Kategorija:Italija	Italy
Ivan Petrovič Pavlov	Ivan Pavlov
Ivan Sergejevič Turgenjev	Ivan Turgenev
Iwo Jima	Iwo Jima
J	J
Jerome David Salinger	J. D. Salinger
Kavka	Jackdaw
Jackson Pollock	Jackson Pollock
Jacques Cartier	Jacques Cartier
Jacques Offenbach	Jacques Offenbach
Jaguar	Jaguar
Džainizem	Jainism
Džakarta	Jakarta
Jamajka	Jamaica
Kategorija:Jamajka	Jamaica
Apostol Jakob Veliki	James
James Abram Garfield	James A. Garfield
James Bond	James Bond
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James K. Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Naismith	James Naismith
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jan Hus	Jan Hus
Jan van Eyck	Jan van Eyck
Jane Austen	Jane Austen
Janis Joplin	Janis Joplin
Janičar	Janissary
Januar	January
1. januar	January 1
19. januar	January 19
20. januar	January 20
6. januar	January 6
Jan (luna)	Janus (moon)
Janus	Janus (mythology)
Japonska	Japan
Kategorija:Japonska	Japan
Jazon	Jason
Zlatenica	Jaundice
Java	Java
Java (razločitev)	Java (disambiguation)
Programski jezik java	Java (programming language)
Džavaharlal Nehru	Jawaharlal Nehru
Jazz	Jazz
Jean Cocteau	Jean Cocteau
Jean Piaget	Jean Piaget
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Jehovove priče	Jehovah's Witnesses
Jersey	Jersey
Jeruzalem	Jerusalem
Kategorija:Jeruzalem	Jerusalem
Jezus Kristus	Jesus
Judje	Jew
Dromlja	Jew's harp
Džihad	Jihad
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Ivana Orleanska	Joan of Arc
Johann Bernoulli I.	Johann Bernoulli
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Diderik van der Waals	Johannes Diderik van der Waals
Johann Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannesburg	Johannesburg
John Bardeen	John Bardeen
Sveti Janez Krizostom	John Chrysostom
John Dalton	John Dalton
John Frederick William Herschel	John Herschel
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Maynard Keynes	John Maynard Keynes
John Napier	John Napier
John Quincy Adams	John Quincy Adams
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wayne	John Wayne
John Wycliffe	John Wycliffe
Janez Krstnik	John the Baptist
John von Neumann	John von Neumann
Johnny Cash	Johnny Cash
Jordanija	Jordan
Kategorija:Jordanija	Jordan
Jordan	Jordan River
Paul Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Joseph Louis Gay-Lussac	Joseph Louis Gay-Lussac
Joseph Pulitzer	Joseph Pulitzer
Josip Visarijonovič Džugašvili	Joseph Stalin
Jožef Flavij	Josephus
Džul	Joule
Kategorija:Novinarstvo	Journalism
Novinar	Journalist
Igralna palica	Joystick
Judovstvo	Judaism
Kategorija:Judovstvo	Judaism
Juda Iškarijot	Judas Iscariot
Judo	Judo
Ju jutsu	Jujutsu
Jules Verne	Jules Verne
Julijanski koledar	Julian calendar
Gaj Julij Cezar	Julius Caesar
Julij	July
1. julij	July 1
4. julij	July 4
Junij	June
14. junij	June 14
21. junij	June 21
23. junij	June 23
24. junij	June 24
29. junij	June 29
3. junij	June 3
Brin	Juniper
Jupiter	Jupiter
Kategorija:Jupiter	Jupiter
Jupiter (razločitev)	Jupiter (disambiguation)
Jupiter (bog)	Jupiter (mythology)
Jura	Jurassic
Justinijan I.	Justinian I
K	K
K2	K2
KGB	KGB
Kabala	Kabbalah
Kabul	Kabul
Kalahari	Kalahari Desert
Kamčatka	Kamchatka Peninsula
Kamikaza	Kamikaze
Kandahar	Kandahar
Kenguru	Kangaroo
Kansas	Kansas
Kategorija:Kansas	Kansas
Kapa (črka)	Kappa
Karači	Karachi
Karate	Karate
Karl Marx	Karl Marx
Karma	Karma
Katharine Hepburn	Katharine Hepburn
Katovice	Katowice
Kajak	Kayak
Kazahstan	Kazakhstan
Kategorija:Kazahstan	Kazakhstan
Kazan	Kazan
Kazimir Severinovič Malevič	Kazimir Malevich
Kelvin	Kelvin
Kentucky	Kentucky
Kategorija:Kentucky	Kentucky
Kenija	Kenya
Kategorija:Kenija	Kenya
Jedro (računalništvo)	Kernel (computer science)
Kečap	Ketchup
Tipkovnica	Keyboard (computing)
Glasbila s tipkami	Keyboard instrument
Kibuc	Kibbutz
Ledvica	Kidney
Kijev	Kiev
Kilogram	Kilogram
Kilometer	Kilometre
Kilometer na uro	Kilometres per hour
Kimono	Kimono
Kinematika	Kinematics
Kinetična energija	Kinetic energy
Kralj (šah)	King (chess)
Kralj Artur	King Arthur
Kraljestvo (biologija)	Kingdom (biology)
Kingstown	Kingstown
Kiribati	Kiribati
Kategorija:Kiribati	Kiribati
Poljub	Kiss
Spuščanje zmajev	Kite
Kivi (žival)	Kiwi
Koleno	Knee
Kneset	Knesset
Vitez	Knight
Skakač (šah)	Knight (chess)
Vozel (enota)	Knot (speed)
Znanje	Knowledge
Knut Hamsun	Knut Hamsun
Koala	Koala
Komodoški varan	Komodo dragon
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Koreja	Korea
Kategorija:Koreja	Korea
Korejska vojna	Korean War
Kosovo	Kosovo
Kategorija:Kosovo	Kosovo
Krišna	Krishna
Kripton	Krypton
Kukluksklan	Ku Klux Klan
Kuiperjev pas	Kuiper belt
Fortunella	Kumquat
Kung fu	Kung fu (term)
Kuomintang	Kuomintang
Kurt Vonnegut	Kurt Vonnegut
Kurt Waldheim	Kurt Waldheim
Kuvajt	Kuwait
Kategorija:Kuvajt	Kuwait
Kjoto	Kyoto
Kirgizistan	Kyrgyzstan
Kategorija:Kirgizistan	Kyrgyzstan
L	L
LAMP	LAMP (software bundle)
La Paz	La Paz
La Plata	La Plata
Laboratorij	Laboratory
Labradorec	Labrador Retriever
Laktoza	Lactose
Lagomorfi	Lagomorpha
Jezero	Lake
Bajkalsko jezero	Lake Baikal
Blatno jezero	Lake Balaton
Bodensko jezero	Lake Constance
Tanganjiško jezero	Lake Tanganyika
Jezero Ukerewe	Lake Victoria
Lakšmi	Lakshmi
Lambda	Lambda
Brkati ser	Lammergeier
Smetišče	Landfill
Jezik (sredstvo sporazumevanja)	Language
Languedoc-Roussillon	Languedoc-Roussillon
Lantanidi	Lanthanide
Lantan	Lanthanum
Laos	Laos
Kategorija:Laos	Laos
Morje Laptevov	Laptev Sea
Prenosnik	Laptop
Laser	Laser
Stružnica	Lathe
Latinščina	Latin
Latinska Amerika	Latin America
Latinica	Latin alphabet
Zemljepisna širina	Latitude
Latvija	Latvia
Kategorija:Latvija	Latvia
Smeh	Laughter
Lausanne	Lausanne
Pravo	Law
Kategorija:Pravo	Law
Kategorija:Policija	Law enforcement
Lavrencij	Lawrencium
Lacij	Lazio
Le Havre	Le Havre
Svinec	Lead
List (rastlina)	Leaf
Društvo narodov	League of Nations
Prestopno leto	Leap year
Libanon	Lebanon
Kategorija:Libanon	Lebanon
Legenda	Legend
zakonodajna oblast	Legislature
Lego kocke	Lego
Leiden	Leiden
Leipzig	Leipzig
limona	Lemon
Navadna melisa	Lemon balm
Lena	Lena River
Dolžina	Length
Navadna leča	Lentil
Lev Trocki	Leon Trotsky
Leonard Bernstein	Leonard Bernstein
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leopard	Leopard
Metulji	Lepidoptera
Gobavost	Leprosy
Lepton	Lepton
Lesoto	Lesotho
Kategorija:Lesoto	Lesotho
Mali Antili	Lesser Antilles
Leto (boginja)	Leto
Črka	Letter (alphabet)
Vzvod	Lever
Leviatan	Leviathan
Lhotse	Lhotse
Liberalizem	Liberalism
Liberija	Liberia
Kategorija:Liberija	Liberia
Bibliotekarstvo in informacijska znanost	Library science
Libreto	Libretto
Libija	Libya
Kategorija:Libija	Libya
Lišaj	Lichen
Lihtenštajn	Liechtenstein
Kategorija:Lihtenštajn	Liechtenstein
Nadporočnik	Lieutenant
Življenje	Life
Kategorija:Življenje	Life
Svetloba	Light
Svetleča dioda	Light-emitting diode
Svetlobno leto	Light-year
Svetilnik	Lighthouse
Strela	Lightning
Ligurija	Liguria
Ligursko morje	Ligurian Sea
Lilit	Lilith
Lille	Lille
Lima	Lima
Apnenec	Limestone
Limousin	Limousin (region)
Lincoln	Lincoln
Premica	Line (mathematics)
Linearna algebra	Linear algebra
Kategorija:Linearna algebra	Linear algebra
Linearna enačba	Linear equation
Lingua franca	Lingua franca
Jezikoslovje	Linguistics
Kategorija:Jezikoslovje	Linguistics
Linus Carl Pauling	Linus Pauling
Linux	Linux
Kategorija:Linux	Linux
Linz	Linz
Lev	Lion
Lipid	Lipid
Kapljevina	Liquid
LCD	Liquid crystal display
Lizbona	Lisbon
Lisp (programski jezik)	Lisp (programming language)
Pismenost	Literacy
Književnost	Literature
Kategorija:Književnost	Literature
Litij	Lithium
Litosfera	Lithosphere
Litva	Lithuania
Kategorija:Litva	Lithuania
Liter	Litre
Navadni čuk	Little Owl
Liverpool	Liverpool
Tit Livij	Livy
Ljubljana	Ljubljana
Lama	Llama
Prevzeta beseda	Loanword
Loch Ness	Loch Ness
Nessie	Loch Ness Monster
Lokomotiva	Locomotive
Logaritem	Logarithm
Logika	Logic
Kategorija:Logika	Logic
Logistika	Logistics
Logotip	Logo
Loire (departma)	Loire
Loara	Loire River
Loki	Loki
Lombardija	Lombardy
London	London
Kategorija:London	London
Mala uharica	Long-eared Owl
Očenaš	Lord's Prayer
Lorena	Lorraine (region)
Los Angeles, Kalifornija	Los Angeles
Lot (departma)	Lot (department)
Louis Armstrong	Louis Armstrong
Louis Pasteur	Louis Pasteur
Ludvik Pobožni	Louis the Pious
Louisiana	Louisiana
Kategorija:Louisiana	Louisiana
Louvre	Louvre
Ljubezen	Love
Nizka nemščina	Low German
Spodnja Saška	Lower Saxony
Luzern	Lucerne
Luciano Pavarotti	Luciano Pavarotti
Lucifer	Lucifer
Lukrecij	Lucretius
Ludwig Edward Boltzmann	Ludwig Boltzmann
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Luftwaffe (Wehrmacht)	Luftwaffe
Luigi Galvani	Luigi Galvani
Lumen	Lumen (unit)
Luminiscenca	Luminescence
Lunin mrk	Lunar eclipse
Pljuča	Lung
Lutnja	Lute
Lutecij	Lutetium
Luteranstvo	Lutheranism
Luksemburg	Luxembourg
Kategorija:Luksemburg	Luxembourg
Luxembourg	Luxembourg (city)
Luksor	Luxor
Liči	Lychee
Lidija	Lydia
Lyon	Lyon
Lira (ozvezdje)	Lyra
LSD	Lysergic acid diethylamide
Lizosom	Lysosome
M	M
MIME	MIME
Macao	Macau
Makedonija	Macedonia
Machovo število	Mach number
Stroj	Machine
Strojna koda	Machine code
Mitraljez	Machine gun
Machu Picchu	Machu Picchu
Apple Macintosh	Macintosh
Makroekonomija	Macroeconomics
Madagaskar	Madagascar
Kategorija:Madagaskar	Madagascar
Madeira	Madeira
Madonna	Madonna (entertainer)
Madrid	Madrid
Mafija	Mafia
Revija	Magazine
Magreb	Maghreb
Magični kvadrat	Magic square
Magma	Magma
Velika listina svoboščin	Magna Carta
Magnezij	Magnesium
Magnet	Magnet
Magnetno polje	Magnetic field
Slikanje z magnetno resonanco	Magnetic resonance imaging
Magnetizem	Magnetism
Mahatma Gandhi	Mahatma Gandhi
Pošta	Mail
Predloga:Glavni	Main
Maine	Maine
Kategorija:Maine	Maine
Veliki računalnik	Mainframe computer
Maitreja	Maitreya
Koruza	Maize
Major	Major
Malahit	Malachite
Malarija	Malaria
Malezija	Malaysia
Kategorija:Malezija	Malaysia
Maldivi	Maldives
Kategorija:Maldivi	Maldives
Mali	Mali
Kategorija:Mali	Mali
Mlakarica	Mallard
Malta	Malta
Kategorija:Malta	Malta
Malteščina	Maltese language
Maltoza	Maltose
Slezenovke	Malvaceae
Sesalci	Mammal
Upravljanje	Management
Manchester	Manchester
Mandarina	Mandarin orange
Mangan	Manganese
Mangovec	Mango
Manhattan	Manhattan
Projekt Manhattan	Manhattan Project
Manila	Manila
Manierizem	Mannerism
Mantra	Mantra
Manuel de Falla	Manuel de Falla
Mao Cetung	Mao Zedong
Maoizem	Maoism
Zemljevid	Map
Javor	Maple
Marmor	Marble
Marc Chagall	Marc Chagall
Marcel Marceau	Marcel Marceau
Marcel Proust	Marcel Proust
Marec	March
17. marec	March 17
19. marec	March 19
2. marec	March 2
25. marec	March 25
Marke	Marche
Marco Polo	Marco Polo
Mark Avrelij	Marcus Aurelius
Mark Vipsanij Agripa	Marcus Vipsanius Agrippa
Marduk	Marduk
Margaret Thatcher	Margaret Thatcher
Marija Antoinetta	Marie Antoinette
Marie Skłodowska-Curie	Marie Curie
Marilyn Monroe	Marilyn Monroe
Mark Antonij	Mark Antony
Trženje	Marketing
Kategorija:Trženje	Marketing
Marlene Dietrich	Marlene Dietrich
Markiz de Sade	Marquis de Sade
Poroka	Marriage
Kategorija:Mars	Mars
Mars (razločitev)	Mars (disambiguation)
Mars (bog)	Mars (mythology)
Marseille	Marseille
Marshallovi otoki	Marshall Islands
Vrečarji	Marsupial
Martin Buber	Martin Buber
Martin Heidegger	Martin Heidegger
Martin Luther	Martin Luther
Martin Luther King mlajši	Martin Luther King
Martin Scorsese	Martin Scorsese
Martin Van Buren	Martin Van Buren
Martina Navratilova	Martina Navratilova
Martinik	Martinique
Bratje Marx	Marx Brothers
Marksizem	Marxism
Devica Marija	Mary (mother of Jesus)
Sveta Marija Magdalena	Mary Magdalene
Mary Shelley	Mary Shelley
Mary Wollstonecraft	Mary Wollstonecraft
Maryland	Maryland
Kategorija:Maryland	Maryland
Masa	Mass
Maša	Mass (liturgy)
Masno število	Mass number
Massachusetts	Massachusetts
Kategorija:Massachusetts	Massachusetts
Tehnološki inštitut Massachusettsa	Massachusetts Institute of Technology
Mata Hari	Mata Hari
Vžigalica	Match
Materializem	Materialism
Matematična logika	Mathematical logic
Kategorija:Matematična logika	Mathematical logic
Matematični dokaz	Mathematical proof
Matematika	Mathematics
