English	Korean
Pseudoscience	분류:의사과학
Pseudoscience	의사과학
Psi (letter)	Ψ
Psychiatry	정신의학
Psychoanalysis	정신분석학
Psychology	심리학
Psychology	분류:심리학
Pterosaur	익룡
Ptolemaic dynasty	프톨레마이오스 왕조
Ptolemy	클라우디오스 프톨레마이오스
Public domain	퍼블릭 도메인
Puerto Rico	푸에르토리코
Puerto Rico	분류:푸에르토리코
Pulley	도르래
Pump	펌프
Punctuation	문장 부호
Punjab (India)	펀자브 주 (인도)
Punk rock	펑크 록
Puppis	고물자리
Pyongyang	평양직할시
Pyramid	피라미드
Pyramid (geometry)	각뿔
Pyrenees	피레네 산맥
Pythagoras	피타고라스
Python (programming language)	파이썬
Pyxis	나침반자리
Q	Q
Qatar	카타르
Qatar	분류:카타르
Qin Dynasty	진나라
Qing Dynasty	청나라
Quadratic equation	이차 방정식
Quadrilateral	사각형
Quaestor	재무관
Quantum field theory	양자 마당 이론
Quantum mechanics	양자역학
Quantum mechanics	분류:양자역학
Quark	쿼크
Quartz	석영
Quasar	퀘이사
Quaternion	사원수
Quebec	퀘벡 주
Quebec	분류:퀘벡 주
Quebec City	퀘벡 시
Quechua	케추아어
Queen (chess)	퀸 (체스)
Queensland	퀸즐랜드 주
Question mark	물음표
Quetzalcoatl	케찰코아틀
Quince	마르멜로
Quito	키토
R	R
RAF (disambiguation)	RAF
RAID	RAID
RNA	RNA
Ra	라 (신화)
Rabat	라바트
Rabbi	랍비
Rabindranath Tagore	라빈드라나트 타고르
Raccoon Dog	너구리
Rachel Carson	레이철 카슨
Racism	인종 차별
Racism	분류:인종 차별
Radar	레이더
Radian	라디안
Radio	분류:라디오
Radio telescope	전파 망원경
Radioactive decay	방사성 감쇠
Radiocarbon dating	방사성 탄소 연대 측정법
Radiology	방사선과
Radium	라듐
Radius	반지름
Radon	라돈
Rain	비 (날씨)
Rainbow	무지개
Rainer Maria Rilke	라이너 마리아 릴케
Raleigh	롤리 (노스캐롤라이나 주)
Ralph Waldo Emerson	랠프 에머슨
Rama	라마 (신화)
Ramadan	라마단
Ramesses II	람세스 2세
Random access memory	램
Rape	강간
Raphael	라파엘로
Raphael (archangel)	대천사 라파엘
Rapid transit	분류:도시 철도
Raspberry	래즈베리
Rational number	유리수
Ravenna	라벤나
Rawalpindi	라왈핀디
Ray Bradbury	레이 브래드베리
Read-only memory	롬
Real number	실수
Recife	헤시피
Rectangle	직사각형
Red	빨강
Red Fox	붉은여우
Red Panda	레서판다
Red Sea	홍해
Red blood cell	적혈구
Red dwarf	적색 왜성
Red giant	적색 거성
Redshift	적색 편이
Reduced instruction set computer	RISC
Referendum	국민 투표
Refraction	굴절
Refractive index	굴절률
Refugee	난민
Regina	리자이나
Reincarnation	환생
Relation (mathematics)	관계 (수학)
Relativism	상대주의
Relativity	분류:상대성 이론
Relay	전자계전기
Religion	종교
Religion	분류:종교
Religious Society of Friends	퀘이커
Rembrandt	렘브란트
Renaissance	르네상스
Renaissance	분류:르네상스
Reproduction	생식
Reptile	파충류
Republic	공화제
Republic of China	중화민국
Republic of Ireland	아일랜드
Republic of Ireland	분류:아일랜드
Republic of the Congo	콩고 공화국
Republic of the Congo	분류:콩고 공화국
Republican Party (United States)	공화당 (미국)
Requiem	진혼곡
Resistor	저항기
Restaurant	식당
Reticulum	그물자리
Retina	망막
Retinol	바이타민 A
Revolution	혁명
Revolver	리볼버
Rhea (moon)	레아 (위성)
Rhea (mythology)	레아 (신화)
Rhenium	레늄
Rhetoric	수사학
Rhine	라인 강
Rhinoceros	코뿔소
Rho (letter)	Ρ
Rhode Island	로드아일랜드 주
Rhode Island	분류:로드아일랜드 주
Rhodes	로도스
Rhodium	로듐
Rhombus	마름모
Rhyme	압운
Rhythm	리듬
Riboflavin	비타민 B2
Ribosome	리보솜
Rice	벼
Richard Feynman	리처드 파인먼
Richard Nixon	리처드 닉슨
Richard Strauss	리하르트 슈트라우스
Richard Wagner	리하르트 바그너
Richard Wright (musician)	리처드 라이트 (음악가)
Richmond	리치먼드 (버지니아 주)
Riga	리가
Rigel	리겔
Right ascension	적경
Ring (mathematics)	환 (수학)
Ringo Starr	링고 스타
Rio Grande	리오그란데 강
Rio de Janeiro	리우데자네이루
Rio de Janeiro (state)	리우데자네이루 주
River	강
River Thames	템스 강
Riyadh	리야드
Road	길
Roald Amundsen	로알 아문센
Robert A. Heinlein	로버트 A. 하인라인
Robert Boyle	로버트 보일
Robert De Niro	로버트 드 니로
Robert E. Lee	로버트 리
Robert Falcon Scott	로버트 팰컨 스콧
Robert Hooke	로버트 훅
Robert Koch	로베르트 코흐
Robert Louis Stevenson	로버트 루이스 스티븐슨
Robert Schumann	로베르트 슈만
Robot	로봇
Rock	가위 바위 보
Rock (geology)	암석
Rock and roll	로큰롤
Rock music	록
Rock music	분류:록 음악
Rocket	로켓
Rocky Mountains	로키 산맥
Rococo	로코코
Rodent	설치류
Roe Deer	노루
Roentgenium	뢴트게늄
Roman Catholic Church	로마 가톨릭 교회
Roman Empire	로마 제국
Roman Republic	로마 공화정
Roman law	로마법
Roman legion	로마 군단
Roman mythology	로마 신화
Roman mythology	분류:로마 신화
Romania	루마니아
Romania	분류:루마니아
Romansh	로망슈어
Romanticism	낭만주의
Rome	로마
Rome	분류:로마
Ronald Reagan	로널드 레이건
Roof	지붕
Rook (chess)	룩 (체스)
Roosevelt	루스벨트
Rosa Parks	로자 파크스
Rosaceae	장미과
Rosales	장미목
Rosary	로사리오
Rose	장미
Roseau	로조
Rosetta Stone	로제타석
Rosh Hashanah	나팔절
Ross Sea	로스 해
Rostock	로스토크
Rotterdam	로테르담
Router	라우터
Royal Air Force	영국 공군
Royal Society	왕립 학회
Rubber	고무
Rubicon	루비콘 강
Rubidium	루비듐
Ruble	루블
Ruby	루비
Ruby (programming language)	루비 (프로그래밍 언어)
Rudolf Steiner	루돌프 슈타이너
Rudyard Kipling	러디어드 키플링
Rugby football	럭비
Russia	러시아
Russia	분류:러시아
Russian Orthodox Church	러시아 정교회
Russian Revolution (1917)	러시아 혁명
Russo-Japanese War	러일 전쟁
Ruthenium	루테늄
Rutherford B. Hayes	러더퍼드 B. 헤이스
Rutherfordium	러더포듐
Rwanda	르완다
Rwanda	분류:르완다
S	S
SOAP	SOAP
SOS	SOS
Sacrament	성사
Sacramento	새크라멘토
Saddam Hussein	사담 후세인
Safari (web browser)	사파리 (웹 브라우저)
Sagitta	화살자리
Sagittarius (constellation)	궁수자리
Sahara	사하라 사막
Saint	성인 (종교)
Saint Andrew	안드레아
Saint George	성 게오르기우스
Saint Kitts and Nevis	세인트키츠 네비스
Saint Kitts and Nevis	분류:세인트키츠 네비스
Saint Lawrence River	세인트로렌스 강
Saint Lucia	세인트루시아
Saint Lucia	분류:세인트루시아
Saint Martin	세인트마틴 섬
Saint Nicholas	성 니콜라우스
Saint Patrick	성 파트리치오
Saint Paul	세인트폴
Saint Peter	페트루스
Saint Petersburg	상트페테르부르크
Saint Petersburg	분류:상트페테르부르크
Saint Vincent and the Grenadines	세인트빈센트 그레나딘
Saint Vincent and the Grenadines	분류:세인트빈센트 그레나딘
Saladin	살라흐 앗 딘
Salamander	도롱뇽목
Salem	세일럼 (오리건 주)
Salman Rushdie	살만 루시디
Salmonidae	연어과
Salt	소금
Salt (chemistry)	염
Salt Lake City	솔트레이크 시
Salvador	사우바도르
Salzburg	잘츠부르크
Salzburg (state)	잘츠부르크 주
Samara	사마라 (사마라 주)
Samarium	사마륨
Samarkand	사마르칸트
Samoa	사모아
Samoa	분류:사모아
Samsara	윤회
Samurai	사무라이
San Antonio	샌안토니오
San Diego	샌디에이고
San Francisco	샌프란시스코
San Jose	새너제이 (캘리포니아 주)
San Juan	산후안 (푸에르토리코)
San Marino	산마리노
San Marino	분류:산마리노
San Marino	산마리노 시
San Salvador	산살바도르
Sand	모래
Sandro Botticelli	산드로 보티첼리
Sandstone	사암
Sandwich	샌드위치
Sanskrit	산스크리트어
Santa Claus	산타 클로스
Santa Fe	샌타페이
Santiago	산티아고 (칠레)
Santiago	산티아고
Santo Domingo	산토도밍고
Santos (Săo Paulo)	산투스 (브라질)
Sappho	사포 (시인)
Sapporo	삿포로 시
Sarajevo	사라예보
Saratov	사라토프
Sardinia	사르데냐
Sarin	사린
Saskatchewan	서스캐처원 주
Satan	사탄
Satanism	사탄교
Satellite	인공위성
Saturday	토요일
Saturn	토성
Saturn	분류:토성
Saturn (disambiguation)	새턴
Saturn (mythology)	사투르누스
Saudi Arabia	사우디아라비아
Saudi Arabia	분류:사우디아라비아
Sausage	소시지
Savanna	사바나 기후
Saxony	작센 주
Saxony	분류:작센 주
Saxophone	색소폰
Scandinavia	스칸디나비아
Scandinavia	분류:스칸디나비아
Scandinavian Peninsula	스칸디나비아 반도
Scandium	스칸듐
Scheldt	스헬더 강
Scheme (programming language)	스킴 (프로그래밍 언어)
Schizophrenia	정신분열증
Scholasticism	스콜라 철학
School	학교
Science	과학
Science	분류:과학
Science fiction	과학 소설
Science fiction	분류:과학 소설
Scientific method	과학적 방법론
Scientology	사이언톨로지교
Scipio Africanus	스키피오 아프리카누스
Scissors	가위
Sciuridae	다람쥐과
Scorpion	전갈
Scorpius	전갈자리
Scotland	스코틀랜드
Scotland	분류:스코틀랜드
Scottish Gaelic	스코틀랜드 게일어
Scrabble	스크래블
Screw	나사
Scrotum	음낭
Sculptor (constellation)	조각가자리
Sculpture	분류:조각
Sea	바다
Sea of Azov	아조프 해
Sea of Japan	동해
Sea of Marmara	마르마라 해
Sea of Okhotsk	오호츠크 해
Seaborgium	시보귬
Search engine	검색 엔진
Sears Tower	시어스 타워
Season	계절
Seattle	시애틀
Second	초 (시간)
Second Crusade	제2차 십자군
Second Vatican Council	제2차 바티칸 공의회
Second law of thermodynamics	열역학 제2법칙
Security	분류:안전
Sedimentary rock	퇴적암
Seed	씨
Seine	센 강
Seismology	분류:지진학
Selene	셀레네
Selenium	셀레늄
Seleucus I Nicator	셀레우코스 1세
Semantics	의미론
Semantics	분류:의미론
Semen	정자 (생물)
Semiconductor	반도체
Semiotics	기호학
Senegal	세네갈
Senegal	분류:세네갈
Seoul	서울특별시
September	9월
September 11	9월 11일
September 11	9·11 테러
September 17	9월 17일
September 29	9월 29일
Septuagint	70인역
Sequence	수열
Serbia	세르비아
Serbia	분류:세르비아
Serbia and Montenegro	세르비아 몬테네그로
Serbia and Montenegro	분류:세르비아 몬테네그로
Sergei Eisenstein	세르게이 에이젠시테인
Sergei Rachmaninoff	세르게이 라흐마니노프
Serine	세린
Serpens	뱀자리
Server (computing)	서버
Set	집합
Set (mythology)	세트
Set theory	집합론
Set theory	분류:집합론
Sevastopol	세바스토폴
Seven Years' War	7년 전쟁
Severe acute respiratory syndrome	중증 급성 호흡기 증후군
Seville	세비야
Sex	성별
Sexism	성 차별
Sexual intercourse	성교
Sexuality	분류:성행위
Sexually transmitted disease	성병
Seychelles	세이셸
Seychelles	분류:세이셸
Shah	샤
Shanghai	상하이
Share (finance)	주식
Shareware	셰어웨어
Sharia	샤리아
Shark	상어
Sherlock Holmes	셜록 홈즈
Shetland	셰틀랜드 제도
Shield	방패
Shikoku	시코쿠
Shinto	신토
Ship	배 (탈것)
Shiva	시바
Shogi	쇼기
Shogun	쇼군
Shrimp	새우
Siberia	시베리아
Siberian Husky	시베리안 허스키
Sichuan	쓰촨 성
Sicily	시칠리아
Sicily	분류:시칠리아 주
Siemens (unit)	지멘스 (단위)
Sierra Leone	시에라리온
Sierra Leone	분류:시에라리온
Sigma	Σ
Sigmund Freud	지그문트 프로이트
Sign language	수화
Sikhism	시크교
Sikkim	시킴 주
Silesia	실레지아
Silicon	규소
Silicon Valley	실리콘 밸리
Silk	비단
Silk Road	실크로드
Silurian	실루리아기
Silver	은
Simone de Beauvoir	시몬 드 보부아르
Sin	죄
Sinai Peninsula	시나이 반도
Sinclair Lewis	싱클레어 루이스
Singapore	싱가포르
Singapore	분류:싱가포르
Single (music)	싱글 (음악)
Siren	세이렌
Sirenia	바다소목
Sirius	시리우스
Sistine Chapel	시스티나 경당
Sisyphus	시시포스
Sitting Bull	앉은황소
Skagerrak	스카게라크 해협
Skeletal system	분류:골격 기관
Skepticism	회의주의
Skin	피부
Skopje	스코페
Skull	두개골
Skyscraper	마천루
Slavery	노예
Slayer	슬레이어 (밴드)
Sleep	잠
Slovakia	슬로바키아
Slovakia	분류:슬로바키아
Slovenia	슬로베니아
Slovenia	분류:슬로베니아
Small intestine	소장 (장기)
Smog	스모그
Smolensk	스몰렌스크
Snake	뱀
Snow	눈 (날씨)
Soap	비누
Socialism	사회주의
Socialism	분류:사회주의
Society	분류:사회
Society	사회
Society of Jesus	예수회
Sociolinguistics	사회언어학
Sociology	사회학
Sociology	분류:사회학
Socrates	소크라테스
Sodium	나트륨
Sodium bicarbonate	탄산 수소 나트륨
Sodium chloride	염화 나트륨
Sodium hydroxide	수산화 나트륨
Sofia	소피아
Software	분류:소프트웨어
Soil	흙
Solanaceae	가지과
Solanaceae	분류:가지과
Solar System	태양계
Solar System	분류:태양계
Solar cell	태양 전지
Solar eclipse	일식
Solar wind	태양풍
Solid	고체
Solid state	솔리드 스테이트
Solomon	솔로몬 왕
Solomon Islands	솔로몬 제도
Solomon Islands	분류:솔로몬 제도
Solon	솔론
Solvent	용매
Somalia	소말리아
Somalia	분류:소말리아
Somerset	서머싯 주
Sonata	소나타
Song	노래
Song of Solomon	아가
Sonnet	소넷 (시)
Sophism	소피스트
Sophocles	소포클레스
Soprano	소프라노
Sorghum	수수속
Sorting algorithm	정렬 알고리즘
Soul	영혼
Sound	소리
Source code	소스 코드
South	남쪽
South Africa	분류:남아프리카 공화국
South America	남아메리카
South America	분류:남아메리카
South Australia	사우스오스트레일리아 주
South Carolina	사우스캐롤라이나 주
South Carolina	분류:사우스캐롤라이나 주
South China Sea	남중국해
South Dakota	사우스다코타 주
South Dakota	분류:사우스다코타 주
South Island	남섬
South Korea	대한민국
South Korea	분류:대한민국
South Pole	남극점
South Vietnam	남베트남
Southeast Asia	동남아시아
Southern Hemisphere	남반구
Sovereignty	주권
Soviet Union	소비에트 연방
Soviet Union	분류:소비에트 연방
Space	공간
Space station	우주 정거장
Spacecraft	우주선
Spaghetti	스파게티
Spain	스페인
Spain	분류:스페인
Spam (electronic)	스팸 (메시지)
Spanish Civil War	스페인 내전
Spanish people	분류:스페인 사람
Spanish-American War	미국-스페인 전쟁
Sparta	스파르타
Spear	창
Special relativity	특수 상대성 이론
Species	종 (생물학)
Spectroscopy	분광학
Speed	속력
Speed of light	빛의 속도
Sperm Whale	향고래
Spermatophyte	종자식물
Sphere	구 (기하)
Sphinx	스핑크스
Spice	향신료
Spider	거미
Spin (physics)	스핀
Spinach	시금치
Spiral galaxy	나선 은하
Sponge	해면동물
Sport	스포츠
Spreadsheet	스프레드시트
Spree	슈프레 강
Spring (season)	봄
Springfield	스프링필드 (일리노이 주)
Spyware	스파이웨어
Squamata	뱀목
Square (geometry)	정사각형
Square metre	제곱미터
Square root	제곱근
Squash (sport)	스쿼시
Sri Lanka	스리랑카
Sri Lanka	분류:스리랑카
St. Louis	세인트루이스
Standard Generalized Markup Language	SGML
Standard deviation	표준 편차
Stanford University	스탠퍼드 대학교
Stanley Kubrick	스탠리 큐브릭
Star	항성
Star of David	다윗의 별
Starch	녹말
Starfish	불가사리류
State	국가 (정치학)
Staten Island	스태튼아일랜드
Statistical mechanics	통계역학
Statistics	통계학
Statistics	분류:통계학
Statue of Liberty	자유의 여신상
Steam	수증기
Steam engine	증기 기관
Steel	강철
Stem cell	줄기 세포
Stendhal	스탕달
Stephen Hawking	스티븐 호킹
Steppe	스텝
Steradian	스테라디안
Steroid	스테로이드
Steven Spielberg	스티븐 스필버그
Stock exchange	증권거래소
Stockholm	스톡홀름
Stomach	위 (기관)
Stone Age	석기 시대
Stonehenge	스톤헨지
Storm	폭풍
Strait	해협
Strait of Gibraltar	지브롤터 해협
Strait of Hormuz	호르무즈 해협
Strait of Magellan	마젤란 해협
Strait of Messina	메시나 해협
Straits	분류:해협
Strasbourg	스트라스부르
Stratosphere	성층권
Strawberry	딸기
String theory	끈 이론
Stroke	뇌경색
Strong interaction	강한 상호작용
Strontium	스트론튬
Structuralism	구조주의
Stub	틀:토막글
Student	학생
Sturmabteilung	돌격대
Stuttgart	슈투트가르트
Sublimation (chemistry)	승화
Submarine	잠수함
Subset	부분집합
Subtraction	뺄셈
Subversion (software)	서브버전
Sucre	수크레
Sucrose	자당
Sudan	수단
Sudan	분류:수단
Sudoku	스도쿠
Suez Canal	수에즈 운하
Sugar	설탕
Suharto	수하르토'
Sukarno	수카르노
Sulawesi	술라웨시 섬
Sulfur	황
Sulfuric acid	황산
Sultan	술탄
Sumatra	수마트라 섬
Sumer	수메르
Summer	여름
Sumo	스모
Sun	태양
Sun	분류:태양
Sun Yat-sen	쑨원
Sunday	일요일
Sunflower	해바라기
Sunni Islam	수니파
Sunspot	흑점
Supercomputer	슈퍼컴퓨터
Superconductivity	초전도 현상
Superman	슈퍼맨
Supernova	초신성
Supreme Court of the United States	미국의 연방대법원
Sura	수라
Surface tension	표면장력
Surgeon	외과
Surgery	외과
Surgery	분류:외과
Suriname	수리남
Suriname	분류:수리남
Susan Sontag	수잔 손탁
Sushi	초밥
Suva	수바
Svalbard	스발바르 제도
Swallow	제비과
Swan	고니류
Swastika	만자문
Swaziland	스와질란드
Swaziland	분류:스와질란드
Sweden	스웨덴
Sweden	분류:스웨덴
Sweet potato	고구마
Swimming	수영
Swimming	분류:수영
Swiss franc	스위스 프랑
Swiss people	분류:스위스 사람
Switzerland	스위스
Switzerland	분류:스위스
Sword	검
Sydney	시드니
Syllable	음절
Sylvia Plath	실비아 플래스
Symbol	기호
Symphony	교향곡
Synagogue	시나고그
Syndicate	노동조합
Synonym	동의어
Syntax	통사론
Syphilis	매독
Syracuse	시라쿠사
Syria	시리아
Syria	분류:시리아
System	계 (물리학)
Systematics	계통분류학
T	T
T. E. Lawrence	토머스 에드워드 로런스
T. S. Eliot	T. S. 엘리엇
Table tennis	탁구
Tacitus	타키투스
Taekwondo	태권도
Tahiti	타히티
Tai chi chuan	태극권
Taipei	타이베이 시
Taiwan	타이완 섬
Taj Mahal	타지마할
Tajikistan	타지키스탄
Tajikistan	분류:타지키스탄
Taliban	탈레반
Tallahassee	탤러해시
Tallinn	탈린
Talmud	탈무드
Tamil Nadu	타밀나두 주
Tampa	탬파
Tanakh	유대교 성서
Tang Dynasty	당나라
Tank	전차
Tantalum	탄탈럼
Tanzania	탄자니아
Tanzania	분류:탄자니아
Taoism	도교
Tardigrade	완보동물
Tartu	타르투
Tashkent	타슈켄트
Tasman Sea	태즈먼 해
Tasmania	태즈메이니아 주
Tasmanian Devil	태즈메이니아 데빌
Taste	미각
Tattoo	문신
Tau	Τ
Taurus (constellation)	황소자리
Tawny Owl	올빼미
Tax	세금
Taxation	분류:조세
Taxicab	택시
Taxonomy	분류학
Tbilisi	트빌리시
Tea	차 (음료)
Tea	분류:차
Technetium	테크네튬
Techno	테크노
Technology	기술
Technology	분류:기술
Tegucigalpa	테구시갈파
Tehran	테헤란
Tel Aviv	텔아비브
Telecommunication	먼거리 통신
Telegraphy	전보
Telephone	전화
Telescope	망원경
Telescopium	망원경자리
Television	텔레비전
Television	분류:텔레비전
Tellurium	텔루륨
Temperature	온도
Temple	사찰
Ten Commandments	십계명
Tennessee	테네시 주
Tennessee	분류:테네시 주
Tennis	테니스
Tennis	분류:테니스
Tenor	테너
Tenzing Norgay	텐징 노르가이
Terbium	터븀
Termite	흰개미
Terpsichore	테르프시코레
Terrestrial planet	지구형 행성
Terrorism	테러리즘
Terrorism	분류:테러
Tertullian	테르툴리아누스
Tesla (unit)	테슬라
Tethys (moon)	테티스 (위성)
Tetrahedron	사면체
Tetrapod	네발동물
Texas	텍사스 주
Texas	분류:텍사스 주
Thailand	타이
Thailand	분류:타이
Thales	탈레스
Thallium	탈륨
Thanksgiving	추수감사절
Thanksgiving (Canada)	추수감사절
Thanksgiving (United States)	추수감사절
Thanksgiving (disambiguation)	추수감사절
The Gambia	감비아
The Gambia	분류:감비아
The Hague	헤이그
The Star-Spangled Banner	미국의 국가
Theatre	연극
Theatre	분류:연극
Thebes	테베 (그리스)
Thebes	테베 (이집트)
Themis	테미스
Theocracy	신정정치
Theodor Mommsen	테오도어 몸젠
Theodore Roosevelt	시어도어 루스벨트
Theodosius I	테오도시우스 1세
Theology	신학
Theology	분류:신학
Theorem	정리
Theory	이론
Theory of relativity	상대성 이론
Thermodynamics	열역학
Thermodynamics	분류:열역학
Thermometer	온도계
Theseus	테세우스
Thessaloniki	테살로니키
Thessaly	테살리아
Theta	Θ
Thiamine	비타민 B1
Third Crusade	제3차 십자군
Third World	제3세계
Thirty Years' War	30년 전쟁
Thomas Aquinas	토마스 아퀴나스
Thomas Edison	토머스 에디슨
Thomas Hobbes	토머스 홉스
Thomas Jefferson	토머스 제퍼슨
Thomas Malthus	토머스 멜더스
Thomas Mann	토마스 만
Thomas More	토머스 모어
Thomas Paine	토머스 페인
Thomas Young (scientist)	토머스 영
Thor	토르 (신화)
Thorium	토륨
Thoth	토트
Thought	생각
Thrace	트라키아
Thucydides	투키디데스
Thulium	툴륨
Thuringia	튀링겐 주
Thuringia	분류:튀링겐 주
Thursday	목요일
Thylacine	태즈메이니아 주머니늑대
Tianjin	톈진
Tiber	테베레 강
Tiberius	티베리우스
Tibet	티베트
Tibet	분류:티베트
Tide	조석
Tierra del Fuego	티에라델푸에고 제도
Tiger	호랑이
Tigris	티그리스 강
Timbuktu	통북투
Time	시간
Time	분류:시간
Time (magazine)	타임 (잡지)
Time zone	시간대
Timor	티모르 섬
Timur	티무르
Tin	주석 (원소)
Tirana	티라나
Tit (bird)	박새과
Titan (disambiguation)	티탄
Titan (moon)	티탄 (위성)
Titania (moon)	티타니아 (위성)
Titanic (disambiguation)	타이타닉
Titanium	타이타늄
Titian	티치아노 베첼리
Titus	티투스
Tobacco	담배 (식물)
Tocantins (state)	토칸칭스 주
Tocopherol	바이타민 E
Tofu	두부
Togo	토고
Togo	분류:토고
Tokyo	도쿄
Toledo	톨레도
Toluene	톨루엔
Tom and Jerry	톰과 제리
Tomato	토마토
Ton	톤
Tonga	통가
Tonga	분류:통가
Tongue	혀
Tonne	톤
Tony Blair	토니 블레어
Tool	도구
Tooth	이 (몸)
Topaz	황옥
Topeka	토피카
Topology	위상수학
Topology	분류:위상수학
Torah	토라
Tornado	토네이도
Toronto	토론토
Torpedo	어뢰
Torque	돌림힘
Tortoise	거북
Torture	고문
Toulouse	툴루즈
Tour de France	투르 드 프랑스
Tourism	관광
Tourism	분류:관광
Tower	탑
Tower of Babel	바벨탑
Town	시 (행정 구역)
Toxicity	독
Toy	장난감
Toyota	토요타 자동차
Trade union	노동조합
Trademark	상표
Train	기차
Train station	철도역
Trajan	트라이아누스
Tram	노면전차
Transcendental number	초월수
Transformer	변압기
Transistor	트랜지스터
Transliteration	전자법
Transmission Control Protocol	전송 제어 프로토콜
Transportation	분류:교통
Transylvania	트란실바니아
Trapezoid	사다리꼴
Treaty	조약
Treaty of Versailles	베르사유 조약
Tree	나무
Trento	트렌토
Trenton	트렌턴 (뉴저지 주)
Triangle	삼각형
Triangulum	삼각형자리
Triangulum Australe	남쪽삼각형자리
Triassic	트라이아스기
Tributary	지류
Trier	트리어
Trigonometric function	삼각 함수
Trigonometry	삼각법
Trigonometry	분류:삼각법
Trilobite	삼엽충
Trinidad and Tobago	트리니다드 토바고
Trinidad and Tobago	분류:트리니다드 토바고
Trinitrotoluene	트라이나이트로톨루엔
Trinity	삼위일체
Tripoli	트리폴리 (리비아)
Tritium	삼중수소
Triton (moon)	트리톤 (위성)
Triumphal arch	개선문
Trojan Horse	트로이 목마
Trojan War	트로이아 전쟁
Trojan horse (computing)	트로이 목마 (컴퓨터)
Troll	트롤
Troll (Internet)	인터넷 트롤
Trolleybus	무궤도전차
Trombone	트롬본
Tropic of Cancer	북회귀선
Tropic of Capricorn	남회귀선
Troposphere	대류권
Trotskyism	트로츠키주의
Troy	트로이아
Truck	트럭
Trumpet	트럼펫
Truth	진리
Tryptophan	트립토판
Tsar	차르
Tsunami	지진 해일
Tuber (genus)	트뤼프
Tuberculosis	결핵
Tucana	큰부리새자리
Tucson	투손
Tuesday	화요일
Tulip	튤립
Tundra	툰드라
Tungsten	텅스텐
Tunicate	피낭동물
Tunis	튀니스
Tunisia	튀니지
Tunisia	분류:튀니지
Turbine	터빈
Turin	토리노
Turing machine	튜링 기계
Turkey	터키
Turkey	분류:터키
Turkmenistan	투르크메니스탄
Turkmenistan	분류:투르크메니스탄
Turtle	거북
Tuscany	토스카나 주
Tuvalu	투발루
Tuvalu	분류:투발루
Tux	턱스
Tycho Brahe	튀코 브라헤
Typewriter	타자기
Typhon	티폰
Typography	분류:타이포그래피
Tyrannosaurus	티란노사우루스 렉스
Tyre	티레
Tyrrhenian Sea	티레니아 해
U	U
UNESCO	유네스코
Ufa	우파 (도시)
Uganda	우간다
Uganda	분류:우간다
Ukraine	우크라이나
Ukraine	분류:우크라이나
Ulan Bator	울란바타르
Ulster	얼스터
Ultrasound	초음파
Ultraviolet	자외선
Ulysses S. Grant	율리시스 그랜트
Umbrella	우산
Uncertainty principle	불확정성 원리
Unemployment	실업
Unicorn	유니콘
Unidentified flying object	미확인 비행 물체
Uniform Resource Locator	URL
Union (set theory)	합집합
United Arab Emirates	아랍에미리트
United Arab Emirates	분류:아랍에미리트
United Arab Republic	아랍 연합 공화국
United Kingdom	영국
United Kingdom	분류:영국
United Nations	국제 연합
United Nations	분류:국제 연합
United Nations Children's Fund	유니세프
United States	미국
United States	분류:미국
United States Air Force	미국 공군
United States Constitution	미국의 헌법
United States Navy	미국 해군
United States Virgin Islands	미국령 버진아일랜드
United States dollar	미국 달러
Universe	우주
University	대학
University of Chicago	시카고 대학교
University of Pennsylvania	펜실베이니아 대학교
Unix	유닉스
Unix	분류:유닉스
Ununbium	우눈븀
Ununhexium	우눈헥슘
Ununpentium	우눈펜튬
Ununquadium	우눈쿼듐
Ununtrium	우눈트륨
Upanishad	우파니샤드
Uppsala	웁살라
Upsilon	Υ
Ur	우르
Ural Mountains	우랄 산맥
Urania	우라니아
Uranium	우라늄
Uranus	천왕성
Uranus	분류:천왕성
Uranus (mythology)	우라노스
Urdu	우르두어
Urine	오줌
Ursa Major	큰곰자리
Ursa Minor	작은곰자리
Uruguay	우루과이
Uruguay	분류:우루과이
Utah	유타 주
Utah	분류:유타 주
Utopia	유토피아
Utrecht (province)	위트레흐트 주
Uzbekistan	우즈베키스탄
Uzbekistan	분류:우즈베키스탄
V	V
Vaccine	백신
Vacuole	액포
Vacuum	진공
Vacuum tube	진공관
Vaduz	파두츠
Valencia	발렌시아
Valentina Tereshkova	발렌티나 테레시코바
Valentine's Day	밸런타인데이
Valhalla	발할라
Valletta	발레타
Valley	계곡
Vampire	흡혈귀
Vanadium	바나듐
Vancouver	밴쿠버
Vancouver Island	밴쿠버 섬
Vanuatu	바누아투
Vanuatu	분류:바누아투
Variance	분산
Vascular plant	관다발식물
Vatican City	바티칸 시국
Vatican City	분류:바티칸
Vega	베가
Vegetable	채소
Vegetarianism	채식주의
Vein	정맥
Vela (constellation)	돛자리
Velocity	속도
Veneto	베네토 주
Venezuela	베네수엘라
Venezuela	분류:베네수엘라
Venice	베네치아
Venus	금성
Venus (disambiguation)	비너스 (동음이의)
Venus (mythology)	베누스
Verb	동사 (품사)
Vermont	버몬트 주
Vermont	분류:버몬트 주
Versailles	베르사유
Vertebral column	등뼈
Vertebrate	척추동물
Vespasian	베스파시아누스
Vice President of the United States	미국의 부통령
Vichy	비시 (프랑스)
Victor Hugo	빅토르 위고
