English	Ukrainian
Iron	Залізо
Iron Age	Залізний вік
Iron Curtain	Залізна завіса
Iron Maiden	Iron Maiden
Irony	Іронія
Irrational number	Ірраціональні числа
Irredentism	Іредентизм
Irtysh River	Іртиш
Isaac	Ісаак син Авраама
Isaac Asimov	Азімов Айзек
Isaac Bashevis Singer	Зінґер Ісаак Башевіс
Isaac Newton	Ньютон Ісаак
Isadora Duncan	Дункан Ісадора
Ishmael	Ізмаїл (міфологія)
Isis	Ісіда
Islam	Іслам
Islam	Категорія:Іслам
Islamabad	Ісламабад
Islamic calendar	Мусульманський календар
Island	Острів
Isle of Man	Мен (острів)
Isle of Man	Категорія:Мен (острів)
Isomer	Ізомери
Isotope	Ізотоп
Israel	Ізраїль
Israel	Категорія:Ізраїль
Istanbul	Стамбул
Istanbul	Категорія:Стамбул
Isthmus	Перешийок
Isthmus of Panama	Панамський перешийок
Italian Peninsula	Апеннінський півострів
Italy	Італія
Italy	Категорія:Італія
Ithaca	Ітака
Ivan Pavlov	Павлов Іван Петрович
Ivan Turgenev	Тургенєв Іван Сергійович
Ivory	Слонова кістка
Ivy League	Ліга плюща
Iwo Jima	Іото
J	J (латиниця)
J. D. Salinger	Селінджер Джером Дейвід
Jack London	Джек Лондон
Jack the Ripper	Джек-Різник
Jackdaw	Галка (птах)
Jacob	Яків син Ісаака
Jacques Cartier	Картьє Жак
Jacques Offenbach	Оффенбах Жак
Jade	Жад
Jaguar	Ягуар
Jainism	Джайнізм
Jakarta	Джакарта
Jamaica	Ямайка
Jamaica	Категорія:Ямайка
James	Яків син Зеведеїв
James A. Garfield	Гарфілд Джеймс
James Bond	Джеймс Бонд
James Clerk Maxwell	Максвелл Джеймс Клерк
James Cook	Кук Джеймс
James Joyce	Джойс Джеймс
James K. Polk	Джеймс Нокс Полк
James Madison	Медісон Джеймс
James Monroe	Монро Джеймс
James Prescott Joule	Джоуль Джеймс Прескотт
James Watt	Ватт Джеймс
Jammu and Kashmir	Джамму й Кашмір
Jan Hus	Ян Гус
Jane Austen	Остін Джейн
Janissary	Яничари
January	Січень
January 1	1 січня
January 19	19 січня
January 20	20 січня
January 6	6 січня
Janus (moon)	Янус (супутник)
Janus (mythology)	Янус (міфологія)
Japan	Японія
Japan	Категорія:Японія
Jason	Ясон
Java	Ява (острів)
Java (programming language)	Java
Jawaharlal Nehru	Джавахарлал Неру
Jazz	Джаз
Jazz	Категорія:Джаз
Jean Cocteau	Кокто Жан
Jean Sibelius	Сібеліус Ян
Jean de La Fontaine	Лафонтен Жан
Jean-Jacques Rousseau	Руссо Жан-Жак
Jean-Paul Sartre	Сартр Жан-Поль
Jean-Philippe Rameau	Рамо Жан-Філліп
Jeddah	Джидда
Jefferson Davis	Джефферсон Девіс
Jehovah's Witnesses	Свідки Єгови
Jellyfish	Клас Сцифоїдні
Jeremy Bentham	Бентам Ієремія
Jerez de la Frontera	Херес-де-ла-Фронтера
Jericho	Єрихон
Jerome	Ієронім
Jersey	Джерсі (острів)
Jerusalem	Єрусалим
Jesus	Ісус Христос
Jet engine	Реактивний двигун
Jew	Юдеї
Jew's harp	Дримба
Jihad	Джихад
Jimi Hendrix	Джимі Хендрікс
Jimmy Carter	Картер Джиммі
Joan of Arc	Жанна д'Арк
Johann Sebastian Bach	Бах Йоганн Себастьян
Johann Wolfgang von Goethe	Ґете Йоганн Вольфґанґ фон
Johannes Brahms	Брамс Йоганнес
Johannes Gutenberg	Ґутенберґ Йоганн
Johannes Kepler	Кеплер Йоганнес Фрідріх
Johannesburg	Йоганнесбург
John Adams	Адамс Джон
John Bardeen	Бардін Джон
John Cage	Кейдж Джон
John Calvin	Жан Кальвін
John Chrysostom	Іоан Золотоустий
John Dalton	Дальтон Джон
John Galsworthy	Голсуорсі Джон
John Lennon	Леннон Джон
John Locke	Локк Джон
John Major	Мейджор Джон
John Maynard Keynes	Кейнс Джон Мейнард
John Napier	Непер Джон
John Quincy Adams	Адамс Джон Квінсі
John Ruskin	Раскін Джон
John Steinbeck	Стейнбек Джон
John Stuart Mill	Мілль Джон Стюарт
John Wayne	Вейн Джон
John the Baptist	Іван Хреститель
John von Neumann	Джон фон Нейман
Johnny Cash	Джонні Кеш
Joint	Суглоб
Jonathan Swift	Свіфт Джонатан
Jordan	Йорданія
Jordan	Категорія:Йорданія
Jorge Luis Borges	Борхес Хорхе Луїс
Joseph Conrad	Джозеф Конрад
Joseph Haydn	Гайдн Франц Йозеф
Joseph Louis Gay-Lussac	Гей-Люссак Жозеф-Луї
Joseph Smith	Сміт Джозеф
Joseph Stalin	Сталін Йосип Віссаріонович
Josephus	Йосип Флавій
Joule	Джоуль
Journalism	Категорія:Журналістика
Journalism	Журналістика
Journalist	Журналіст
Joystick	Джойстик
Judaism	Юдаїзм
Judaism	Категорія:Юдаїзм
Judas Iscariot	Юда Іскаріот
Judea	Юдея
Judo	Дзюдо
Jules Verne	Жуль Верн
Julian calendar	Юліанський календар
Julius Caesar	Гай Юлій Цезар
July	Липень
July 1	1 липня
July 4	4 липня
June	Червень
June 14	14 червня
June 21	21 червня
June 23	23 червня
June 24	24 червня
June 29	29 червня
June 3	3 червня
Juneau	Джуно
Juniper	Яловець
Juno (mythology)	Юнона (міфологія)
Jupiter	Юпітер (планета)
Jupiter	Категорія:Юпітер
Jupiter (disambiguation)	Юпітер
Jupiter (mythology)	Юпітер (міфологія)
Jurassic	Юрський період
Justinian I	Юстиніан I
Jutland	Ютландія
K	K (латиниця)
KGB	Комітет Державної Безпеки
Kaaba	Кааба
Kabul	Кабул
Kalahari Desert	Калахарі
Kamchatka Peninsula	Камчатський півострів
Kamikaze	Камікадзе (пілот)
Kampala	Кампала
Kangaroo	Кенгурові
Kansas	Канзас
Kappa	Каппа (літера)
Kara Sea	Карське море
Karachi	Карачі
Karate	Карате
Karl Jaspers	Ясперс Карл
Karl Marx	Маркс Карл
Karl Popper	Поппер Карл
Karma	Карма
Kathmandu	Катманду
Katowice	Катовіце
Kaunas	Каунас
Kazakhstan	Казахстан
Kazakhstan	Категорія:Казахстан
Kazan	Казань
Kazimir Malevich	Малевич Казимир Северинович
Kelvin	Кельвін (одиниця)
Kent	Кент
Kentucky	Кентуккі
Kenya	Кенія
Kenya	Категорія:Кенія
Kernel (computer science)	Ядро (комп'ютерні науки)
Keyboard (computing)	Клавіатура
Keyboard instrument	Клавішні музичні інструменти
Khabarovsk	Хабаровськ
Khan	Хан (титул)
Kharkiv	Харків
Khartoum	Хартум
Khmer Rouge	Червоні кхмери
Kibbutz	Кібуц
Kidney	Нирки
Kiev	Київ
Kigali	Кігалі
Kilogram	Кілограм
Kilometre	Кілометр
Kimono	Кімоно
Kinematics	Кінематика
Kinetic energy	Кінетична енергія
King (chess)	Король (шахова фігура)
King Arthur	Король Артур
Kingston	Кінгстон (Ямайка)
Kingstown	Кінгстаун
Kinshasa	Кіншаса
Kiribati	Кірібаті
Kiss	Поцілунок
Knesset	Кнесет
Knife	Ніж
Knight	Рицар
Knossos	Кносс
Knot (speed)	Вузол (одиниця швидкості)
Knowledge	Знання
Knut Hamsun	Гамсун Кнут
Koala	Коала
Kola Peninsula	Кольський півострів
Kolkata	Колката
Konqueror	Konqueror
Konrad Adenauer	Аденауер Конрад
Korea	Корея
Korea	Категорія:Корея
Korean War	Корейська війна
Kosovo	Косово
Kosovo	Категорія:Косово
Krakatoa	Кракатау
Krishna	Крішна
Krypton	Криптон
Ku Klux Klan	Ку-Клукс-Клан
Kuala Lumpur	Куала-Лумпур
Kublai Khan	Хубілай
Kuiper belt	Пояс Койпера
Kung fu (term)	Гунфу
Kunlun Mountains	Куньлунь
Kura River	Кура
Kurdistan	Курдистан
Kurdistan Workers Party	Робітнича партія Курдистану
Kursk	Курськ
Kurt Vonnegut	Воннеґут Курт
Kuwait	Кувейт
Kuwait	Категорія:Кувейт
KwaZulu-Natal	Наталь
Kyoto	Кіото
Kyrgyzstan	Киргизстан
Kyrgyzstan	Категорія:Киргизстан
L	L (латиниця)
La Paz	Ла-Пас
La Spezia	Спеція
LaTeX	LaTeX
Lacerta	Ящірка (сузір'я)
Lactose	Лактоза
Lady Jane Grey	Леді Джейн Грей
Lagos	Лагос
Laissez-faire	Laissez-faire
Lake	Озеро
Lake Baikal	Байкал
Lake Balaton	Балатон
Lake Chad	Чад (озеро)
Lake Constance	Боденське озеро
Lake Erie	Ері
Lake Eyre	Ейр
Lake Geneva	Женевське озеро
Lake Huron	Озеро Гурон (Великі озера)
Lake Ilmen	Ільмень
Lake Ladoga	Ладозьке озеро
Lake Malawi	Ньяса
Lake Michigan	Мічиган (озеро)
Lake Onega	Онезьке озеро
Lake Ontario	Онтаріо (озеро)
Lake Superior	Озеро Верхнє (Великі озера)
Lake Tanganyika	Танганьїка
Lake Victoria	Вікторія (озеро)
Lambda	Лямбда (літера)
Lancashire	Ланкашир
Lancelet	Головохордові
Landfill	Звалище
Language	Мова
Languedoc-Roussillon	Лангедок — Руссільон
Lanthanide	Лантаноїди
Lanthanum	Лантан
Laos	Лаос
Laos	Категорія:Лаос
Laptev Sea	Море Лаптєвих
Laptop	Ноутбук
Larch	Модрина
Larva	Личинка
Larynx	Гортань
Las Vegas	Лас-Вегас
Laser	Лазер
Lathe	Токарна група верстатів
Latin	Латинська мова
Latin America	Латинська Америка
Latin alphabet	Латинська абетка
Latitude	Широта
Latvia	Латвія
Latvia	Категорія:Латвія
Laurasia	Лавразія
Lausanne	Лозанна
Lava	Лава
Law	Право
Law	Категорія:Право
Lawrencium	Лоуренсій
Lazio	Лаціо
Le Corbusier	Ле Корбюз'є
Le Havre	Гавр
Lead	Свинець
Leaf	Листок
League of Nations	Ліга Націй
Leaning Tower of Pisa	Пізанська башта
Leap year	Високосний рік
Learning	Навчання
Lebanon	Ліван
Lebanon	Категорія:Ліван
Left-handed	Шульга
Legend	Легенда
Leiden	Лейден
Leipzig	Лейпциг
Lemon	Лимон
Lena River	Лена (річка)
Length	Довжина
Lens (optics)	Лінза
Lentil	Сочевиця
Leo (constellation)	Лев (сузір'я)
Leon Trotsky	Троцький Лев Давидович
Leonard Bernstein	Бернстайн Леонард
Leonardo da Vinci	Леонардо да Вінчі
Leonhard Euler	Ейлер Леонард
Leonid Brezhnev	Брежнєв Леонід Ілліч
Leopard	Леопард
Lepidoptera	Лускокрилі
Leprosy	Проказа
Lepton	Лептон
Lepus (constellation)	Заєць (сузір'я)
Lesbian	Лесбіянство
Lesotho	Лесото
Leto	Лето
Letter (alphabet)	Літера
Leukemia	Лейкоз
Levant	Левант
Lever	Важіль
Leviathan	Левіафан
Leviticus	Левит (книга)
Lewis Carroll	Льюїс Керрол
Lexicology	Лексикологія
Lhasa	Лхаса
Liberalism	Лібералізм
Liberia	Ліберія
Libra (constellation)	Терези (сузір'я)
Library	Бібліотека
Libretto	Лібретто
Libreville	Лібревіль
Libya	Лівія
Lichen	Лишайники
Liechtenstein	Ліхтенштейн
Liechtenstein	Категорія:Ліхтенштейн
Lieutenant	Лейтенант
Life	Життя
Life	Категорія:Життя
Light	Світло (фізика)
Light-emitting diode	Світлодіод
Light-year	Світловий рік
Lighthouse	Маяк
Lightning	Блискавка
Liguria	Лігурія
Ligurian Sea	Лігурійське море
Lilith	Ліліт
Lille	Лілль
Lilongwe	Лілонгве
Lima	Ліма
Limestone	Вапняк
Limit (mathematics)	Границя
Limnology	Лімнологія
Limousin (region)	Лімузен
Linear algebra	Лінійна алгебра
Linear algebra	Категорія:Лінійна алгебра
Linear equation	Лінійне рівняння
Lingua franca	Лінгва франка
Linguistics	Мовознавство
Linguistics	Категорія:Мовознавство
Linus Pauling	Лайнус Полінг
Linux	Лінукс
Linux	Категорія:Лінукс
Linz	Лінц
Lion	Лев
Lipid	Ліпіди
Liqueur	Лікер
Liquid	Рідина
Liquid crystal display	Рідкокристалічний дисплей
Lisbon	Лісабон
Lisp (programming language)	LISP
Literature	Література
Literature	Категорія:Література
Lithium	Літій
Lithosphere	Літосфера
Lithuania	Литва
Lithuania	Категорія:Литва
Litre	Літр
Little Owl	Сич хатній
Liverpool	Ліверпуль
Livonia	Лівонія
Lizard	Ящірки
Ljubljana	Любляна
Llama	Лама (тварина)
Loanword	Запозичення
Local area network	Локальна мережа
Loch Ness	Лох-Несс
Locomotive	Локомотив
Logarithm	Логарифм
Logic	Логіка
Logic	Категорія:Логіка
Logistics	Логістика
Loire	Луара (департамент)
Loki	Локі
Lombardy	Ломбардія
London	Лондон
London	Категорія:Лондон
Long Beach	Лонг-Біч
Long Island	Лонг-Айленд
Long-eared Owl	Сова вухата
Lope de Vega	Лопе де Вега
Lord's Prayer	Отче наш
Los Angeles	Лос-Анджелес
Lot (department)	Ло (департамент)
Loudspeaker	Гучномовець
Louis Aragon	Луї Араґон
Louis Armstrong	Армстронґ Луї
Louis Braille	Брайль Луї
Louis Pasteur	Луї Пастер
Louisiana	Луїзіана
Louvre	Лувр
Love	Любов
Lower Saxony	Нижня Саксонія
Luanda	Луанда
Lublin	Люблін
Luciano Pavarotti	Паваротті Лучано
Lucretius	Лукрецій
Lucrezia Borgia	Борджиа Лукреція
Ludwig Boltzmann	Больцман Людвіг
Ludwig Wittgenstein	Вітгенштейн Людвиг
Ludwig van Beethoven	Бетховен Людвіг
Luftwaffe	Люфтваффе
Luigi Galvani	Луїджі Гальвані
Lumen (unit)	Люмен
Luminescence	Люмінесценція
Lunar eclipse	Місячні затемнення
Lung	Легені
Lungfish	Дводишні
Lupus (constellation)	Вовк (сузір'я)
Lusaka	Лусака
Lute	Лютня
Lutetium	Лютецій
Lutheranism	Лютеранство
Lux	Люкс
Luxembourg	Люксембург
Luxembourg	Категорія:Люксембург
Luxembourg (city)	Люксембург (місто)
Luxor	Луксор
Lydia	Лідія
Lynx (constellation)	Рись (сузір'я)
Lynx (web browser)	Lynx (браузер)
Lyon	Ліон
Lyra	Ліра (сузір'я)
Lysergic acid diethylamide	ЛСД
Lysine	Лізин
Lysosome	Лізосома
M	M (латиниця)
MIME	MIME
Macau	Аоминь
Macedonia	Македонія (значення)
Macedonia (Greece)	Македонія (Греція)
Mach number	Число Маха
Machine	Машина
Machine code	Машинний код
Machine gun	Кулемет
Machine translation	Машинний переклад
Machu Picchu	Мачу-Пікчу
Macintosh	Macintosh
Macroeconomics	Макроекономіка
Macroeconomics	Категорія:Макроекономіка
Madagascar	Мадагаскар
Madagascar	Категорія:Мадагаскар
Madeira	Мадейра
Madonna (entertainer)	Мадонна
Madrid	Мадрид
Mafia	Мафія
Magazine	Журнал
Magic (paranormal)	Магія
Magma	Магма
Magna Carta	Велика хартія вольностей
Magnesium	Магній
Magnet	Магніт
Magnetic field	Магнітне поле
Magnetism	Магнетизм
Magnetism	Категорія:Магнетизм
Magnetite	Магнетит
Maharashtra	Махараштра
Mahatma Gandhi	Махатма Ганді
Mahayana	Махаяна
Mail	Пошта
Maine	Мен (штат)
Mainframe computer	Мейнфрейм
Maize	Кукурудза
Major	Майор
Major scale	Мажор
Malabo	Малабо
Malachite	Малахіт
Malacostraca	Вищі раки
Malaria	Малярія
Malawi	Категорія:Малаві
Malay Peninsula	Малакка
Malayan Tapir	Чепрачний тапір
Malaysia	Малайзія
Malaysia	Категорія:Малайзія
Maldives	Мальдіви
Mali	Малі
Mali	Категорія:Малі
Mallard	Крижень
Malta	Мальта
Malta	Категорія:Мальта
Maltese language	Мальтійська мова
Malvaceae	Мальвові
Mammal	Ссавці
Mammoth	Мамут
Management	Менеджмент
Managua	Манагуа
Manama	Манама
Manchester	Манчестер
Manchuria	Маньчжурія
Mandelbrot set	Множина Мандельброта
Manganese	Манган (елемент)
Mango	Манго
Mangrove	Мангровий ліс
Manhattan	Мангеттен
Manhattan Project	Манхеттенський проект
Manila	Маніла
Manitoba	Манітоба (провінція)
Mantle (geology)	Мантія Землі
Mantra	Мантра
Mao Zedong	Мао Цзедун
Map	Карта (зображення)
Maple	Клен
Maputo	Мапуту
Marathon	Марафонський біг
Marble	Мармур
Marc Chagall	Шагал Марк
Marcel Proust	Пруст Марсель
March	Березень
March 17	17 березня
March 19	19 березня
March 2	2 березня
March 25	25 березня
Marche	Марке
Marco Polo	Марко Поло
Marcus Aurelius	Марк Аврелій
Marcus Junius Brutus	Брут Марк Юній
Marcus Vipsanius Agrippa	Агріппа Марк Віпсаній
Marduk	Мардук
Margaret Thatcher	Тетчер Маргарет
Maria Callas	Каллас Марія
Mariana Islands	Маріанські острови
Marie Antoinette	Марія Антуанетта
Marie Curie	Кюрі Марія
Marilyn Monroe	Монро Мерилін
Mario Vargas Llosa	Варґас Льоса Маріо
Mark Antony	Антоній Марк
Mark Twain	Марк Твен
Marketing	Маркетинг
Marketing	Категорія:Маркетинг
Markup language	Мова розмітки даних
Marlene Dietrich	Марлен Дітріх
Marquis de Sade	Маркіз де Сад
Marriage	Шлюб
Mars	Категорія:Марс
Mars (disambiguation)	Марс
Mars (mythology)	Марс (міфологія)
Marseille	Марсель
Marshall Islands	Маршаллові Острови
Marshall Plan	План Маршалла
Martin Heidegger	Гайдеггер Мартін
Martin Luther	Лютер Мартін
Martin Luther King	Мартін Лютер Кінг
Martina Navratilova	Навратілова Мартіна
Martinique	Мартиніка
Martyr	Мученик
Marx Brothers	Брати Маркс
Marxism	Марксизм
Marxism	Категорія:Марксизм
Mary Magdalene	Марія Магдалина
Mary Wollstonecraft	Волстонкрафт Мері
Maryland	Меріленд
Mass	Маса
Mass (liturgy)	Служба
Mass number	Масове число
Massachusetts	Массачусетс
Massachusetts Institute of Technology	Массачусетський технологічний інститут
Masturbation	Мастурбація
Mata Hari	Мата Харі
Match	Сірники
Materialism	Матеріалізм
Mathematical logic	Математична логіка
Mathematical logic	Категорія:Математична логіка
Mathematical proof	Доведення
Mathematics	Математика
Mathematics	Категорія:Математика
Mathematics	Портал:Математика
Matrix (mathematics)	Матриця (математика)
Matterhorn	Матергорн
Mauna Kea	Мауна-Кеа
Mauna Loa	Мауна-Лоа
Maurice Ravel	Равель Моріс Жозеф
Mauritania	Мавританія
Mauritania	Категорія:Мавританія
Mauritius	Маврикій
Max Born	Борн Макс
Max Ernst	Макс Ернст
Max Planck	Планк Макс Карл Ернст
Max Weber	Вебер Макс
Maxwell's equations	Основні рівняння електродинаміки
May	Травень
May 1	1 травня
May 24	24 травня
Mayenne	Маєнн (департамент)
Mayfly	Одноденки
Mayonnaise	Майонез
Mayor	Міський голова
McCarthyism	Маккартизм
Mead	Мед (напій)
Measles	Кір
Measure (mathematics)	Теорія міри
Measurement	Категорія:Метрологія
Measurement	Вимірювання
Meat	М'ясо
Mecca	Мекка
Mechanical engineering	Машинобудування
Mechanics	Категорія:Механіка
Mechanics	Механіка
Medea	Медея
Medicine	Медицина
Medicine	Категорія:Медицина
Mediterranean Sea	Середземне море
Medusa	Медуза (міфологія)
Megabyte	Мегабайт
Meiosis	Мейоз
Meister Eckhart	Майстер Екгарт
Meitnerium	Мейтнерій
Mekong	Меконг
Mel Gibson	Мел Гібсон
Melanesia	Меланезія
Melody	Мелодія
Melon	Диня
Melpomene	Мельпомена
Melting	Плавлення
Melting point	Температура плавлення
Meme	Мем
Memory	Пам'ять
Memphis	Мемфіс (Теннессі)
Mendelevium	Менделєвій
Menelaus	Менелай
Mensa (constellation)	Столова Гора (сузір'я)
Menstrual cycle	Менструальний цикл
Mental disorder	Психічні захворювання
Mentha	М'ята
Mercantilism	Меркантилізм
Mercury	Меркурій
Mercury (element)	Ртуть
Mercury (mythology)	Меркурій (міфологія)
Mercury (planet)	Меркурій (планета)
Meridian (geography)	Меридіан
Meritocracy	Меритократія
Mermaid	Русалки
Merovingian	Меровінги
Mesolithic	Мезоліт
Meson	Мезони
Mesopotamia	Межиріччя
Mesopotamia	Категорія:Месопотамія
Mesosphere	Мезосфера
Mesozoic	Мезозойська ера
Messenger RNA	Матрична рибонуклеїнова кислота
Metabolism	Обмін речовин
Metadata	Метадані
Metal	Метали
Metallic bond	Металічний зв'язок
Metalloid	Напівметали
Metallurgy	Металургія
Metallurgy	Категорія:Металургія
Metamorphic rock	Метаморфічні гірські породи
Metaphor	Метафора
Metaphysics	Метафізика
Metaphysics	Категорія:Метафізика
Meteor shower	Метеорний дощ
Meteorite	Метеорит
Meteorology	Категорія:Метеорологія
Meteorology	Метеорологія
Methadone	Метадон
Methanol	Метанол
Methionine	Метіонін
Metonymy	Метонімія
Metre	Метр
Metric space	Метричний простір
Meuse	Мез
Mexico	Мексика
Mexico	Категорія:Мексика
Mexico City	Мехіко
Miami	Маямі
Mica	Слюда
Michael (archangel)	Архангел Михаїл
Michael Faraday	Фарадей Майкл
Michelangelo	Мікеланджело Буонарроті
Michigan	Мічиган (штат)
Microbiology	Мікробіологія
Microbiology	Категорія:Мікробіологія
Microeconomics	Мікроекономіка
Microeconomics	Категорія:Мікроекономіка
Micronesia	Мікронезія
Microorganism	Мікроорганізми
Microphone	Мікрофон
Microprocessor	Мікропроцесор
Microscope	Мікроскопічний
Microscopium	Мікроскоп (сузір'я)
Middle Ages	Середньовіччя
Middle Ages	Категорія:Середні віки
Middle East	Середній Схід
Midnight sun	Полярний день
Miguel de Cervantes	Мігель де Сервантес
Mike Tyson	Тайсон Майк
Mikhail Bakunin	Бакунін Михайло Олександрович
Mikhail Glinka	Глінка Михайло Іванович
Mikhail Gorbachev	Горбачов Михайло Сергійович
Milan	Мілан
Mile	Миля
Miles Davis	Майлз Девіс
Military	Категорія:Військова справа
Military rank	Військові звання
Milk	Молоко
Milky Way	Чумацький Шлях
Millard Fillmore	Міллард Філлмор
Millennium	Тисячоліття
Millimetre	Міліметр
Million	Мільйон
Milton Friedman	Фрідман Мілтон
Milwaukee	Мілуокі
Minaret	Мінарет
Mindanao	Мінданао (острів)
Mineral	Мінерали
Mineral water	Мінеральні води
Mineralogy	Мінералогія
Mineralogy	Категорія:Мінералогія
Ming Dynasty	Династія Мін
Minimalism	Мінімалізм
Mining	Гірнича справа
Minister (government)	Міністр
Minnesota	Міннесота
Minoan civilization	Мінойська культура
Minor scale	Мінор (музика)
Minos	Мінос
Minotaur	Мінотавр
Minsk	Мінськ
Minute	Хвилина
Miocene	Міоцен
Mirror	Дзеркало
Mississippi River	Міссісіпі (річка)
Missouri	Міссурі (штат)
Missouri River	Міссурі (річка)
Mitochondrion	Мітохондрія
Mobile phone	Мобільний телефон
Modem	Модем
Modernism	Модернізм
Modest Mussorgsky	Мусоргський Модест Петрович
Modulation	Модуляція (фізика)
Mogadishu	Могадішо
Moirae	Мойри
Mold	Пліснява
Moldova	Молдова
Moldova	Категорія:Молдова
Mole (unit)	Моль (одиниця)
Molecular biology	Молекулярна біологія
Molecular biology	Категорія:Молекулярна біологія
Molecule	Молекула
Molise	Молізе
Mollusca	Молюски
Molotov cocktail	Коктейль Молотова
Molybdenum	Молібден
Momentum	Імпульс
Monaco	Монако
Monaco	Категорія:Монако
Monarch	Самодержець
Monarchy	Самодержець
Monastery	Монастир
Monday	Понеділок
Money	Гроші
Mongolia	Монголія
Mongolia	Категорія:Монголія
Monica Seles	Селеш Моніка
Monism	Монізм
Monocotyledon	Однодольні
Monomer	Мономер
Monopoly	Монополія
Monopoly (game)	Монополія (гра)
Monosodium glutamate	Глютамат натрію
Monotheism	Монотеїзм
Monotreme	Однопрохідні
Monroe Doctrine	Доктрина Монро
Monrovia	Монровія
Monsoon	Мусон
Mont Blanc	Монблан
Montana	Монтана (штат)
Monte Carlo	Монте-Карло
Montenegro	Чорногорія
Montenegro	Категорія:Чорногорія
Monterrey	Монтеррей
Montevideo	Монтевідео
Month	Місяць (календарний)
Montpelier	Монтпілієр (Вермонт)
Montreal	Монреаль
Montserrat	Монтсеррат
Moon	Місяць (супутник)
Moose	Лось
Morality	Мораль
Moravia	Моравія
Morocco	Марокко
Morocco	Категорія:Марокко
Morpheme	Морфема
Morphology	Морфологія
Morphology (linguistics)	Морфологія (лінгвістика)
Morse code	Азбука Морзе
Mortar (weapon)	Міномет
Mosaic	Мозаїка
Moscow	Москва
Moscow	Категорія:Москва
Moselle	Мозель (департамент)
Moses	Мойсей
Mosque	Мечеть
Mosquito	Комарі
Moss	Мохи
Mother	Мати
Mother Teresa	Мати Тереза
Mother's Day	День матері
Motion (physics)	Рух
Motorcycle	Мотоцикл
Motto	Девіз
Mount Ararat	Арарат
Mount Athos	Афон
Mount Etna	Етна
Mount Everest	Джомолунгма
Mount Fuji	Фудзі (гора)
Mount Kilimanjaro	Кіліманджаро
Mount McKinley	Мак-Кінлі (гора)
Mount Olympus	Олімп
Mount Vesuvius	Везувій
Mountain	Гора
Mouse	Миша
Mouse (computing)	Миша комп'ютерна
Mozambique	Мозамбік
Mozambique	Категорія:Мозамбік
Mu (letter)	Мю (літера)
Muhammad	Мухаммед
Muhammad Ali	Мухамед Алі
Mulberry	Шовковиця
Mule	Мул (тварина)
Multimedia	Мультимедіа
Multiple sclerosis	Розсіяний склероз
Mumbai	Мумбаї
Munich	Мюнхен
Municipality	Муніципалітет
Muon	Мюон
Murmansk	Мурманськ
Murphy's law	Закон Мерфі
Musa (genus)	Банан
Musca	Муха (сузір'я)
Muscat	Маскат
Muscle	М'язова тканина
Muse	Музи
Museum	Музей
Mushroom	Гриб
Music	Музика
Music	Категорія:Музика
Musical Instrument Digital Interface	MIDI
Musical instrument	Музичний інструмент
Musical scale	Звукоряд
Musician	Музикант
Musket	Мушкет
Mustelidae	Куницеві
Mutation	Мутація
Mute Swan	Лебідь-шипун
Myanmar	Категорія:М'янма
Mycenae	Мікени
Mycology	Мікологія
Mycology	Категорія:Мікологія
Myocardial infarction	Гострий інфаркт міокарда
Myopia	Короткозорість
Myriapoda	Багатоніжки
Mysticism	Містицизм
Myth	Міф
Mythology	Міфологія
Mythology	Категорія:Міфологія
N	N (латиниця)
N'Djamena	Нджамена
NATO	НАТО
NATO	Категорія:НАТО
Nadir	Надир
Nagasaki	Наґасакі
Nagoya	Наґоя
Nahuatl	Науатль
Nail (anatomy)	Нігті
Nail (fastener)	Цвях
Nairobi	Найробі
Namib Desert	Наміб
Namibia	Намібія
Namibia	Категорія:Намібія
Nancy	Нансі
Nanotechnology	Нанотехнології
Nantes	Нант
Naples	Неаполь
Napoleonic Wars	Наполеонівські війни
Nashville	Нашвілл
Nation	Нація
National anthem	Державний гімн
National park	Національний парк
Nationalism	Націоналізм
Nationalism	Категорія:Націоналізм
Natural gas	Природний газ
Natural language processing	Обробка природної мови
Natural number	Натуральне число
Natural science	Природничі науки
Natural selection	Природний відбір
Nature	Природа
Nature	Категорія:Природа
Nauru	Науру
Nauru	Категорія:Науру
Nautical mile	Морська миля
Navigation	Категорія:Навігація
Navigation	Навігація
Navy	Військово-морські сили
Nazareth	Назарет
Nazi Germany	Третій Рейх
Nazi Germany	Категорія:Нацистська Німеччина
Nazi Party	Націонал-соціалістична робітнича партія Німеччини
Nazism	Категорія:Нацизм
Neanderthal	Неандертальці
Nebraska	Небраска
Nebuchadrezzar II	Навуходоносор II
Nebula	Галактична туманність
Necktie	Краватка
Nefertiti	Нефертіті
Negev	Неґев
Neil Armstrong	Армстронґ Нейл Олден
Nelson Mandela	Мандела Нельсон
Nematode	Круглі черви
Nemean Lion	Немейський лев
Nemesis (mythology)	Немесіда
Neodymium	Неодим
Neolithic	Неоліт
Neologism	Неологізм
Neon	Неон
Neoplatonism	Неоплатонізм
Nepal	Непал
Neptune	Нептун (планета)
Neptunium	Нептуній
Nero	Нерон
Nervous system	Нервова система
Nervous system	Категорія:Нервова система
Netherlands	Нідерланди
Netherlands	Категорія:Нідерланди
Netherlands Antilles	Нідерландські Антильські острови
Network topology	Топологія мереж
Neuron	Нейрон
Neurotransmitter	Нейромедіатори
Neutrino	Нейтрино
Neutron	Нейтрон
Neutron star	Нейтронна зоря
Neva River	Нева
Nevada	Невада
