English	Latin
Knossos	Cnossus
Knowledge	Scientia
Koala	Phascolarctos cinereus
Kolkata	Colcata
Konrad Adenauer	Conradus Adenauer
Korea	Corea
Korea	Categoria:Corea
Korean War	Bellum Coreanum
Kosovo	Ager Merulensis
Krypton	Krypton
Kuala Lumpur	Kuala Lumpur
Kuiper belt	Zona Kuiperi
Kurt Vonnegut	Curtius Vonnegut
Kurt Waldheim	Curtius Waldheim
Kuwait	Cuvaitum
KwaZulu-Natal	Zuluvia-Nativitas
Kyoto	Kyotum
Kyrgyzstan	Chirgisia
L	L
L'Aquila	Aquila (Italia)
La Paz	Paxia
La Spezia	Spedia
Lacerta	Lacerta (sidus)
Lactose	Lactosium
Lagos	Lacupolis
Lake	Lacus
Lake Baikal	Lacus Baical
Lake Constance	Lacus Bodamicus
Lake Erie	Lacus Eriarum
Lake Geneva	Lemanus Lacus
Lake Huron	Lacus Huronorum
Lake Ladoga	Lacus Ladoga
Lake Michigan	Michiganus Lacus
Lake Onega	Lacus Onega
Lake Ontario	Lacus Ontario
Lake Superior	Lacus Superior
Lake Victoria	Lacus Victoria
Lambda	Labda
Lammergeier	Gypaetus barbatus
Lancashire	Lancastriensis comitatus
Language	Lingua
Languedoc-Roussillon	Occitania et Ruscino
Lanthanum	Lanthanum
Laos	Laotia
Larynx	Larynx
Las Vegas	Campi
Latin	Lingua Latina
Latin America	America Latina
Latin alphabet	Abecedarium Latinum
Latitude	Latitudo geographica
Latvia	Lettonia
Latvia	Categoria:Lettonia
Lausanne	Lausonium
Lava	Lava
Law	Ius
Lawrencium	Lawrencium
Lawyer	Causidicus
Lazio	Latium
Le Corbusier	Le Corbusier
Le Havre	Franciscopolis
Lead	Plumbum
Leaf	Folium
League of Nations	Societas Civitatum
Leap year	Annus bisextilis
Lebanon	Libanus
Lebanon	Categoria:Libanus
Leeds	Ledesia
Lego	Lego
Leiden	Lugdunum Batavorum
Leipzig	Lipsia
Lemon	Limon
Lena River	Lena
Length	Longitudo
Lent	Quadragesima
Leo (constellation)	Leo (sidus)
Leo I (emperor)	Leo I (imperator)
Leon Trotsky	Leo Trotski
Leonardo da Vinci	Leonardus Vincius
Leonhard Euler	Leonhardus Eulerus
Leopard	Pardus
Leprosy	Lepra
Lepton	Lepton
Lepus (constellation)	Lepus (sidus)
Lesotho	Lesothum
Lesotho	Categoria:Lesothum
Leto	Latona
Letter (alphabet)	Littera
Leukemia	Leucaemia
Lever	Vectis
Leviticus	Liber Leviticus
Lewis Carroll	Ludovicus Carroll
Liberalism	Liberalismus
Liberia	Liberia
Libra (constellation)	Libra (sidus)
Library	Bibliotheca
Libreville	Libreville
Libya	Libya
Libya	Categoria:Libya
Lichen	Lichen
Liechtenstein	Lichtenstenum
Life	Biota
Light	Lux
Light-year	Spatium lucis annuae
Lighthouse	Pharus
Lightning	Fulgur
Liguria	Liguria
Ligurian Sea	Mare Ligusticum
Lille	Insula (urbs)
Lilongwe	Lilongwe
Lima	Lima
Limousin (region)	Lemovicensis (regio Franciae)
Lincoln	Lincolnia (Nebrasca)
Lincolnshire	Comitatus Lincolniensis
Lingua franca	Lingua franca
Linguistics	Linguistica
Linguistics	Categoria:Linguistica
Linus Pauling	Linus Pauling
Linux	Linux
Linz	Lentia
Lion	Leo
Liqueur	Anisatum
Lisbon	Olisipo
Literature	Litterae
Literature	Categoria:Litterae
Lithium	Lithium
Lithuania	Lituania
Lithuania	Categoria:Lituania
Litre	Litrum
Liverpool	Liverpolium
Livonia	Livonia
Livy	Titus Livius
Lizard	Lacertilia
Ljubljana	Aemona
Llama	Lama glama
Locomotive	Machina vectrix
Logarithm	Logarithmus
Logic	Logica
Logic	Categoria:Logica
Loire	Liger (praefectura Franciae)
Loire River	Liger
Lolita	Lolita
Lombardy	Langobardia
London	Londinium
London	Categoria:Londinium
Long Beach	Litus Longum
Long Island	Insula Longa
Lord's Prayer	Pater noster
Lorraine (region)	Lotharingia
Los Angeles	Angelopolis
Lot (department)	Oltis (praefectura Franciae)
Louis Braille	Ludovicus Braille
Louis Pasteur	Ludovicus Pasteur
Louis the Pious	Ludovicus Pius
Louis the Stammerer	Ludovicus II (rex Franciae)
Louisiana	Ludoviciana
Louisville	Ludovicopolis
Louvre	Museum Lupariense
Love	Amor
Lower Saxony	Saxonia Inferior
Luanda	Luanda
Lucerne	Lucerna (urbs)
Luciano Pavarotti	Lucianus Pavarotti
Lucifer	Lucifer
Lucretius	Lucretius
Lucrezia Borgia	Lucretia Borgia
Ludwig Boltzmann	Ludovicus Boltzmann
Ludwig Wittgenstein	Ludovicus Wittgenstein
Ludwig van Beethoven	Ludovicus van Beethoven
Luigi Galvani	Aloisius Galvanus
Luigi Pirandello	Ludovicus Pirandello
Lund	Lunda
Lung	Pulmo
Lung cancer	Cancer pulmonum
Lupus (constellation)	Lupus (sidus)
Lusaka	Lusaca
Lusitania	Lusitania (provincia Romana)
Lutetium	Lutetium
Luxembourg	Luxemburgum
Luxembourg (city)	Luxemburgum (urbs)
Luzon	Luconia
Lydia	Lydia (regnum)
Lymphatic system	Systema lymphaticum
Lynx (constellation)	Lynx (sidus)
Lyon	Lugdunum
Lyra	Lyra (sidus)
M	M
Macbeth	Macbeth
Macedonia (Greece)	Macedonia Graeca
Machine	Machina
Madagascar	Madagascaria
Madagascar	Categoria:Madagascaria
Madeira	Insulae Madeirae
Madison	Madisonia
Madonna (entertainer)	Madonna (cantrix)
Madrid	Matritum
Madrid (autonomous community)	Communitas Matriti
Magic (paranormal)	Magia (ars)
Magna Carta	Magna charta libertatum
Magnesium	Magnesium
Magnet	Magnes
Magnoliopsida	Categoria:Magnoliopsida
Mahatma Gandhi	Mahatma Gandhi
Mail	Cursus publicus
Maimonides	Maimonides
Main	Moenus
Maine	Cenomannica
Maine	Categoria:Cenomannica
Maize	Zea Mays
Majorca	Maiorica
Malabo	Malabo
Malachite	Malachites
Malaria	Malaria
Malaysia	Malaesia
Maldives	Insulae Maldivae
Mali	Malium
Mallard	Anas platyrhynchos
Malta	Melita (res publica)
Maltese language	Lingua Melitica
Maltose	Maltosium
Malvaceae	Malvaceae
Mammal	Mammalia
Mammoth	Mammuthus
Managua	Managua
Manama	Manama
Manatee	Manatus
Manchester	Mancunium
Mandarin (linguistics)	Lingua Sinensis Mandarinica
Manganese	Manganum
Mango	Mangifera
Manhattan	Comitatus Novum Eboracum
Manila	Manila
Manitoba	Manitoba
Mannheim	Manhemium
Mantua	Mantua
Manuscript	Manuscriptum
Mao Zedong	Mao Zedong
Map	Tabula geographica
Maputo	Maputo
Marble	Marmor
Marc Chagall	Marcus Chagall
Marcel Proust	Marcellus Proust
March	Martius
March 17	17 Martii
March 19	19 Martii
March 2	2 Martii
March 25	25 Martii
Marche	Marchiae
Marco Polo	Marcus Paulus Venetus
Marcus Aurelius	Marcus Aurelius
Marcus Junius Brutus	Marcus Iunius Brutus
Marcus Vipsanius Agrippa	Marcus Vipsanius Agrippa
Margaret Thatcher	Margarita Thatcher
Maria Callas	Maria Callas
Marie Antoinette	Maria Antonia Iosepha Ioanna Habsburgum
Marie Curie	Maria Curie
Mariehamn	Portus Mariae
Marilyn Monroe	Marilyn Monroe
Mark Antony	Marcus Antonius
Mark Twain	Mark Twain
Marlene Dietrich	Maria Magdalena Dietrich
Marquis de Sade	Donatianus Alphonsus Franciscus de Sade
Marriage	Matrimonium
Mars	Categoria:Mars
Mars (disambiguation)	Mars
Mars (mythology)	Mars (deus)
Marseille	Massilia
Marshall Islands	Insulae Marsalienses
Marsupial	Marsupialia
Martin Buber	Martinus Buber
Martin Heidegger	Martinus Heidegger
Martin Luther	Martinus Lutherus
Martin Luther King	Martinus Lutherus King Jr.
Martin Scorsese	Martinus Scorsese
Martin Van Buren	Martinus Van Buren
Martinique	Martinica
Martyr	Martyr
Marx Brothers	Fratres Marx
Marxism	Placita Marxiana
Mary (mother of Jesus)	Virgo Maria
Mary Magdalene	Maria Magdalena
Maryland	Terra Mariae
Maseru	Maseru
Mass	Pondus et Massa
Mass (liturgy)	Missa
Massachusetts	Massachusetta
Massachusetts Institute of Technology	Massachusettense Institutum Technologiae
Masturbation	Masturbatio
Mathematics	Mathematica
Mathematics	Categoria:Mathematica
Maundy Thursday	Dies Cenae Domini
Mauritania	Mauretania
Mauritius	Mauritia
Max Bruch	Maximus Bruch
Max Planck	Maximilianus Planck
Max Weber	Maximilianus Weber
Maximian	Maximianus
Maxwell's equations	Aequationes Maxwellianae
May	Maius
May 1	1 Maii
May 24	24 Maii
Mayenne	Meduana (praefectura Franciae)
Mayfly	Ephemeroptera
Mbabane	Mbabane
Mead	Hydromeli
Measles	Morbillus
Measurement	Mensura
Meat	Caro
Mecca	Mecca
Medea	Medea (mythologia)
Medici	Gens Medicaea
Medicine	Medicina
Medicine	Categoria:Medicina
Medina	Medina
Mediterranean Sea	Mare Mediterraneum
Medusa	Medusa
Meerkat	Suricata suricatta
Meister Eckhart	Eckhartus de Hochheim
Meitnerium	Meitnerium
Mel Gibson	Mel Gibson
Melanesia	Melanesia
Melpomene	Melpomene
Memphis	Memphis (Tennesia)
Mendelevium	Mendelevium
Menelaus	Menelaus
Meningitis	Meningitis
Mensa (constellation)	Mensa (sidus)
Menstruation	Menstruatio
Mercury	Mercurius
Mercury (element)	Hydrargentum
Mercury (mythology)	Mercurius (deus)
Mercury (planet)	Mercurius (planeta)
Meridian (geography)	Meridianus
Meryl Streep	Maria Ludovica Streep
Mesopotamia	Mesopotamia
Mesopotamia	Categoria:Mesopotamia
Mesozoic	Aera Mesozoica
Messenger RNA	MRNA
Messina	Messana
Metal	Metallum
Metaphysics	Metaphysica
Metaphysics	Categoria:Metaphysica
Metastasis	Metastasis
Meteorology	Meteorologia
Methanol	Methanol
Metre	Metrum
Meuse	Mosa (praefectura Franciae)
Meuse River	Mosa
Mexico	Mexicum
Mexico	Categoria:Mexicum
Mexico City	Mexicopolis
Miami	Miamia
Michael Faraday	Michael Faraday
Michel Ney	Michael Ney
Michelangelo	Michael Angelus Bonarotius
Michigan	Michigania
Microbiology	Microbiologia
Microbiology	Categoria:Microbiologia
Microprocessor	Processor
Microscopium	Microscopium (sidus)
Middle Ages	Medium Aevum
Middle East	Oriens Medius
Miguel de Cervantes	Michael de Cervantes
Mikhail Gorbachev	Michael Gorbachev
Milan	Mediolanum
Military	Categoria:Res militaris
Milk	Lac
Milky Way	Via lactea
Millard Fillmore	Milvardus Fillmore
Millennium	Millennium
Millimetre	Millimetrum
Million	Decies centena milia
Milton Friedman	Milton Friedman
Milwaukee	Milvauchia
Mindanao	Mindanao
Mineral	Minerale
Mineralogy	Categoria:Mineralogia
Minerva	Minerva
Minneapolis	Minneapolis (Minnesota)
Minnesota	Minnesota
Minnesota	Categoria:Minnesota
Minotaur	Minotaurus
Minsk	Minscum
Minute	Minutum
Mirror	Speculum
Mississippi River	Missisippius Fluvius
Missouri	Missuria
Mitochondrion	Mitochondrium
Mobile phone	Telephonum gestabile
Mogadishu	Mogadiscio
Moldova	Respublica Moldavica
Molecular biology	Biologia molecularis
Molecule	Molecula
Molise	Molensis
Mollusca	Mollusca
Molybdenum	Molybdenum
Monaco	Monoecus
Monaco	Categoria:Monoecus
Monarchy	Monarchia
Monastery	Monasterium
Monday	Dies lunae
Money	Pecunia
Mongolia	Mogolia
Mongoose	Herpestidae
Monopoly	Monopolium
Monotheism	Religio monotheistica
Monotreme	Monotremata
Monrovia	Monrovia
Mons	Mons (Vallonia)
Mont Blanc	Rupes Alba
Montana	Montana
Montana	Categoria:Montana
Monte Carlo	Mons Caroli
Montenegro	Mons Niger
Montenegro	Categoria:Mons Niger
Monterrey	Monterrey
Montevideo	Montevideo
Month	Mensis
Montreal	Mons Regius
Montserrat	Montserrat
Moon	Luna (satelles)
Moose	Alces
Moravia	Moravia (terra)
Morocco	Marocum
Morocco	Categoria:Marocum
Mosaic	Opus Tessellatum
Moscow	Moscua
Moselle	Mosella (praefectura Franciae)
Moses	Moyses
Mosque	Meschita
Mosquito	Culicidae
Motet	Motetus
Mother	Mater
Mother Teresa	Mater Teresa
Mount Ararat	Ararat
Mount Etna	Aetna
Mount Everest	Mons Everestis
Mount Fuji	Mons Fusius
Mount Olympus	Olympus mons
Mount St. Helens	Mons Sanctae Helenae
Mount Vesuvius	Vesuvius mons
Mountain	Mons
Mountain pass	Transitus
Mouse	Mus
Mouse (computing)	Mus (computatralis)
Mozambique	Mozambicum
Mu (letter)	My
Muhammad	Machometus
Muhammad Ali	Muhammad Ali
Mumbai	Mumbai
Munich	Monacum
Municipality	Commune
Muon	Myon
Musca	Musca (sidus)
Muscle	Musculus
Muse	Musa
Museum	Museum
Mushroom	Fungi
Music	Musica
Music	Categoria:Musica
Musical instrument	Instrumentum musicum
Musician	Musicus
Mustelidae	Mustelidae
Mycenae	Mycenae
Myocardial infarction	Infarctus cordis
Mysticism	Mystica
Mythology	Mythologia
Mythology	Categoria:Mythologia
N	N
N'Djamena	N'Diamena
NATO	OTAN
Nagasaki	Nagasacium (urbs)
Nagoya	Nagoia
Nahuatl	Lingua Navatlaca
Nail (anatomy)	Unguis
Nail (fastener)	Clavus
Nairobi	Nairobia
Namibia	Namibia
Namibia	Categoria:Namibia
Namur (city)	Namurcum
Nancy	Nanceium
Nantes	Portus Namnetum
Naples	Neapolis
Napoleonic Wars	Bella Coitionum
Nashville	Nasburgum
Nation	Natio
National anthem	Hymnus nationalis
Natural number	Numerus naturalis
Nature	Natura
Nauru	Nauruna Insula
Nauru	Categoria:Naurum
Navy	Classis (nautica)
Nazareth	Nazara
Nazi Party	Nationalis Socialistica Laboratorum Factio Germanica
Neanderthal	Homo neanderthalensis
Nebraska	Nebrasca
Nebula	Nebula (astronomia)
Neckar	Neccarus
Neil Armstrong	Nialus Armstrong
Nematode	Nematoda
Nemean Lion	Leo Nemaeus
Nemesis (mythology)	Nemesis
Neodymium	Neodymium
Neolithic	Neolithicum
Neologism	Neologismus
Neon	Neon
Neoplatonism	Neoplatonismus
Nepal	Nepalia
Neptune	Neptunus (planeta)
Neptunium	Neptunium
Nero	Nero Claudius Caesar Augustus Germanicus
Nerva	Nerva
Nervous system	Categoria:Systema nervosum
Netherlands	Nederlandia
Netherlands	Categoria:Nederlandia
Netherlands Antilles	Antillae Nederlandiae
Neuron	Neuron
Neutron	Neutron
Neutron star	Stella neutronica
Nevada	Nivata
Neville Chamberlain	Neville Chamberlain
New Brunswick	Novum Brunsvicum
New Caledonia	Nova Caledonia
New Delhi	Dellium Novum
New England	Nova Anglia
New Guinea	Nova Guinea
New Hampshire	Nova Hantonia
New Hampshire	Categoria:Nova Hantescira
New Jersey	Nova Caesarea
New Mexico	Novum Mexicum
New Orleans	Nova Aurelia
New South Wales	Nova Cambria Australis
New Testament	Novum Testamentum
New York	Novum Eboracum
New York	Categoria:Novum Eboracum
New York City	Urbs Novum Eboracum
New Zealand	Nova Zelandia
New Zealand	Categoria:Nova Zelandia
Newfoundland (island)	Terra Nova
Newfoundland and Labrador	Terra Nova et Labrador
Newport	Novus Burgus
Newton	Newtonium
Niamey	Niamey
Nicaragua	Nicaragua
Nice	Nicaea (Francia)
Nicene Creed	Symbolum Nicaenum
Nickel	Niccolum
Nicolaus Copernicus	Nicolaus Copernicus
Nicosia	Nicosia
Niels Bohr	Nicolaus Bohr
Niger	Niger
Niger	Categoria:Niger
Nigeria	Nigeria
Nigeria	Categoria:Nigeria
Night	Nox
Nijmegen	Ulpia Noviomagus Batavorum
Nikola Tesla	Nicolaus Tesla
Nile	Nilus
Nile crocodile	Crocodylus niloticus
Niobium	Niobium
Nitrogen	Nitrogenium
Noah	Noe
Noam Chomsky	Noam Chomsky
Nobel Prize	Praemium Nobelianum
Nobelium	Nobelium
Nominative case	Nominativus
Norfolk	Norfolcia
Norfolk Island	Insula Norfolk
Norma (constellation)	Norma (sidus)
Normal distribution	Distributio normalis
Norman Mailer	Norman Mailer
Normandy	Normannia
Norse mythology	Religio Germanica
North America	America Septentrionalis
North America	Categoria:America Septentrionalis
North Carolina	Carolina Septentrionalis
North Carolina	Categoria:Carolina Septentrionalis
North Dakota	Dacota Septentrionalis
North Dakota	Categoria:Dacota Septentrionalis
North Korea	Respublica Populi Democratica Coreae
North Pole	Polus septentrionalis
North Sea	Mare Germanicum
North Yorkshire	Isuria Septentrionalis
Northern Ireland	Hibernia Septentrionalis
Northern Ireland	Categoria:Hibernia Septentrionalis
Northern Mariana Islands	Insulae Marianae Septentrionales
Northern Territory	Australia Borealis
Northwest Territories	Territoria Septentrio-occidentalia
Norway	Norvegia
Norway	Categoria:Norvegia
Nose	Nasus
Nostradamus	Michael Nostradamus
Note	Sonus
Nouakchott	Nouakchott
Noun	Nomen (grammatica Latina)
Nova Scotia	Nova Scotia
Novaya Zemlya	Nova Zemla
Novel	Mythistoria
November	November
November 1	1 Novembris
November 11	11 Novembris
November 2	2 Novembris
November 5	5 Novembris
Novial	Lingua Novial
Novosibirsk	Novosibirscum
Nu (letter)	Ny
Nuclear power	Energia nuclearis
Nuclear weapon	Bomba atomica
Number	Numerus
Numbers	Categoria:Numeri
Numidia	Numidia
Nunavut	Nunavut
Nuremberg	Norimberga
Nut (fruit)	Nux
Nutrition	Categoria:Alimenta
O	O
Oak	Quercus
Oakland	Quercupolis (California)
Oasis	Oasis
Oat	Avena sativa
Oaxaca	Guaxaca
Ob River	Obius
Occam's razor	Novacula Guillelmi de Ockham
Ocean	Oceanus
Oceania	Oceania
Oceania	Categoria:Oceania
Oceanography	Oceanologia
Octans	Octans (sidus)
October	October
October 12	12 Octobris
October 24	24 Octobris
October Revolution	Revolutio Octobris Russica
Octopus	Octopus
Oder River	Viadrus
Odin	Othinus
Odonata	Odonata
Odysseus	Ulixes
Odyssey	Odyssea
Oedipus	Oedipus
Ohio	Ohium
Ohio	Categoria:Ohium
Oklahoma	Oclahoma
Oktoberfest	Festum Octobre
Old Church Slavonic	Lingua Slavica Ecclesiastica
Old Norse	Lingua Nordica Antiqua
Old Testament	Vetus Testamentum
Oligarchy	Oligarchia
Olive	Olea
Oliver Cromwell	Olivarius Cromwell
Oliver Stone	Oliverius Stone
Olympic Games	Olympia (certamina)
Omaha	Omaha
Oman	Omania
Omega	Omega
Omicron	Omicron
Onion	Cepa
Ontario	Ontario
Ontario	Categoria:Ontario
Ontology	Ontologia
Opal	Opalus
Opera	Theatrum lyricum
Operating system	Systema administrativum computatrale
Ophiuchus	Ophiuchus (sidus)
Optics	Optica
Oral sex	Coitus oralis
Orange (fruit)	Citrus sinensis
Orangutan	Pongo
Orca	Orca
Orchestra	Orchestra
Order (biology)	Ordo (Taxon)
Order of Saint Benedict	Ordo Sancti Benedicti
Ordovician	Aevum Ordovicicum
Oregano	Origanum vulgare
Oregon	Oregonia
Orestes (mythology)	Orestes
Organ (music)	Organum tubulatum
Organic chemistry	Chemia Organica
Organic chemistry	Categoria:Chemica Organica
Organization	Organizatio
Orgasm	Orgasmus
Origen	Origenes
Orion (constellation)	Orion (sidus)
Ornithology	Ornithologia
Ornithology	Categoria:Ornithologia
Orpheus	Orpheus
Orson Welles	Orson Welles
Orthography	Orthographia
Osaka	Osaca
Osama bin Laden	Usama bin Ladin
Oscar Wilde	Anscharius Wilde
Osiris	Osiris
Oslo	Asloa
Osmium	Osmium
Osteichthyes	Osteichthyes
Osteoporosis	Osteoporosis
Ostrava	Ostravia
Ostrich	Struthio
Othello	Othello, Maurus Venetiae
Otho	Otho
Ottawa	Ottava
Otto I	Otto I Magnus
Otto von Bismarck	Otho de Bismarck
Ottoman Empire	Imperium Ottomanicum
Ottoman Empire	Categoria:Imperium Ottomanicum
Ovary	Ovarium
Ovid	Publius Ovidius Naso
Oviedo	Ovetus
Owl	Asio
Oxford	Oxonia
Oxide	Oxidum
Oxygen	Oxygenium
P	P
PH	Pondus Hydrogenii
Pablo Neruda	Paulus Neruda
Pablo Picasso	Paulus Picasso
Pacific Ocean	Oceanus Pacificus
Padua	Patavium (urbs)
Pakistan	Pakistania
Pakistan	Categoria:Pakistania
Palau	Belavia
Paleolithic	Palaeolithicum
Paleontology	Palaeontologia
Paleozoic	Aera Palaeozoica
Palermo	Panormus
Palestine	Palaestina
Pali	Pali
Palindrome	Palindromus
Palladium	Palladium
Palm Sunday	Dominica in Palmis de passione Domini
Palmyra	Palmyra
Pan (mythology)	Pan (deus)
Panama	Panama
Panama Canal	Vicipaedia:Porta eruditionis/Scriptorium/Canalis Panamae
Pancreas	Pancreas
Pangaea	Pangaea
Pantheism	Religio Pantheia
Pantheon	Pantheon
Panthera	Panthera
Papal States	Status Pontificius
Papua New Guinea	Papua Nova Guinea
Papyrus	Papyrus (charta)
Paracelsus	Paracelsus
Paraguay	Paraguaia
Paraguay	Categoria:Paraguaia
Parallelogram	Parallelogramma
Paramaribo	Paramaribo
Paris	Lutetia
Paris	Categoria:Lutetia
Paris (mythology)	Paris (Mythologia)
Parity (mathematics)	Numerus impar
Parliament	Parlamentum
Parmenides	Parmenides
Parrot	Psittacus
Parsley	Petroselinum
Parthenon	Parthenon
Particle physics	Physica particularum elementariarum
Pascal (programming language)	Pascal
Passerine	Passeriformes
Passover	Pascha
Passport	Syngraphus
Patagonia	Patagonia
Patras	Patrae
Patriarch	Patriarcha
Paul Klee	Paulus Klee
Paul Newman	Paulus Newman
Paul the Apostle	Paulus
Paul von Hindenburg	Paulus de Hindenburg
Pauli exclusion principle	Principium exclusionis Pauli
Pavo (constellation)	Pavo (sidus)
Pawn (chess)	Pedes (scacci)
Pays de la Loire	Pagi Ligeris (regio Franciae)
Peace	Pax
Peace of Westphalia	Pax Westphalica
Peach	Prunus persica
Pear	Pyrus
Pedagogy	Categoria:Paedagogia
Pediatrics	Paediatria
Pedunculate Oak	Quercus robur
Pegasus	Pegasus (mythologia)
Pegasus (constellation)	Pegasus (sidus)
Peloponnese	Peloponnesus
Peloponnesian War	Bellum Peloponnesiacum
Penelope	Penelope
Penguin	Sphenisciformes
Peninsula	Paeninsula
Pennsylvania	Pennsilvania
Pennsylvania	Categoria:Pennsilvania
Pentecost	Pentecostes
People	Categoria:Homines
People's Republic of China	Res Publica Popularis Sinarum
Pepsi	Pepsi
Peregrine Falcon	Falco peregrinus
Pericles	Pericles
Periodic table	Systema Periodicum
Perm	Permia
Permian	Aevum Permianum
Perpetual motion	Perpetuum mobile
Persepolis	Persepolis
Perseus	Perseus
Perseus (constellation)	Perseus (sidus)
Persian Empire	Imperium Persarum
Perth	Perthia
Peru	Peruvia
Peru	Categoria:Peruvia
Peter Abelard	Petrus Abaelardus
Peter Paul Rubens	Petrus Paulus Rubens
Petrarch	Franciscus Petrarca
Phanerozoic	Aeon Phanerozoicus
Pharaoh	Pharao
Pharynx	Pharynx
Phase (matter)	Status aggregandi
Phi (letter)	Phi
Philadelphia	Philadelphia
Philip II of Macedon	Philippus II (Macedonum rex)
Philip II of Spain	Philippus II (rex Hispaniae)
Philippines	Philippinae
Philology	Philologia
Philosopher's stone	Lapis philosophorum
Philosophy	Philosophia
Philosophy	Categoria:Philosophia
Phnom Penh	Phnom Penh
Phobos (moon)	Phobos (satelles)
Phoenicia	Phoenices
Phoenix	Phoenix (Arizona)
Phoenix (constellation)	Phoenix (sidus)
Phoenix (mythology)	Phoenix
Phonetics	Phonetica
Phonetics	Categoria:Phonetica
Phonology	Phonologia
Phosphoric acid	Acidum phosphoricum
Phosphorus	Phosphorus
Photon	Photon
Photosynthesis	Photosynthesis
Phylum	Phylum (Taxon)
Physician	Medicus
Physics	Physica
Physics	Categoria:Physica
Physiology	Physiologia
Pi	Numerus pi
Pi (letter)	Pi (littera Graeca)
Piano	Clavile
Picardie	Picardia
Pictor	Pictor (sidus)
Piedmont	Pedemontium
Pierre de Fermat	Petrus de Fermat
Pilsen	Pilsna
Pindar	Pindarus
Pine	Pinus
Pineapple	Ananas comosus
Pink	Puniceus
Pisa	Pisae
Pisces (constellation)	Pisces (sidus)
Pittsburgh	Pittsburgum
Pituitary gland	Glandula pituitaria
Pizza	Placentula
Planet	Planeta
Planetary nebula	Planetaris nebula
Plankton	Plancton
Plant	Planta
Platelet	Thrombociti
Platinum	Platinum
Plato	Plato
Platypus	Ornithorhynchus
Pliny the Elder	Gaius Plinius Secundus
Pliny the Younger	Gaius Plinius Caecilius Secundus
Plotinus	Plotinus
Plovdiv	Philippopolis
Plutarch	Plutarchus
Pluto	Pluto (planetula)
Pluto (disambiguation)	Pluto
Plutonium	Plutonium
Plymouth	Plimmuta
Pneumonia	Pneumonia
Po River	Padus
Poetry	Poësis
Poison	Venenum
Poitiers	Pictavium
Poitou-Charentes	Pictaviensis et Carantoni
Poland	Polonia
Poland	Categoria:Polonia
Polar bear	Ursus maritimus
Police	Vigil
Politics	Civilitas
Pollen	Pollen
Polonium	Polonium
Polyhymnia	Polyhymnia
Polynesia	Polynesia
Pomegranate	Punica malus
Pompeii	Pompeii
Pompey	Gnaeus Pompeius Magnus
Pontius Pilate	Pontius Pilatus
Pop music	Musica popularis
Pope	Papa
Pope Alexander VI	Alexander VI
Poplar	Populus (genus plantarum)
Pornography	Pornographia
Port	Portus
Port Louis	Portus Ludovici
Port-au-Prince	Portus Principis
Portland	Portlandia (Oregonia)
Portland	Portlandia (discretiva)
Porto	Portus Cale
Portsmouth	Portus Magnus
Portugal	Lusitania
Portugal	Categoria:Lusitania
Poseidon	Posidon
Positron	Positron
Postage stamp	Philatelista
Postal code	Numerus cursualis
Potassium	Kalium
Potato	Patata
Potsdam	Potestampium
Poverty	Paupertas
Praetor	Praetor
Prague	Praga
Praia	Praia
Praseodymium	Praseodymium
Prayer	Prex
Precambrian	Superaeon Praecambricus
Precipitation (meteorology)	Praecipitatio
Prehistory	Praehistoricum aevum
President	Praeses
President of the United States	Praesidens Civitatum Foederatarum Americae
Pretoria	Praetoria
Priam	Priamus
Price	Pretium
Primate	Primates
Prime number	Numerus primus
Prince Edward Island	Insula Principis Eduardi
Prince Philip	Princeps Philippus, dux Edimburgi
Princeton University	Universitas Princetoniensis
Programming language	Lingua programmandi
Prokaryote	Procaryota
Prometheus	Prometheus
Promethium	Promethium
Pronoun	Pronomen
Propaganda	Propaganda
Propane	Propanum
Prophet	Propheta
Prose	Prosa
Prostate	Prostata
Protactinium	Protactinium
Protein	Proteinum
Proterozoic	Aeon Proterozoicus
Protestant Reformation	Reformatio
Protestantism	Protestantes
Proton	Proton
Protozoa	Protozoa
Providence	Providentia (Rhodensis Insula)
Prussia	Borussia
Psalms	Liber Psalmorum
Psi (letter)	Psi
Psychiatry	Psychiatria
Psychology	Psychologia
Psychology	Categoria:Psychologia
Ptah	Phthas
Ptolemy	Claudius Ptolemaeus
Puberty	Pubertas
Public domain	Dominium publicum
Puerto Rico	Portus Dives
Pula	Pietas Iulia
Pulsar	Pulsar
Pupil	Pupilla
Puppis	Puppis (sidus)
Pyongyang	Pyungyang
Pyramid (geometry)	Pyramis (geometria)
Pyrenees	Pyrenaei
Pythagoras	Pythagoras
Python (programming language)	Python
Pyxis	Pyxis (sidus)
Q	Q
Qatar	Quataria
Qing Dynasty	Domus Tsingiana
Quadratic equation	Aequatio quadratica
Quantum mechanics	Mechanica quantica
Quarantine	Quadragena
Quark	Quarcum
Quasar	Quasar
Quebec	Quebecum
Quebec City	Urbs Quebeci
Quechua	Lingua Quechua
Queen (chess)	Regina (scacci)
Queensland	Terra Reginae
Quetzalcoatl	Quetzalcoatl
Quito	Quitum
R	R
RAF (disambiguation)	RAF
RNA	Acidum ribonucleicum
Ra	Phre
Rabat	Rabat
Radium	Radium
Radon	Radon
Rain	Pluvia
Rainbow	Arcus (caelestis)
Rainer Maria Rilke	Rainierus Maria Rilke
Ramayana	Ramayana
Ramesses II	Ramses II
Random access memory	RAM
Raphael	Raphael Sanctius Urbinas
Rat	Rattus
