English	Portuguese
Greta Garbo	Greta Garbo
Grey	Cinza
Greylag Goose	Ganso-bravo
Griffin	Grifo
Griffon Vulture	Abutre-fouveiro
Gross domestic product	Produto interno bruto
Group	Grupo
Group (mathematics)	Grupo (matemática)
Group (periodic table)	Grupo (Química)
Group theory	Teoria dos grupos
Grover Cleveland	Grover Cleveland
Grozny	Grózni
Gruiformes	Gruiformes
Grus (constellation)	Grus
Guadalajara	Guadalajara (México)
Guadeloupe	Guadalupe
Guam	Guam
Guangdong	Guangdong
Guangzhou	Cantão (China)
Guanine	Guanina
Guano	Guano
Guatemala	Categoria:Guatemala
Guatemala City	Cidade da Guatemala
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guild	Guilda
Guillaume Apollinaire	Guillaume Apollinaire
Guillotine	Guilhotina
Guinea	Guiné
Guinea	Categoria:Guiné
Guinea pig	Porquinho-da-índia
Guinea-Bissau	Guiné-Bissau
Guinea-Bissau	Categoria:Guiné-Bissau
Guitar	Guitarra
Gujarat	Guzerate
Gulag	Gulag
Gulf Stream	Corrente do Golfo
Gulf War	Guerra do Golfo
Gulf of Aden	Golfo de Áden
Gulf of Aqaba	Golfo de Acaba
Gulf of Bothnia	Golfo de Bótnia
Gulf of Finland	Golfo da Finlândia
Gulf of Guinea	Golfo da Guiné
Gulf of Mexico	Golfo do México
Gulf of Oman	Golfo de Omã
Gulf of Riga	Golfo de Riga
Gulf of Thailand	Golfo da Tailândia
Gull	Gaivota (ave)
Gunpowder	Pólvora
Gunpowder Plot	Conspiração da pólvora
Guppy	Guppy
Gustav Klimt	Gustav Klimt
Gustav Ludwig Hertz	Gustav Ludwig Hertz
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
Gustave Flaubert	Gustave Flaubert
Guy Fawkes	Guy Fawkes
Guy de Maupassant	Guy de Maupassant
Guyana	Categoria:Guiana
Gymnastics	Ginástica
Gymnosperm	Gymnospermas
Gynaecology	Ginecologia
Gypsum	Gipsita
Gyroscope	Giroscópio
H	H
H. G. Wells	H. G. Wells
HIV	Vírus da imunodeficiência humana
HTML	HTML
Habitat	Hábitat
Hacker	Hacker
Hadean	Hadeano
Hades	Hades
Hadith	Hadith
Hadrian	Adriano
Hadrian's Wall	Muralha de Adriano
Hadron	Hádron
Haemophilia	Hemofilia
Hafnium	Háfnio
Hagia Sophia	Basílica de Santa Sofia
Haifa	Haifa
Haiku	Haikai
Hail	Granizo
Hail Mary	Ave Maria
Hair	Pêlo
Haiti	Haiti
Haiti	Categoria:Haiti
Hajj	Hajj
Halal	Halal
Halberd	Alabarda
Half-life	Meia-vida
Halle	Halle an der Saale
Halloween	Dia das bruxas
Hallucination	Alucinação
Halogen	Halogênio
Hamas	Hamas
Hamburg	Hamburgo
Hamburg	Categoria:Hamburgo
Hamburger	Hambúrguer
Hamlet	Hamlet
Hammer	Martelo
Hammer and sickle	Foice e martelo
Hammurabi	Hamurabi
Hampshire	Hampshire
Hamster	Hamster
Han Dynasty	Dinastia Han
Hand	Mão
Hand grenade	Granada (arma)
Handgun	Pistola
Hanging	Forca
Hanging Gardens of Babylon	Jardins suspensos da Babilónia
Hannah Arendt	Hannah Arendt
Hannibal	Aníbal
Hanoi	Hanói
Hanover	Hanôver
Hans Bethe	Hans Bethe
Hans Christian Andersen	Hans Christian Andersen
Hanseatic League	Liga Hanseática
Hanukkah	Chanucá
Hanuman	Hanuman
Happiness	Felicidade
Harare	Harare
Hardness	Dureza
Harem	Harém
Harlem	Harlem
Harmonica	Gaita
Harmony	Harmonia
Harold Pinter	Harold Pinter
Harp	Harpa
Harpsichord	Cravo (instrumento)
Harpy	Harpia (mitologia)
Harriet Beecher Stowe	Harriet Beecher Stowe
Harriet Tubman	Harriet Tubman
Harrisburg	Harrisburg
Harry Houdini	Harry Houdini
Hartford	Hartford
Hassium	Hássio
Hatred	Ódio
Haute-Normandie	Alta-Normandia
Havana	Havana
Hawaii	Havaí
Hawaii	Categoria:Havaí
Hazel	Corylus
Head	Cabeça
Head of state	Chefe de Estado
Health	Saúde
Health	Categoria:Saúde
Heart	Coração
Heat	Calor
Heat engine	Máquina térmica
Heaven	Céu (religião)
Heavy metal	Categoria:Heavy metal
Heavy metal music	Heavy metal
Heavy water	Água pesada
Hebe (mythology)	Hebe
Hebei	Hebei
Hebrew alphabet	Alfabeto hebraico
Hebrew calendar	Calendário hebraico
Hebrides	Hébridas
Hecate	Hécate (mitologia)
Hectare	Hectare
Hector	Heitor
Hector Berlioz	Hector Berlioz
Hedgehog	Ouriço
Hedonism	Hedonismo
Heimdall	Heimdall
Heinrich Hertz	Heinrich Rudolf Hertz
Heinrich Himmler	Heinrich Himmler
Heinrich Schliemann	Heinrich Schliemann
Hel (being)	Hela
Helen	Helena (mitologia)
Helen Keller	Helen Keller
Helena	Helena (Montana)
Helicopter	Helicóptero
Helios	Hélios
Helium	Hélio
Hell	Inferno
Helmut Schmidt	Helmut Schmidt
Helsinki	Helsínquia
Hematite	Hematita
Hematology	Hematologia
Hematology	Categoria:Hematologia
Hemoglobin	Hemoglobina
Hemorrhoid	Hemorróida
Henri Becquerel	Antoine Henri Becquerel
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry Cavendish	Henry Cavendish
Henry David Thoreau	Henry David Thoreau
Henry Fonda	Henry Fonda
Henry Ford	Henry Ford
Henry James	Henry James
Henry Kissinger	Henry A. Kissinger
Henry Miller	Henry Miller
Henry Moore	Henry Moore
Henry Purcell	Henry Purcell
Hepatitis	Hepatite
Hephaestus	Hefesto
Hera	Hera
Heracles	Hércules
Heraclitus	Heráclito de Éfeso
Heraldry	Heráldica
Heraldry	Categoria:Heráldica
Herat	Herat
Herbert Hoover	Herbert Hoover
Herbert Marcuse	Herbert Marcuse
Herbert Spencer	Herbert Spencer
Hercules	Hércules
Hercules (constellation)	Hércules (constelação)
Heresy	Heresia
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann Minkowski	Hermann Minkowski
Hermann von Helmholtz	Hermann von Helmholtz
Hermaphrodite	Hermafrodita
Hermeneutics	Hermenêutica
Hermes	Hermes
Hero	Herói
Hero of Alexandria	Heron de Alexandria
Herod the Great	Herodes, o Grande
Herodotus	Heródoto
Heroin	Heroína
Heron	Ardeidae
Herring Gull	Gaivota-prateada
Hertfordshire	Hertfordshire
Hertz	Hertz
Hesiod	Hesíodo
Hesperides	Hespérides
Hesse	Hessen
Hesse	Categoria:Hessen
Hestia	Héstia
Heterosexuality	Heterossexualidade
Heterotroph	Heterotrofismo
Hexadecimal	Sistema hexadecimal
Hexagon	Hexágono
Hezbollah	Hizbollah
Hibernation	Hibernação
Hideki Yukawa	Hideki Yukawa
Hieronymus Bosch	Hieronymus Bosch
Hilbert space	Espaço de Hilbert
Himalayas	Himalaia
Hindu Kush	Hindu Kush
Hinduism	Hinduísmo
Hinduism	Categoria:Hinduísmo
Hipparchus	Hiparco
Hippie	Hippie
Hippocrates	Hipócrates
Hippocratic Oath	Juramento de Hipócrates
Hippopotamus	Hipopótamo
Hirohito	Hirohito
Hiroshima	Hiroxima (cidade)
Hispaniola	Ilha de São Domingos
Histidine	Histidina
Histology	Histologia
Histology	Categoria:Histologia
Histone	Histona
Historiography	Historiografia
History	História
History	Categoria:História
History	Portal:História
Ho Chi Minh	Ho Chi Minh
Ho Chi Minh City	Cidade de Ho Chi Minh
Hobart	Hobart
Hobbit	Hobbit
Hobby	Passatempo
Hokusai	Katsushika Hokusai
Holiday	Feriado
Hollywood	Hollywood
Holmium	Hólmio
Holocene	Holoceno
Holography	Holografia
Holy Grail	Santo Graal
Holy Roman Empire	Sacro Império Romano-Germânico
Holy Roman Empire	Categoria:Sacro Império Romano-Germânico
Holy Spirit	Espírito Santo
Homeopathy	Homeopatia
Homeostasis	Homeostase
Homer	Homero
Hominidae	Hominidae
Homo (genus)	Homo
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homonym	Homónimo
Homophobia	Homofobia
Homosexuality	Homossexualidade
Honduras	Honduras
Honduras	Categoria:Honduras
Honey	Mel
Honey Buzzard	Tartaranhão-apívoro
Hong Kong	Hong Kong
Hong Kong	Categoria:Hong Kong
Honiara	Honiara
Honolulu	Honolulu
Hookah	Narguilé
Hooke's law	Lei de Hooke
Hoopoe	Poupa
Horace	Horácio
Horatio Nelson	Horatio Nelson
Horizon	Horizonte
Hormone	Hormona
Horn (anatomy)	Corno
Horn (instrument)	Trompa
Horn of Africa	Corno de África
Horse	Cavalo
Horse racing	Turfe
Horsepower	Cavalo-vapor
Horus	Hórus
Hosni Mubarak	Hosni Mubarak
Hospital	Hospital
Hotel	Hotel
Hour	Hora
Hourglass	Ampulheta
House	Casa
House (TV series)	House, M.D.
House Mouse	Camundongo
House Sparrow	Pardal
Houston	Houston
Hovercraft	Hovercraft
Howard Carter (archaeologist)	Howard Carter
Hubble's law	Lei de Hubble-Homason
Hudson Bay	Baía de Hudson
Hudson River	Rio Hudson
Hugh Capet	Hugo Capeto
Hugo Grotius	Hugo Grócio
Huguenot	Huguenote
Human	Homo sapiens
Humanism	Humanismo
Humanities	Categoria:Ciências humanas
Humerus	Úmero
Humidity	Humidade
Hummingbird	Beija-flor
Humor	Categoria:Humor
Humour	Humor
Humpback Whale	Baleia-jubarte
Humphrey Bogart	Humphrey Bogart
Humus	Húmus
Hunan	Hunan
Hundred Years' War	Guerra dos Cem Anos
Hungary	Hungria
Hungary	Categoria:Hungria
Hunger	Fome
Hunting	Caça
Hutu	Hútus
Hybrid	Híbrido (biologia)
Hydra (constellation)	Hydra
Hydrocarbon	Hidrocarboneto
Hydrochloric acid	Ácido clorídrico
Hydroelectricity	Usina hidrelétrica
Hydrogen	Hidrogénio
Hydrogen bond	Ligação de hidrogênio
Hydrogen cyanide	Cianeto de hidrogênio
Hydrogen peroxide	Peróxido de hidrogénio
Hydrology	Hidrologia
Hydrology	Categoria:Hidrologia
Hydrolysis	Hidrólise
Hydrosphere	Hidrosfera
Hydrus	Hydrus
Hyena	Hienídeo
Hygiene	Categoria:Higiene
Hymen	Hímen
Hymenoptera	Categoria:Hymenoptera
Hymenoptera	Hymenoptera
Hymn	Hino (canção)
Hyperbola	Hipérbole
Hyperbole	Hipérbole (figura de estilo)
Hyperion (moon)	Hiperião (satélite)
Hyperion (mythology)	Hiperião
Hypertension	Hipertensão arterial
Hypertext	Hipertexto
Hypertext Transfer Protocol	HTTP
Hypnos	Hipnos
Hypnosis	Hipnose
Hypothalamus	Hipotálamo
Hypothesis	Hipótese
I	I
I. M. Pei	Ieoh Ming Pei
IPod	IPod
Ian Fleming	Ian Fleming
Iapetus (moon)	Jápeto (satélite)
Iapetus (mythology)	Jápeto
Iberian Peninsula	Península Ibérica
Ibuprofen	Ibuprofeno
Ice	Gelo
Ice age	Glaciação
Ice cream	Gelado
Ice hockey	Hóquei no gelo
Ice hockey	Categoria:Hóquei no gelo
Iceberg	Iceberg
Iceland	Islândia
Iceland	Categoria:Islândia
Ichthyology	Ictiologia
Icon	Ícone (pintura)
Iconoclasm	Iconoclastia
Idaho	Idaho
Idaho	Categoria:Idaho
Ideal gas	Gás perfeito
Idealism	Idealismo
Identity element	Elemento neutro
Identity matrix	Matriz identidade
Ideology	Ideologia
Ido	Ido
Igloo	Iglu
Ignatius of Loyola	Inácio de Loyola
Igneous rock	Rocha ígnea
Igor Stravinsky	Ígor Stravinski
Iguazu Falls	Cataratas do Iguaçu
Iliad	Ilíada
Illinois	Illinois
Illinois	Categoria:Illinois
Illyria	Ilíria
Image scanner	Digitalizador
Imam	Imame
Immanuel Kant	Immanuel Kant
Immune system	Sistema imunitário
Immunology	Imunologia
Immunology	Categoria:Imunologia
Imperialism	Imperialismo
Impressionism	Impressionismo
Incest	Incesto
Inch	Polegada
Incheon	Incheon
Inclined plane	Plano inclinado
Independence	Independência
India	Índia
India	Categoria:Índia
Indian Ocean	Oceano Índico
Indian Ocean	Categoria:Oceano Índico
Indiana	Indiana
Indiana	Categoria:Indiana
Indianapolis	Indianápolis
Indira Gandhi	Indira Gandhi
Indium	Índio (elemento químico)
Indochina	Indochina
Indonesia	Indonésia
Indonesia	Categoria:Indonésia
Indra	Indra
Inductance	Indutância
Inductive reasoning	Raciocínio indutivo
Inductor	Indutor
Indulgence	Indulgência
Indus (constellation)	Indus
Indus River	Rio Indo
Industrial Revolution	Revolução Industrial
Industry	Indústria
Industry	Categoria:Indústria
Inequality	Desigualdade
Inertia	Inércia
Infantry	Infantaria
Infectious disease	Doença infecciosa
Infinitive	Infinitivo
Infinity	Infinito
Inflammation	Inflamação
Inflation	Inflação
Influenza	Gripe
Information	Informação
Information technology	Tecnologia da informação
Information theory	Teoria da informação
Infrared	Radiação infravermelha
Infrastructure	Infra-estrutura
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Inner Mongolia	Mongólia Interior
Innovation	Inovação
Innsbruck	Innsbruck
Inorganic chemistry	Química inorgânica
Inorganic chemistry	Categoria:Química inorgânica
Inquisition	Inquisição
Insect	Inseto
Insecticide	Inseticida
Insectivora	Insectívoros
Institution	Instituição
Insulin	Insulina
Insurance	Seguro
Integer	Número inteiro
Integral	Integral
Integrated circuit	Circuito integrado
Intellectual property	Propriedade intelectual
Intelligence	Inteligência
Intelligence quotient	Quociente de inteligência
Intercontinental ballistic missile	ICBM
Interest	Juro
Interference	Interferência
Interjection	Interjeição
Interlingua	Interlíngua
International Atomic Energy Agency	Agência Internacional de Energia Atómica
International Civil Aviation Organization	Organização da Aviação Civil Internacional
International Court of Justice	Tribunal Internacional de Justiça
International Date Line	Linha Internacional de Data
International Labour Organization	Organização Internacional do Trabalho
International Monetary Fund	Fundo Monetário Internacional
International System of Units	Sistema Internacional de Unidades
International law	Categoria:Direito internacional público
International organization	Organização internacional
Internet	Internet
Internet	Categoria:Internet
Internet Explorer	Internet Explorer
Internment	Campo de concentração
Interpreter (computing)	Interpretador
Intersection (set theory)	Interseção
Interval (music)	Intervalo (música)
Intestine	Intestino
Intranet	Intranet
Invention	Invenção
Invertebrate	Invertebrado
Io (moon)	Io
Io (mythology)	Io (mitologia)
Iodine	Iodo
Ion	Íon
Ionia	Jônia
Ionian Sea	Mar Jônico
Ionic bond	Ligação iônica
Ionosphere	Ionosfera
Iota	Ι
Iowa	Iowa
Iowa	Categoria:Iowa
Iran	Irão
Iran	Categoria:Irão
Iran-Iraq War	Guerra Irã-Iraque
Iraq	Iraque
Iraq	Categoria:Iraque
Ireland	Irlanda
Ireland	Categoria:Irlanda
Irenaeus	Ireneu de Lyon
Iridium	Irídio
Iris (anatomy)	Íris
Iris (mythology)	Íris (mitologia)
Irish Republican Army	Exército Republicano Irlandês
Irish Sea	Mar da Irlanda
Irish people	Categoria:Irlandeses
Iron	Ferro
Iron Age	Idade do Ferro
Iron Curtain	Cortina de ferro
Iron Maiden	Iron Maiden
Irony	Ironia
Irrational number	Número irracional
Irredentism	Irredentismo
Irtysh River	Rio Irtich
Isaac	Isaac
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Ishmael	Ismael
Isis	Ísis
Islam	Islão
Islam	Categoria:Islão
Islamabad	Islamabad
Islamic calendar	Calendário islâmico
Island	Ilha
Isle of Man	Ilha de Man
Isle of Man	Categoria:Ilha de Man
Isle of Wight	Ilha de Wight
Isomer	Isomerismo
Isoroku Yamamoto	Isoroku Yamamoto
Isotope	Isótopo
Israel	Israel
Israel	Categoria:Israel
Istanbul	Istambul
Istanbul	Categoria:Istambul
Isthmus	Istmo
Isthmus of Panama	Istmo do Panamá
Italian Peninsula	Península Itálica
Italo Calvino	Italo Calvino
Italy	Itália
Italy	Categoria:Itália
Ithaca	Ítaca
Ivan Lendl	Ivan Lendl
Ivan Pavlov	Ivan Petrovich Pavlov
Ivan Turgenev	Ivan Turgeniev
Ivory	Marfim
Ivy League	Ivy League
Iwo Jima	Iwo Jima
J	J
J. D. Salinger	J. D. Salinger
J. M. Barrie	James Matthew Barrie
Jack Kerouac	Jack Kerouac
Jack Lemmon	Jack Lemmon
Jack London	Jack London
Jack the Ripper	Jack o Estripador
Jackdaw	Gralha-de-nuca-cinzenta
Jackson	Jackson (Mississippi)
Jackson Pollock	Jackson Pollock
Jacksonville	Jacksonville
Jacob	Jacó
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jacques Offenbach	Jacques Offenbach
Jade	Jade
Jaguar	Onça-pintada
Jainism	Jainismo
Jakarta	Jacarta
Jalalabad	Jalalabad
Jamaica	Jamaica
Jamaica	Categoria:Jamaica
James	Santiago Maior
James A. Garfield	James A. Garfield
James Bond	James Bond
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James K. Polk	James Knox Polk
James Madison	James Madison
James Monroe	James Monroe
James Naismith	James Naismith
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jammu and Kashmir	Jammu e Caxemira
Jan Hus	Jan Hus
Jan van Eyck	Jan van Eyck
Jane Austen	Jane Austen
Jane Fonda	Jane Fonda
Jane Seymour	Joana Seymour
Janis Joplin	Janis Joplin
Janissary	Janízaro
January	Janeiro
January 1	1 de Janeiro
January 19	19 de Janeiro
January 20	20 de Janeiro
January 6	6 de Janeiro
Janus (moon)	Jano (satélite)
Janus (mythology)	Jano
Japan	Japão
Japan	Categoria:Japão
Jason	Jasão
Jaundice	Icterícia
Java	Java
Java (disambiguation)	Java (desambiguação)
Java (programming language)	Java (linguagem de programação)
Jawaharlal Nehru	Jawaharlal Nehru
Jazz	Jazz
Jazz	Categoria:Jazz
Jean Auguste Dominique Ingres	Jean Auguste Dominique Ingres
Jean Cocteau	Jean Cocteau
Jean Piaget	Jean Piaget
Jean Racine	Jean Racine
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Jeddah	Jidá
Jefferson City	Jefferson City
Jefferson Davis	Jefferson Davis
Jehovah	Tetragrama YHVH
Jehovah's Witnesses	Testemunhas de Jeová
Jellyfish	Scyphozoa
Jena	Jena
Jeremy Bentham	Jeremy Bentham
Jerez de la Frontera	Jerez de la Frontera
Jericho	Jericó
Jerome	Jerónimo de Strídon
Jersey	Jersey
Jerusalem	Jerusalém
Jerusalem	Categoria:Jerusalém
Jesus	Jesus
Jet engine	Motor a jacto
Jew	Judeu
Jew's harp	Berimbau de boca
Jihad	Jihad
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Joan of Arc	Joana d'Arc
Johann Bernoulli	Johann Bernoulli
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Diderik van der Waals	Johannes Diderik van der Waals
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
Johannesburg	Joanesburgo
John Adams	John Adams
John Bardeen	John Bardeen
John Cage	John Cage
John Calvin	João Calvino
John Chrysostom	São João Crisóstomo
John Dalton	John Dalton
John Dewey	John Dewey
John Galsworthy	John Galsworthy
John Herschel	John Herschel
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Major	John Major
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Napier	John Napier
John Quincy Adams	John Quincy Adams
John Ruskin	John Ruskin
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wayne	John Wayne
John Wycliffe	John Wycliffe
John the Baptist	João Baptista
John von Neumann	John von Neumann
Johnny Cash	Johnny Cash
Joint	Articulação
Jonathan Swift	Jonathan Swift
Jordan	Jordânia
Jordan	Categoria:Jordânia
Jordan River	Rio Jordão
Jorge Luis Borges	Jorge Luis Borges
Joseph Conrad	Joseph Conrad
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Joseph Louis Gay-Lussac	Louis Joseph Gay-Lussac
Joseph McCarthy	Joseph McCarthy
Joseph Priestley	Joseph Priestley
Joseph Pulitzer	Joseph Pulitzer
Joseph Schumpeter	Joseph Schumpeter
Joseph Smith	Joseph Smith Jr.
Joseph Stalin	Josef Stalin
Josephus	Flávio Josefo
Joule	Joule
Journalism	Categoria:Jornalismo
Journalism	Jornalismo
Jovian	Joviano
Joystick	Joystick
Judaism	Judaísmo
Judaism	Categoria:Judaísmo
Judas Iscariot	Judas Iscariotes
Judea	Judéia
Judo	Judô
Judy Garland	Judy Garland
Jujutsu	Jiu-jitsu
Jules Verne	Júlio Verne
Julian calendar	Calendário juliano
Julius Caesar	Júlio César
July	Julho
July 1	1 de Julho
July 4	4 de Julho
June	Junho
June 14	14 de Junho
June 21	21 de Junho
June 23	23 de Junho
June 24	24 de Junho
June 29	29 de Junho
June 3	3 de Junho
Juneau	Juneau
Juniper	Juniperus
Juno (mythology)	Juno
Jupiter	Júpiter (planeta)
Jupiter	Categoria:Júpiter
Jupiter (disambiguation)	Júpiter
Jupiter (mythology)	Júpiter (mitologia)
Jurassic	Jurássico
Justinian I	Justiniano I
Jutland	Jutlândia
K	K
K2	K2
KGB	KGB
Kaaba	Caaba
Kabbalah	Cabala
Kabul	Cabul
Kalahari Desert	Kalahari
Kamchatka Peninsula	Península de Kamchatka
Kamikaze	Kamikaze
Kampala	Kampala
Kandahar	Kandahar
Kangaroo	Canguru
Kansas	Kansas
Kansas	Categoria:Kansas
Kansas City	Kansas City (Missouri)
Kappa	Κ
Kara Sea	Mar de Kara
Karachi	Carachi
Karakoram	Caracórum
Karaoke	Karaokê
Karate	Caratê
Karen Blixen	Karen Blixen
Karl Barth	Karl Barth
Karl Jaspers	Karl Jaspers
Karl Marx	Karl Marx
Karl Popper	Karl Popper
Karma	Karma
Karnataka	Karnataka
Katharine Hepburn	Katharine Hepburn
Kathmandu	Catmandu
Katowice	Katowice
Kaunas	Kaunas
Kayak	Caiaque
Kazakhstan	Cazaquistão
Kazakhstan	Categoria:Cazaquistão
Kazan	Cazã
Kazimir Malevich	Kazimir Malevich
Kelvin	Kelvin
Kent	Kent
Kentucky	Kentucky
Kentucky	Categoria:Kentucky
Kenya	Quénia
Kenya	Categoria:Quénia
Kernel (computer science)	Kernel
Kerosene	Querosene
Ketchup	Ketchup
Ketone	Cetona
Keyboard (computing)	Teclado (computador)
Keyboard instrument	Instrumento de teclas
Khabarovsk	Khabarovsk
Khan	Khan
Kharkiv	Carcóvia
Khartoum	Cartum
Khmer Rouge	Khmer Vermelho
Khufu	Quéops
Kibbutz	Kibutz
Kidney	Rim
Kiev	Kiev
Kigali	Kigali
Kilogram	Quilograma
Kilometre	Quilômetro
Kilometres per hour	Quilômetro por hora
Kimono	Quimono
Kindergarten	Jardim de infância
Kinematics	Cinemática
Kinetic energy	Energia cinética
King (chess)	Rei (xadrez)
King Arthur	Rei Artur
King Lear	King Lear
Kingdom (biology)	Reino (biologia)
Kingston	Kingston
Kingstown	Kingstown
Kinshasa	Kinshasa
Kiribati	Kiribati
Kiribati	Categoria:Kiribati
Kirkuk	Kirkuk
Kiss	Beijo
Kite	Pipa (brinquedo)
Kiwi	Quivi
Knee	Joelho
Knesset	Knesset
Knife	Faca
Knight	Cavaleiro
Knight (chess)	Cavalo (xadrez)
Knossos	Cnossos
Knot (speed)	Nó (unidade)
Knowledge	Conhecimento
Knut Hamsun	Knut Hamsun
Koala	Coala
Kobe	Kobe
Kola Peninsula	Península de Kola
Kolkata	Calcutá
Komodo dragon	Dragão-de-komodo
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Korea	Coreia
Korea	Categoria:Coreia
Korean War	Guerra da Coréia
Kosovo	Kosovo
Kosovo	Categoria:Kosovo
Krakatoa	Krakatoa
Kremlin	Kremlin
Krishna	Krishna
Krypton	Crípton
Ku Klux Klan	Ku Klux Klan
Kuala Lumpur	Kuala Lumpur
Kublai Khan	Kublai Khan
Kuiper belt	Cintura de Kuiper
Kumquat	Fortunella
Kunlun Mountains	Kunlun
Kuomintang	Kuomintang
Kura River	Rio Kura
Kurdistan	Curdistão
Kurdistan	Categoria:Curdistão
Kurdistan Workers Party	Partido dos Trabalhadores do Curdistão
Kursk	Kursk
Kurt Vonnegut	Kurt Vonnegut
Kurt Waldheim	Kurt Waldheim
Kuwait	Kuwait
Kuwait	Categoria:Kuwait
Kuwait City	Kuwait (cidade)
KwaZulu-Natal	KwaZulu-Natal
Kyoto	Quioto (cidade)
Kyrgyzstan	Quirguistão
Kyrgyzstan	Categoria:Quirguistão
L	L
L'Aquila	Áquila
LAMP (software bundle)	LAMP
La Paz	La Paz
La Plata	La Plata
La Spezia	La Spezia
LaTeX	LaTeX
Laboratory	Laboratório
Labour Party (UK)	Partido Trabalhista do Reino Unido
Labrador Retriever	Retriever do Labrador
Lacerta	Lacerta
Lactic acid	Ácido láctico
Lactose	Lactose
Lady Jane Grey	Joana Grey
Lagomorpha	Lagomorfos
Lagos	Lagos (Nigéria)
Lahore	Lahore
Laissez-faire	Laissez-faire
Lake	Lago
Lake Baikal	Lago Baikal
Lake Balaton	Lago Balaton
Lake Chad	Lago Chade
Lake Constance	Lago de Constança
Lake Erie	Lago Erie
Lake Eyre	Lago Eyre
Lake Geneva	Lago Léman
Lake Huron	Lago Huron
Lake Ilmen	Lago Ilmen
Lake Ladoga	Lago Ladoga
Lake Malawi	Lago Niassa
Lake Michigan	Lago Michigan
Lake Onega	Lago Onega
Lake Ontario	Lago Ontário
Lake Superior	Lago Superior
Lake Tanganyika	Lago Tanganica
Lake Victoria	Lago Vitória
Lakshmi	Lakshmi
Lambda	Λ
Lamiaceae	Lamiaceae
Lammergeier	Abutre-barbudo
Lamprey	Lampreia
Lancashire	Lancashire
Lancelet	Cephalochordata
Landfill	Aterro sanitário
Language	Linguagem
Languedoc-Roussillon	Languedoc-Roussillon
Lansing	Lansing
Lanthanide	Lantanídio
Lanthanum	Lantânio
Laos	Laos
Laos	Categoria:Laos
Laptev Sea	Mar de Laptev
Laptop	Laptop
Larch	Larix
Larva	Larva
Larynx	Laringe
Las Vegas	Las Vegas
Lascaux	Lascaux
Laser	Laser
Lathe	Torno mecânico
Latin	Latim
Latin America	América Latina
Latin alphabet	Alfabeto latino
Latitude	Latitude
Latvia	Letónia
Latvia	Categoria:Letónia
Laughter	Riso
Laurasia	Laurásia
Lausanne	Lausana
Lava	Lava
Law	Direito
Law	Categoria:Direito
Law enforcement	Categoria:Polícia
Lawrencium	Laurêncio
Lawyer	Advogado
Lazio	Lácio
Le Corbusier	Le Corbusier
Le Havre	Le Havre
Lead	Chumbo
Leaf	Folha (botânica)
League of Nations	Sociedade das Nações
Leaning Tower of Pisa	Torre de Pisa
Leap year	Ano bissexto
Learning	Aprendizagem
Lebanon	Líbano
Lebanon	Categoria:Líbano
Leda (mythology)	Leda
Lee Harvey Oswald	Lee Harvey Oswald
Leeds	Leeds
Left-handed	Canhoto
Legend	Lenda
Legislature	Poder legislativo
Lego	Lego
Leicester	Leicester
Leiden	Leida
Leipzig	Leipzig
Lemon	Limão
Lemon balm	Erva-cidreira
Lena River	Rio Lena (Rússia)
Length	Comprimento
Lens (optics)	Lente
Lent	Quaresma
Lentil	Lentilha
Leo (constellation)	Leo
Leo I (emperor)	Leão I de Bizâncio
Leon Trotsky	Leon Trótski
Leonard Bernstein	Leonard Bernstein
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
