English	Estonian
Great Barrier Reef	Suur Vallrahu
Great Britain	Suurbritannia saar
Great Crested Grebe	Tuttpütt
Great Depression	Suur depressioon
Great Lakes	Suur järvistu
Great Rift Valley	Ida-Aafrika riftivöönd
Great Wall of China	Suur Hiina müür
Great white shark	Mõrtsukhai
Greater Antilles	Suured Antillid
Grebe	Pütlased
Greece	Kreeka
Greece	Kategooria:Kreeka
Greek alphabet	Kreeka tähestik
Greek mythology	Vanakreeka mütoloogia
Green	Roheline
Greenhouse	Kasvuhoone
Greenhouse gas	Kasvuhoonegaasid
Greenland	Gröönimaa
Greenland	Kategooria:Gröönimaa
Greenland Sea	Grööni meri
Greenpeace	Greenpeace
Gregor Mendel	Gregor Mendel
Gregorian calendar	Gregoriuse kalender
Grenoble	Grenoble
Greta Garbo	Greta Garbo
Greylag Goose	Hallhani
Gross domestic product	Sisemajanduse kogutoodang
Group (mathematics)	Rühm (matemaatika)
Grover Cleveland	Grover Cleveland
Grozny	Groznõi
Guadeloupe	Guadeloupe
Guam	Guam
Guangdong	Guangdong
Guano	Guaano
Guatemala	Kategooria:Guatemala
Guatemala City	Guatemala (linn)
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guild	Tsunft
Guillaume Apollinaire	Guillaume Apollinaire
Guinea	Guinea
Guinea pig	Merisiga
Guinea-Bissau	Guinea-Bissau
Guitar	Kitarr
Gujarat	Gujarat
Gulag	GULAG
Gulf Stream	Golfi hoovus
Gulf of Aden	Adeni laht
Gulf of Aqaba	Al-‘Aqabah' laht
Gulf of Bothnia	Põhjalaht
Gulf of Finland	Soome laht
Gulf of Guinea	Guinea laht
Gulf of Mexico	Mehhiko laht
Gulf of Oman	Omaani laht
Gulf of Riga	Liivi laht
Gulf of Thailand	Tai laht
Gull	Kajaklased
Guppy	Gupi
Gustav Klimt	Gustav Klimt
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
Gustave Flaubert	Gustave Flaubert
Guy de Maupassant	Guy de Maupassant
Guyana	Kategooria:Guyana
Gynaecology	Günekoloogia
Gypsum	Kips
Gyroscope	Güroskoop
H	H
H. G. Wells	Herbert George Wells
HIV	HIV
HTML	HTML
Hacker	Häkker
Hadean	Hadaikum
Hades	Hades
Hadrian	Hadrianus
Hafnium	Hafnium
Hagia Sophia	Hagia Sophia
Haifa	Haifa
Haiku	Haiku
Hail	Rahe
Hail Mary	Ave Maria
Haiti	Haiti
Haiti	Kategooria:Haiti
Hajj	Hadž
Half-life	Poolestusaeg
Halle	Halle
Halloween	Halloween
Hallucination	Hallutsinatsioon
Halogen	Halogeenid
Hamas	Ḩamās
Hamburg	Hamburg
Hamburg	Kategooria:Hamburg
Hamlet	Hamlet
Hammer	Vasar
Hammer and sickle	Sirp ja vasar
Hammurabi	Hammurapi
Hampshire	Hampshire
Hamster	Hamster
Han Dynasty	Hani dünastia
Hanging	Poomine
Hanging Gardens of Babylon	Semiramise rippaiad
Hannah Arendt	Hannah Arendt
Hannibal	Hannibal
Hanoi	Hanoi
Hanover	Hannover
Hans Christian Andersen	Hans Christian Andersen
Hanseatic League	Hansa Liit
Harare	Harare
Hardness	Kõvadus
Harlem	Harlem
Harmonica	Suupill
Harold Pinter	Harold Pinter
Harp	Harf
Harriet Beecher Stowe	Harriet Beecher Stowe
Harriet Tubman	Harriet Tubman
Harrisburg	Harrisburg
Hartford	Hartford
Hassium	Hassium
Hatred	Vihkamine
Haute-Normandie	Ülem-Normandia
Havana	Havanna
Hawaii	Hawaii osariik
Hawaii	Kategooria:Hawaii
Hazel	Sarapuu
Head of state	Riigipea
Health	Tervis
Heart	Süda
Heat	Soojus
Heat engine	Soojusmasin
Heavy metal	Kategooria:Heavy-metal
Heavy metal music	Heavy metal
Hebei	Hebei
Hebrides	Hebriidid
Hectare	Hektar
Hector Berlioz	Hector Berlioz
Hedonism	Hedonism
Hel (being)	Hel
Helen	Helena
Helen Keller	Helen Keller
Helena	Helena (Montana)
Helicopter	Helikopter
Helium	Heelium
Hell	Põrgu
Helmut Schmidt	Helmut Schmidt
Helsinki	Helsingi
Hematite	Hematiit
Hemoglobin	Hemoglobiin
Hemorrhoid	Hemorroidid
Henri Becquerel	Henri Becquerel
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry (unit)	Henri
Henry Cavendish	Henry Cavendish
Henry David Thoreau	Henry David Thoreau
Henry Fonda	Henry Fonda
Henry Ford	Henry Ford
Henry Kissinger	Henry Kissinger
Henry Miller	Henry Miller
Hephaestus	Hephaistos
Hera	Hera
Heracles	Herakles
Heraclitus	Herakleitos
Heraldry	Heraldika
Herat	Herāt
Herbert Hoover	Herbert Hoover
Herbert Marcuse	Herbert Marcuse
Hercules	Herakles
Heresy	Hereesia
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann von Helmholtz	Hermann Ludwig Ferdinand von Helmholtz
Hermaphrodite	Hermafrodiit
Hermeneutics	Hermeneutika
Hermes	Hermes
Hero of Alexandria	Heron
Herodotus	Herodotos
Heroin	Heroiin
Herring Gull	Hõbekajakas
Hertfordshire	Hertfordshire
Hertz	Herts
Hesperides	Hesperiidid
Hesse	Hessen
Hesse	Kategooria:Hessen
Hestia	Hestia
Heterosexuality	Heteroseksuaalsus
Heterotroph	Heterotroof
Hezbollah	Ḩizb Allāh
Himalayas	Himaalaja
Hindu Kush	Hindukuš
Hinduism	Hinduism
Hinduism	Kategooria:Hinduism
Hippie	Hipiliikumine
Hippocrates	Hippokrates
Hippocratic Oath	Hippokratese vanne
Hippopotamus	Jõehobu
Hirohito	Hirohito
Hiroshima	Hiroshima
Hispaniola	Haiti saar
Histology	Histoloogia
History	Ajalugu
History	Kategooria:Ajalugu
Hobart	Hobart
Hobby	Harrastus
Hokusai	Katsushika Hokusai
Holmium	Holmium
Holocene	Holotseen
Holy Grail	Püha Graal
Holy Roman Empire	Saksa-Rooma riik
Holy Spirit	Püha Vaim
Homeopathy	Homöopaatia
Homeostasis	Homöostaas
Homer	Homeros
Hominidae	Inimlased
Homo (genus)	Inimene (perekond)
Homo habilis	Homo habilis
Homophobia	Homofoobia
Homosexuality	Homoseksuaalsus
Honduras	Honduras
Honduras	Kategooria:Honduras
Honey	Mesi
Hong Kong	Hongkong
Honiara	Honiara
Honolulu	Honolulu
Hooke's law	Hooke'i seadus
Hoopoe	Vaenukägu
Horace	Horatius
Horn (instrument)	Metsasarv
Horn of Africa	Aafrika Sarv
Horoscope	Horoskoop
Horse	Hobune
Horsepower	Hobujõud
Horus	Horos
Hosni Mubarak	Ḩusnī Mubārak
Hospital	Haigla
Hotel	Hotell
Hour	Tund
House (TV series)	Dr. House
House Sparrow	Koduvarblane
Houston	Houston
Hubble's law	Hubble'i seadus
Hudson Bay	Hudsoni laht
Hugo Grotius	Hugo Grotius
Human	Inimene
Humanism	Humanism
Humanities	Kategooria:Humanitaarteadused
Hummingbird	Koolibrilased
Humour	Huumor
Humpback Whale	Küürvaal
Humus	Huumus
Hunan	Hunan
Hundred Years' War	Saja-aastane sõda
Hungary	Ungari
Hungary	Kategooria:Ungari
Hunting	Jahipidamine
Hydrocarbon	Süsivesinikud
Hydrochloric acid	Vesinikkloriidhape
Hydroelectricity	Hüdroelektrijaam
Hydrogen	Vesinik
Hydrology	Hüdroloogia
Hydrology	Kategooria:Hüdroloogia
Hydrosphere	Hüdrosfäär
Hygiene	Kategooria:Hügieen
Hymen	Neitsinahk
Hymenoptera	Kategooria:Kiletiivalised
Hymenoptera	Kiletiivalised
Hymn	Hümn
Hyperbola	Hüperbool
Hyperion (mythology)	Hyperion
Hypertension	Hüpertensioon
Hypertext Transfer Protocol	Hypertext Transfer Protocol
Hypnos	Hypnos
Hypnosis	Hüpnoos
Hypothesis	Hüpotees
Iapetus (mythology)	Iapetos
Iberian Peninsula	Pürenee poolsaar
Ibuprofen	Ibuprofeen
Ice	Jää
Ice age	Jääaeg
Ice hockey	Jäähoki
Iceberg	Jäämägi
Iceland	Island
Iceland	Kategooria:Island
Ichthyology	Ihtüoloogia
Idaho	Idaho
Idaho	Kategooria:Idaho
Ideal gas	Ideaalne gaas
Idealism	Idealism
Identity element	Ühikelement
Identity matrix	Ühikmaatriks
Ideology	Ideoloogia
Ido	Ido
Ignatius of Loyola	Ignatius Loyola
Igneous rock	Tardkivim
Igor Stravinsky	Igor Stravinski
Iguazu Falls	Iguaçu juga
Iliad	Ilias
Illinois	Illinois
Illinois	Kategooria:Illinois
Illyria	Illüüria
Image scanner	Skanner
Imam	Imaam
Immanuel Kant	Immanuel Kant
Immune system	Immuunsüsteem
Immunology	Immunoloogia
Impressionism	Impressionism
Incest	Intsest
Inch	Toll (pikkusühik)
Incheon	Incheon
Independence	Iseseisvus
India	India
India	Kategooria:India
Indian Ocean	India ookean
Indian Ocean	Kategooria:India ookean
Indiana	Indiana
Indiana	Kategooria:Indiana
Indianapolis	Indianapolis
Indira Gandhi	Indira Gandhi
Indium	Indium
Indochina	Indohiina poolsaar
Indonesia	Indoneesia
Indonesia	Kategooria:Indoneesia
Indra	Indra
Inductor	Induktor
Indus (constellation)	Indiaanlane (tähtkuju)
Indus River	Indus
Industry	Tööstus
Inertia	Inerts
Infinity	Lõpmatus
Inflammation	Põletik
Inflation	Inflatsioon
Information	Informatsioon
Information theory	Informatsiooniteooria
Infrared	Infrapunakiirgus
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Inner Mongolia	Sise-Mongoolia
Innsbruck	Innsbruck
Inquisition	Inkvisitsioon
Insect	Putukad
Insecticide	Insektitsiid
Insulin	Insuliin
Integer	Täisarv
Integrated circuit	Mikrokiip
Intelligence	Intelligentsus
Intelligence quotient	Intelligentsuskvoot
Interest	Intress
Interference	Interferents
International Atomic Energy Agency	Rahvusvaheline Aatomienergia Agentuur
International Court of Justice	Rahvusvaheline Kohus
International Date Line	Kuupäevaraja
International Monetary Fund	Rahvusvaheline Valuutafond
International System of Units	SI-süsteem
International law	Kategooria:Rahvusvaheline õigus
International organization	Rahvusvaheline organisatsioon
Internet	Internet
Internet	Kategooria:Internet
Internet Explorer	Internet Explorer
Interpreter (computing)	Interpretaator
Intersection (set theory)	Ühisosa
Interval (music)	Intervall (muusika)
Intranet	Intranet
Invertebrate	Selgrootud
Io (moon)	Io (Jupiter)
Io (mythology)	Io
Iodine	Jood
Ion	Ioon
Ionia	Joonia
Ionian Sea	Joonia meri
Ionic bond	Iooniline side
Iowa	Iowa
Iowa	Kategooria:Iowa
Iran	Iraan
Iran	Kategooria:Iraan
Iraq	Iraak
Iraq	Kategooria:Iraak
Ireland	Iirimaa saar
Ireland	Kategooria:Iirimaa
Iridium	Iriidium
Iris (mythology)	Iris
Irish Sea	Iiri meri
Irish people	Kategooria:Iirimaa inimesed
Iron	Raud
Iron Age	Rauaaeg
Iron Curtain	Raudne eesriie
Iron Maiden	Iron Maiden
Irrational number	Irratsionaalarvud
Irtysh River	Irtõš
Isaac	Iisak
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Isis	Isis
Islam	Islam
Islam	Kategooria:Islam
Islamabad	Islamabad
Islamic calendar	Islami kalender
Island	Saar
Isle of Man	Man
Isle of Wight	Wight
Isomer	Isomeerid
Isotope	Isotoop
Israel	Iisrael
Israel	Kategooria:Iisrael
Istanbul	İstanbul
Isthmus	Maakitsus
Isthmus of Panama	Panama maakitsus
Italian Peninsula	Apenniini poolsaar
Italy	Itaalia
Italy	Kategooria:Itaalia
Ithaca	Ithaka
Ivan Lendl	Ivan Lendl
Ivan Pavlov	Ivan Pavlov
Ivan Turgenev	Ivan Turgenev
J. D. Salinger	Jerome David Salinger
Jack London	Jack London
Jackson	Jackson
Jackson Pollock	Jackson Pollock
Jacksonville	Jacksonville
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jacques Offenbach	Jacques Offenbach
Jaguar	Jaaguar
Jainism	Džainism
Jakarta	Jakarta
Jalalabad	Jalālābād
Jamaica	Jamaica
Jamaica	Kategooria:Jamaica
James A. Garfield	James Garfield
James Bond	James Bond
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Joyce	James Joyce
James K. Polk	James Knox Polk
James Madison	James Madison
James Monroe	James Monroe
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jammu and Kashmir	Jammu ja Kashmir
Jan Hus	Jan Hus
Jane Austen	Jane Austen
Jane Fonda	Jane Fonda
Jane Seymour	Jane Seymour
Janis Joplin	Janis Joplin
January	Jaanuar
January 1	1. jaanuar
January 19	19. jaanuar
January 20	20. jaanuar
January 6	6. jaanuar
Janus (mythology)	Janus (jumal)
Japan	Jaapan
Japan	Kategooria:Jaapan
Java	Jaava
Java (programming language)	Java
Jazz	Džäss
Jazz	Kategooria:Džäss
Jean Piaget	Jean Piaget
Jean Racine	Jean Racine
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jeddah	Jiddah
Jefferson City	Jefferson City
Jefferson Davis	Jefferson Davis
Jehovah	Jahve
Jehovah's Witnesses	Jehoova tunnistajad
Jena	Jena
Jeremy Bentham	Jeremy Bentham
Jerez de la Frontera	Jerez de la Frontera
Jericho	Jeeriko
Jerome	Hieronymus
Jersey	Jersey
Jerusalem	Jeruusalemm
Jesus	Jeesus
Jew	Juudid
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Joan of Arc	Jeanne d'Arc
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
Johannesburg	Johannesburg
John Adams	John Adams
John Cage	John Cage
John Dalton	John Dalton
John Galsworthy	John Galsworthy
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Maynard Keynes	John Maynard Keynes
John Quincy Adams	John Quincy Adams
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wayne	John Wayne
Johnny Cash	Johnny Cash
Jordan	Jordaania
Jordan	Kategooria:Jordaania
Jordan River	Jordani jõgi
Jorge Luis Borges	Jorge Luis Borges
Joseph Conrad	Joseph Conrad
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Joseph Louis Gay-Lussac	Joseph Louis Gay-Lussac
Joseph Priestley	Joseph Priestley
Joseph Pulitzer	Joseph Pulitzer
Joseph Stalin	Jossif Stalin
Joule	Džaul
Journalism	Ajakirjandus
Judaism	Judaism
Judaism	Kategooria:Judaism
Judas Iscariot	Juudas Iskariot
Judo	Judo
Jules Verne	Jules Verne
Julian calendar	Juliuse kalender
Julian the Apostate	Julianus Apostata
Julius Caesar	Julius Caesar
July	Juuli
July 1	1. juuli
July 4	4. juuli
June	Juuni
June 14	14. juuni
June 21	21. juuni
June 23	23. juuni
June 24	24. juuni
June 29	29. juuni
June 3	3. juuni
Juneau	Juneau
Juniper	Kadakas
Jupiter	Jupiter (planeet)
Jupiter	Kategooria:Jupiter
Jupiter (mythology)	Jupiter
Jurassic	Juura (geoloogia)
Justinian I	Justinianus I
Jutland	Jüütimaa
K2	K2
KGB	KGB
Kaaba	Kaaba
Kabbalah	Kabala
Kabul	Kabul
Kamchatka Peninsula	Kamtšatka poolsaar
Kampala	Kampala
Kandahar	Kandahār
Kansas	Kansas
Kansas	Kategooria:Kansas
Kansas City	Kansas City
Kara Sea	Kara meri
Karachi	Karachi
Karakoram	Karakoram
Karate	Karate
Karen Blixen	Karen Blixen
Karl Barth	Karl Barth
Karl Jaspers	Karl Jaspers
Karl Marx	Karl Marx
Karl Popper	Karl Popper
Karma	Karma
Karnataka	Karnataka
Katharine Hepburn	Katharine Hepburn
Kathmandu	Katmandu
Katowice	Katowice
Kaunas	Kaunas
Kazakhstan	Kasahstan
Kazakhstan	Kategooria:Kasahstan
Kazan	Kaasan
Kazimir Malevich	Kazimir Malevitš
Kelvin	Kelvin
Kent	Kent
Kentucky	Kentucky
Kentucky	Kategooria:Kentucky
Kenya	Kenya
Kenya	Kategooria:Kenya
Ketone	Ketoonid
Keyboard (computing)	Sõrmistik
Keyboard instrument	Klahvpillid
Khabarovsk	Habarovsk
Khan	Khaan
Kharkiv	Harkiv
Khartoum	Hartum
Khmer Rouge	Punased khmeerid
Khufu	Hufu
Kibbutz	Kibuts
Kidney	Neerud
Kiev	Kiiev
Kigali	Kigali
Kilogram	Kilogramm
Kilometre	Kilomeeter
Kindergarten	Lasteaed
Kingdom (biology)	Riik (bioloogia)
Kingston	Kingston
Kinshasa	Kinshasa
Kiribati	Kiribati
Kirkuk	Kirkūk
Knesset	Knesset
Knife	Nuga
Knight (chess)	Ratsu
Knot (speed)	Sõlm (kiirusühik)
Knowledge	Teadmine
Knut Hamsun	Knut Hamsun
Kobe	Kōbe
Kola Peninsula	Koola poolsaar
Kolkata	Kolkata
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Korea	Korea
Korea	Kategooria:Korea
Korean War	Korea sõda
Kosovo	Kosovo
Kosovo	Kategooria:Kosovo
Krypton	Krüptoon
Kuala Lumpur	Kuala Lumpur
Kublai Khan	Hubilai
Kuiper belt	Kuiperi vöö
Kung fu (term)	Kung-fu
Kunlun Mountains	Kunlun
Kuomintang	Guomindang
Kura River	Kura jõgi
Kurdistan	Kategooria:Kurdistan
Kursk	Kursk
Kurt Vonnegut	Kurt Vonnegut
Kurt Waldheim	Kurt Waldheim
Kuwait	Kuveit
Kuwait	Kategooria:Kuveit
Kuwait City	Al-Kuwayt
KwaZulu-Natal	KwaZulu-Natal
Kyoto	Kyōto
Kyrgyzstan	Kõrgõzstan
Kyrgyzstan	Kategooria:Kõrgõzstan
L'Aquila	L'Aquila
LAMP (software bundle)	LAMP-platvorm
La Paz	La Paz
La Plata	La Plata
La Spezia	La Spezia
Labrador Retriever	Labradori retriiver
Lactic acid	Piimhape
Lady Jane Grey	Jane Grey
Lagomorpha	Jäneselised
Lagos	Lagos
Lahore	Lahore
Laissez-faire	Laissez faire
Lake	Järv
Lake Baikal	Baikali järv
Lake Balaton	Balaton
Lake Chad	Tšaadi järv
Lake Constance	Bodeni järv
Lake Erie	Erie järv
Lake Eyre	Eyre'i järv
Lake Geneva	Genfi järv
Lake Huron	Huroni järv
Lake Ilmen	Ilmjärv
Lake Ladoga	Laadoga järv
Lake Malawi	Njassa järv
Lake Michigan	Michigani järv
Lake Onega	Äänisjärv
Lake Ontario	Ontario järv
Lake Superior	Ülemjärv
Lake Tanganyika	Tanganjika järv
Lake Victoria	Victoria järv
Lamiaceae	Huulõielised
Lamprey	Silmulised
Lancashire	Lancashire
Lancelet	Süstikkalad
Language	Keel (keeleteadus)
Languedoc-Roussillon	Languedoc-Roussillon
Lansing	Lansing
Lanthanide	Lantanoidid
Lanthanum	Lantaan
Laos	Laos
Laos	Kategooria:Laos
Laptev Sea	Laptevite meri
Laptop	Sülearvuti
Larch	Lehis
Larynx	Kõri
Las Vegas	Las Vegas
Laser	Laser
Lathe	Treipink
Latin	Ladina keel
Latin America	Ladina-Ameerika
Latin alphabet	Ladina kiri
Latitude	Laiuskraad
Latvia	Läti
Latvia	Kategooria:Läti
Laurasia	Lauraasia
Lausanne	Lausanne
Lava	Laava
Law	Kategooria:Õigusteadus
Law enforcement	Kategooria:Politsei
Lawrencium	Lavrentsium
Lawyer	Advokaat
Lazio	Lazio
Le Corbusier	Le Corbusier
Le Havre	Le Havre
Lead	Plii
Leaf	Leht
League of Nations	Rahvasteliit
Leap year	Liigaasta
Learning	Õppimine
Lebanon	Liibanon
Lebanon	Kategooria:Liibanon
Leda (mythology)	Leda
Lee Harvey Oswald	Lee Harvey Oswald
Leeds	Leeds
Legend	Legend
Legislature	Seadusandlik võim
Leiden	Leiden
Leipzig	Leipzig
Lemon	Harilik sidrunipuu
Lemon balm	Sidrunmeliss
Lena River	Leena
Length	Pikkus
Lens (optics)	Lääts
Leo I (emperor)	Leo I (keiser)
Leon Trotsky	Lev Trotski
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leonid Brezhnev	Leonid Brežnev
Leopard	Leopard
Lepidoptera	Liblikalised
Lepton	Leptonid
Lepus (constellation)	Jänes (tähtkuju)
Lesbian	Lesbi
Lesotho	Lesotho
Lesser Antilles	Väikesed Antillid
Leto	Leto
Letter (alphabet)	Täht (kiri)
Levant	Levant
Lever	Kang
Lewis Carroll	Lewis Carroll
Lhasa	Lhasa
Lhotse	Lhotse
Liberalism	Liberalism
Liberation Tigers of Tamil Eelam	Tamili Eelami Vabastustiigrid
Liberia	Libeeria
Libra (constellation)	Kaalud (tähtkuju)
Library	Raamatukogu
Library science	Raamatukoguteadus
Libretto	Libreto
Libreville	Libreville
Libya	Liibüa
Lichen	Samblikud
Lie	Valetamine
Liechtenstein	Liechtenstein
Liechtenstein	Kategooria:Liechtenstein
Lieutenant	Leitnant
Life	Elu
Life	Kategooria:Elu
Light	Valgus
Light-emitting diode	Valgusdiood
Light-year	Valgusaasta
Lighthouse	Tuletorn
Liguria	Liguuria
Ligurian Sea	Liguuria meri
Liliaceae	Liilialised
Lilith	Lilith
Lilongwe	Lilongwe
Lima	Lima (Peruu)
Limestone	Lubjakivi
Limnology	Limnoloogia
Limousin (region)	Limousin
Lincoln	Lincoln (Nebraska)
Lincoln	Lincoln
Line (mathematics)	Sirge
Linear equation	Lineaarvõrrand
Linguistics	Keeleteadus
Linguistics	Kategooria:Keeleteadus
Linus Pauling	Linus Pauling
Linux	Linux
Linux	Kategooria:Linux
Linz	Linz
Lion	Lõvi
Liqueur	Liköör
Liquid	Vedelik
Lisbon	Lissabon
Lise Meitner	Lise Meitner
Lisp (programming language)	LISP
Literature	Kirjandus
Literature	Kategooria:Kirjandus
Lithium	Liitium
Lithography	Litograafia
Lithosphere	Litosfäär
Lithuania	Leedu
Lithuania	Kategooria:Leedu
Litre	Liiter
Liverpool	Liverpool
Livonia	Liivimaa
Ljubljana	Ljubljana
Llama	Laama (loom)
Local area network	Kohtvõrk
Loch Ness	Loch Ness
Loch Ness Monster	Nessie
Logic	Loogika
Logic	Kategooria:Loogika
Logistics	Logistika
Logo	Logo
Loire	Loire'i departemang
Loire River	Loire
Loki	Loki
Lombardy	Lombardia
London	London
London	Kategooria:London
Long Island	Long Island
Long jump	Kaugushüpe
Long-eared Owl	Kõrvukräts
Lope de Vega	Lope de Vega
Lord's Prayer	Meieisapalve
Lorraine (region)	Lorraine
Los Angeles	Los Angeles
Lot (department)	Loti departemang
Loudspeaker	Kõlar
Louis Armstrong	Louis Armstrong
Louis Pasteur	Louis Pasteur
Louis the Pious	Ludwig Vaga
Louis the Stammerer	Louis II (Lääne-Frangi kuningas)
Louisiana	Louisiana osariik
Louisiana	Kategooria:Louisiana
Louvre	Louvre
Love	Armastus
Low German	Alamsaksa keel
Lower Saxony	Alam-Saksi
Luanda	Luanda
Lublin	Lublin
Luciano Pavarotti	Luciano Pavarotti
Lucifer	Lucifer
Ludwig Boltzmann	Ludwig Boltzmann
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Luigi Pirandello	Luigi Pirandello
Luminescence	Luminestsents
Lund	Lund
Lungfish	Kopskalad
Lusaka	Lusaka
Lute	Lauto
Lutetium	Luteetsium
Lutheranism	Luterlus
Luxembourg	Luksemburg
Luxembourg	Kategooria:Luksemburg
Luxembourg (city)	Luxembourg
Luxor	Luxor
Luzon	Luzon
Lydia	Lüüdia
Lynx (web browser)	Lynx (brauser)
Lyon	Lyon
Lysergic acid diethylamide	LSD
M	M
MESSENGER	MESSENGER
MS-DOS	MS-DOS
Macau	Aomen
Macedon	Vana-Makedoonia
Machine	Masin
Machine code	Masinkood
Macintosh	Macintosh
Macroeconomics	Makroökonoomika
Madagascar	Madagaskar
Madagascar	Kategooria:Madagaskar
Madeira	Madeira
Madison	Madison
Madonna (entertainer)	Madonna (laulja)
Madrid	Madrid
Madrid (autonomous community)	Madridi autonoomne piirkond
Magic (paranormal)	Maagia
Magma	Magma
Magna Carta	Magna Carta
Magnesium	Magneesium
Magnetic field	Magnetväli
Magnetic resonance imaging	Magnetresonantstomograafia
Magnetite	Magnetiit
Magnifying glass	Luup
Maharashtra	Maharashtra
Mahatma Gandhi	Mahatma Gandhi
Mahayana	Mahajaana
Main	Main
Maine	Maine
Maine	Kategooria:Maine
Maize	Mais
Major	Major
Major scale	Mažoor
Majorca	Mallorca
Makalu	Makalu
Malachite	Malahhiit
Malacostraca	Kõrgemad vähid
Malaria	Malaaria
Malawi	Kategooria:Malawi
Malay Peninsula	Malaka poolsaar
Malayan Tapir	Aasia taapir
Malaysia	Malaisia
Malaysia	Kategooria:Malaisia
Malcolm X	Malcolm X
Maldives	Maldiivid
Maldives	Kategooria:Maldiivid
Mali	Mali
Mali	Kategooria:Mali
Mallard	Sinikael-part
Malta	Malta
Malta	Kategooria:Malta
Maltese language	Malta keel
Maltose	Maltoos
Mammal	Imetajad
Mammoth	Mammut
Managua	Managua
Manama	Al-Manāmah
Manchester	Manchester
Manchuria	Mandžuuria
Mandala	Mandala
Mandarin orange	Harilik mandariinipuu
Manganese	Mangaan
Mangrove	Mangroov
Manhattan	Manhattan
Manhattan Project	Manhattani projekt
Manila	Manila
Manipur	Manipur
Manitoba	Manitoba provints
Mannheim	Mannheim
Mantle (geology)	Vahevöö
Mantra	Mantra
Mantua	Mantova
Manuel de Falla	Manuel de Falla
Mao Zedong	Mao Zedong
Map	Kaart (kartograafia)
Maputo	Maputo
Marathon	Maraton
Marble	Marmor
Marc Chagall	Marc Chagall
Marcel Duchamp	Marcel Duchamp
Marcel Proust	Marcel Proust
March	Märts
March 17	17. märts
March 19	19. märts
March 2	2. märts
March 25	25. märts
Marche	Marche
Marco Polo	Marco Polo
Marcus Aurelius	Marcus Aurelius
Marduk	Marduk
Margaret Mead	Margaret Mead
Margaret Mitchell	Margaret Mitchell
Margaret Thatcher	Margaret Thatcher
Maria Callas	Maria Callas
Mariana Islands	Mariaanid
Marie Antoinette	Marie Antoinette
Marie Curie	Marie Curie
Mariehamn	Mariehamn
Marilyn Monroe	Marilyn Monroe
Mark Antony	Marcus Antonius
Mark Twain	Mark Twain
Market	Turg
Marketing	Turundus
Marlene Dietrich	Marlene Dietrich
Marquis de Sade	Markii de Sade
Marriage	Abiellumine
Mars	Kategooria:Marss
Marseille	Marseille
Marshall Islands	Marshalli Saared
Marshall Plan	Marshalli plaan
Martin Buber	Martin Buber
Martin Heidegger	Martin Heidegger
Martin Luther	Martin Luther
Martin Luther King	Martin Luther King
Martin Scorsese	Martin Scorsese
Martin Van Buren	Martin Van Buren
Martina Navratilova	Martina Navrátilová
Martinique	Martinique
Martyr	Märter
Marxism	Marksism
Mary Shelley	Mary Shelley
Mary Wollstonecraft	Mary Wollstonecraft
Maryland	Maryland
Maryland	Kategooria:Maryland
Mashhad	Mashhad
Mass	Mass
Mass (liturgy)	Missa
Mass number	Massiarv
Massachusetts	Massachusetts
Massachusetts	Kategooria:Massachusetts
Massachusetts Institute of Technology	Massachusettsi Tehnoloogiainstituut
Mata Hari	Mata Hari
Match	Tuletikk
Mathematical logic	Matemaatiline loogika
Mathematics	Matemaatika
Mathematics	Kategooria:Matemaatika
Matrix (mathematics)	Maatriks
Matter	Aine (füüsika)
Matterhorn	Matterhorn
Mauna Kea	Mauna Kea
Mauna Loa	Mauna Loa
