English	Galician
Niger	Categoría:Níxer
Niger River	Río Níxer
Nigeria	Nixeria - Nigeria
Nigeria	Categoría:Nixeria
Night	Noite
Nightingale	Rousinol
Nikola Tesla	Nikola Tesla
Nile	Río Nilo
Niobium	Niobio
Nirvana	Nirvana
Nitrogen	Nitróxeno
Nitroglycerin	Nitroglicerina
Njord	Njord
Noah	Noé
Noam Chomsky	Noam Chomsky
Nobel Prize	Premios Nobel
Nobelium	Nobelio
Nobility	Nobreza
Noble gas	Gas nobre
Nomad	Nómade
Nominative case	Nominativo
Norfolk Island	Illa Norfolk
Norma (constellation)	Norma (constelación)
Normal distribution	Distribución normal
Norman Mailer	Norman Mailer
Normandy	Normandía
Norn	Norns
Norse mythology	Mitoloxía nórdica
North	Norte
North Africa	África do Norte
North America	América do Norte
North America	Category:América do Norte
North Carolina	Carolina do Norte
North Dakota	Dacota do Norte
North Island	Illa Norte
North Korea	Corea do Norte - 북한
North Korea	Categoría:Corea do Norte
North Pole	Polo Norte
North Sea	Mar do Norte
North Yorkshire	North Yorkshire
Northern Europe	Europa do norte
Northern Hemisphere	Hemisferio norte
Northern Ireland	Irlanda do Norte - Northern Ireland
Northern Mariana Islands	Illas Marianas do Norte
Northern Territory	Territorio do Norte
Northwest Territories	Territorios do Noroeste
Norway	Noruega - Noreg
Norway	Categoría:Noruega
Norwegian Sea	Mar de Noruega
Note	Nota musical
Nouakchott	Nouakchott
Noun	Substantivo
Nova Scotia	Nova Escocia
Novaya Zemlya	Nova Cembla - Нoвая Земля
Novel	Novela
November	Novembro
November 1	1 de novembro
November 11	11 de novembro
November 2	2 de novembro
November 5	5 de novembro
Nu (letter)	Ni (letra)
Nuclear fission	Fisión nuclear
Nuclear physics	Física nuclear
Nuclear power	Enerxía nuclear
Nuclear weapon	Bomba atómica
Nucleic acid	Ácido nucleico
Nucleon	Nucleón
Nucleotide	Nucleótido
Number	Número
Numismatics	Numismática
Numismatics	Categoría:Numismática
Nunavut	Nunavut
Nuremberg	Nuremberg - Nürnberg
Nyx (mythology)	Nicte
O	O
Oahu	Oahu (illa)
Oak	Carballo (árbore)
Oaxaca	Oaxaca
Obelisk	Obelisco
Obesity	Obesidade
Oboe	Óboe
Observatory	Observatorio
Occam's razor	Navalla de Occam
Ocean	Océano
Ocean current	Corrente oceánica
Oceania	Oceanía
Oceanography	Oceanografía
Octal	Código octal
Octans	Octans
Octave	Oitava
October	Outubro
October 12	12 de outubro
October 24	24 de outubro
Octopus	Polbo
Ode	Oda
Oder River	Río Oder
Odin	Odín
Odysseus	Ulises
Odyssey	A Odisea
Oedipus	Edipo
Ohio	Ohio
Ohm	Ohm
Ohm's law	Lei de Ohm
Oil	Aceite
Oil painting	Pintura ó óleo
Oklahoma	Oklahoma
Oklahoma City	Oklahoma City
Oktoberfest	Oktoberfest
Old Norse	Antigo nórdico
Oligarchy	Oligarquía
Oligopoly	Oligopolio
Olive	Oliveira
Oliver Cromwell	Oliver Cromwell
Olivine	Olivina
Olympia	Olympia, Washington
Olympia	Olimpia
Olympic Games	Xogos Olímpicos
Olympics	Categoría:Xogos Olímpicos
Oman	Omán - عُمان
Oman	Categoría:Omán
Omega	Omega
Omicron	Omicrón
Onion	Cebola
Onomastics	Onomástica
Ontario	Ontario
Ontology	Ontoloxía
Oort cloud	Nube de Oort
Opal	Ópalo
Opera	Ópera
Opera (Internet suite)	Opera (Navegador)
Operating system	Sistema operativo
Ophiuchus	Ophiuchus
Optical fiber	Fibra óptica
Optical illusion	Ilusión óptica
Optics	Óptica
Optics	Categoría:Óptica
Orange (colour)	Laranxa (cor)
Orange (fruit)	Laranxa (froita)
Orangutan	Orangután
Orbit	Órbita
Orca	Candorca
Orchestra	Orquestra
Orchidaceae	Orquídea
Order (biology)	Orde (bioloxía)
Order of Saint Benedict	Orde de San Bieito
Oregano	Ourego
Oregon	Oregon
Organ (anatomy)	Órgano (bioloxía)
Organelle	Orgánulo
Organic chemistry	Química orgánica
Organic chemistry	Categoría:Química orgánica
Organism	Organismo
Organization of American States	Organización de Estados Americanos
Origami	Origami
Origen	Oríxenes
Original sin	Pecado orixinal
Orinoco	Río Orinoco
Orion (constellation)	Orión (constelación)
Orissa	Orissa
Ornithology	Ornitoloxía
Orson Welles	Orson Welles
Orthography	Ortografía
Osaka	Osaca - 大阪市
Osama bin Laden	Osama bin Laden
Oscar Wilde	Oscar Wilde
Osiris	Osiris (deus)
Oslo	Oslo
Osmium	Osmio
Osprey	Aguia peixeira
Ostrich	Avestruz
Othello	Othello
Otho	Otón
Ottawa	Otava - Ottawa
Otto von Bismarck	Otto von Bismarck
Ottoman Empire	Imperio Otomán
Ottoman Empire	Categoría:Imperio Otomán
Ovary	Ovario
Ovid	Ovidio
Oviedo	Oviedo
Oxford	Oxford
Oxide	Óxido
Oxygen	Osíxeno (elemento)
Oxymoron	Oxímoron
Ozone	Ozono
Ozone layer	Ozonosfera
P	P
PH	PH
Pablo Neruda	Pablo Neruda
Pablo Picasso	Pablo Picasso
Pacific Ocean	Océano Pacífico
Pacifism	Pacifismo
Paganism	Pagán
Painting	Categoría:Pintura
Pakistan	Paquistán - پاکستان
Pakistan	Categoría:Paquistán
Palau	Palau - Belau
Paleolithic	Paleolítico
Paleontology	Paleontoloxía
Paleontology	Category:Paleontoloxía
Palermo	Palermo
Palestine	Palestina - فلسطين
Palestine Liberation Organization	Organización para a Liberación de Palestina
Pali	Lingua pali
Palladium	Paladio
Pan (mythology)	Pan (deus)
Panama	Panamá
Panama	Categoría:Panamá
Panama Canal	Canle de Panamá
Panama City	Cidade de Panamá - Ciudad de Panamá
Pancreas	Páncreas
Pandemic	Pandemia
Pangaea	Panxea
Pantheon	Panteón (Roma)
Papal States	Estados Pontificios
Papua New Guinea	Papúa Nova Guinea
Papyrus	Papiro
Parabola	Parábola (xeometría)
Paradigm	Paradigma
Paradox	Paradoxo
Paragliding	Parapente
Paraguay	Paraguai - Paraguay
Paraguay	Categoría:Paraguai
Parallax	Paralaxe
Paramaribo	Paramaribo
Parchment	Pergamiño
Paris	París - Paris
Paris (mythology)	Paris
Parkinson's disease	Párkinson
Parliament	Parlamento
Parmenides	Parménides de Elea
Parody	Parodia
Parsec	Parsec
Parsley	Perexil
Parthenon	Partenón
Particle physics	Física de Partículas
Pascal	Pascal
Pascal (programming language)	Linguaxe Pascal
Pascal (unit)	Pascal (unidade)
Pasteurization	Pasteurización
Patagonia	Patagonia
Patent	Patente
Paul Gauguin	Paul Gauguin
Paul Johann Ludwig von Heyse	Paul von Heyse
Paul Klee	Paul Klee
Pauli exclusion principle	Principio de exclusión de Pauli
Pawn (chess)	Peón (xadrez)
Peace	Paz
Peach	Pexego
Peanut	Cacahuete
Pear	Pereira
Pearl Harbor	Pearl Harbor
Pedagogy	Pedagoxía
Pediatrics	Pediatría
Peloponnese	Peloponeso
Peloponnesian War	Guerra do Peloponeso
Pencil	Lapis
Penguin	Pingüín
Peninsula	Península
Pennsylvania	Pensilvania - Pennsylvania
Pentagon	Pentágono (xeometría)
People	Categoría:Personalidades
People's Republic of China	China - 中国
Pepin the Short	Pipino o Breve
Percussion instrument	Instrumento de percusión
Peregrine Falcon	Falcón peregrino
Perestroika	Perestroika
Pericles	Pericles
Period (periodic table)	Período da táboa periódica
Periodic table	Táboa periódica dos elementos
Perm	Perm, Rusia
Permafrost	Permafrost
Pernambuco	Estado de Pernambuco
Persian Empire	Persia
Persian Gulf	Golfo Pérsico
Peru	Perú
Peru	Categoría:Perú
Pesticide	Pesticida
Peter Abelard	Pierre Abélard
Peter Paul Rubens	Peter Paul Rubens
Petrarch	Francesco Petrarca
Petroleum	Petróleo
Phanerozoic	Fanerozoico
Pharaoh	Faraón
Pharynx	Farinxe
Phenol	Fenol
Phenomenology	Fenomenoloxía
Phenotype	Fenotipo
Phi (letter)	Fi
Philadelphia	Filadelfia
Philately	Filatelia
Philately	Categoría:Filatelia
Philip II of Macedon	Filipo II de Macedonia
Philip II of Spain	Filipe II de España
Philipp Lenard	Philipp Lenard
Philippines	Filipinas - Pilipinas
Philippines	Category:Filipinas
Philology	Filoloxía
Philosophy	Filosofía
Philosophy	Categoría:Filosofía
Phobos (moon)	Fobos
Phoenicia	Fenicia
Phoenix	Phoenix, Arizona
Phoenix (constellation)	Phoenix
Phoneme	Fonema
Phonetics	Fonética
Phonetics	Categoría:Fonética
Phonology	Fonémica
Phosphorus	Fósforo (elemento)
Photography	Fotografía
Photography	Categoría:Fotografía
Photon	Fotón
Photosynthesis	Fotosíntese
Physical chemistry	Química Física
Physics	Física
Physics	Categoría:Física
Physiology	Fisioloxía
Physiology	Categoría:Fisioloxía
Pi	Número pi
Pi (letter)	Pi (letra)
Piano	Piano
Pidgin	Pidgins
Piedmont	Piemonte
Pierre	Pierre
Pierre Curie	Pierre Curie
Piet Mondrian	Pieter Mondrian
Pieter Zeeman	Pieter Zeeman
Pigment	Pigmento
Pindar	Píndaro
Pine	Piñeiro
Pineapple	Ananás
Ping	Ping
Pink	Rosa (cor)
Piracy	Piratería
Pisa	Pisa
Piston	Pistón
Pittsburgh	Pittsburgh
Pixel	Píxel
Pizza	Pizza
Planet	Planeta
Planetary nebula	Nebulosa planetaria
Plant	Planta
Plasma (physics)	Plasma
Plasmid	Plasmidio
Platelet	Plaqueta
Platinum	Platino
Plato	Platón
Platypus	Ornitorrinco
Pleistocene	Pleistoceno
Pliny the Elder	Plinio o Vello
Pliny the Younger	Plinio o Novo
Plum	Ameixa, froito
Pluto	Plutón (planeta anano)
Pluto (disambiguation)	Plutón
Plutonium	Plutonio
Pneumonia	Pneumonía
Po River	Río Po
Podcast	Podcasting
Poetry	Poesía
Poetry	Categoría:Poesía
Poison	Veleno
Poker	Póker
Poland	Polonia - Polska
Poland	Categoría:Polonia
Polar bear	Oso polar
Police	Policía
Poliomyelitis	Poliomielite
Political party	Partido político
Political science	Ciencia política
Politics	Política
Politics	Categoría:Política
Pollen	Pole
Pollination	Polinización
Pollution	Contaminación
Polo	Polo (deporte)
Polonium	Polonio
Polygon	Polígono
Polymer	Polímero
Polynesia	Polinesia
Polynomial	Polinomio
Polytheism	Politeísmo
Pompeii	Pompeia
Pompey	Cneo Pompeio Magno
Pop art	Arte pop
Pop music	Pop
Pope	Papa
Pope Alexander VI	Alexandre VI, papa
Populism	Populismo
Porcelain	Porcelana
Port Vila	Port Vila
Port of Spain	Port of Spain
Port-au-Prince	Porto Príncipe
Porto	Porto, Portugal
Portrait	Retrato
Portugal	Portugal
Portugal	Categoría:Portugal
Poseidon	Poseidón
Positron	Positrón
Postage stamp	Selo postal
Postmodernism	Posmodernismo
Potassium	Potasio
Potato	Pataca
Potsdam	Potsdam
Pound sterling	Libra esterlina
Poverty	Pobreza
Power (physics)	Potencia
Praetor	Pretor
Prague	Praga - Praha
Praia	Praia, Cabo Verde
Praseodymium	Praseodimio
Precambrian	Pre-Cambriano
Precession	Precesión
President	Presidente
President of the United States	Presidentes dos Estados Unidos de América
Pressure	Presión
Pretoria	Pretoria
Price	Prezo
Priest	Sacerdote
Primate	Primate
Prime Meridian	Meridiano de Greenwich
Prime minister	Primeiro ministro
Prime number	Número primo
Prince Edward Island	Illa do Príncipe Eduardo
Prince of Wales	Príncipe de Gales
Prion	Prión
Probability theory	Teoría da probabilidade
Programmer	Programador
Programming language	Linguaxe de programación
Progressive rock	Rock progresivo
Prolog	Prolog
Promethium	Promecio
Pronoun	Pronome
Protactinium	Protoactinio
Protectorate	Protectorado
Protein	Proteína
Proterozoic	Proterozoico
Protestant Reformation	Reforma Protestante
Protestantism	Protestantismo
Protocol	Protocolo
Proton	Protón
Providence	Providence
Prussia	Prusia
Psalms	Salmo
Pseudonym	Pseudónimo
Pseudoscience	Pseudociencia
Psi (letter)	Psi
Psychiatry	Psiquiatría
Psychoanalysis	Psicanálise
Psychology	Psicoloxía
Psychology	Categoría:Psicoloxía
Pterosaur	Pterosauria
Ptolemy	Ptolomeo
Puberty	Puberdade
Public domain	Dominio público
Puerto Rico	Porto Rico - Puerto Rico
Pupil	Pupila
Pyongyang	Pyongyang
Pyrenees	Pireneos
Pyrite	Pirita
Pyrrhic victory	Vitoria pírrica
Pythagoras	Pitágoras
Python (programming language)	Python
Pyxis	Pyxis
Q	Q
Qatar	Qatar - قطر
Qatar	Categoría:Qatar
Quadrilateral	Cuadrilátero
Quaestor	Cuestor
Quantum field theory	Teoría Cuántica de campos
Quantum mechanics	Mecánica cuántica
Quarantine	Corentena
Quark	Quark
Quartz	Cuarzo
Quasar	Quasar
Quaternary	Era cuaternaria
Quebec	Quebec - Québec
Quebec City	Quebec (cidade)
Quechua	Lingua quechua
Queen (chess)	Dama (xadrez)
Queens	Queens
Queensland	Queensland
Quentin Tarantino	Quentin Tarantino
Quito	Quito
R	R
RNA	Ácido ribonucleico
Ra	Ra (deus)
Rabat	Rabat - الرباط
Rabindranath Tagore	Rabindranath Tagore
Rachel Carson	Rachel Carson
Racism	Racismo
Radar	Radar
Radian	Radián
Radio	Categoría:Radio
Radio telescope	Radiotelescopio
Radioactive decay	Radiactividade
Radium	Radio (elemento)
Radius	Raio (xeometría)
Radon	Radon
Rain	Chuvia
Rainbow	Arco da vella
Raleigh	Raleigh, Carolina do Norte
Ralph Waldo Emerson	Ralph Waldo Emerson
Ramesses II	Ramsés II
Random access memory	Memoria de acceso aleatorio
Rapeseed	Colza
Raphael	Rafael
Rat	Rata
Rational number	Número racional
Ravenna	Ravenna
Ray Bradbury	Ray Bradbury
Read-only memory	ROM
Real number	Número real
Recession	Recesión
Recife	Recife
Red	Vermello
Red Fox	Raposo
Red Sea	Mar Vermello
Red algae	Algas vermellas
Red dwarf	Anana vermella
Red giant	Xigante vermella
Referendum	Referendo
Refraction	Refracción
Refractive index	Índice de refracción
Reggae	Reggae
Reindeer	Reno
Religion	Relixión
Religion	Categoría:Relixión
Rembrandt	Rembrandt
Renaissance	Renacemento
Reptile	Réptil
Republic	República
Republic of China	Taiwán - 臺灣
Republic of Ireland	Irlanda - Éire
Republic of Ireland	Categoría:Irlanda
Republic of the Congo	Congo
Republic of the Congo	Categoría:Congo
Republican Party (United States)	Partido Republicano (Estados Unidos)
Restaurant	Restaurante
Revolution	Revolución
Rhea (moon)	Rea (satélite)
Rhea (mythology)	Rea (deusa)
Rhenium	Renio
Rhetoric	Retórica
Rhine	Río Rhin
Rhinoceros	Rhinocerotidae
Rho (letter)	Rho
Rhode Island	Rhode Island
Rhodes	Rodas - Ρόδος
Rhodium	Rodio
Rhombus	Rombo
Rhythm and blues	Rhythm and blues
Riboflavin	Vitamina B2
Ribosome	Ribosoma
Rice	Arroz
Richard Feynman	Richard Feynman
Richard Nixon	Richard Milhous Nixon
Richard Wagner	Richard Wagner
Richmond	Richmond, Virxinia
Riga	Riga
Rigel	Rigel
Right ascension	Ascensión recta
Rio de Janeiro	Río de Xaneiro - Rio de Janeiro
Rio de Janeiro (state)	Estado de Río de Xaneiro - Rio de Janeiro
River	Río
River Thames	Río Támese
Riyadh	Riad
Roald Amundsen	Roald Amundsen
Robert A. Heinlein	Robert A. Heinlein
Robert Andrews Millikan	Robert Andrews Millikan
Robert Boyle	Robert Boyle
Robert Burns	Robert Burns
Robert De Niro	Robert De Niro
Robert E. Lee	Robert Edward Lee
Robert Hooke	Robert Hooke
Robert Koch	Robert Koch
Robert Louis Stevenson	Robert Louis Stevenson
Robert Oppenheimer	Robert Oppenheimer
Robert Owen	Robert Owen
Robert Schumann	Robert Schumann
Robot	Robot
Rock (geology)	Rocha
Rock and roll	Rock and roll
Rocky Mountains	Montañas Rochosas
Rococo	Rococó
Rodent	Roedor
Roe Deer	Corzo
Roentgenium	Roentgenio
Roger Bacon	Roger Bacon
Roman Catholic Church	Igrexa Católica Romana
Roman Empire	Imperio Romano
Roman Republic	República Romana
Roman calendar	Calendario romano
Roman law	Dereito romano
Roman legion	Lexión romana
Roman mythology	Mitoloxía romana
Roman mythology	Categoría:Mitoloxía romana
Romania	Romanía - România
Romania	Categoría:Romanía
Romansh	Lingua retorrománica
Romanticism	Romanticismo
Rome	Roma
Ronald Reagan	Ronald Reagan
Rook (chess)	Torre (xadrez)
Roosevelt	Roosevelt
Rosa Parks	Rosa Parks
Rosario	Rosario
Rose	Rosa (flor)
Rosemary	Romeu
Rosetta Stone	Pedra de Rosetta
Ross Sea	Mar de Ross
Rotifer	Rotífero
Rotterdam	Róterdan - Rotterdam
Router	Router
Rowing (sport)	Remo (deporte)
Royal Air Force	Royal Air Force
Royal Society	Royal Society
Rubber	Caucho
Rubicon	Río Rubicón
Rubidium	Rubidio
Ruby	Rubí
Ruby (programming language)	Ruby
Rudolf Diesel	Rudolf Diesel
Rudyard Kipling	Rudyard Kipling
Rugby football	Rugby
Russia	Rusia - Россия
Russia	Categoría:Rusia
Russian Revolution (1917)	Revolución Rusa de 1917
Russo-Japanese War	Guerra ruso-xaponesa
Ruthenium	Rutenio
Rutherford B. Hayes	Rutherford Birchard Hayes
Rutherfordium	Rutherfordio
Rwanda	Ruanda - Rwanda
Rwanda	Categoría:Ruanda
Rye	Centeo
S	S
SOAP	Simple Object Access Protocol
Sacramento	Sacramento, California
Saddam Hussein	Saddam Hussein
Safari (web browser)	Safari (navegador)
Sahara	Deserto do Sáhara
Saint George	Xurxo de Capadocia
Saint Kitts and Nevis	Saint Kitts e Nevis
Saint Lucia	Santa Lucía - Saint Lucia
Saint Lucia	Categoría:Santa Lucía
Saint Patrick	Patricio de Irlanda
Saint Paul	Saint Paul
Saint Peter	Pedro, papa
Saint Petersburg	San Petersburgo - Санкт-Петербург
Saint Vincent and the Grenadines	San Vicente e Granadinas - Saint Vincent and the Grenadines
Saladin	Saladino
Salem	Salem, Oregon
Salt Lake City	Salt Lake City
Salvador	Salvador, Brasil
Salzburg	Salzburgo (estado) - Salzburg
Samarium	Samario
Samarkand	Samarcanda
Samoa	Samoa
Samoa	Categoría:Samoa
Samuel Beckett	Samuel Beckett
Samurai	Samurai
San Diego	San Diego, California
San Francisco	San Francisco
San Marino	San Mariño - San Marino
San Marino	Categoría:San Marino
San Salvador	San Salvador
Sand	Area
Sandro Botticelli	Sandro Botticelli
Sandstone	Arenita
Sanskrit	Lingua sánscrita
Santiago	Santiago de Chile
Santiago	Santiago (homónimos)
Santiago de Cuba	Santiago de Cuba
Santo Domingo	Santo Domingo
Santos (Săo Paulo)	Santos, Brasil
Sappho	Safo
Sapporo	Sapporo - 札幌
Sarajevo	Saraievo - Sarajevo
Sardine	Sardiña
Sardinia	Sardeña - Sardigna
Sari	Sari
Saskatchewan	Saskatchewan
Satellite	Satélite artificial
Satire	Sátira
Saturday	Sábado
Saturn	Saturno (planeta)
Saturn (disambiguation)	Saturno
Saturn (mythology)	Saturno (deus)
Satyr	Sátiro
Saudi Arabia	Arabia Saudí - العربية السعودية
Saudi Arabia	Categoría:Arabia Saudí
Saul Bellow	Saul Bellow
Sausage	Salchicha
Savanna	Sabana
Saxony	Saxonia - Sachsen
Saxophone	Saxofón
Scandinavia	Escandinavia
Scandium	Escandio
Scapula	Omoplata
Schizophrenia	Esquizofrenia
Scholasticism	Escolástica, Filosofía
Schutzstaffel	Schutzstaffel
Science	Ciencia
Science	Categoría:Ciencia
Science fiction	Ficción científica
Scientific method	Método científico
Scientist	Científico
Scientology	Ciencioloxía
Scipio Africanus	Publio Cornelio Escipión o Africano
Scorpion	Escorpión
Scotland	Escocia - Scotland
Scotland	Categoría:Escocia
Scottish Gaelic	Lingua gaélica escocesa
Scrotum	Escroto
Sea	Mar
Sea level	Nivel medio do mar
Sea of Azov	Mar de Azov
Sea of Japan	Mar do Xapón
Sea of Marmara	Mar de Mármara
Sea of Okhotsk	Mar de Ojotsk
Sea urchin	Ourizo do mar
Seaborgium	Seaborxio
Search engine	Motor de busca
Season	Estacións
Seattle	Seattle, Washington
Second	Segundo
Second Vatican Council	Concilio Vaticano Segundo
Second law of thermodynamics	Segunda Lei da Termodinámica
Sedimentary rock	Rocha sedimentaria
Segovia	Segovia
Seine	Río Sena
Seismology	Sismoloxía
Selene	Selene
Selenium	Selenio
Semantics	Semántica
Semantics	Categoría:Semántica
Semitic	Semitas
Senate	Senado
Senegal	Senegal - Sénégal
Senegal	Categoría:Senegal
Seoul	Seúl - 서울
September	Setembro
September 11	11 de setembro
September 11	Ataques do 11 de setembro de 2001
September 17	17 de setembro
September 29	29 de setembro
Sequence	Sucesión (matemáticas)
Serbia	Serbia - Србија
Serbia	Categoría:Serbia
Serbia and Montenegro	Serbia e Montenegro - Србија и Црна Гора
Serfdom	Servidume
Sergei Eisenstein	Sergei Eisenstein
Sergei Rachmaninoff	Sergei Rachmaninov
Series (mathematics)	Serie (matemáticas)
Server (computing)	Servidor
Set	Conxunto
Sevastopol	Sebastopol - Севастополь
Seven Years' War	Guerra dos Sete Anos
Severe acute respiratory syndrome	Síndrome Respiratoria Aguda Severa
Seville	Sevilla
Sex	Sexo
Sextant	Sextante
Seychelles	Seixeles - Seychelles
Seychelles	Categoría:Seixeles
Shanghai	Shanghai - 上海
Share (finance)	Acción (finanzas)
Sharia	Shari'a - شريعة
Shark	Quenlla
Sheffield	Sheffield
Sherlock Holmes	Sherlock Holmes
Shetland	Illas Shetland
Shikoku	Shikoku
Ship	Barco
Shrub	Arbusto
Siberia	Siberia - Сибирь
Sicily	Sicilia
Sierra Leone	Serra Leoa - Sierra Leone
Sigma	Sigma
Sigmund Freud	Sigmund Freud
Sign language	Linguaxe de signos
Sikhism	Sikhismo
Sikkim	Sikkim
Silesia	Silesia
Silicon	Silicio
Silk Road	Ruta da seda
Silurian	Silúrico
Silver	Prata
Simone de Beauvoir	Simone de Beauvoir
Sinai Peninsula	Península do Sinaí
Singapore	Singapur - 新加坡
Singapore	Categoría:Singapur
Sistine Chapel	Capela Sistina
Sitting Bull	Touro Sentado
Six-Day War	Guerra dos Seis Días
Skagerrak	Skagerrak
Skateboard	Skateboard
Skepticism	Escepticismo
Skin	Pel
Skopje	Skopje
Skull	Cranio
Skyscraper	Rañaceos
Slash (musician)	Slash
Slavery	Escravitude
Slayer	Slayer
Sleep	Sono
Slovakia	Eslovaquia - Slovensko
Slovakia	Categoría:Eslovaquia
Slovenia	Eslovenia - Slovenija
Slovenia	Categoría:Eslovenia
Small intestine	Intestino delgado
Smog	Smog
Snake	Cobra
Snooker	Snooker
Snow	Neve
Soap	Xabón
Social psychology	Psicoloxía social
Socialism	Socialismo
Socialism	Categoría:Socialismo
Society of Jesus	Compañía de Xesús
Sociolinguistics	Sociolingüística
Sociology	Socioloxía
Sociology	Category:Socioloxía
Socrates	Sócrates
Sodium	Sodio
Sodium chloride	Cloruro de sodio
Sodium hydroxide	Hidróxido de sodio
Sofia	Sofia - София
Software	Categoría:Software
Soil	Solo
Solar System	Sistema Solar
Solar cell	Célula fotoeléctrica
Solar eclipse	Eclipse solar
Solar wind	Vento solar
Solid	Sólido
Solid state	Sólido
Solomon	Salomón
Solomon Islands	Illas Salomón - Solomon Islands
Somalia	Somalia - Soomaaliya
Somalia	Categoría:Somalia
Sonata	Forma sonata
Sonnet	Soneto
Sophia Loren	Sophia Loren
Sophism	Sofistas
Sophocles	Sófocles
Sorbonne	Sorbona
Sorghum	Sorgo
Sound	Son
Soup	Sopa
Source code	Código fonte
South	Sur
South Africa	Categoría:Sudáfrica
South America	América do Sur
South America	Categoría:América do Sur
South Australia	Australia Meridional
South Carolina	Carolina do Sur
South Dakota	Dacota do Sur
South Island	Illa Sur, Nova Celandia
South Korea	Corea do Sur - 한국
South Korea	Categoría:Corea do Sur
South Pole	Polo Sur
Southeast Asia	Sueste asiático
Southern Hemisphere	Hemisferio sur
Sovereignty	Soberanía
Soviet Union	URSS - СССР
Soviet Union	Categoría:Unión Soviética
Soybean	Soia
Space	Espazo
Spain	España
Spain	Categoría:España
Spam (electronic)	Spam
Spanish Civil War	Guerra Civil española
Spanish-American War	Guerra Hispano-Estadounidense
Sparta	Esparta - Σπάρτη
Special relativity	Relatividade especial
Species	Especie
Spectroscopy	Espectroscopia
Speed of light	Velocidade da luz
Spencer Tracy	Spencer Tracy
Sperm Whale	Cachalote
Sphere	Esfera
Spice	Especias
Spider	Araña
Spin (physics)	Espín
Sponge	Porifera
Sport	Deporte
Spreadsheet	Folla de cálculo
Spring (season)	Primavera
Springfield	Springfield, Illinois
Square (geometry)	Cadrado
Square root	Raíz cadrada
Squash (sport)	Squash
Squirrel	Esquío
Sri Lanka	Sri Lanka - Sri Lankā
Sri Lanka	Categoría:Sri Lanka
Stainless steel	Aceiro inoxidábel
Standard Generalized Markup Language	SGML
Standard deviation	Desviación típica
Stanley Kubrick	Stanley Kubrick
Star	Estrela (Astronomía)
Starch	Amidón
State	Estado
Staten Island	Staten Island
Statistical mechanics	Mecánica estatística
Statistics	Estatística
Stavanger	Stavanger
Steam	Vapor
Steam engine	Máquina de vapor
Steel	Aceiro
Stephen Hawking	Stephen Hawking
Steppe	Estepa
Steven Spielberg	Steven Spielberg
Stock exchange	Bolsa
Stockholm	Estocolmo - Stockholm
Stonehenge	Stonehenge
Storm	Tormenta
Strait of Gibraltar	Estreito de Xibraltar
Strait of Hormuz	Estreito de Ormuz
Strait of Messina	Estreito de Messina
Strasbourg	Estrasburgo - Strasbourg
Stratigraphy	Estratigrafía
Stratosphere	Estratosfera
Strontium	Estroncio
Stub	Template:En progreso
Sturmabteilung	Sturmabteilung
Stuttgart	Stuttgart
Sub-Saharan Africa	África Subsahariana
Submarine	Submarino
Subversion (software)	Subversion
Sudan	Sudán - السودان
Sudoku	Sudoku
Suez Canal	Canal de Suez
Suffix	Sufixo
Sugar	Azucre
Suharto	Suharto
Sulfur	Xofre
Sulfuric acid	Ácido sulfúrico
Sultan	Sultán
Sumatra	Sumatra
Sumer	Sumeria
Summer	Verán
Sumo	Sumo
Sun	Sol
Sunday	Domingo
Sunflower	Xirasol
Sunni Islam	Sunita
Superman	Superman
Supernova	Supernova
Supreme Court of the United States	Tribunal Supremo dos Estados Unidos
Surface tension	Tensión superficial
Suriname	Surinam - Suriname
Suriname	Categoría:Surinam
Surrealism	Surrealismo
Susan Sontag	Susan Sontag
Sushi	Sushi
Suva	Suva
Svalbard	Svalbard
Swan	Cisne
Swaziland	Suacilandia - Swaziland
Swaziland	Categoría:Suacilandia
Sweden	Suecia - Sverige
Sweden	Categoría:Suecia
Swedish krona	Coroa sueca
Swimming	Natación
Switzerland	Suíza - Schweiz
Switzerland	Categoría:Suíza
Sydney	Sidney - Sydney
Syllable	Sílaba
Sylvia Plath	Sylvia Plath
Symbiosis	Simbiose
Symbol	Símbolo
Symphony	Sinfonía
Synagogue	Sinagoga
Syndicate	Sindicato
Synesthesia	Sinestesia
Synonym	Sinonimia
Syntax	Sintaxe
Syphilis	Sífilis
Syria	Siria - سورية
Syria	Categoría:Siria
System	Sistema
T	T
T. S. Eliot	Thomas Stearns Eliot
Table (furniture)	Mesa
Table tennis	Tenis de mesa
Tacitus	Tácito, Historiador
Taekwondo	Taekwondo
Tagus	Río Texo
Tahiti	Tahití
Tai chi chuan	Tai Chi Chuan
Taipei	Taibei - 台北市
Taiwan	Taiwan
Taj Mahal	Taj Mahal
Tajikistan	Taxiquistán - Тоҷикистон
Tajikistan	Categoría:Taxiquistán
Talc	Talco
Taliban	Talibán
Tallahassee	Tallahassee, Florida
Tallinn	Talín - Tallinn
Tango (dance)	Tango
Tank	Carro de combate
Tantalum	Tantalio
Tanzania	Tanzania
Tanzania	Categoría:Tanzania
Taoism	Taoísmo
Tartu	Tartu
Tashkent	Tashkent
Tasman Sea	Mar de Tasmania
Tasmania	Tasmania
Taste	Sistema gustativo
Tattoo	Tatuaxe
Tau	Tau
Tawny Owl	Avelaiona
Tax	Imposto
Taxonomy	Taxonomía
