English	Latvian
Standard Generalized Markup Language	Valoda SGML
Stanley Kubrick	Stenlijs Kubriks
Star	Zvaigzne
State	Valsts
Staten Island	Steitenailenda
Statistics	Statistika
Statistics	Kategorija:Statistika
Stavanger	Stavangera
Steam engine	Tvaika dzinējs
Steel	Tērauds
Stegosaurus	Stegozaurs
Stephen Hawking	Stīvens Hokings
Steradian	Steradiāns
Sternum	Krūšu kauls
Stockholm	Stokholma
Stone Age	Akmens laikmets
Stonehenge	Stounhendža
Storm	Vētra
Strasbourg	Strasbūra
Stratosphere	Stratosfēra
Strontium	Stroncijs
Structuralism	Strukturālisms
Stub	Veidne:Stub
Sturmabteilung	Sturmabteilung
Stuttgart	Štutgarte
Subculture	Subkultūra
Sublimation (chemistry)	Sublimācija
Sudan	Sudāna
Sudan	Kategorija:Sudāna
Sulfur	Sērs
Sulfur dioxide	Sēra dioksīds
Sulfur mustard	Iprīts
Sulfuric acid	Sērskābe
Sumatra	Sumatra
Sumer	Šumera
Sumo	Sumo
Sun	Saule
Sun	Kategorija:Saule
Sunday	Svētdiena
Sunflower	Saulgrieze
Superman	Supermens
Supernova	Pārnova
Surgery	Ķirurģija
Suriname	Surinama
Suriname	Kategorija:Surinama
Surrealism	Sirreālisms
Surrey	Sareja
Susan Sontag	Sūzena Zontāga
Sushi	Suši
Suva	Suva
Swastika	Svastika
Swaziland	Svazilenda
Swaziland	Kategorija:Svazilenda
Sweden	Zviedrija
Sweden	Kategorija:Zviedrija
Swimming	Kategorija:Peldēšana
Swiss people	Kategorija:Šveices cilvēki
Switzerland	Šveice
Switzerland	Kategorija:Šveice
Sword	Zobens
Sydney	Sidneja
Symbiosis	Simbioze
Symphony	Simfonija
Synagogue	Sinagoga
Syndicate	Tīmekļa sindikācija
Synonym	Sinonīms
Syria	Sīrija
Syria	Kategorija:Sīrija
System	Sistēma
Systematics	Sistemātika
T	T
T. S. Eliot	Tomass Stērnss Eliots
Table tennis	Galda teniss
Tacitus	Gajs Kornēlijs Tacits
Tail	Aste
Taiwan	Taivāna (sala)
Tajikistan	Tadžikistāna
Tajikistan	Kategorija:Tadžikistāna
Talc	Talks
Tallinn	Tallina
Talmud	Talmuds
Tampere	Tampere
Tango (dance)	Tango
Tantalum	Tantāls
Tanzania	Tanzānija
Tanzania	Kategorija:Tanzānija
Taoism	Daoisms
Tardigrade	Gauskāji
Tartu	Tartu
Tashkent	Taškenta
Tasman Sea	Tasmāna jūra
Tasmania	Tasmanija
Tax	Nodoklis
Taxus baccata	Parastā īve
Tbilisi	Tbilisi
Tea	Tēja
Teacher	Skolotājs
Technetium	Tehnēcijs
Technology	Tehnoloģija
Technology	Kategorija:Tehnoloģija
Tehran	Teherāna
Telephone	Telefons
Telescope	Teleskops
Telescopium	Teleskops (zvaigznājs)
Television	Televīzija
Television	Kategorija:TV
Tellurium	Telūrs
Temperature	Temperatūra
Temple	Templis
Tennessee	Tenesī
Tennis	Teniss
Tennis	Kategorija:Teniss
Terbium	Terbijs
Terrestrial planet	Saules sistēmas iekšējās planētas
Terrorism	Terorisms
Terrorism	Kategorija:Terorisms
Texas	Teksasa
Thailand	Taizeme
Thailand	Kategorija:Taizeme
Thales	Taless
Thallium	Tallijs
The Gambia	Gambija
The Gambia	Kategorija:Gambija
The Hague	Hāga
The Star-Spangled Banner	Amerikas Savienoto Valstu himna
Theatre	Teātris
Theatre	Kategorija:Teātris
Thebe (moon)	Tēbe (pavadonis)
Theodore Roosevelt	Teodors Rūzvelts
Theology	Kategorija:Teoloģija
Theory	Teorija
Theory of relativity	Relativitātes teorija
Thermodynamics	Termodinamika
Thermodynamics	Category:Termodinamika
Thessaloniki	Saloniki
Thomas Aquinas	Akvīnas Toms
Thomas Edison	Tomass Edisons
Thomas Jefferson	Tomass Džefersons
Thomas Malthus	Tomass Maltuss
Thomas Mann	Tomass Manns
Thomas Young (scientist)	Tomass Jangs
Thor	Tors (mitoloģija)
Thorium	Torijs
Thought	Domāšana
Thucydides	Tukidīds
Thulium	Tūlijs
Thuringia	Tīringene
Thursday	Ceturtdiena
Thyroid	Vairogdziedzeris
Tianjin	Tjaņdziņa
Tiberius	Tibērijs
Tibet	Tibeta
Tigris	Tigra
Time	Laiks
Time	Kategorija:Laiks
Time zone	Laika josla
Tin	Alva
Tirana	Tirāna
Tissue (biology)	Audi
Titan (moon)	Titāns (pavadonis)
Titanium	Titāns
Tobacco	Tabaka
Tocantins (state)	Tokantinsa
Togo	Togo
Togo	Kategorija:Togo
Tokyo	Tokija
Toluene	Toluols
Tonga	Tonga
Tonga	Kategorija:Tonga
Tonne	Tonna
Tony Blair	Tonijs Blērs
Tool	Darbarīks
Topology	Topoloģija
Torah	Tora
Tornado	Tornado
Toronto	Toronto
Torque	Spēka moments
Totalitarianism	Totalitārisms
Toulon	Tulona
Toulouse	Tulūza
Tour de France	Tour de France
Tourism	Tūrisms
Tourism	Kategorija:Tūrisms
Tower of Babel	Bābeles tornis
Town	Pilsēta
Toyota	Toyota Motor Corporation
Tractor	Traktors
Tragedy	Traģēdija
Train	Vilciens
Trajan	Trajāns
Tram	Tramvajs
Transformer	Transformators
Transistor	Tranzistors
Transmission Control Protocol	TCP
Transportation	Kategorija:Transports
Trapezoid	Trapece
Treaty of Versailles	Versaļas līgums
Triangle	Trīsstūris
Triangulum	Trīsstūris (zvaigznājs)
Triangulum Australe	Dienvidu Trīsstūris
Triceratops	Triceratops
Trigonometric function	Trigonometriska funkcija
Trigonometry	Trigonometrija
Trilobite	Trilobīti
Trinidad	Trinidāda
Trinidad and Tobago	Trinidāda un Tobāgo
Trinidad and Tobago	Kategorija:Trinidāda un Tobāgo
Trinitrotoluene	TNT
Tritium	Tritijs
Triton (moon)	Tritons (pavadonis)
Trojan horse (computing)	Trojas Zirgs (datorvīruss)
Trondheim	Tronheima
Tropics	Tropu josla
Troposphere	Troposfēra
Truck	Kravas automašīna
Truman Doctrine	Trūmena doktrīna
Trumpet	Trompete
Tryptophan	Triptofāns
Tsar	Cars
Tsunami	Cunami
Tucana	Tukāns (zvaigznājs)
Tuesday	Otrdiena
Tundra	Tundra
Tungsten	Volframs
Tunicate	Tunikāti
Tunisia	Tunisija
Tunisia	Kategorija:Tunisija
Tunnel	Tunelis
Turin	Turīna
Turkey	Turcija
Turkey	Kategorija:Turcija
Turkmenistan	Turkmenistāna
Turkmenistan	Kategorija:Turkmenistāna
Turtle	Bruņurupuči
Tuscany	Toskāna
Tuvalu	Tuvalu
Tuvalu	Kategorija:Tuvalu
Tux	Tukss
Tycho Brahe	Tiho Brahe
Tyrannosaurus	Tiranozaurs
Tyrol (state)	Tirole (zeme)
Tyrrhenian Sea	Tirēnu jūra
U	U
UNESCO	UNESCO
Ufa	Ufa
Uganda	Uganda
Uganda	Kategorija:Uganda
Ukraine	Ukraina
Ukraine	Kategorija:Ukraina
Ultraviolet	Ultravioletais starojums
Ulysses S. Grant	Uliss Grānts
Umbria	Umbrija
Uncertainty principle	Heizenberga nenoteiktības princips
Unemployment	Bezdarbs
Unicorn	Vienradzis
Unidentified flying object	Neidentificēts lidojošs objekts
Uniform Resource Locator	Vienotais resursu vietrādis
United Arab Emirates	Apvienotie Arābu Emirāti
United Arab Emirates	Kategorija:Apvienotie Arābu Emirāti
United Kingdom	Apvienotā Karaliste
United Kingdom	Kategorija:Apvienotā Karaliste
United Nations	Apvienoto Nāciju Organizācija
United Nations	Kategorija:ANO
United States	Amerikas Savienotās Valstis
United States	Kategorija:ASV
United States Air Force	ASV Gaisa spēki
United States Congress	ASV Kongress
United States Constitution	ASV konstitūcija
United States Virgin Islands	ASV Virdžīnu salas
United States dollar	ASV dolārs
Universe	Visums
University	Universitāte
University of Chicago	Čikāgas universitāte
Unix	UNIX
Upanishad	Upanišadas
Uppsala	Upsala
Ural Mountains	Urāli
Uranium	Urāns (elements)
Uranus	Urāns (planēta)
Urea	Karbamīds
Ursa Major	Lielais Lācis
Ursa Minor	Mazais Lācis
Uruguay	Urugvaja
Uruguay	Kategorija:Urugvaja
Utah	Jūta (ASV štats)
Utrecht (city)	Utrehta
Uzbekistan	Uzbekistāna
Uzbekistan	Kategorija:Uzbekistāna
V	V
Vacuole	Vakuola
Vacuum	Vakuums
Vacuum tube	Elektronu lampa
Valence (chemistry)	Vērtība (ķīmija)
Valencia	Valensija (Spānija)
Valencia	Valensija
Valhalla	Valhalla
Valkyrie	Valkīras
Vampire	Vampīrs
Vanadium	Vanādijs
Vancouver	Vankūvera
Vanir	Vāni
Vanuatu	Vanuatu
Vanuatu	Kategorija:Vanuatu
Varna	Varna (pilsēta)
Vatican City	Vatikāns
Vector (spatial)	Vektors
Vega	Vega
Vegetarianism	Veģetārisms
Vein	Vēnas
Vela (constellation)	Buras (zvaigznājs)
Velociraptor	Velosireptors
Veneto	Veneto
Venezuela	Venecuēla
Venezuela	Kategorija:Venecuēla
Venice	Venēcija
Venus	Venēra (planēta)
Venus (disambiguation)	Venēra
Verb	Darbības vārds
Vermont	Vērmonta
Verona	Verona
Vertebra	Skriemeļi
Vertebral column	Mugurkauls
Vertebrate	Mugurkaulnieki
Victor Hugo	Viktors Igo
Vienna	Vīne
Vientiane	Vjenčana
Vietnam	Vjetnama
Vietnam	Kategorija:Vjetnama
Vietnam War	Vjetnamas karš
Viking	Vikingi
Vilnius	Viļņa
Vincent van Gogh	Vinsents van Gogs
Violin	Vijole
Virgil	Vergīlijs
Virginia	Virdžīnija
Virginia Woolf	Virdžīnija Vulfa
Virgo (constellation)	Jaunava (zvaigznājs)
Virtual reality	Virtuālā realitāte
Virus	Vīruss
Viscosity	Viskozitāte
Vistula	Visla
Vitamin	Vitamīni
Vitamin A	A vitamīns
Vitus Bering	Vituss Berings
Vladimir Lenin	Ļeņins
Vladimir Nabokov	Vladimirs Nabokovs
Vladimir Putin	Vladimirs Putins
Vladivostok	Vladivostoka
Vodka	Degvīns
Volans	Lidojošā Zivs (zvaigznājs)
Volcano	Vulkāns
Volcanology	Kategorija:Vulkanoloģija
Volga River	Volga
Volgograd	Volgograda
Volleyball	Volejbols
Volt	Volts
Voltage	Spriegums
Voltaire	Voltērs
Vulpecula	Lapsiņa
WYSIWYG	Metode WYSIWYG
Wake Island	Veika sala
Wales	Velsa
Walnut	Valrieksts
Walt Disney	Volts Disnejs
Walter Scott	Valters Skots
War	Karš
War crime	Kara noziegumi
Wars of the Roses	Sarkanās un Baltās rozes karš
Warsaw	Varšava
Washington	Vašingtona
Washington	Vašingtona (štats)
Water	Ūdens
Water	Kategorija:Ūdens
Watt	Vats
Wave	Vilnis
Weak interaction	Vājā mijiedarbība
Weapon	Ierocis
Weather	Laikapstākļi
Web browser	Tīmekļa pārlūkprogramma
Web page	Tīmekļa lappuse
Website	Tīmekļa vietne
Wednesday	Trešdiena
Week	Nedēļa
Weight	Svars
Weightlifting	Svarcelšana
Weimar	Veimāra
Weimar Republic	Veimāras republika
Wellington	Velingtona
Wernher von Braun	Verners fon Brauns
Weser River	Vēzere
West	Rietumi
West Sussex	Vestsaseksa
West Virginia	Rietumvirdžīnija
Western Sahara	Rietumsahāra
Wheel	Ritenis
White House	Baltais nams (Vašingtona)
White Sea	Baltā jūra
White dwarf	Baltais punduris
Wide area network	Teritoriālais tīkls
Wiesbaden	Vīsbādene
Wildcat	Meža kaķis
Wilhelm Ostwald	Vilhelms Ostvalds
William Butler Yeats	Viljams Batlers Jeitss
William Faulkner	Viljams Folkners
William Harvey	Viljams Hārvejs
William Henry Harrison	Viljams Harisons
William Howard Taft	Viljams Tāfts
William II	Vilhelms II
William McKinley	Viljams Makinlijs
William Shakespeare	Viljams Šekspīrs
William Wordsworth	Viljams Vērdsverts
Wind power	Vēja enerģija
Wine	Vīns
Winston Churchill	Vinstons Čērčils
Winter	Ziema
Winter Olympic Games	Ziemas Olimpiskās spēles
Winter Olympic Games	Kategorija:Ziemas Olimpiskās spēles
Wisconsin	Viskonsina
Wisconsin	Kategorija:Viskonsina
Wolfgang Amadeus Mozart	Volfgangs Amadejs Mocarts
Wolfgang Pauli	Volfgangs Pauli
Woodrow Wilson	Vudro Vilsons
Worcestershire	Vusteršīra
World	Pasaule
World Health Organization	Pasaules veselības organizācija
World War I	Pirmais pasaules karš
World War II	Otrais pasaules karš
World War II	Kategorija:Otrais pasaules karš
World Wide Web	Globālais tīmeklis
World Wide Web	Kategorija:Globālais tīmeklis
Wormhole	Tārpeja
Wuhan	Uhaņa
Wyoming	Vaiominga
X	X
X-ray	Rentgenstari
Xenon	Ksenons
Xenophanes	Ksenofans
Xinjiang	Siņdzjana
Y	Y
Yangon	Jangona
Yasser Arafat	Jasirs Arafats
Year	Gads
Years	Kategorija:Gadi
Yellow Sea	Dzeltenā jūra
Yellowstone National Park	Jeloustonas nacionālais parks
Yemen	Jemena
Yemen	Kategorija:Jemena
Yggdrasil	Igdrasils
Yoga	Joga
Yoko Ono	Joko Ono
Yokohama	Jokohama
Young's modulus	Junga modulis
Ytterbium	Iterbijs
Yttrium	Itrijs
Yuan Dynasty	Juaņ impērija
Yugoslavia	Dienvidslāvija
Yuri Gagarin	Jurijs Gagarins
Z	Z
Zachary Taylor	Zaharijs Teilors
Zagreb	Zagreba
Zambia	Zambija
Zambia	Kategorija:Zambija
Zanzibar	Zanzibāra
Zaragoza	Saragosa
Zebra	Zebras
Zeus	Zevs
Ziggurat	Zikurāts
Zimbabwe	Zimbabve
Zimbabwe	Kategorija:Zimbabve
Zinc	Cinks
Zionism	Cionisms
Zirconium	Cirkonijs
Zoology	Zooloģija
Zoology	Kategorija:Zooloģija
Zoroastrianism	Zoroastrisms
