English	Malay
Philately	Filateli
Philately	Kategori:Filateli
Philippines	Filipina
Philippines	Kategori:Filipina
Philosophy	Falsafah
Philosophy	Portal:Falsafah
Phnom Penh	Phnom Penh
Phoenix (mythology)	Phoenix
Phoenix (spacecraft)	Phoenix (kapal angkasa)
Phoneme	Fonem
Phonetics	Fonetik
Phosphate	Fosfat
Phosphoric acid	Asid fosforik
Phosphorus	Fosforus
Photography	Fotografi
Photon	Foton
Photosynthesis	Fotosintesis
Phylum	Filum
Physical chemistry	Kimia fizik
Physician	Doktor
Physics	Fizik
Physics	Kategori:Fizik
Physics	Portal:Fizik
Physiology	Fisiologi
Pi	Pi
Pi (letter)	Pai (huruf)
Picardie	Picardie
Pidgin	Bahasa pijin
Pineapple	Nanas
Pinniped	Anjing laut
Pixel	Piksel
Pizza	Pizza
Planet	Planet
Plankton	Plankton
Plant	Tumbuhan
Plasma (physics)	Plasma (fizik)
Plasmid	Plasmid
Plate tectonics	Plat tektonik
Plato	Plato
Platypus	Platypus
Plum	Pokok Plum
Plutarch	Plutarch
Pluto	Pluto
Plutonium	Plutonium
Pneumonia	Paru-paru berair
Poetry	Puisi
Poitou-Charentes	Poitou-Charentes
Poland	Poland
Poland	Kategori:Poland
Polar bear	Beruang kutub
Police	Polis
Political party	Parti politik
Politician	Ahli politik
Politics	Politik
Politics	Kategori:Politik
Pollution	Pencemaran
Polonium	Polonium
Polyethylene	Polietilena
Polymer	Polimer
Pomelo	Pokok Limau Bali
Pop music	Muzik pop
Pope	Paus (Katolik)
Port Moresby	Port Moresby
Portugal	Portugal
Portugal	Kategori:Portugal
Postage stamp	Setem
Postmodernism	Postmodenisme
Potassium	Kalium
Potato	Pokok Kentang
Potential energy	Tenaga keupayaan
Poverty	Kemiskinan
Power (physics)	Kuasa (fizik)
Pressure	Tekanan
Pretoria	Pretoria
Prime number	Nombor perdana
Prince Philip	Putera Philip, Duke Edinburgh
Prince of Wales	Putera Wales
Prison	Penjara
Probability	Kemingkinan
Probability theory	Teori kemungkinan
Programming language	Bahasa pengaturcaraan
Propaganda	Propaganda
Protestantism	Protestan
Protist	Protis
Protocol	Protokol
Proton	Proton
Protozoa	Protozoa
Prunus	Prunus
Pseudoscience	Pseudosains
Psi (letter)	Psi
Psychology	Psikologi
Psychology	Kategori:Psikologi
Ptah	Ptah
Puberty	Baligh
Public domain	Domain awam
Puerto Rico	Puerto Rico
Puerto Rico	Kategori:Puerto Rico
Punctuation	Tanda baca
Punjab (India)	Punjab (India)
Pyongyang	Pyongyang
Pyramid	Piramid
Pythagoras	Pythagoras
Python (programming language)	Python
Q	Q
Qatar	Qatar
Qatar	Kategori:Qatar
Qing Dynasty	Dinasti Qing
Quantum field theory	Teori medan kuantum
Quantum mechanics	Mekanik kuantum
Quarantine	Kuarantin
Quark	Kuark
Quartz	Kuarza
Quebec	Quebec
Quetzalcoatl	Quetzalcoatl
Rabindranath Tagore	Rabindranath Tagore
Racism	Rasisme
Radar	Radar
Radian	Radian
Radio	Kategori:Radio
Radioactive decay	Reputan radioaktif
Radon	Radon
Rain	Hujan
Ramadan	Ramadhan
Ramayana	Ramayana
Random access memory	Ingatan capaian rawak
Rape	Rogol
Rawalpindi	Rawalpindi
Read-only memory	Ingatan baca sahaja
Red	Merah
Red Sea	Laut Merah
Redshift	Anjakan merah
Referendum	Pungutan suara
Relativity	Kategori:Kerelatifan
Religion	Agama
Religion	Kategori:Agama
Renaissance	Zaman Pembaharuan
Reptile	Reptilia
Republic	Republik
Republic of China	Republik China
Republic of Ireland	Ireland
Republic of Ireland	Kategori:Ireland
Republic of the Congo	Republik Congo
Republic of the Congo	Kategori:Republik Congo
Respiratory system	Sistem pernafasan
Restaurant	Kedai makan
Reticulum	Reticulum
Rhetoric	Retorik
Rhine	Sungai Rhine
Rho (letter)	Ro (huruf)
Rhode Island	Pulau Rhode
Rib	Tulang rusuk
Riboflavin	Vitamin B2
Ribosome	Ribosom
Rice	Beras
Richard Feynman	Richard Feynman
Richard Nixon	Richard Nixon
Richard Wagner	Richard Wagner
Rio de Janeiro	Rio de Janeiro
River	Sungai
River Thames	Sungai Thames
Riyadh	Riyadh
Road	Jalan raya
Robert Hooke	Robert Hooke
Rock	Batu-Gunting-Kertas
Rock (geology)	Batu
Rock and roll	Rock 'n' roll
Rock music	Muzik rock
Rocket	Roket
Roman Catholic Church	Gereja Katolik Rom
Roman Republic	Republik Rom
Roman mythology	Mitologi Rom
Romania	Romania
Romania	Kategori:Romania
Rome	Rom
Ronald Reagan	Ronald Reagan
Root	Akar
Rosales	Rosales
Rosario	Rosario
Rose	Pokok Bunga Mawar
Rosetta Stone	Batu Rosetta
Rosh Hashanah	Rosh Hashanah
Rotterdam	Rotterdam
Royal Air Force	Tentera Udara Diraja British
Royal Society	Royal Society
Ruble	Ruble
Rupert Murdoch	Rupert Murdoch
Russia	Rusia
Russia	Kategori:Rusia
Rutherford B. Hayes	Rutherford B. Hayes
Rwanda	Rwanda
Rwanda	Kategori:Rwanda
S	S
Saddam Hussein	Saddam Hussein
Saffron	Koma-koma
Sahara	Sahara
Saint Kitts and Nevis	Santo Kitts dan Nevis
Saint Kitts and Nevis	Kategori:Saint Kitts dan Nevis
Saint Lucia	Saint Lucia
Saint Lucia	Kategori:Saint Lucia
Saint Petersburg	Saint Petersburg
Saint Vincent and the Grenadines	Saint Vincent dan Grenadines
Saint Vincent and the Grenadines	Kategori:Saint Vincent dan Grenadines
Sake	Sake
Saladin	Salahuddin Al-Ayubbi
Salah	Solat
Salamander	Urodela
Salman Rushdie	Salman Rushdie
Salt (chemistry)	Garam
Samoa	Samoa
Samoa	Kategori:Samoa
Samurai	Samurai
San Francisco	San Francisco, California
San Marino	San Marino
San Marino	Kategori:San Marino
Sandwich	Sandwic
Sanskrit	Sanskrit
Santiago	Santiago, Chile
Santiago	Santiago
Sarajevo	Sarajevo
Satan	Syaitan
Saturday	Sabtu
Saturn	Zuhal
Saturn	Kategori:Zuhal
Saudi Arabia	Arab Saudi
Saudi Arabia	Kategori:Arab Saudi
Sausage	Sosej
Saxophone	Saksofon
Schizophrenia	Skizofrenia
School	Sekolah
Science	Sains
Science	Kategori:Sains
Science fiction	Cereka sains
Scientific method	Kaedah saintifik
Scientist	Saintis
Scissors	Gunting
Scotland	Scotland
Scouting	Pergerakan Pengakap
Sea	Laut
Sea cucumber	Gamat
Search engine	Enjin gelintar
Sears Tower	Menara Sears
Seattle	Seattle
Second	Saat
Second Crusade	Perang Salib Kedua
Sedimentary rock	Batuan enapan
Seismology	Seismologi
Semantics	Semantik
Semen	Air mani
Semiconductor	Separa pengalir
Semitic	Semitik
Senegal	Senegal
Senegal	Kategori:Senegal
Seoul	Seoul
Seppuku	Harakiri
September	September
September 11	11 September
September 11	Serangan 11 September 2001
September 17	17 September
September 29	29 September
Serbia	Serbia
Serbia	Kategori:Serbia
Serbia and Montenegro	Serbia dan Montenegro
Severe acute respiratory syndrome	Penyakit SARS
Seville	Seville
Sexual intercourse	Hubungan seks
Seychelles	Seychelles
Seychelles	Kategori:Seychelles
Shahadah	Syahadah
Shanghai	Shanghai
Share (finance)	Saham
Sharia	Syariat Islam
Shark	Ikan yu
Sherlock Holmes	Sherlock Holmes
Shinto	Shinto
Ship	Kapal
Shiva	Siva
Shogun	Shogun
Siberia	Siberia
Sichuan	Sichuan
Sierra Leone	Sierra Leone
Sierra Leone	Kategori:Sierra Leone
Sigma	Sigma
Sigmund Freud	Sigmund Freud
Sign language	Bahasa isyarat
Sikhism	Sikh
Sikkim	Sikkim
Silicon	Silikon
Silk	Sutera
Silver	Perak
Simone de Beauvoir	Simone de Beauvoir
Singapore	Singapura
Singapore	Kategori:Singapura
Single (music)	Single (rekod muzik)
Sitting Bull	Sitting Bull
Six-Day War	Perang Enam Hari
Skin	Kulit
Skyscraper	Pencakar langit
Slavery	Perhambaan
Sleep	Tidur
Slovakia	Slovakia
Slovakia	Kategori:Slovakia
Slovenia	Slovenia
Slovenia	Kategori:Slovenia
Small intestine	Usus kecil
Smog	Asbut
Snake	Ular
Snow	Salji
Soap	Sabun
Socialism	Sosialisme
Society	Kategori:Masyarakat
Sociology	Sosiologi
Sociology	Kategori:Sosiologi
Socrates	Socrates
Sodium chloride	Natrium Klorida
Sofia	Sofia
Softball	Sofbol
Software	Kategori:Perisian
Soil	Tanah
Solar System	Sistem Suria
Solar System	Kategori:Sistem Suria
Solar eclipse	Gerhana matahari
Solar energy	Kuasa suria
Solar wind	Angin suria
Solid	Pepejal
Solid state	Pepejal
Solomon Islands	Kepulauan Solomon
Somalia	Somalia
Somalia	Kategori:Somalia
Song	Lagu
Soprano	Soprano
Sound	Bunyi
Source code	Kod sumber
South Africa	Kategori:Afrika Selatan
South America	Amerika Selatan
South America	Kategori:Amerika Selatan
South Carolina	Carolina Selatan
South China Sea	Laut China Selatan
South Dakota	Dakota Selatan
South Korea	Korea Selatan
South Korea	Kategori:Korea Selatan
South Pole	Kutub Selatan
South Vietnam	Vietnam Selatan
Southeast Asia	Asia Tenggara
Southern Hemisphere	Hemisfera Selatan
Sovereignty	Kedaulatan
Soviet Union	Kesatuan Republik Sosialis Soviet
Soybean	Pokok Kacang Soya Hijau
Spacecraft	Kapal angkasa lepas
Spain	Sepanyol
Spain	Kategori:Sepanyol
Spam (electronic)	Spam
Spanish Civil War	Perang Saudara Sepanyol
Spear	Lembing
Special relativity	Kerelatifan khas
Species	Spesies
Spectroscopy	Spektroskopi
Speed	Laju
Speed of light	Kelajuan cahaya
Sperm Whale	Paus sperma
Spider	Labah-labah
Spinach	Bayam (Spinacia)
Sport	Sukan
Spreadsheet	helaian kerja
Spring (season)	Musim bunga
Square root	Punca kuasa dua
Squash (sport)	Skuasy
Squirrel	Tupai
Sri Lanka	Sri Lanka
Sri Lanka	Kategori:Sri Lanka
Stainless steel	Keluli tahan karat
Star	Bintang
Starch	Kanji
State	Negara (politik)
Statistical mechanics	Mekanik statistik
Statistics	Statistik
Statistics	Kategori:Statistik
Steam engine	Enjin wap
Steel	Keluli
Stephen Hawking	Stephen Hawking
Steradian	Steradian
Steroid	Steroid
Steven Spielberg	Steven Spielberg
Stomach	Perut
Stone Age	Zaman Batu
Stonehenge	Stonehenge
Strasbourg	Strasbourg
Strawberry	Pokok Strawberi
Stroke	Angin ahmar
Strong interaction	Saling tindak kuat
Stub	Templat:Stub
Submarine	Kapal selam
Sucrose	Sukrosa
Sudan	Sudan
Sudan	Kategori:Sudan
Sudoku	Sudoku
Suez Canal	Terusan Suez
Sufism	Sufisme
Sugar	Gula
Suharto	Suharto
Sukarno	Sukarno
Sulawesi	Sulawesi
Sulfuric acid	Asid sulfurik
Sultan	Sultan
Sumatra	Sumatera
Sumer	Sumeria
Summer	Musim panas
Sumo	Sumo
Sun	Matahari
Sun Yat-sen	Sun Yat-sen
Sunday	Ahad
Sundial	Jam matahari
Sunflower	Pokok Bunga Matahari
Sunni Islam	Ahlussunnah waljamaah
Supercomputer	Superkomputer
Superconductivity	Kesuperkonduksian
Superman	Superman
Supernova	Supernova
Sura	Surah Quran
Suriname	Suriname
Suriname	Kategori:Suriname
Sushi	Sushi
Swallow	Burung layang-layang
Swaziland	Swaziland
Swaziland	Kategori:Swaziland
Sweden	Sweden
Sweden	Kategori:Sweden
Swimming	Renang
Switzerland	Switzerland
Sword	Pedang
Sydney	Sydney, Australia
Syria	Syria
Syria	Kategori:Syria
Table (furniture)	Meja
Table tennis	Ping pong
Tai chi chuan	Tai Chi Chuan
Taiwan	Pulau Taiwan
Taj Mahal	Taj Mahal
Tajikistan	Kategori:Tajikistan
Taliban	Taliban
Talmud	Talmud
Tamil Nadu	Tamil Nadu
Tang Dynasty	Dinasti Tang
Tank	Kereta kebal
Tanzania	Tanzania
Tanzania	Kategori:Tanzania
Taoism	Taoisme
Tapir	Tenuk
Tasmania	Tasmania
Tau	Tau
Taxation	Kategori:Cukai
Taxonomy	Taksonomi
Tea	Teh
Tea	Kategori:Teh
Teacher	Guru
Technology	Teknologi
Tehran	Teheran
Telecommunication	Telekomunikasi
Telegraphy	Telegrafi
Telephone	Telefon
Television	Televisyen
Television	Kategori:Televisyen
Temperature	Suhu
Temple of Artemis	Kuil Artemis
Ten Commandments	Sepuluh Rukun
Tennessee	Tennessee
Tennessee	Kategori:Tennessee
Tennis	Tenis
Tennis	Kategori:Tenis
Tenor	Tenor
Tetanus	Kancing gigi
Tethys (moon)	Tethys (bulan)
Tetrahedron	Tetrahedron
Texas	Texas
Thailand	Thailand
Thailand	Kategori:Thailand
Thanksgiving	Hari Kesyukuran
Thanksgiving (Canada)	Hari Kesyukuran
Thanksgiving (United States)	Hari Kesyukuran
Thanksgiving (disambiguation)	Hari Kesyukuran
The Gambia	Gambia
The Gambia	Kategori:Gambia
The Hague	Den Haag
The Star-Spangled Banner	The Star-Spangled Banner
Theatre	Teater
Theocracy	Teokrasi
Theodore Roosevelt	Theodore Roosevelt
Theology	Teologi
Theta	Teta
Thiamine	Vitamin B1
Thomas Edison	Thomas Edison
Thomas Jefferson	Thomas Jefferson
Thomas More	Thomas More
Thor	Thor
Thursday	Khamis
Thylacine	Thylacine
Tianjin	Tianjin
Tibet	Tibet
Tibet	Kategori:Tibet
Tiger	Harimau
Time	Masa
Time	Kategori:Masa
Time zone	Zon waktu
Timur	Tamerlane
Tissue (biology)	Tisu biologi
Titan (moon)	Titan (bulan)
Titanic (disambiguation)	Titanic
Tofu	Tauhu
Togo	Togo
Togo	Kategori:Togo
Tokyo	Tokyo
Tomato	Pokok Tomato
Tonga	Tonga
Tonga	Kategori:Tonga
Tongue	Lidah
Tony Blair	Tony Blair
Toothbrush	Berus gigi
Torah	Taurat
Tornado	Puting beliung
Toronto	Toronto
Torpedo	Torpedo
Torque	Tork
Tortoise	Penyu
Torture	Seksa
Totalitarianism	Totalitarianisme
Tourism	Pelancongan
Tower	Menara
Tower of London	Menara London
Town	Bandar
Toyota	Toyota
Trade	Perdagangan
Train	Kereta api
Transportation	Kategori:Pengangkutan
Transylvania	Transylvania
Treaty of Versailles	Perjanjian Versailles
Tree	Pokok
Triangle	Segi tiga
Triceratops	Triceratops
Trigonometry	Trigonometri
Trigonometry	Kategori:Trigonometri
Trinidad and Tobago	Trinidad dan Tobago
Trinidad and Tobago	Kategori:Trinidad dan Tobago
Trinity	Tritunggal
Triskelion	Triskelion
Tritium	Tritium
Trojan horse (computing)	Kuda Troy (komputer)
Troposphere	Troposfera
Truck	Lori
Truth	Kebenaran
Tsunami	Tsunami
Tuberculosis	Penyakit Batuk Kering
Tuesday	Selasa
Tulip	Bunga tulip
Tunisia	Tunisia
Tunnel	Terowong
Turkey	Turki
Turkey	Kategori:Turki
Turkmenistan	Turkmenistan
Turkmenistan	Kategori:Turkmenistan
Turtle	Penyu
Tuvalu	Tuvalu
Tuvalu	Kategori:Tuvalu
Tux	Tux
Typewriter	Mesin taip
Typography	Tipografi
Tyrannosaurus	Tyrannosaurus rex
UNESCO	UNESCO
Uganda	Uganda
Uganda	Kategori:Uganda
Ukraine	Ukraine
Ukraine	Kategori:Ukraine
Ultraviolet	Sinar ultraungu
Ulysses S. Grant	Ulysses S. Grant
Unidentified flying object	Piring terbang
United Arab Emirates	Amiriah Arab Bersatu
United Arab Emirates	Kategori:Amiriah Arab Bersatu
United Arab Republic	Republik Arab Bersatu
United Kingdom	United Kingdom
United Kingdom	Kategori:United Kingdom
United Nations	Pertubuhan Bangsa Bersatu
United Nations Children's Fund	Tabung Kanak-kanak Pertubuhan Bangsa-Bangsa Bersatu
United States	Amerika Syarikat
United States	Kategori:Amerika Syarikat
United States Air Force	Tentera Udara Amerika Syarikat
United States House of Representatives	Dewan Perwakilan Amerika Syarikat
United States Senate	Senat Amerika Syarikat
United States Virgin Islands	Kepulauan Virgin Amerika Syarikat
United States dollar	Dolar Amerika Syarikat
Universe	Alam semesta
University	Universiti
Unix	UNIX
Upsilon	Upsilon
Uranus	Uranus
Urdu	Bahasa Urdu
Uruguay	Uruguay
Uruguay	Kategori:Uruguay
Utah	Utah
Uzbekistan	Uzbekistan
Uzbekistan	Kategori:Uzbekistan
Vacuole	Vakuol
Vagina	Faraj
Valentine's Day	Hari Valentine
Vancouver	Vancouver
Vandalism	Laku musnah
Vanuatu	Vanuatu
Vanuatu	Kategori:Vanuatu
Vatican City	Kota Vatican
Vatican City	Kategori:Kota Vatican
Vector (spatial)	Vektor
Vegetable	Sayur
Vegetarianism	Vegetarian
Velociraptor	Velociraptor
Velocity	Halaju
Venezuela	Venezuela
Venezuela	Kategori:Venezuela
Venice	Venice
Venus	Zuhrah
Vermont	Vermont
Vertebra	Tulang belakang
Vertebrate	Vertebrat
Vice President of the United States	Naib Presiden Amerika Syarikat
Victor Hugo	Victor Hugo
Victoria Falls	Air terjun Victoria
Video	Video
Video game	Permainan video
Vientiane	Vientiane
Vietnam	Vietnam
Vietnam	Kategori:Vietnam
Vietnam War	Perang Vietnam
Vietnam War	Kategori:Perang Vietnam
Viking	Viking
Village	Kampung
Violin	Biola
Virgil	Virgil
Virginia	Virginia
Virtual reality	Realiti maya
Virus	Virus
Viscosity	Kelikatan
Vishnu	Vishnu
Vitamin A	Vitamin A
Vladimir Lenin	Vladimir I. Lenin
Vladimir Putin	Vladimir Putin
Vladivostok	Vladivostok
Vodka	Vodka
Volcano	Gunung berapi
Volleyball	Bola tampar
Volt	Volt
Voltaire	Voltaire
Volume	Isi padu
W. Somerset Maugham	W. Somerset Maugham
War	Peperangan
War	Kategori:Peperangan
Wart	Ketuat
Washington	Washington, D.C.
Washington	Washington
Water	Air
Water	Kategori:Air
Watermelon	Pokok Tembikai
Watt	Watt
Wave	Gelombang
Wavelength	Panjang gelombang
Weapon	Senjata
Weather	Cuaca
Web browser	Pelayar web
Wednesday	Rabu
Week	Minggu
Weight	Berat
Welding	Kimpalan
West Africa	Afrika Barat
West Bank	Tebing Barat
West Bengal	Bengal Barat
West Berlin	Berlin Barat
West Virginia	Virginia Barat
Western Sahara	Sahara Barat
Whale	Ikan paus
Wheel	Roda
Wiesbaden	Wiesbaden
William Henry Harrison	William Henry Harrison
William Herschel	William Herschel
William McKinley	William McKinley
William Shakespeare	William Shakespeare
Windmill	Kincir angin
Wine	Wain
Winston Churchill	Sir Winston Churchill
Winter	Musim sejuk
Winter Olympic Games	Sukan Olimpik Musim Sejuk
Winter Olympic Games	Kategori:Sukan Olimpik Musim Sejuk
Wisconsin	Wisconsin
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Woman	Perempuan
Wood	Kayu
Woodrow Wilson	Woodrow Wilson
Word processor	Pemproses kata
World Health Organization	Pertubuhan Kesihatan Sedunia
World Meteorological Organization	Pertubuhan Meteorologi Sedunia
World Trade Center	World Trade Center
World Trade Organization	Pertubuhan Perdagangan Sedunia
World War I	Perang Dunia I
World War I	Kategori:Perang Dunia I
World War II	Perang Dunia II
World War II	Kategori:Perang Dunia II
World Wide Web	Jaringan Sejagat
Worm	Cacing
Wyoming	Wyoming
X	X
X-ray	Sinar X
Xenon	Xenon
Xi	Xi
Xinjiang	Xinjiang
Yangon	Yangon
Yard	Ela
Yasser Arafat	Yasser Arafat
Year	Tahun
Yellow	Kuning
Yemen	Yaman
Yo-yo	Yo-yo
Yom Kippur War	Perang Yom Kippur
York	York
Yugoslavia	Yugoslavia
Yugoslavia	Kategori:Yugoslavia
Yunnan	Yunnan
Yuri Gagarin	Yuri Gagarin
Zachary Taylor	Zachary Taylor
Zagreb	Zagreb
Zambia	Zambia
Zebra	Kuda belang
Zimbabwe	Zimbabwe
Zimbabwe	Kategori:Zimbabwe
Zionism	Zionisme
Zoology	Zoologi
Zoology	Kategori:Zoologi
Zoroaster	Zarathustra
Zoroastrianism	Majusi
