Czech	English
Kategorie:Hinduismus	Hinduism
Hipparchos	Hipparchus
Hippies	Hippie
Hippokratés	Hippocrates
Hippokratova přísaha	Hippocratic Oath
Hroch obojživelný	Hippopotamus
Hirohito	Hirohito
Hirošima	Hiroshima
Hispaniola	Hispaniola
Histidin	Histidine
Histologie	Histology
Kategorie:Histologie	Histology
Histon	Histone
Historiografie	Historiography
Historie	History
Kategorie:Historie	History
Portál:Historie	History
Ho Či Min	Ho Chi Minh
Ho Či Minovo město	Ho Chi Minh City
Hobart	Hobart
Hobit	Hobbit
Hobby	Hobby
Hokusai	Hokusai
Svátek	Holiday
Hollywood	Hollywood
Holmium	Holmium
Holocén	Holocene
Holografie	Holography
Svatý grál	Holy Grail
Svatá říše římská	Holy Roman Empire
Kategorie:Svatá říše římská	Holy Roman Empire
Duch svatý	Holy Spirit
Homeopatie	Homeopathy
Homeostáza	Homeostasis
Homér	Homer
Hominidi	Hominidae
Člověk	Homo (genus)
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homonymum	Homonym
Homofobie	Homophobia
Homosexualita	Homosexuality
Honduras	Honduras
Kategorie:Honduras	Honduras
Med	Honey
Včelojed lesní	Honey Buzzard
Hongkong	Hong Kong
Kategorie:Hongkong	Hong Kong
Honiara	Honiara
Honolulu	Honolulu
Vodní dýmka	Hookah
Hookeův zákon	Hooke's law
Quintus Horatius Flaccus	Horace
Horatio Nelson	Horatio Nelson
Horizont	Horizon
Hormon	Hormone
Africký roh	Horn of Africa
Horoskop	Horoscope
Kůň	Horse
Dostih	Horse racing
Koňská síla	Horsepower
Hor	Horus
Muhammad Husní Mubarak	Hosni Mubarak
Nemocnice	Hospital
Hotel	Hotel
Hodina	Hour
Přesýpací hodiny	Hourglass
Dům	House
Dr. House	House (TV series)
Myš domácí	House Mouse
Vrabec domácí	House Sparrow
Houston	Houston
Vznášedlo	Hovercraft
Howard Carter	Howard Carter (archaeologist)
Hubbleova konstanta	Hubble's law
Hudsonův záliv	Hudson Bay
Hudson (řeka)	Hudson River
Hugo Kapet	Hugh Capet
Hugo Grotius	Hugo Grotius
Hugenoti	Huguenot
Člověk	Human
Humanismus	Humanism
Kategorie:Humanitní a společenské vědy	Humanities
Pažní kost	Humerus
Vlhkost vzduchu	Humidity
Kategorie:Humor	Humor
Humor	Humour
Keporkak	Humpback Whale
Humphrey Bogart	Humphrey Bogart
Humus	Humus
Chu-nan	Hunan
Stoletá válka	Hundred Years' War
Maďarsko	Hungary
Kategorie:Maďarsko	Hungary
Hlad	Hunger
Lov	Hunting
Křížení (biologie)	Hybrid
Hajdarábád	Hyderabad
Souhvězdí Hydry	Hydra (constellation)
Uhlovodíky	Hydrocarbon
Kyselina chlorovodíková	Hydrochloric acid
Vodní elektrárna	Hydroelectricity
Vodík	Hydrogen
Vodíková vazba	Hydrogen bond
Kyanovodík	Hydrogen cyanide
Peroxid vodíku	Hydrogen peroxide
Hydrologie	Hydrology
Kategorie:Hydrologie	Hydrology
Hydrolýza	Hydrolysis
Hydrosféra	Hydrosphere
Hydroxid	Hydroxide
Souhvězdí Malého vodního hada	Hydrus
Hyenovití	Hyena
Kategorie:Hygiena	Hygiene
Panenská blána	Hymen
Kategorie:Blanokřídlí	Hymenoptera
Blanokřídlí	Hymenoptera
Hyperbola	Hyperbola
Hyperbola (literatura)	Hyperbole
Hyperion (měsíc)	Hyperion (moon)
Hyperion (mytologie)	Hyperion (mythology)
Hypertenze	Hypertension
Hypertext	Hypertext
Hypertext Transfer Protocol	Hypertext Transfer Protocol
Hypnos	Hypnos
Hypnóza	Hypnosis
Hypothalamus	Hypothalamus
Hypotéza	Hypothesis
I	I
IPod	IPod
Ian Fleming	Ian Fleming
Iapetus (měsíc)	Iapetus (moon)
Iapetos	Iapetus (mythology)
Pyrenejský poloostrov	Iberian Peninsula
Led	Ice
Doba ledová	Ice age
Zmrzlina	Ice cream
Lední hokej	Ice hockey
Kategorie:Lední hokej	Ice hockey
Kra	Iceberg
Island	Iceland
Kategorie:Island	Iceland
Ichtyologie	Ichthyology
Ikona	Icon
Obrazoborectví	Iconoclasm
Idaho	Idaho
Kategorie:Idaho	Idaho
Ideální plyn	Ideal gas
Idealismus	Idealism
Neutrální prvek	Identity element
Jednotková matice	Identity matrix
Ideologie	Ideology
Ido	Ido
Iglú	Igloo
Ignác z Loyoly	Ignatius of Loyola
Magmatická hornina	Igneous rock
Igor Fjodorovič Stravinskij	Igor Stravinsky
Iguaçu (vodopády)	Iguazu Falls
Ilias	Iliad
Illinois	Illinois
Kategorie:Illinois	Illinois
Ilýrie	Illyria
Scanner	Image scanner
Imám	Imam
Immanuel Kant	Immanuel Kant
Imunitní systém	Immune system
Imunologie	Immunology
Kategorie:Imunologie	Immunology
Imperialismus	Imperialism
Impresionismus	Impressionism
Incest	Incest
Nakloněná rovina	Inclined plane
Nezávislost	Independence
Indie	India
Kategorie:Indie	India
Indický oceán	Indian Ocean
Kategorie:Indický oceán	Indian Ocean
Indiana	Indiana
Kategorie:Indiana	Indiana
Indianapolis	Indianapolis
Indira Gándhíová	Indira Gandhi
Indium	Indium
Indočína	Indochina
Indonésie	Indonesia
Kategorie:Indonésie	Indonesia
Indra	Indra
Indukčnost	Inductance
Indukce (logika)	Inductive reasoning
Cívka	Inductor
Odpustek	Indulgence
Souhvězdí Indiána	Indus (constellation)
Indus	Indus River
Průmysl	Industry
Kategorie:Průmysl	Industry
Nerovnost (matematika)	Inequality
Setrvačnost	Inertia
Pěchota	Infantry
Infinitiv	Infinitive
Nekonečno	Infinity
Zánět	Inflammation
Inflace	Inflation
Chřipka	Influenza
Informace	Information
Informatika	Information technology
Infračervené záření	Infrared
Infrastruktura	Infrastructure
Ingmar Bergman	Ingmar Bergman
Vnitřní Mongolsko	Inner Mongolia
Innsbruck	Innsbruck
Anorganická chemie	Inorganic chemistry
Kategorie:Anorganická chemie	Inorganic chemistry
Inkvizice	Inquisition
Hmyz	Insect
Insekticid	Insecticide
Hmyzožravci	Insectivora
Instituce	Institution
Inzulín	Insulin
Celé číslo	Integer
Integrál	Integral
Integrovaný obvod	Integrated circuit
Duševní vlastnictví	Intellectual property
Inteligence	Intelligence
Inteligenční kvocient	Intelligence quotient
Mezikontinentální balistická raketa	Intercontinental ballistic missile
Úrok	Interest
Interference	Interference
Citoslovce	Interjection
Interlingua	Interlingua
Mezinárodní agentura pro atomovou energii	International Atomic Energy Agency
Mezinárodní organizace pro civilní letectví	International Civil Aviation Organization
Mezinárodní soudní dvůr	International Court of Justice
Datová hranice	International Date Line
Mezinárodní organizace práce	International Labour Organization
Mezinárodní měnový fond	International Monetary Fund
Soustava SI	International System of Units
Kategorie:Mezinárodní právo	International law
Internet	Internet
Kategorie:Internet	Internet
Microsoft Internet Explorer	Internet Explorer
Koncentrační tábor	Internment
Interpret (software)	Interpreter (computing)
Průnik	Intersection (set theory)
Interval (hudba)	Interval (music)
Střevo	Intestine
Intranet	Intranet
Bezobratlí	Invertebrate
Io (měsíc)	Io (moon)
Íó	Io (mythology)
Jód	Iodine
Ion	Ion
Jónské moře	Ionian Sea
Iontová vazba	Ionic bond
Ionosféra	Ionosphere
Iowa	Iowa
Kategorie:Iowa	Iowa
Írán	Iran
Kategorie:Írán	Iran
Irácko-íránská válka	Iran-Iraq War
Irák	Iraq
Kategorie:Irák	Iraq
Irsko (ostrov)	Ireland
Kategorie:Irsko	Ireland
Irenej z Lyonu	Irenaeus
Iridium	Iridium
Duhovka (oko)	Iris (anatomy)
Iris (bohyně)	Iris (mythology)
Irská republikánská armáda	Irish Republican Army
Irské moře	Irish Sea
Kategorie:Irové	Irish people
Železo	Iron
Doba železná	Iron Age
Železná opona	Iron Curtain
Iron Maiden	Iron Maiden
Ironie	Irony
Iracionální číslo	Irrational number
Iredentismus	Irredentism
Irtyš	Irtysh River
Izák	Isaac
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Izmael	Ishmael
Eset	Isis
Islám	Islam
Kategorie:Islám	Islam
Islámábád	Islamabad
Islámský kalendář	Islamic calendar
Ostrov	Island
Ostrov Man	Isle of Man
Kategorie:Ostrov Man	Isle of Man
Wight	Isle of Wight
Izomerie	Isomer
Isoroku Jamamoto	Isoroku Yamamoto
Izotop	Isotope
Izrael	Israel
Kategorie:Izrael	Israel
Istanbul	Istanbul
Kategorie:Istanbul	Istanbul
Pevninská šíje	Isthmus
Panamská šíje	Isthmus of Panama
Apeninský poloostrov	Italian Peninsula
Italo Calvino	Italo Calvino
Itálie	Italy
Kategorie:Itálie	Italy
Ithaka	Ithaca
Ivan Lendl	Ivan Lendl
Ivan Petrovič Pavlov	Ivan Pavlov
Ivan Sergejevič Turgeněv	Ivan Turgenev
Slonovina	Ivory
Ivy League	Ivy League
Iwodžima	Iwo Jima
J	J
Jerome David Salinger	J. D. Salinger
Jack Kerouac	Jack Kerouac
Jack London	Jack London
Jack Rozparovač	Jack the Ripper
Kavka	Jackdaw
Jackson Pollock	Jackson Pollock
Jacksonville	Jacksonville
Jákob	Jacob
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jacques Offenbach	Jacques Offenbach
Jadeit	Jade
Jaguár	Jaguar
Džinismus	Jainism
Jakarta	Jakarta
Jamajka	Jamaica
Kategorie:Jamajka	Jamaica
Jakub Větší	James
James A. Garfield	James A. Garfield
James Bond	James Bond
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James K. Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Naismith	James Naismith
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Džammú a Kašmír	Jammu and Kashmir
Jan Hus	Jan Hus
Jan van Eyck	Jan van Eyck
Jane Austenová	Jane Austen
Jane Fonda	Jane Fonda
Jana Seymourová	Jane Seymour
Janis Joplin	Janis Joplin
Janičár	Janissary
Leden	January
1. leden	January 1
19. leden	January 19
20. leden	January 20
6. leden	January 6
Janus (měsíc)	Janus (moon)
Janus	Janus (mythology)
Japonsko	Japan
Kategorie:Japonsko	Japan
Iásón	Jason
Žloutenka	Jaundice
Jáva	Java
Java (rozcestník)	Java (disambiguation)
Java	Java (programming language)
Džaváharlál Néhrú	Jawaharlal Nehru
Jazz	Jazz
Kategorie:Jazz	Jazz
Jean Auguste Dominique Ingres	Jean Auguste Dominique Ingres
Jean Cocteau	Jean Cocteau
Jean Piaget	Jean Piaget
Jean Racine	Jean Racine
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Džidda	Jeddah
Jefferson Davis	Jefferson Davis
JHVH	Jehovah
Svědkové Jehovovi	Jehovah's Witnesses
Medúzovci	Jellyfish
Jena	Jena
Jeremy Bentham	Jeremy Bentham
Jerez de la Frontera	Jerez de la Frontera
Jericho	Jericho
Svatý Jeroným	Jerome
Jersey	Jersey
Jeruzalém	Jerusalem
Kategorie:Jeruzalém	Jerusalem
Ježíš Kristus	Jesus
Reaktivní motor	Jet engine
Židé	Jew
Brumle	Jew's harp
Džihád	Jihad
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Johanka z Arku	Joan of Arc
Johann Bernoulli	Johann Bernoulli
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Diderik van der Waals	Johannes Diderik van der Waals
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
Johannesburg	Johannesburg
John Adams	John Adams
John Bardeen	John Bardeen
John Cage	John Cage
Jan Kalvín	John Calvin
Jan Zlatoústý	John Chrysostom
John Dalton	John Dalton
John Dewey	John Dewey
John Galsworthy	John Galsworthy
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Major	John Major
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Napier	John Napier
John Quincy Adams	John Quincy Adams
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wycliffe	John Wycliffe
Jan Křtitel	John the Baptist
John von Neumann	John von Neumann
Johnny Cash	Johnny Cash
Kloub	Joint
Jonathan Swift	Jonathan Swift
Jordánsko	Jordan
Kategorie:Jordánsko	Jordan
Jordán	Jordan River
Jorge Luis Borges	Jorge Luis Borges
Joseph Conrad	Joseph Conrad
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Joseph McCarthy	Joseph McCarthy
Joseph Priestley	Joseph Priestley
Josef Alois Schumpeter	Joseph Schumpeter
Stalin	Joseph Stalin
Flavius Iosephus	Josephus
Joule	Joule
Kategorie:Žurnalistika	Journalism
Žurnalistika	Journalism
Novinář	Journalist
Jovianus	Jovian
Joystick	Joystick
Judaismus	Judaism
Kategorie:Judaismus	Judaism
Jidáš Iškariotský	Judas Iscariot
Judea	Judea
Judo	Judo
Džiu-džitsu	Jujutsu
Jules Verne	Jules Verne
Juliánský kalendář	Julian calendar
Julianus Apostata	Julian the Apostate
Julius Caesar	Julius Caesar
Červenec	July
1. červenec	July 1
4. červenec	July 4
Červen	June
14. červen	June 14
21. červen	June 21
23. červen	June 23
24. červen	June 24
29. červen	June 29
3. červen	June 3
Juneau	Juneau
Juno (mytologie)	Juno (mythology)
Jupiter (planeta)	Jupiter
Kategorie:Jupiter	Jupiter
Jupiter	Jupiter (disambiguation)
Jupiter (mytologie)	Jupiter (mythology)
Jura	Jurassic
Justinián I.	Justinian I
Jutsko	Jutland
K	K
K2	K2
KGB	KGB
Ka'ba	Kaaba
Kabala	Kabbalah
Kábul	Kabul
Kalahari	Kalahari Desert
Kamčatka	Kamchatka Peninsula
Kamikaze	Kamikaze
Kampala	Kampala
Kandahár	Kandahar
Klokanovití	Kangaroo
Kansas	Kansas
Kategorie:Kansas	Kansas
Kansas City (Missouri)	Kansas City
Karské moře	Kara Sea
Karáčí	Karachi
Karákoram	Karakoram
Karaoke	Karaoke
Karate	Karate
Karen Blixenová	Karen Blixen
Karl Barth	Karl Barth
Karl Jaspers	Karl Jaspers
Karl Marx	Karl Marx
Karl Raimund Popper	Karl Popper
Karma (buddhismus)	Karma
Karnátaka	Karnataka
Katharine Hepburn	Katharine Hepburn
Káthmándú	Kathmandu
Katovice	Katowice
Kaunas	Kaunas
Kajak	Kayak
Kazachstán	Kazakhstan
Kategorie:Kazachstán	Kazakhstan
Kazaň	Kazan
Kelvin	Kelvin
Kent	Kent
Kentucky	Kentucky
Kategorie:Kentucky	Kentucky
Keňa	Kenya
Kategorie:Keňa	Kenya
Kernel	Kernel (computer science)
Petrolej	Kerosene
Kečup	Ketchup
Ketony	Ketone
Počítačová klávesnice	Keyboard (computing)
Klávesový nástroj	Keyboard instrument
Chabarovsk	Khabarovsk
Chán	Khan
Charkov	Kharkiv
Chartúm	Khartoum
Rudí Khmerové	Khmer Rouge
Chufu	Khufu
Kibuc	Kibbutz
Ledvina	Kidney
Kyjev	Kiev
Kigali	Kigali
Kilobyte	Kilobyte
Kilogram	Kilogram
Kilometr	Kilometre
Kilometr za hodinu	Kilometres per hour
Kimono	Kimono
Mateřská škola	Kindergarten
Kinematika	Kinematics
Kinetická energie	Kinetic energy
Král (šachy)	King (chess)
Král Artuš	King Arthur
Král Lear	King Lear
Říše (biologie)	Kingdom (biology)
Kingston	Kingston
Kingstown	Kingstown
Kinshasa	Kinshasa
Kiribati	Kiribati
Kategorie:Kiribati	Kiribati
Polibek	Kiss
Kiviové	Kiwi
Koleno	Knee
Kneset	Knesset
Nůž	Knife
Rytíř (titul)	Knight
Jezdec (šachy)	Knight (chess)
Knóssos	Knossos
Uzel (jednotka)	Knot (speed)
Knut Hamsun	Knut Hamsun
Koala medvídkovitý	Koala
Kóbe	Kobe
Kola (poloostrov)	Kola Peninsula
Kalkata	Kolkata
Varan komodský	Komodo dragon
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Korea	Korea
Kategorie:Korea	Korea
Korejská válka	Korean War
Kosovo	Kosovo
Kategorie:Kosovo	Kosovo
Krakatoa	Krakatoa
Kreml	Kremlin
Kršna	Krishna
Krypton	Krypton
Ku-Klux-Klan	Ku Klux Klan
Kuala Lumpur	Kuala Lumpur
Kublaj	Kublai Khan
Kuiperův pás	Kuiper belt
Kumquat	Kumquat
Kung-fu	Kung fu (term)
Kchun-lun	Kunlun Mountains
Kuomintang	Kuomintang
Kura	Kura River
Kurdistán	Kurdistan
Kursk	Kursk
Kurt Vonnegut	Kurt Vonnegut
Kurt Waldheim	Kurt Waldheim
Kuvajt	Kuwait
Kategorie:Kuvajt	Kuwait
Kuvajt (město)	Kuwait City
Kjóto	Kyoto
Kyrgyzstán	Kyrgyzstan
Kategorie:Kyrgyzstán	Kyrgyzstan
L	L
L'Aquila	L'Aquila
LAMP	LAMP (software bundle)
La Paz	La Paz
La Spezia	La Spezia
LaTeX	LaTeX
Laboratoř	Laboratory
Labouristická strana	Labour Party (UK)
Labradorský retrívr	Labrador Retriever
Souhvězdí Ještěrky	Lacerta
Kyselina mléčná	Lactic acid
Laktóza	Lactose
Jane Greyová	Lady Jane Grey
Zajícovci	Lagomorpha
Lagos	Lagos
Láhaur	Lahore
Laissez faire	Laissez-faire
Jezero	Lake
Bajkal	Lake Baikal
Balaton	Lake Balaton
Čadské jezero	Lake Chad
Bodamské jezero	Lake Constance
Erijské jezero	Lake Erie
Eyreovo jezero	Lake Eyre
Ženevské jezero	Lake Geneva
Huronské jezero	Lake Huron
Ilmeň	Lake Ilmen
Ladožské jezero	Lake Ladoga
Malawi (jezero)	Lake Malawi
Michiganské jezero	Lake Michigan
Oněžské jezero	Lake Onega
Ontario (jezero)	Lake Ontario
Hořejší jezero	Lake Superior
Tanganika (jezero)	Lake Tanganyika
Viktoriino jezero	Lake Victoria
Hluchavkovité	Lamiaceae
Mihule	Lamprey
Bezlebeční	Lancelet
Skládka	Landfill
Jazyk (lingvistika)	Language
Languedoc-Roussillon	Languedoc-Roussillon
Lanthanoidy	Lanthanide
Lanthan	Lanthanum
Laos	Laos
Kategorie:Laos	Laos
Moře Laptěvů	Laptev Sea
Notebook	Laptop
Modřín	Larch
Larva	Larva
Hrtan	Larynx
Las Vegas	Las Vegas
Lascaux	Lascaux
Laser	Laser
Soustruh	Lathe
Latina	Latin
Latinská Amerika	Latin America
Latinka	Latin alphabet
Zeměpisná šířka	Latitude
Lotyšsko	Latvia
Kategorie:Lotyšsko	Latvia
Smích	Laughter
Laurasie	Laurasia
Lausanne	Lausanne
Láva	Lava
Právo	Law
Kategorie:Právo	Law
Kategorie:Policie	Law enforcement
Lawrencium	Lawrencium
Advokát	Lawyer
Lazio	Lazio
Le Corbusier	Le Corbusier
Le Havre	Le Havre
Olovo	Lead
List	Leaf
Společnost národů	League of Nations
Šikmá věž v Pise	Leaning Tower of Pisa
Přestupný rok	Leap year
Učení	Learning
Libanon	Lebanon
Kategorie:Libanon	Lebanon
Léda	Leda (mythology)
Leeds	Leeds
Levák	Left-handed
Legenda	Legend
Lego	Lego
Leicester	Leicester
Leiden	Leiden
Lipsko	Leipzig
Citron	Lemon
Meduňka lékařská	Lemon balm
Lena	Lena River
Délka	Length
Čočka (optika)	Lens (optics)
Postní doba	Lent
Souhvězdí Lva	Leo (constellation)
Leon I.	Leo I (emperor)
Lev Davidovič Trockij	Leon Trotsky
Leonard Bernstein	Leonard Bernstein
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leonid Iljič Brežněv	Leonid Brezhnev
Levhart skvrnitý	Leopard
Motýli	Lepidoptera
Lepra	Leprosy
Lepton	Lepton
Souhvězdí Zajíce	Lepus (constellation)
Lesba	Lesbian
Lesotho	Lesotho
Kategorie:Lesotho	Lesotho
Malé Antily	Lesser Antilles
Létó	Leto
Písmeno	Letter (alphabet)
Leukemie	Leukemia
Levanta	Levant
Páka	Lever
Leviatan	Leviathan
Leviticus	Leviticus
Lewis Carroll	Lewis Carroll
Lexikologie	Lexicology
Lhasa	Lhasa
Lhotse	Lhotse
Liberalismus	Liberalism
Kategorie:Liberalismus	Liberalism
Libérie	Liberia
Kategorie:Libérie	Liberia
Souhvězdí Vah	Libra (constellation)
Knihovna (instituce)	Library
Libreto	Libretto
Libreville	Libreville
Libye	Libya
Kategorie:Libye	Libya
Lišejník	Lichen
Lež	Lie
Lichtenštejnsko	Liechtenstein
Kategorie:Lichtenštejnsko	Liechtenstein
Poručík	Lieutenant
Život	Life
Kategorie:Život	Life
Světlo	Light
LED	Light-emitting diode
Světelný rok	Light-year
Zapalovač	Lighter
Maják	Lighthouse
Blesk	Lightning
Ligurie	Liguria
Ligurské moře	Ligurian Sea
Liliovité	Liliaceae
Lilith	Lilith
Lille	Lille
Lilongwe	Lilongwe
Lima	Lima
Vápenec	Limestone
Limita	Limit (mathematics)
Limnologie	Limnology
Limousin	Limousin (region)
Lincoln	Lincoln
Přímka	Line (mathematics)
Lineární algebra	Linear algebra
Kategorie:Lineární algebra	Linear algebra
Lineární rovnice	Linear equation
Lingua franca	Lingua franca
Lingvistika	Linguistics
Kategorie:Lingvistika	Linguistics
Linus Pauling	Linus Pauling
Linux	Linux
Kategorie:Linux	Linux
Linec	Linz
Lev	Lion
Lipidy	Lipid
Likér	Liqueur
Kapalina	Liquid
Displej z tekutých krystalů	Liquid crystal display
Lékořice lysá	Liquorice
Lisabon	Lisbon
Lise Meitner	Lise Meitner
Lisp	Lisp (programming language)
Gramotnost	Literacy
Literatura	Literature
Kategorie:Literatura	Literature
Portál:Literatura	Literature
Lithium	Lithium
Kamenotisk	Lithography
Litosféra	Lithosphere
Litva	Lithuania
Kategorie:Litva	Lithuania
Litr	Litre
Sýček obecný	Little Owl
Liverpool	Liverpool
Livonsko	Livonia
Livius	Livy
Ještěři	Lizard
Lublaň	Ljubljana
Lama krotká	Llama
Local Area Network	Local area network
Loch Ness	Loch Ness
Lochnesská nestvůra	Loch Ness Monster
Lokomotiva	Locomotive
Logaritmus	Logarithm
Logika	Logic
Kategorie:Logika	Logic
Logický člen	Logic gate
Logistika	Logistics
Logo	Logo
Loire (departement)	Loire
Loira	Loire River
Loki	Loki
Lolita	Lolita
Lombardie	Lombardy
Londýn	London
Kategorie:Londýn	London
Long Beach	Long Beach
Long Island	Long Island
Skok daleký	Long jump
Kalous ušatý	Long-eared Owl
Lope de Vega	Lope de Vega
Otčenáš	Lord's Prayer
Lotrinsko	Lorraine (region)
Los Angeles	Los Angeles
Lot (departement)	Lot (department)
Reproduktor	Loudspeaker
Louis Aragon	Louis Aragon
Louis Armstrong	Louis Armstrong
Louis Braille	Louis Braille
Louis Pasteur	Louis Pasteur
Ludvík Pobožný	Louis the Pious
Ludvík II. Koktavý	Louis the Stammerer
Louisiana	Louisiana
Kategorie:Louisiana	Louisiana
Louisville	Louisville
Louvre	Louvre
Láska	Love
Dolnoněmčina	Low German
Dolní Sasko	Lower Saxony
Luanda	Luanda
Lublin	Lublin
Lucern	Lucerne
Luciano Pavarotti	Luciano Pavarotti
Lucifer	Lucifer
Titus Lucretius Carus	Lucretius
Lucrezia Borgia	Lucrezia Borgia
Ludwig Boltzmann	Ludwig Boltzmann
Ludwig Mies van der Rohe	Ludwig Mies van der Rohe
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Luftwaffe	Luftwaffe
Luigi Galvani	Luigi Galvani
Luigi Pirandello	Luigi Pirandello
Lumen	Lumen (unit)
Luminiscence	Luminescence
Zatmění Měsíce	Lunar eclipse
Lund	Lund
Plíce	Lung
Souhvězdí Vlka	Lupus (constellation)
Lusaka	Lusaka
Lusitánie	Lusitania
Loutna	Lute
Lutecium	Lutetium
Luteránství	Lutheranism
Lux (světlo)	Lux
Lucembursko	Luxembourg
Kategorie:Lucembursko	Luxembourg
Lucemburk	Luxembourg (city)
Luxor	Luxor
Luzon	Luzon
Liči	Lychee
Lýdie	Lydia
Lymfatická soustava	Lymphatic system
Souhvězdí Rysa	Lynx (constellation)
Lynx	Lynx (web browser)
Lyon	Lyon
Souhvězdí Lyry	Lyra
Diethylamid kyseliny lysergové	Lysergic acid diethylamide
Lysin	Lysine
Lyzozom	Lysosome
M	M
MESSENGER	MESSENGER
Multipurpose Internet Mail Extensions	MIME
MS-DOS	MS-DOS
Macao	Macau
Macbeth (drama)	Macbeth
Starověká Makedonie	Macedon
Makedonie	Macedonia
Makedonie (řecká)	Macedonia (Greece)
Machovo číslo	Mach number
Stroj	Machine
Strojový kód	Machine code
Kulomet	Machine gun
Strojový překlad	Machine translation
Machu Picchu	Machu Picchu
Macintosh	Macintosh
Makroekonomie	Macroeconomics
Kategorie:Makroekonomie	Macroeconomics
Madagaskar	Madagascar
Kategorie:Madagaskar	Madagascar
Madeira (souostroví)	Madeira
Madison	Madison
Madonna	Madonna (entertainer)
Madrid	Madrid
Madrid (společenství)	Madrid (autonomous community)
Mafie	Mafia
Časopis	Magazine
Purpurová	Magenta
Maghreb	Maghreb
Magie (esoterismus)	Magic (paranormal)
Maginotova linie	Maginot Line
Magma	Magma
Magna charta libertatum	Magna Carta
Hořčík	Magnesium
Magnet	Magnet
Magnetické pole	Magnetic field
Magnetická rezonance	Magnetic resonance imaging
Magnetismus	Magnetism
Kategorie:Magnetismus	Magnetism
Magnetit	Magnetite
Lupa	Magnifying glass
Kategorie:Nižší dvouděložné	Magnoliopsida
Maháráštra	Maharashtra
Móhandás Karamčand Gándhí	Mahatma Gandhi
Mahájána	Mahayana
Pošta	Mail
Maimonides	Maimonides
Mohan	Main
Maine	Maine
Mainframe	Mainframe computer
Maitréja	Maitreya
Kukuřice	Maize
Major	Major
Durová stupnice	Major scale
Mallorca	Majorca
Makalu	Makalu
Malachit	Malachite
Malárie	Malaria
Kategorie:Malawi	Malawi
Malajský poloostrov	Malay Peninsula
Tapír indický	Malayan Tapir
Malajsie	Malaysia
Kategorie:Malajsie	Malaysia
Maledivy	Maldives
Kategorie:Maledivy	Maldives
Mali	Mali
Kategorie:Mali	Mali
Kachna divoká	Mallard
Malta	Malta
Kategorie:Malta	Malta
Maltština	Maltese language
Maltosa	Maltose
Savci	Mammal
Mamut	Mammoth
Management	Management
Managua	Managua
Manáma	Manama
Kapustňák	Manatee
Manchester	Manchester
Mandžusko	Manchuria
Mandala	Mandala
Mandarinka	Mandarin orange
Mandelbrotova množina	Mandelbrot set
Mangan	Manganese
Mango	Mango
Mangrovy	Mangrove
Manhattan	Manhattan
Projekt Manhattan	Manhattan Project
Manicheismus	Manichaeism
Manila	Manila
Manipur	Manipur
Manitoba	Manitoba
Manýrismus	Mannerism
Mannheim	Mannheim
Zemský plášť	Mantle (geology)
Mantra	Mantra
Mantova	Mantua
Manuel de Falla	Manuel de Falla
Rukopis	Manuscript
Mao Ce-tung	Mao Zedong
Maoismus	Maoism
Mapa	Map
Javor	Maple
Maputo	Maputo
Maratonský běh	Marathon
Mramor	Marble
Marc Chagall	Marc Chagall
Marcel Duchamp	Marcel Duchamp
Marcel Proust	Marcel Proust
Březen	March
17. březen	March 17
19. březen	March 19
2. březen	March 2
25. březen	March 25
Marche	Marche
Marco Polo	Marco Polo
Marcus Aurelius	Marcus Aurelius
Marcus Junius Brutus	Marcus Junius Brutus
Marcus Vipsanius Agrippa	Marcus Vipsanius Agrippa
Marduk	Marduk
Margaret Meadová	Margaret Mead
Margaret Mitchell	Margaret Mitchell
Margaret Thatcherová	Margaret Thatcher
Maria Callas	Maria Callas
Mariany	Mariana Islands
