English	Serbian
spoilt	размажено (n) (razmaženo)
sponge	sunđer
spruce	omorika (f), smrča (f)
spy	уходити (uhoditi)
spyware	спајвер (m)
square	тараба (f) (taraba)
stab	bosti
stable	stajnica (f), konjušarnica (f)
stag	jelen
stag beetle	jelenak
stage	бина (f) (bina)
stained glass	витраж (m)
stalk	stabljika (f)
stallion	ždrebac (m), pastuh (m), pastuv (m)
stamp	pečat (m); žig (m)
stand	postaviti
stanza	stih (m)
stapes	stremenjača (f)
stapler	spajalica (f)
star	звезда (f) (zvezda)
starch	skrob (m)
start	pokrenuti
state	izjaviti; izneti
steamboat	parobrod (m); пароброд (m)
steamer	parobrod (m); пароброд (m)
steamship	пароброд (m); parobrod (m)
stepbrother	полубрат; (m)
stepmother	maćeha (f)
stilt	hodulja (f), gigalja (f), štula (f)
stirrup	stremen, stremenjača
stomachache	trbobolja (f), trbuhobolja (f)
stool	столица (f) (stolica)
stove	пећ (f)
strait	moreuz (m)
stretcher	nosila, nosilo
stripe	pruga
strong	silan, goroloman, krepak
strontium	стронциjум (stroncijum) (m)
sulfur	сумпор (m) (sumpor)
sum	збир (m) (zbir)
summary	sažetak (m)
sunbathe	sunčati
sundial	sunčanik (m)
sunlight	sunčarica (f), sunčanica (f)
sunrise	izlazak sunca
sunstroke	sunčanica (f)
superman	nadčovek, natčovek
supermarket	самопослуга (f) (samoposluga)
supernatural	nadprirodan (m), nadprirodna (f), nadprirodno (n)
superstition	sujeverje (n), praznoverje (n)
suppose	verovati
surprise	изненађење
survive	opstati
swallow	гутљај (m); gutljaj (m)
sweetener	заслађивач (zaslađivač)
swimmer	plivač (m); plivačica (f)
swing	ljuljaška (f)
syllable	slog (m)
symmetry	simetrija (f)
sympathy	saosećaj (m)
syringe	бризгалица (f) (brizgalica)
system	sustav (m)
table football	стони фудбал (stoni fudbal) (m)
tan	put (f)
tantalum	тантал (tantal) (m)
tapeworm	pantljičara, trakulja
tarsier	тарзијери
tavern	krčma; ugostionica; gostionica
tawny owl	шумска сова (šumska sova)
taxi	такси
teddy bear	меца (m) (meca); меда (m) (meda); медо (m) (medo)
teenager	mladićstvo, omladina
telegram	телеграм (m) (telegram)
telegraph	телеграф (m) (telegraf)
tellurium	телур (telur) (m)
temporary	privremen
tenant	станар (m) (stanar); станарка (f) (stanarka)
tentacle	pipak (m), pipaljka (f)
tepid	mlako (n)
terbium	тербиjум (terbijum) (m)
terror	терор (teror) (m), ужас (užas) (m)
terrorist	терориста (terorista) (m)
tesla	Tesla
testicle	semenik (m), mudo (n)
thallium	талиjум (talijum) (m)
the early bird gets the worm	ко рано рани две среће граби (ko rano rani dve sreće grabi); птица раноранилица прва црва нађе (ptica ranoranilica prva crva nađe)
then	zatim; potom; posle
theologian	bogoslov (m), bogoslovac (m), bogoslovkinja (f)
there	тамо (tamo)
thesaurus	речник синонима (m) (rečnik sinonima)
thief	lopov (m); kradljivac; tat
thighbone	bedrenjača, butnjača
thirsty	жедан
thirty	тридесет (trideset)
thither	tamo; onamo
thorium	ториjум (torijum) (m)
thought police	полиција мисли (f) (policija misli)
threat	претња (f) (pretnja)
threshold	prag (m)
throne	presto (m); престо (m); tron (m); трон (m)
thrush	mlečica, ustobolja (2)
thulium	тулиjум (tulijum) (m)
thunder	grmnjevit, grmnjevito, zagrmeti
tibia	golen (f), golenica (f), cevanica (f)
tick	krpelj; крпељ
tide	(high tide): plima (f), priliv (m), (low tide): oseka (f), odliv (m)
tile	pločica, kalj
time	vreme (n)
time travel	vremeplov
timid	snebivljiv
tin	калаj (m); kalaj (m); kositar (m); kositer (m)
tired	umorna
tissue	ткиво (n) (tkivo)
tit	сеница (senica)
titanium	титан (m) (titan)
tmesis	tmeza (f)
to each his own	сваком своје
toast	zdravica
today	sadašnjica, današnjica, danas, dandanas
tonight	ноћас (noćas)
tool	средство (n), sredstvo (n), прибор (m), pribor (m)
toothache	zubobolja (f)
top	zvrk (m), čigra (f)
torso	trup (m)
toy	igračka (f)
trade	razmena (f); izmena (f)
trajectory	putanja (f)
tramp	skitnica, klošar, lutalica, bezposličar
trauma	траума (f) (trauma)
traveller	putnik (m); putnica (f)
tray	poslužavnik (m), služavnik (m), podnos (m), podnosak (m)
treason	издаја (f) (izdaja)
tree trunk	deblo (n); stablo (n)
tribe	pleme (n)
tricycle	trotočak (m), trokolka (f)
trimaran	тримаран (m)
tripod	tronožac (m)
triumphal arch	slavoluk (m)
truck	камион
true	istinito, zakonito
trunk	surla (f)
tungsten	волфрам (volfram) (m)
turtle dove	грлица (grlica)
twat	пичка; пизда (f); пизда (f)
twilight	сумрак (m) (sumrak)
twin	близанац (blizanac) (m)
typewriter	kucaljka (f)
uhlan	улани
undermine	поткопати; поткопавати
unemployment	nezaposlenje (n), nezaposlenost (f)
unicycle	jednotočak (m), jednokolka (f)
unite	ујединити
universe	vasiona, vaseljena
ununbium	унунбијум (ununbijum) (m)
ununhexium	унунхексијум (m) (ununheksijum)
ununoctium	унуноктијум (ununoktijum) (m)
ununpentium	унунпентијум (ununpentijum) (m)
ununquadium	унунквадијум (ununkvadijum) (m)
ununseptium	унунсептијум (m); ununseptijum (m)
ununtrium	унунтријум (m) (ununtrijum)
unununium	унунунијум
uranium	уран (uran) (m)
urn	žara (f)
useful	употребљив (upotrebljiv)
valley	долина (dolina) (f)
value	важност (f); значај (m)
vanadinite	ванадинит
vanadium	ванадиjум (vanadijum) (m)
vanity	visokoumlje (n), sujeta (f), slavoljublje (n)
vehicle	возило (n) (vozilo)
vein	вена/vena (f)
ventriloquism	trbuhozborje (n), trbuhozborstvo (n)
ventriloquist	трбухозборац (m)
verse	stih (m)
version	verzija (f) (верзија)
versus	nasprotiv, protiv
vertebra	пршљен (m)
vertebrate	kičmenjak (m)
veto	zabrana, veto, zabranjenje
vice	mana (f); porok (f)
vice president	потпредседник (m) (potpredsednik)
victory	pobeda (f)
virtue	vrlina (f)
visiting card	posetnica (f)
vivianite	вивианит
void	praznina (f); празнина (f)
volume	svezak (m)
volunteer	dobrovoljac (m)
vomit	bljuvotina (f), povraćaj (m), izbljuvak (m)
voyage	putovanje (n), putešestvije (n)
vulva	stidnica (f)
wagtail	pliska (f)
waiter	čašnik (m), uslužitelj (m), uslužiteljka (f)
wake up	пробудити се (probuditi se)
wall	зидине (f)
walls have ears	и зидови имају уши (i zidovi imaju uši)
warehouse	складиште (n) (skladište); сместиште (n) (smestište)
warn	упозорити (upozoriti)
warship	ратни брод (m)
watch	dežurstvo, vreme, čas
watchmaker	časovničar (m)
water lily	lokvanj (m), lopoč (m)
waterfall	slap (m); buk (m); vodopad (m)
watermelon	лубеница (f); бостан (m)
watermill	vodenica (f)
weather vane	ветроказ (m) (vetrokaz)
welcome	željan, željna, željni, željno, poželjan, poželjna, poželjni, poželjno
wet	мокар (m) (mokar)
what the fuck	који курац (koji kurac?)
whence	otkuda; odakle
whenever	kadgod
where	куда
where is the toilet	где је тоалет (gde je toalet)
whetstone	brus (m)
whey	сурутка (surutka) (f)
whip	бич (bič) (m)
whirlpool	vrtlog; kovitlac
whisker	брк (m) (brk)
whisper	šapat (m)
whistle	zvižduk (m)
white dwarf	бели патуљак (m) (beli patuljak)
whither	kuda; kamo
whole	цео (m) (ceo); цела (f) (cela); цело (n) (celo); цели (m); целе (f); цела (n)
wholesale	велепродаја (veleprodaja) (f)
whore	kurva
wick	fitilj
wig	vlasulja (f); perika (f)
wiki	вики; viki
wild boar	дивљa свиња (divlja svinja)
wildcat	дивља мачка (divlja mačka)
willingly	својевољно (svȍjevōljno)
willow	vrba (f)
windmill	vetrenjača (f)
winter solstice	kratkodnevnica (f), kratkodnevica (f)
wire	жица (f) (žica)
wireless	бежично (n) (bežično)
wisdom	mudrost (f) (мудрост)
wisent	еуропски бизон (m) (europski bizon)
wolverine	žderavac (m), ždera (f), proždrljivac (m)
wonder	pitati se
wonderful	čudesan (m)
woodpecker	детлић (detlić)
wool	predja, prtilica
worker	radnik (m); radnica (f)
workers of the world, unite	(Cyrl'Пролетери свих земаља, уједините се!), Proleteri svih zemalja, ujedinite se!
worm	crv (m); glista (f)
wrath	гнев (m) (gnev); срџба (f) (srdžba); срдитост (f) (srditost)
wreath	venac
wren	strež (m), carić (m)
wrestler	rvač (m)
write	писати
writer	pisac (m), pisatelj (m), pisateljica (f), spisatelj (m), spisateljica (f)
xenon	ксенон (ksenon) (m)
yeast	kvas (m), kvasac (m)
yonder	онде (onde)
ytterbium	итербиjум (iterbijum) (m)
yttrium	итриjум (itrijum) (m)
yummy	њами (njami)
zephyr	зефир (m) (zefir)
zeppelin	дирижабл (m) (dirižabl)
zero	нула (nula)
zinc	цинк (cink) (m)
zirconium	циркониjум (cirkonijum) (m)
éminence grise	siva eminencija
übermensch	nadčovek, natčovek
