Scottish	﻿English
buidhe	yellow
an-dè	yesterday
iubhar (m)	yew
iòga (f)	yoga
buidheagan (m)	yolk
thu; tu; sibh 	you
òg	young
ur	your
òige (f)	youth
itèirbiam	ytterbium
itriam	yttrium
asal-stiallach (m)	zebra
neoni	zero
sinc	zinc
siorcòiniam	zirconium
