Serbian	English
размажено (n) (razmaženo)	spoilt
sunđer	sponge
omorika (f), smrča (f)	spruce
уходити (uhoditi)	spy
спајвер (m)	spyware
тараба (f) (taraba)	square
bosti	stab
stajnica (f), konjušarnica (f)	stable
jelen	stag
jelenak	stag beetle
бина (f) (bina)	stage
витраж (m)	stained glass
stabljika (f)	stalk
ždrebac (m), pastuh (m), pastuv (m)	stallion
pečat (m); žig (m)	stamp
postaviti	stand
stih (m)	stanza
stremenjača (f)	stapes
spajalica (f)	stapler
звезда (f) (zvezda)	star
skrob (m)	starch
pokrenuti	start
izjaviti; izneti	state
parobrod (m); пароброд (m)	steamboat
parobrod (m); пароброд (m)	steamer
пароброд (m); parobrod (m)	steamship
полубрат; (m)	stepbrother
maćeha (f)	stepmother
hodulja (f), gigalja (f), štula (f)	stilt
stremen, stremenjača	stirrup
trbobolja (f), trbuhobolja (f)	stomachache
столица (f) (stolica)	stool
пећ (f)	stove
moreuz (m)	strait
nosila, nosilo	stretcher
pruga	stripe
silan, goroloman, krepak	strong
стронциjум (stroncijum) (m)	strontium
сумпор (m) (sumpor)	sulfur
збир (m) (zbir)	sum
sažetak (m)	summary
sunčati	sunbathe
sunčanik (m)	sundial
sunčarica (f), sunčanica (f)	sunlight
izlazak sunca	sunrise
sunčanica (f)	sunstroke
nadčovek, natčovek	superman
самопослуга (f) (samoposluga)	supermarket
nadprirodan (m), nadprirodna (f), nadprirodno (n)	supernatural
sujeverje (n), praznoverje (n)	superstition
verovati	suppose
изненађење	surprise
opstati	survive
гутљај (m); gutljaj (m)	swallow
заслађивач (zaslađivač)	sweetener
plivač (m); plivačica (f)	swimmer
ljuljaška (f)	swing
slog (m)	syllable
simetrija (f)	symmetry
saosećaj (m)	sympathy
бризгалица (f) (brizgalica)	syringe
sustav (m)	system
стони фудбал (stoni fudbal) (m)	table football
put (f)	tan
тантал (tantal) (m)	tantalum
pantljičara, trakulja	tapeworm
тарзијери	tarsier
krčma; ugostionica; gostionica	tavern
шумска сова (šumska sova)	tawny owl
такси	taxi
меца (m) (meca); меда (m) (meda); медо (m) (medo)	teddy bear
mladićstvo, omladina	teenager
телеграм (m) (telegram)	telegram
телеграф (m) (telegraf)	telegraph
телур (telur) (m)	tellurium
privremen	temporary
станар (m) (stanar); станарка (f) (stanarka)	tenant
pipak (m), pipaljka (f)	tentacle
mlako (n)	tepid
тербиjум (terbijum) (m)	terbium
терор (teror) (m), ужас (užas) (m)	terror
терориста (terorista) (m)	terrorist
Tesla	tesla
semenik (m), mudo (n)	testicle
талиjум (talijum) (m)	thallium
ко рано рани две среће граби (ko rano rani dve sreće grabi); птица раноранилица прва црва нађе (ptica ranoranilica prva crva nađe)	the early bird gets the worm
zatim; potom; posle	then
bogoslov (m), bogoslovac (m), bogoslovkinja (f)	theologian
тамо (tamo)	there
речник синонима (m) (rečnik sinonima)	thesaurus
lopov (m); kradljivac; tat	thief
bedrenjača, butnjača	thighbone
жедан	thirsty
тридесет (trideset)	thirty
tamo; onamo	thither
ториjум (torijum) (m)	thorium
полиција мисли (f) (policija misli)	thought police
претња (f) (pretnja)	threat
prag (m)	threshold
presto (m); престо (m); tron (m); трон (m)	throne
mlečica, ustobolja (2)	thrush
тулиjум (tulijum) (m)	thulium
grmnjevit, grmnjevito, zagrmeti	thunder
golen (f), golenica (f), cevanica (f)	tibia
krpelj; крпељ	tick
(high tide): plima (f), priliv (m), (low tide): oseka (f), odliv (m)	tide
pločica, kalj	tile
vreme (n)	time
vremeplov	time travel
snebivljiv	timid
калаj (m); kalaj (m); kositar (m); kositer (m)	tin
umorna	tired
ткиво (n) (tkivo)	tissue
сеница (senica)	tit
титан (m) (titan)	titanium
tmeza (f)	tmesis
сваком своје	to each his own
zdravica	toast
sadašnjica, današnjica, danas, dandanas	today
ноћас (noćas)	tonight
средство (n), sredstvo (n), прибор (m), pribor (m)	tool
zubobolja (f)	toothache
zvrk (m), čigra (f)	top
trup (m)	torso
igračka (f)	toy
razmena (f); izmena (f)	trade
putanja (f)	trajectory
skitnica, klošar, lutalica, bezposličar	tramp
траума (f) (trauma)	trauma
putnik (m); putnica (f)	traveller
poslužavnik (m), služavnik (m), podnos (m), podnosak (m)	tray
издаја (f) (izdaja)	treason
deblo (n); stablo (n)	tree trunk
pleme (n)	tribe
trotočak (m), trokolka (f)	tricycle
тримаран (m)	trimaran
tronožac (m)	tripod
slavoluk (m)	triumphal arch
камион	truck
istinito, zakonito	true
surla (f)	trunk
волфрам (volfram) (m)	tungsten
грлица (grlica)	turtle dove
пичка; пизда (f); пизда (f)	twat
сумрак (m) (sumrak)	twilight
близанац (blizanac) (m)	twin
kucaljka (f)	typewriter
улани	uhlan
поткопати; поткопавати	undermine
nezaposlenje (n), nezaposlenost (f)	unemployment
jednotočak (m), jednokolka (f)	unicycle
ујединити	unite
vasiona, vaseljena	universe
унунбијум (ununbijum) (m)	ununbium
унунхексијум (m) (ununheksijum)	ununhexium
унуноктијум (ununoktijum) (m)	ununoctium
унунпентијум (ununpentijum) (m)	ununpentium
унунквадијум (ununkvadijum) (m)	ununquadium
унунсептијум (m); ununseptijum (m)	ununseptium
унунтријум (m) (ununtrijum)	ununtrium
унунунијум	unununium
уран (uran) (m)	uranium
žara (f)	urn
употребљив (upotrebljiv)	useful
долина (dolina) (f)	valley
важност (f); значај (m)	value
ванадинит	vanadinite
ванадиjум (vanadijum) (m)	vanadium
visokoumlje (n), sujeta (f), slavoljublje (n)	vanity
возило (n) (vozilo)	vehicle
вена/vena (f)	vein
trbuhozborje (n), trbuhozborstvo (n)	ventriloquism
трбухозборац (m)	ventriloquist
stih (m)	verse
verzija (f) (верзија)	version
nasprotiv, protiv	versus
пршљен (m)	vertebra
kičmenjak (m)	vertebrate
zabrana, veto, zabranjenje	veto
mana (f); porok (f)	vice
потпредседник (m) (potpredsednik)	vice president
pobeda (f)	victory
vrlina (f)	virtue
posetnica (f)	visiting card
вивианит	vivianite
praznina (f); празнина (f)	void
svezak (m)	volume
dobrovoljac (m)	volunteer
bljuvotina (f), povraćaj (m), izbljuvak (m)	vomit
putovanje (n), putešestvije (n)	voyage
stidnica (f)	vulva
pliska (f)	wagtail
čašnik (m), uslužitelj (m), uslužiteljka (f)	waiter
пробудити се (probuditi se)	wake up
зидине (f)	wall
и зидови имају уши (i zidovi imaju uši)	walls have ears
складиште (n) (skladište); сместиште (n) (smestište)	warehouse
упозорити (upozoriti)	warn
ратни брод (m)	warship
dežurstvo, vreme, čas	watch
časovničar (m)	watchmaker
lokvanj (m), lopoč (m)	water lily
slap (m); buk (m); vodopad (m)	waterfall
лубеница (f); бостан (m)	watermelon
vodenica (f)	watermill
ветроказ (m) (vetrokaz)	weather vane
željan, željna, željni, željno, poželjan, poželjna, poželjni, poželjno	welcome
мокар (m) (mokar)	wet
који курац (koji kurac?)	what the fuck
otkuda; odakle	whence
kadgod	whenever
куда	where
где је тоалет (gde je toalet)	where is the toilet
brus (m)	whetstone
сурутка (surutka) (f)	whey
бич (bič) (m)	whip
vrtlog; kovitlac	whirlpool
брк (m) (brk)	whisker
šapat (m)	whisper
zvižduk (m)	whistle
бели патуљак (m) (beli patuljak)	white dwarf
kuda; kamo	whither
цео (m) (ceo); цела (f) (cela); цело (n) (celo); цели (m); целе (f); цела (n)	whole
велепродаја (veleprodaja) (f)	wholesale
kurva	whore
fitilj	wick
vlasulja (f); perika (f)	wig
вики; viki	wiki
дивљa свиња (divlja svinja)	wild boar
дивља мачка (divlja mačka)	wildcat
својевољно (svȍjevōljno)	willingly
vrba (f)	willow
vetrenjača (f)	windmill
kratkodnevnica (f), kratkodnevica (f)	winter solstice
жица (f) (žica)	wire
бежично (n) (bežično)	wireless
mudrost (f) (мудрост)	wisdom
еуропски бизон (m) (europski bizon)	wisent
žderavac (m), ždera (f), proždrljivac (m)	wolverine
pitati se	wonder
čudesan (m)	wonderful
детлић (detlić)	woodpecker
predja, prtilica	wool
radnik (m); radnica (f)	worker
(Cyrl'Пролетери свих земаља, уједините се!), Proleteri svih zemalja, ujedinite se!	workers of the world, unite
crv (m); glista (f)	worm
гнев (m) (gnev); срџба (f) (srdžba); срдитост (f) (srditost)	wrath
venac	wreath
strež (m), carić (m)	wren
rvač (m)	wrestler
писати	write
pisac (m), pisatelj (m), pisateljica (f), spisatelj (m), spisateljica (f)	writer
ксенон (ksenon) (m)	xenon
kvas (m), kvasac (m)	yeast
онде (onde)	yonder
итербиjум (iterbijum) (m)	ytterbium
итриjум (itrijum) (m)	yttrium
њами (njami)	yummy
зефир (m) (zefir)	zephyr
дирижабл (m) (dirižabl)	zeppelin
нула (nula)	zero
цинк (cink) (m)	zinc
циркониjум (cirkonijum) (m)	zirconium
siva eminencija	éminence grise
nadčovek, natčovek	übermensch
